FECHA (YYMMDD);HORA (HHMM);;
200207;0100;;
200207;0200;;
200207;0300;;
200207;0400;;
200207;0500;;
200207;0600;;
200207;0700;;
200207;0800;;
200207;0900;22,13;
200207;1000;23,8;
200207;1100;25,99;
200207;1200;27,77;
200207;1300;29,85;
200207;1400;31,5;
200207;1500;32,44;
200207;1600;32,51;
200207;1700;32,18;
200207;1800;30,43;
200207;1900;27,01;
200207;2000;24,6;
200207;2100;23,25;
200207;2200;21,26;
200207;2300;19,84;
200208;0000;20,02;
200208;0100;19,02;
200208;0200;17,87;
200208;0300;16,87;
200208;0400;14,31;
200208;0500;12,68;
200208;0600;12;
200208;0700;13,91;
200208;0800;19,58;
200208;0900;24,55;
200208;1000;27,05;
200208;1100;29,42;
200208;1200;31,65;
200208;1300;33,99;
200208;1400;36,18;
200208;1500;37,53;
200208;1600;38,05;
200208;1700;37,35;
200208;1800;36,05;
200208;1900;33,03;
200208;2000;30,47;
200208;2100;27,73;
200208;2200;24,95;
200208;2300;24,29;
200209;0000;22,57;
200209;0100;20,63;
200209;0200;;
200209;0300;18,5;
200209;0400;17,1;
200209;0500;16,52;
200209;0600;15,77;
200209;0700;17,72;
200209;0800;24,1;
200209;0900;28,04;
200209;1000;30,83;
200209;1100;32,77;
200209;1200;34,56;
200209;1300;35,94;
200209;1400;36,8;
200209;1500;37,55;
200209;1600;37,59;
200209;1700;36,64;
200209;1800;34,62;
200209;1900;;
200209;2000;;
200209;2100;27,34;
200209;2200;24,92;
200209;2300;23,41;
200210;0000;22,23;
200210;0100;20,94;
200210;0200;20,58;
200210;0300;19,88;
200210;0400;18,1;
200210;0500;17,55;
200210;0600;17,01;
200210;0700;19,43;
200210;0800;24,4;
200210;0900;28,64;
200210;1000;29,59;
200210;1100;31,19;
200210;1200;32,83;
200210;1300;34,72;
200210;1400;35,84;
200210;1500;36,54;
200210;1600;36,34;
200210;1700;35,42;
200210;1800;32,7;
200210;1900;29,04;
200210;2000;26,26;
200210;2100;24,01;
200210;2200;22,04;
200210;2300;20,78;
200211;0000;19,56;
200211;0100;18,56;
200211;0200;17,74;
200211;0300;16,7;
200211;0400;16;
200211;0500;15,48;
200211;0600;14,89;
200211;0700;16,17;
200211;0800;20,02;
200211;0900;24,1;
200211;1000;27,6;
200211;1100;30,02;
200211;1200;31,77;
200211;1300;32,71;
200211;1400;34,19;
200211;1500;35,47;
200211;1600;35,27;
200211;1700;34,76;
200211;1800;32,79;
200211;1900;28,77;
200211;2000;25,67;
200211;2100;23,75;
200211;2200;22,6;
200211;2300;21,17;
200212;0000;20,02;
200212;0100;19;
200212;0200;18,36;
200212;0300;16,94;
200212;0400;15,82;
200212;0500;15,02;
200212;0600;14,49;
200212;0700;16,05;
200212;0800;19,28;
200212;0900;18,2;
200212;1000;19,17;
200212;1100;21,11;
200212;1200;24,55;
200212;1300;25,51;
200212;1400;26,45;
200212;1500;27,57;
200212;1600;27,01;
200212;1700;26,47;
200212;1800;25,25;
200212;1900;22,37;
200212;2000;20,3;
200212;2100;18,84;
200212;2200;17,31;
200212;2300;16,1;
200213;0000;15,37;
200213;0100;15,07;
200213;0200;14,79;
200213;0300;14,58;
200213;0400;14,14;
200213;0500;13,3;
200213;0600;12,94;
200213;0700;14,41;
200213;0800;17,98;
200213;0900;20,48;
200213;1000;22,08;
200213;1100;23,23;
200213;1200;24,72;
200213;1300;25,52;
200213;1400;26,58;
200213;1500;26,97;
200213;1600;27,15;
200213;1700;26,63;
200213;1800;25,06;
200213;1900;22,14;
200213;2000;19,87;
200213;2100;18,13;
200213;2200;16,76;
200213;2300;15,55;
200214;0000;14,55;
200214;0100;;
200214;0200;13,12;
200214;0300;12,37;
200214;0400;10,79;
200214;0500;9,85001;
200214;0600;11,88;
200214;0700;13,61;
200214;0800;17,36;
200214;0900;20,44;
200214;1000;22,14;
200214;1100;23,79;
200214;1200;25,12;
200214;1300;27,21;
200214;1400;28,38;
200214;1500;29,03;
200214;1600;29,32;
200214;1700;28,88;
200214;1800;27,6;
200214;1900;24,85;
200214;2000;22,63;
200214;2100;21,31;
200214;2200;20,34;
200214;2300;19,63;
200215;0000;18,84;
200215;0100;17,64;
200215;0200;16,58;
200215;0300;15,3;
200215;0400;13,46;
200215;0500;12,42;
200215;0600;11,95;
200215;0700;14,28;
200215;0800;19,28;
200215;0900;22,86;
200215;1000;24,56;
200215;1100;26,3;
200215;1200;28,08;
200215;1300;29,86;
200215;1400;31,2;
200215;1500;32,64;
200215;1600;32,55;
200215;1700;31,87;
200215;1800;30,87;
200215;1900;27,02;
200215;2000;;
200215;2100;21,32;
200215;2200;19,61;
200215;2300;18,36;
200216;0000;17,39;
200216;0100;16,71;
200216;0200;16,15;
200216;0300;15,66;
200216;0400;15;
200216;0500;14,09;
200216;0600;13,1;
200216;0700;14,78;
200216;0800;19,03;
200216;0900;22,26;
200216;1000;25,06;
200216;1100;26,79;
200216;1200;28,23;
200216;1300;30,11;
200216;1400;;
200216;1500;;
200216;1600;;
200216;1700;30,42;
200216;1800;28,47;
200216;1900;23,38;
200216;2000;20,9;
200216;2100;19,8;
200216;2200;19,21;
200216;2300;18,59;
