FECHA (YYMMDD);HORA (HHMM);;
190429;0100;;
190429;0200;;
190429;0300;;
190429;0400;;
190429;0500;;
190429;0600;;
190429;0700;;
190429;0800;;
190429;0900;;
190429;1000;;
190429;1100;;
190429;1200;;
190429;1300;;
190429;1400;;
190429;1500;;
190429;1600;;
190429;1700;3,778;
190429;1800;3,763;
190429;1900;3,261;
190429;2000;3,794;
190429;2100;3,635;
190429;2200;3,444;
190429;2300;3,457;
190430;0000;2,758;
190430;0100;2,114;
190430;0200;1,382;
190430;0300;2,408;
190430;0400;3,521;
190430;0500;3,107;
190430;0600;2,166;
190430;0700;1,387;
190430;0800;2,503;
190430;0900;3,121;
190430;1000;3,776;
190430;1100;4,29;
190430;1200;4,142;
190430;1300;5,075;
190430;1400;4,515;
190430;1500;3,858;
190430;1600;3,369;
190430;1700;2,748;
190430;1800;1,794;
190430;1900;1,076;
190430;2000;0,521;
190430;2100;0,173;
190430;2200;0,168;
190430;2300;0,375;
190501;0000;0,168;
190501;0100;0,506;
190501;0200;0,331;
190501;0300;0,34;
190501;0400;0,013;
190501;0500;0,061;
190501;0600;0,539;
190501;0700;0,202;
190501;0800;0,173;
190501;0900;0,571;
190501;1000;1,269;
190501;1100;1,965;
190501;1200;5,481;
190501;1300;5,226;
190501;1400;4,319;
190501;1500;4,938;
190501;1600;4,914;
190501;1700;4,028;
190501;1800;3,288;
190501;1900;3,604;
190501;2000;2,626;
190501;2100;1,969;
190501;2200;3,198;
190501;2300;4,226;
190502;0000;3,867;
190502;0100;3,629;
190502;0200;4,06;
190502;0300;4,176;
190502;0400;4,011;
190502;0500;4,173;
190502;0600;3,474;
190502;0700;4,494;
190502;0800;4,199;
190502;0900;3,253;
190502;1000;3,709;
190502;1100;4,035;
190502;1200;4,476;
190502;1300;4,147;
190502;1400;4,221;
190502;1500;3,333;
190502;1600;2,954;
190502;1700;2,459;
190502;1800;1,998;
190502;1900;2,928;
190502;2000;3,25;
190502;2100;2,576;
190502;2200;3,065;
190502;2300;3,011;
190503;0000;3,105;
190503;0100;3,667;
190503;0200;2,465;
190503;0300;2,585;
190503;0400;2,903;
190503;0500;2,794;
190503;0600;2,731;
190503;0700;2,964;
190503;0800;2,573;
190503;0900;3,592;
190503;1000;4,812;
190503;1100;4,625;
190503;1200;4,642;
190503;1300;4,403;
190503;1400;4,324;
190503;1500;3,666;
190503;1600;2,926;
190503;1700;2,502;
190503;1800;2,727;
190503;1900;4,364;
190503;2000;3,897;
190503;2100;3,448;
190503;2200;3,536;
190503;2300;3,22;
190504;0000;3,9;
190504;0100;4,349;
190504;0200;3,6;
190504;0300;2,815;
190504;0400;3,133;
190504;0500;3,038;
190504;0600;2,386;
190504;0700;1,5;
190504;0800;2,928;
190504;0900;3,09;
190504;1000;2,892;
190504;1100;3,205;
190504;1200;4,1;
190504;1300;3,308;
190504;1400;3,747;
190504;1500;3,299;
190504;1600;2,991;
190504;1700;2,484;
190504;1800;2,075;
190504;1900;0,655;
190504;2000;0,872;
190504;2100;0,123;
