FECHA (YYMMDD);HORA (HHMM);;
180821;0100;;
180821;0200;;
180821;0300;;
180821;0400;;
180821;0500;;
180821;0600;;
180821;0700;;
180821;0800;;
180821;0900;;
180821;1000;;
180821;1100;;
180821;1200;;
180821;1300;;
180821;1400;90,75;
180821;1500;93,5;
180821;1600;95,67;
180821;1700;96,65;
180821;1800;92,83;
180821;1900;90,25;
180821;2000;87,47;
180821;2100;86,73;
180821;2200;87;
180821;2300;87;
180822;0000;87,9;
180822;0100;87,5;
180822;0200;86,55;
180822;0300;87,47;
180822;0400;89,53;
180822;0500;90,85;
180822;0600;90,17;
180822;0700;89,85;
180822;0800;90,03;
180822;0900;88,55;
180822;1000;90,17;
180822;1100;89,85;
180822;1200;88,12;
180822;1300;94,45;
180822;1400;100;
180822;1500;100;
180822;1600;100;
180822;1700;100;
180822;1800;100;
180822;1900;100;
180822;2000;100;
180822;2100;99,42;
180822;2200;96;
180822;2300;97,65;
180823;0000;97,67;
180823;0100;95,05;
180823;0200;88,1901;
180823;0300;77,95;
180823;0400;76,66;
180823;0500;78,64;
180823;0600;85,33;
180823;0700;96,03;
180823;0800;97,03;
180823;0900;90,35;
180823;1000;79,9401;
180823;1100;88,75;
180823;1200;87,3;
180823;1300;82,11;
180823;1400;72,46;
180823;1500;70,53;
180823;1600;74,42;
180823;1700;72,3;
180823;1800;76,88;
180823;1900;82,8;
180823;2000;86,72;
180823;2100;92,38;
180823;2200;97,47;
180823;2300;98,7;
180824;0000;96,47;
180824;0100;93,08;
180824;0200;92,17;
180824;0300;93,45;
180824;0400;92,58;
180824;0500;98,1;
180824;0600;95,25;
180824;0700;93,08;
180824;0800;87,58;
180824;0900;78,41;
180824;1000;74,23;
180824;1100;64,95;
180824;1200;55,85;
180824;1300;56,6;
180824;1400;56,87;
180824;1500;55,51;
180824;1600;58,99;
180824;1700;61,59;
180824;1800;71,72;
180824;1900;72,0699;
180824;2000;74,86;
180824;2100;78,8199;
180824;2200;88,2;
180824;2300;91,7;
180825;0000;92,12;
180825;0100;85,58;
180825;0200;79,5601;
180825;0300;78,1901;
180825;0400;87,15;
180825;0500;83,5;
180825;0600;80,02;
180825;0700;79,03;
180825;0800;76,67;
180825;0900;64,89;
180825;1000;64,2;
180825;1100;64,78;
180825;1200;68,75;
180825;1300;74,3101;
180825;1400;76,37;
180825;1500;77,89;
180825;1600;81,83;
180825;1700;83,88;
180825;1800;90,35;
180825;1900;95,17;
180825;2000;95,92;
180825;2100;97,25;
180825;2200;97,95;
180825;2300;99,05;
180826;0000;100;
180826;0100;100;
180826;0200;100;
180826;0300;100;
180826;0400;100;
180826;0500;100;
180826;0600;100;
180826;0700;100;
180826;0800;99,97;
180826;0900;94,28;
180826;1000;86,8;
180826;1100;81,12;
180826;1200;74,42;
180826;1300;69,11;
180826;1400;67,85;
180826;1500;66,1801;
180826;1600;75,9401;
180826;1700;79;
180826;1800;88,47;
180826;1900;95,5;
180826;2000;97,33;
180826;2100;99,78;
180826;2200;100;
180826;2300;100;
180827;0000;100;
180827;0100;100;
180827;0200;100;
180827;0300;100;
180827;0400;100;
180827;0500;100;
180827;0600;100;
180827;0700;100;
180827;0800;100;
180827;0900;100;
180827;1000;100;
180827;1100;100;
180827;1200;97,03;
180827;1300;93;
180827;1400;96,33;
180827;1500;99,25;
180827;1600;89,78;
180827;1700;94,03;
180827;1800;98,28;
180827;1900;100;
180827;2000;98,8;
180827;2100;100;
180827;2200;99,08;
180827;2300;97,92;
180828;0000;98,8;
180828;0100;99,88;
180828;0200;99,97;
180828;0300;98,03;
180828;0400;95,08;
180828;0500;91,28;
180828;0600;87,9;
180828;0700;90;
180828;0800;90,33;
180828;0900;96,75;
180828;1000;93,62;
180828;1100;84,8;
180828;1200;70,5699;
180828;1300;59,8;
180828;1400;58,75;
180828;1500;65,5601;
180828;1600;70,42;
180828;1700;70,78;
180828;1800;89,3;
180828;1900;91,03;
180828;2000;88,42;
180828;2100;86,8;
180828;2200;92,78;
180828;2300;94,28;
180829;0000;91,6;
180829;0100;90,65;
180829;0200;91,97;
180829;0300;90,78;
180829;0400;92,2;
180829;0500;90,33;
180829;0600;91,7;
180829;0700;89,78;
180829;0800;89,78;
180829;0900;86,33;
180829;1000;78,8101;
180829;1100;83,8;
180829;1200;80,11;
180829;1300;79,77;
180829;1400;83,67;
180829;1500;88,45;
180829;1600;95,5;
180829;1700;93,08;
180829;1800;97,88;
180829;1900;93,9;
180829;2000;97,08;
180829;2100;100;
180829;2200;97,1;
180829;2300;97,12;
180830;0000;94,22;
180830;0100;93,67;
180830;0200;94,38;
180830;0300;95,17;
180830;0400;94,78;
180830;0500;91,78;
180830;0600;86,47;
180830;0700;84,45;
180830;0800;82,65;
180830;0900;74,96;
180830;1000;73,22;
180830;1100;70,1901;
180830;1200;66,1;
180830;1300;76,34;
180830;1400;73,66;
180830;1500;71,9;
180830;1600;77,78;
180830;1700;78,37;
180830;1800;81,9;
180830;1900;85,35;
180830;2000;84,78;
180830;2100;79,75;
180830;2200;81,3;
180830;2300;88,67;
180831;0000;92,22;
180831;0100;95,65;
180831;0200;98,3;
180831;0300;100;
180831;0400;98,92;
180831;0500;99,2;
180831;0600;99,35;
180831;0700;99,05;
180831;0800;97;
180831;0900;88,15;
180831;1000;80,6901;
180831;1100;80,47;
180831;1200;75,97;
180831;1300;75,8101;
180831;1400;73,17;
180831;1500;84,03;
180831;1600;85,17;
180831;1700;87,97;
180831;1800;93,67;
180831;1900;95,9;
180831;2000;97,78;
180831;2100;99,92;
180831;2200;100;
180831;2300;100;
180901;0000;100;
180901;0100;100;
180901;0200;100;
180901;0300;100;
180901;0400;99,58;
180901;0500;99,12;
180901;0600;100;
180901;0700;100;
180901;0800;99,95;
180901;0900;96,6;
180901;1000;77,01;
180901;1100;73,23;
180901;1200;75,72;
180901;1300;67,59;
180901;1400;67,61;
180901;1500;71,98;
180901;1600;77,3101;
180901;1700;82,12;
180901;1800;86,9;
180901;1900;88,17;
180901;2000;93,03;
180901;2100;94,3;
180901;2200;93,72;
180901;2300;97,5;
180902;0000;95,62;
180902;0100;94,17;
180902;0200;92,4;
180902;0300;91,6;
180902;0400;88,58;
180902;0500;88,83;
180902;0600;90,62;
180902;0700;96,7;
180902;0800;85,5;
180902;0900;76,79;
180902;1000;73,92;
180902;1100;72,41;
180902;1200;69,39;
180902;1300;69,55;
180902;1400;74,62;
180902;1500;76,88;
180902;1600;80,22;
180902;1700;86,67;
180902;1800;93,62;
180902;1900;96,7;
180902;2000;99,35;
180902;2100;99,45;
180902;2200;99,67;
180902;2300;99,9;
180903;0000;99,67;
180903;0100;97,38;
180903;0200;96,5;
180903;0300;95,4;
180903;0400;90,6;
180903;0500;88,15;
180903;0600;87,38;
180903;0700;85,47;
180903;0800;80,58;
180903;0900;70,45;
180903;1000;57,45;
180903;1100;51,95;
180903;1200;55,39;
180903;1300;51,65;
180903;1400;52,52;
180903;1500;53,05;
180903;1600;54,8;
180903;1700;61,71;
180903;1800;73,5;
180903;1900;77,04;
180903;2000;81,08;
180903;2100;83,85;
180903;2200;81,22;
180903;2300;80,9;
180904;0000;77,17;
180904;0100;84,13;
180904;0200;84,51;
180904;0300;79,46;
180904;0400;88,78;
180904;0500;74,67;
180904;0600;79,41;
180904;0700;76,85;
180904;0800;64,33;
180904;0900;61,98;
180904;1000;64,9;
180904;1100;60,21;
180904;1200;58,29;
180904;1300;54,75;
180904;1400;57,33;
180904;1500;56,38;
180904;1600;59,45;
180904;1700;69,38;
180904;1800;84,61;
180904;1900;95,35;
180904;2000;99,45;
180904;2100;99,97;
180904;2200;99,5;
180904;2300;99,4;
180905;0000;97,15;
180905;0100;99,83;
180905;0200;99,97;
180905;0300;99,85;
180905;0400;99,78;
180905;0500;97,58;
180905;0600;86,5;
180905;0700;95,03;
180905;0800;91,98;
180905;0900;85,58;
180905;1000;78,67;
180905;1100;80,3;
180905;1200;83,17;
180905;1300;83,58;
180905;1400;85,6;
180905;1500;90,1;
180905;1600;97,67;
180905;1700;100;
180905;1800;100;
180905;1900;100;
180905;2000;100;
180905;2100;99,6;
180905;2200;97,03;
180905;2300;98;
180906;0000;99,92;
180906;0100;100;
180906;0200;100;
180906;0300;100;
180906;0400;100;
180906;0500;100;
180906;0600;100;
180906;0700;100;
180906;0800;99,3;
180906;0900;81,72;
180906;1000;62,47;
180906;1100;56,35;
180906;1200;55,12;
180906;1300;58,32;
180906;1400;56,44;
180906;1500;63,91;
180906;1600;64,39;
180906;1700;70,23;
180906;1800;79,97;
