FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091007;0000;;;39,2523;
091008;0000;;;44,1339;
091009;0000;;;25,3237;
091010;0000;;;23,3576;
091011;0000;;;19,658;
091012;0000;;;18,8646;
091013;0000;;;27,6377;
091014;0000;;;33,6024;
091015;0000;;;29,0196;
091016;0000;;;18,5861;
091017;0000;;;35,0276;
091018;0000;;;30,9752;
091019;0000;;;30,8975;
091020;0000;;;40,3843;
091021;0000;;;40,3851;
091022;0000;;;40,3863;
091023;0000;;;40,3861;
091024;0000;;;40,3895;
091025;0000;;;40,3875;
091026;0000;;;40,3841;
091027;0000;;;40,382;
091028;0000;;;29,8646;
091029;0000;;;13,803;
091030;0000;;;34,9426;
091031;0000;;;18,8763;
091101;0000;;;10,4685;
091102;0000;;;18,8813;
091103;0000;;;14,1457;
091104;0000;;;19,7837;
091105;0000;;;17,125;
091106;0000;;;19,8834;
091107;0000;;;17,6976;
091108;0000;;;15,373;
091109;0000;;;19,9583;
091110;0000;;;32,8264;
091111;0000;;;41,5092;
091112;0000;;;32,4863;
091113;0000;;;23,592;
091114;0000;;;29,1006;
091115;0000;;;27,5184;
091116;0000;;;21,1777;
091117;0000;;;20,6136;
091118;0000;;;18,8015;
091119;0000;;;11,6137;
091120;0000;;;24,2973;
091121;0000;;;29,7747;
091122;0000;;;20,5031;
091123;0000;;;11,6254;
091124;0000;;;17,6933;
091125;0000;;;23,2709;
091126;0000;;;29,7378;
091127;0000;;;28,625;
091128;0000;;;18,7685;
091129;0000;;;19,9424;
091130;0000;;;22,2216;
091201;0000;;;20,7306;
091202;0000;;;34,5003;
091203;0000;;;39,5533;
091204;0000;;;37,2649;
091205;0000;;;35,1078;
091206;0000;;;29,1675;
091207;0000;;;23,316;
091208;0000;;;25,5785;
091209;0000;;;36,9845;
091210;0000;;;33,9986;
091211;0000;;;41,8853;
091212;0000;;;33,9717;
091213;0000;;;31,239;
091214;0000;;;41,6813;
091215;0000;;;43,1797;
091216;0000;;;45,4835;
091217;0000;;;30,2886;
091218;0000;;;32,4845;
091219;0000;;;33,0316;
091220;0000;;;29,915;
091221;0000;;;25,4915;
091222;0000;;;31,4684;
091223;0000;;;19,2708;
091224;0000;;;20,8848;
091225;0000;;;26,5128;
091226;0000;;;26,7272;
091227;0000;;;27,8062;
091228;0000;;;15,0336;
091229;0000;;;18,6011;
091230;0000;;;14,4972;
091231;0000;;;21,3697;
100101;0000;;;43,4198;
100102;0000;;;29,4116;
100103;0000;;;31,3572;
100104;0000;;;10,9467;
100105;0000;;;5,38499;
100106;0000;;;5,38499;
100107;0000;;;14,1813;
100108;0000;;;27,8706;
100109;0000;;;29,7661;
100110;0000;;;24,2816;
100111;0000;;;14,7407;
100112;0000;;;28,1123;
100113;0000;;;32,2841;
100114;0000;;;37,7154;
100115;0000;;;34,4435;
100116;0000;;;28,9775;
100117;0000;;;20,1185;
100118;0000;;;24,6409;
100119;0000;;;36,8966;
100120;0000;;;44,7617;
100121;0000;;;44,3117;
100122;0000;;;52,7701;
100123;0000;;;54,4839;
100124;0000;;;49,3469;
100125;0000;;;23,4206;
100126;0000;;;45,9232;
100127;0000;;;51,7082;
100128;0000;;;27,5524;
100129;0000;;;48,9313;
100130;0000;;;39,659;
100131;0000;;;44,5223;
100201;0000;;;34,0968;
100202;0000;;;20,5905;
100203;0000;;;21,0935;
100204;0000;;;21,2085;
100205;0000;;;12,9697;
100206;0000;;;11,4564;
100207;0000;;;8,19791;
100208;0000;;;19,2621;
100209;0000;;;19,8053;
100210;0000;;;38,5531;
100211;0000;;;44,8142;
100212;0000;;;32,4629;
100213;0000;;;32,6134;
100214;0000;;;40,0782;
100215;0000;;;66,5927;
100216;0000;;;35,9709;
100217;0000;;;24,4856;
100218;0000;;;13,0673;
100219;0000;;;14,8736;
100220;0000;;;28,2471;
100221;0000;;;26,4179;
100222;0000;;;29,6147;
100223;0000;;;37,4372;
100224;0000;;;34,1136;
100225;0000;;;31,5399;
100226;0000;;;38,7169;
100227;0000;;;;
100228;0000;;;;
100301;0000;;;;
100302;0000;;;1,346;
100303;0000;;;1,346;
100304;0000;;;1,346;
100305;0000;;;1,346;
100306;0000;;;1,346;
100307;0000;;;1,346;
100308;0000;;;1,346;
100309;0000;;;1,346;
100310;0000;;;1,346;
100311;0000;;;1,346;
100312;0000;;;14,7256;
100313;0000;;;36,1917;
100314;0000;;;27,4797;
100315;0000;;;33,6724;
100316;0000;;;32,8928;
100317;0000;;;8,37039;
100318;0000;;;13,0211;
100319;0000;;;16,9208;
100320;0000;;;9,25082;
100321;0000;;;16,4946;
100322;0000;;;16,3818;
100323;0000;;;18,265;
100324;0000;;;26,2549;
100325;0000;;;33,1594;
100326;0000;;;22,1867;
