FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090811;0000;;;111,616;
090812;0000;;;87,1989;
090813;0000;;;27,1679;
090814;0000;;;67,517;
090815;0000;;;112,44;
090816;0000;;;64,8469;
090817;0000;;;190,856;
090818;0000;;;74,7209;
090819;0000;;;;
090820;0000;;;50,8519;
090821;0000;;;15,9189;
090822;0000;;;45,1677;
090823;0000;;;17,2319;
090824;0000;;;54,9119;
090825;0000;;;21,9925;
090826;0000;;;58,6913;
090827;0000;;;39,7874;
090828;0000;;;79,5789;
090829;0000;;;17,4612;
090830;0000;;;;
090831;0000;;;;
090901;0000;;;;
090902;0000;;;;
090903;0000;;;;
090904;0000;;;;
090905;0000;;;;
090906;0000;;;;
090907;0000;;;;
090908;0000;;;;
090909;0000;;;;
090910;0000;;;;
090911;0000;;;;
090912;0000;;;35,6402;
090913;0000;;;;
090914;0000;;;;
090915;0000;;;;
090916;0000;;;18,43;
090917;0000;;;162,889;
090918;0000;;;37,9719;
090919;0000;;;;
090920;0000;;;19,5036;
090921;0000;;;;
090922;0000;;;12,3747;
090923;0000;;;;
090924;0000;;;29,5922;
090925;0000;;;;
090926;0000;;;;
090927;0000;;;;
090928;0000;;;;
090929;0000;;;;
090930;0000;;;;
091001;0000;;;;
091002;0000;;;;
091003;0000;;;;
091004;0000;;;;
091005;0000;;;;
091006;0000;;;;
091007;0000;;;;
091008;0000;;;;
091009;0000;;;;
091010;0000;;;;
091011;0000;;;;
091012;0000;;;;
091013;0000;;;;
091014;0000;;;;
091015;0000;;;;
091016;0000;;;;
091017;0000;;;;
091018;0000;;;;
091019;0000;;;;
091020;0000;;;;
091021;0000;;;;
091022;0000;;;;
091023;0000;;;;
091024;0000;;;;
091025;0000;;;;
091026;0000;;;;
091027;0000;;;;
091028;0000;;;;
091029;0000;;;;
091030;0000;;;;
091031;0000;;;;
091101;0000;;;55,86;
091102;0000;;;461,7;
091103;0000;;;;
091104;0000;;;;
091105;0000;;;20,19;
091106;0000;;;51,15;
091107;0000;;;;
091108;0000;;;;
091109;0000;;;;
091110;0000;;;;
091111;0000;;;;
091112;0000;;;;
091113;0000;;;;
091114;0000;;;;
091115;0000;;;;
091116;0000;;;;
