FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
161027;0000;;;5,16431;
161028;0000;;;1,0022;
161029;0000;;;1,32023;
161030;0000;;;1,42604;
161031;0000;;;1,24739;
161101;0000;;;1,69426;
161102;0000;;;1,40904;
161103;0000;;;2,05121;
161104;0000;;;2,44066;
161105;0000;;;1,8643;
161106;0000;;;1,76789;
161107;0000;;;1,98199;
161108;0000;;;2,1576;
161109;0000;;;1,84819;
161110;0000;;;2,85277;
161111;0000;;;3,26584;
161112;0000;;;2,88118;
161113;0000;;;1,44507;
161114;0000;;;1,09634;
161115;0000;;;1,47747;
161116;0000;;;1,46538;
161117;0000;;;3,03376;
161118;0000;;;2,15833;
161119;0000;;;1,03492;
161120;0000;;;1,35242;
161121;0000;;;1,02847;
161122;0000;;;1;
161123;0000;;;1,10046;
161124;0000;;;1;
161125;0000;;;1;
161126;0000;;;;
161127;0000;;;1,16352;
161128;0000;;;2,29552;
161129;0000;;;1,59186;
161130;0000;;;1;
161201;0000;;;1,27748;
161202;0000;;;1,13715;
161203;0000;;;1,02997;
161204;0000;;;1,00503;
161205;0000;;;1,40113;
161206;0000;;;1,19836;
161207;0000;;;1,52443;
161208;0000;;;2,74959;
161209;0000;;;1;
161210;0000;;;1,00196;
161211;0000;;;1,21065;
161212;0000;;;1,02818;
161213;0000;;;1,8285;
161214;0000;;;2,98839;
161215;0000;;;2,38439;
161216;0000;;;1,13585;
161217;0000;;;2,68896;
161218;0000;;;1,58773;
161219;0000;;;3,01637;
161220;0000;;;;
161221;0000;;;1,54725;
161222;0000;;;2,16471;
161223;0000;;;2,00873;
161224;0000;;;1,13059;
161225;0000;;;1;
161226;0000;;;1,14173;
161227;0000;;;1,58374;
161228;0000;;;;
161229;0000;;;1,00584;
161230;0000;;;1,00306;
161231;0000;;;1,24413;
170101;0000;;1,47534;;
170102;0000;;2,65561;;
170103;0000;;1,34238;;
170104;0000;;1,68575;;
170105;0000;;2,28215;;
170106;0000;;2,57455;;
170107;0000;;3,4929;;
170108;0000;;1,03482;;
170109;0000;;1,38993;;
170110;0000;;1,8624;;
170111;0000;;2,31493;;
170112;0000;;4,30033;;
170113;0000;;2,11315;;
170114;0000;;2,40034;;
170115;0000;;3,48119;;
170116;0000;;3,1601;;
170117;0000;;2,9483;;
170118;0000;;3,17311;;
170119;0000;;2,48312;;
170120;0000;;3,01557;;
170121;0000;;3,04724;;
170122;0000;;3,60609;;
170123;0000;;3,98654;;
170124;0000;;2,88079;;
170125;0000;;4,26062;;
170126;0000;;;;
170127;0000;;;;
170128;0000;;1,75047;;
170129;0000;;2,51801;;
170130;0000;;3,5103;;
170131;0000;;3,35109;;
170201;0000;;4,21214;;
170202;0000;;1,76529;;
170203;0000;;1;;
170204;0000;;1,02751;;
170205;0000;;1,78433;;
170206;0000;;2,80011;;
170207;0000;;2,50294;;
170208;0000;;1,00641;;
170209;0000;;1,0179;;
170210;0000;;1,25388;;
170211;0000;;1,093;;
170212;0000;;1,17421;;
170213;0000;;1,18389;;
170214;0000;;1;;
170215;0000;;1;;
170216;0000;;;;
170217;0000;;;;
170218;0000;;1;;
170219;0000;;2,09578;;
170220;0000;;1,61508;;
170221;0000;;2,69949;;
170222;0000;;3,1784;;
170223;0000;;2,59177;;
170224;0000;;1,79991;;
170225;0000;;2,44877;;
170226;0000;;1,02286;;
170227;0000;;1;;
170228;0000;;1;;
170301;0000;;1,1711;;
170302;0000;;2,02319;;
170303;0000;;2,52187;;
170304;0000;;3,3528;;
170305;0000;;2,19127;;
170306;0000;;2,24176;;
170307;0000;;;;
170308;0000;;;;
170309;0000;;1,00886;;
170310;0000;;1,30713;;
170311;0000;;1,73435;;
170312;0000;;1,75452;;
170313;0000;;;;
170314;0000;;;;
170315;0000;;2,97633;;
170316;0000;;;;
170317;0000;;;;
170318;0000;;1,74942;;
170319;0000;;1,86239;;
170320;0000;;3,10203;;
170321;0000;;;;
170322;0000;;;;
170323;0000;;1;;
170324;0000;;1;;
170325;0000;;;;
170326;0000;;;;
170327;0000;;1,36917;;
170328;0000;;2,74422;;
170329;0000;;1,43666;;
170330;0000;;2,10137;;
170331;0000;;1,98263;;
170401;0000;;1,19826;;
170402;0000;;1,09807;;
170403;0000;;1,53287;;
170404;0000;;1,65719;;
170405;0000;;1,8044;;
170406;0000;;1,35531;;
170407;0000;;1;;
170408;0000;;1,08861;;
170409;0000;;1,49029;;
170410;0000;;2,01878;;
170411;0000;;2,01344;;
170412;0000;;1;;
170413;0000;;1;;
170414;0000;;1,82385;;
170415;0000;;2,30375;;
170416;0000;;1,60672;;
170417;0000;;2,34718;;
170418;0000;;1,53842;;
170419;0000;;1;;
170420;0000;;1,07677;;
170421;0000;;1,41486;;
170422;0000;;1,80638;;
170423;0000;;2,05243;;
170424;0000;;1,43165;;
170425;0000;;1,86325;;
170426;0000;;1,52097;;
170427;0000;;1,94829;;
170428;0000;;1,78757;;
170429;0000;;2,24421;;
170430;0000;;1,96929;;
170501;0000;;1,05;;
170502;0000;;1,07;;
170503;0000;;2,24;;
170504;0000;;2,58;;
170505;0000;;1;;
170506;0000;;1;;
170507;0000;;;;
170508;0000;;;;
170509;0000;;2,38;;
170510;0000;;1;;
170511;0000;;1;;
170512;0000;;1;;
170513;0000;;1;;
170514;0000;;;;
170515;0000;;1,67;;
170516;0000;;1,09;;
170517;0000;;1;;
170518;0000;;1,12;;
170519;0000;;1,2;;
170520;0000;;1,16;;
170521;0000;;1,03;;
170522;0000;;1,07;;
170523;0000;;1,09;;
170524;0000;;1,31;;
170525;0000;;1,25;;
170526;0000;;1,55;;
170527;0000;;1,92;;
170528;0000;;1,47;;
170529;0000;;2,24;;
170530;0000;;1,47;;
170531;0000;;1,23;;
170601;0000;;1,21;;
170602;0000;;1,02;;
170603;0000;;1,04;;
170604;0000;;1,19;;
170605;0000;;1,98;;
170606;0000;;1,28;;
170607;0000;;1,29;;
170608;0000;;2,33;;
170609;0000;;2,01;;
170610;0000;;2,12;;
170611;0000;;1,46;;
170612;0000;;2,21;;
170613;0000;;1,55;;
170614;0000;;1,02;;
170615;0000;;1;;
170616;0000;;1,01;;
170617;0000;;1,51;;
170618;0000;;1,51;;
170619;0000;;1,89;;
170620;0000;;1,7;;
170621;0000;;1,01;;
170622;0000;;1,07;;
170623;0000;;1,18;;
170624;0000;;1,01;;
170625;0000;;1,01;;
170626;0000;;1,1;;
170627;0000;;1,45;;
170628;0000;;2;;
170629;0000;;1,24;;
170630;0000;;1,96;;
170701;0000;;2,55;;
170702;0000;;1,15;;
170703;0000;;1,02;;
170704;0000;;1,26;;
170705;0000;;1,02;;
170706;0000;;1,04;;
170707;0000;;1,54;;
170708;0000;;1,47;;
170709;0000;;1,54;;
170710;0000;;1,82;;
170711;0000;;1,99;;
170712;0000;;1,22;;
170713;0000;;1,11;;
170714;0000;;1;;
170715;0000;;1,24;;
170716;0000;;1,16;;
170717;0000;;1,32;;
170718;0000;;;;
170719;0000;;;;
170720;0000;;2,88;;
170721;0000;;2,95;;
170722;0000;;1,09;;
170723;0000;;1,35;;
170724;0000;;1,49;;
170725;0000;;1,65;;
170726;0000;;1,79;;
170727;0000;;1,05;;
170728;0000;;1,31;;
170729;0000;;1,65;;
170730;0000;;2,15;;
170731;0000;;2,25;;
170801;0000;;1,74;;
170802;0000;;2,39;;
170803;0000;;2,49;;
170804;0000;;1,15;;
170805;0000;;1,02;;
170806;0000;;1,05;;
170807;0000;;1,02;;
170808;0000;;1,02;;
170809;0000;;1,01;;
170810;0000;;1,01;;
170811;0000;;1,11;;
170812;0000;;1,22;;
170813;0000;;1,25;;
170814;0000;;1,1;;
170815;0000;;1,9;;
170816;0000;;2,3;;
170817;0000;;3,06;;
170818;0000;;1,02;;
170819;0000;;1,12;;
170820;0000;;1,51;;
170821;0000;;1,39;;
170822;0000;;1;;
170823;0000;;1,03;;
170824;0000;;1;;
170825;0000;;1;;
170826;0000;;1;;
170827;0000;;1;;
170828;0000;;1,24;;
170829;0000;;1,39;;
170830;0000;;1,12;;
170831;0000;;1;;
170901;0000;;1;;
170902;0000;;1,19;;
170903;0000;;1,29;;
170904;0000;;1,34;;
170905;0000;;1,51;;
170906;0000;;1,11;;
170907;0000;;1,79;;
170908;0000;;1,12;;
170909;0000;;2,07;;
170910;0000;;1,95;;
170911;0000;;1,36;;
170912;0000;;1,41;;
170913;0000;;1,39;;
170914;0000;;1,14;;
170915;0000;;2,35;;
170916;0000;;3,08;;
170917;0000;;1,05;;
170918;0000;;1;;
170919;0000;;1;;
170920;0000;;1,73;;
170921;0000;;2,16;;
170922;0000;;1,92;;
170923;0000;;1,62;;
170924;0000;;1,53;;
170925;0000;;1,49;;
170926;0000;;2,26;;
170927;0000;;1,84;;
170928;0000;;1;;
170929;0000;;1;;
170930;0000;;1,01;;
171001;0000;;1;;
171002;0000;;1;;
171003;0000;;1;;
171004;0000;;1;;
