FECHA (YYMMDD);HORA (HHMM);;
180821;0100;;
180821;0200;;
180821;0300;;
180821;0400;;
180821;0500;;
180821;0600;;
180821;0700;;
180821;0800;;
180821;0900;;
180821;1000;;
180821;1100;;
180821;1200;;
180821;1300;;
180821;1400;7,956;
180821;1500;8,127;
180821;1600;8,09399;
180821;1700;7,887;
180821;1800;7,685;
180821;1900;7,787;
180821;2000;7,87;
180821;2100;7,83;
180821;2200;7,913;
180821;2300;7,94;
180822;0000;7,61;
180822;0100;7,758;
180822;0200;7,759;
180822;0300;7,668;
180822;0400;7,662;
180822;0500;7,94;
180822;0600;7,923;
180822;0700;8,435;
180822;0800;8,61501;
180822;0900;8,985;
180822;1000;9,245;
180822;1100;9,422;
180822;1200;9,743;
180822;1300;9,37;
180822;1400;8,90201;
180822;1500;8,938;
180822;1600;8,49001;
180822;1700;8,66;
180822;1800;8,69299;
180822;1900;8,743;
180822;2000;9,22;
180822;2100;9,72501;
180822;2200;9,698;
180822;2300;9,295;
180823;0000;8,592;
180823;0100;8,86501;
180823;0200;8,868;
180823;0300;8,55701;
180823;0400;8,58;
180823;0500;8,743;
180823;0600;8,481;
180823;0700;7,111;
180823;0800;6,851;
180823;0900;7,46;
180823;1000;7,692;
180823;1100;6,998;
180823;1200;7,579;
180823;1300;8,45;
180823;1400;9,465;
180823;1500;9,953;
180823;1600;9,27;
180823;1700;9,16;
180823;1800;8,09;
180823;1900;7,725;
180823;2000;7,192;
180823;2100;6,101;
180823;2200;4,909;
180823;2300;4,691;
180824;0000;4,411;
180824;0100;4,746;
180824;0200;4,802;
180824;0300;4,615;
180824;0400;4,601;
180824;0500;3,754;
180824;0600;4,294;
180824;0700;4,263;
180824;0800;5,421;
180824;0900;7,525;
180824;1000;9,01199;
180824;1100;10,32;
180824;1200;11,01;
180824;1300;11,13;
180824;1400;11,55;
180824;1500;11,48;
180824;1600;10,65;
180824;1700;10,14;
180824;1800;9,10201;
180824;1900;8,783;
180824;2000;8,24001;
180824;2100;7,389;
180824;2200;5,738;
180824;2300;4,969;
180825;0000;4,704;
180825;0100;5,627;
180825;0200;6,502;
180825;0300;6,566;
180825;0400;5,722;
180825;0500;5,352;
180825;0600;5,724;
180825;0700;5,766;
180825;0800;7,026;
180825;0900;9,703;
180825;1000;11,33;
180825;1100;11,88;
180825;1200;13,11;
180825;1300;13,31;
180825;1400;13,77;
180825;1500;14,1;
180825;1600;13,72;
180825;1700;13,49;
180825;1800;12,61;
180825;1900;11,83;
180825;2000;11,51;
180825;2100;11,2;
180825;2200;10,87;
180825;2300;10,49;
180826;0000;9,81;
180826;0100;9,24001;
180826;0200;8,55;
180826;0300;8,155;
180826;0400;7,87;
180826;0500;7,607;
180826;0600;8,002;
180826;0700;7,904;
180826;0800;8,99001;
180826;0900;10,8;
180826;1000;12,18;
180826;1100;13,34;
180826;1200;14,52;
180826;1300;15,62;
180826;1400;16,06;
180826;1500;16,08;
180826;1600;15,19;
180826;1700;14,72;
180826;1800;13,3;
180826;1900;12,09;
180826;2000;11,53;
180826;2100;10,88;
180826;2200;10,06;
180826;2300;9,34801;
180827;0000;8,88;
180827;0100;8,38699;
180827;0200;8,089;
180827;0300;7,879;
180827;0400;7,764;
180827;0500;7,997;
180827;0600;8,117;
180827;0700;7,952;
180827;0800;7,888;
180827;0900;8,235;
180827;1000;8,59;
180827;1100;9,39799;
180827;1200;11,24;
180827;1300;11,86;
180827;1400;11,49;
180827;1500;11,12;
180827;1600;12,41;
180827;1700;11,54;
180827;1800;10,95;
180827;1900;10,54;
180827;2000;10,35;
180827;2100;9,688;
180827;2200;9,84801;
180827;2300;10,34;
180828;0000;10,33;
180828;0100;10,2;
180828;0200;9,797;
180828;0300;9,998;
180828;0400;10,17;
180828;0500;10,13;
180828;0600;10,16;
180828;0700;10,19;
180828;0800;10,62;
180828;0900;10,39;
180828;1000;10,89;
180828;1100;11,95;
180828;1200;12,81;
180828;1300;13,99;
180828;1400;14,45;
180828;1500;13,67;
180828;1600;13,16;
180828;1700;12,68;
180828;1800;11,04;
180828;1900;10,6;
180828;2000;10,42;
180828;2100;10,5;
180828;2200;9,935;
180828;2300;9,53;
180829;0000;9,438;
180829;0100;9,41;
180829;0200;9,17799;
180829;0300;9,13;
180829;0400;8,98801;
180829;0500;9,22501;
180829;0600;9,217;
180829;0700;9,485;
180829;0800;9,82001;
180829;0900;10,56;
180829;1000;12,07;
180829;1100;12,05;
180829;1200;12,63;
180829;1300;12,7;
180829;1400;12,65;
180829;1500;12,4;
180829;1600;11,81;
180829;1700;12,41;
180829;1800;11,87;
180829;1900;11,76;
180829;2000;11,27;
180829;2100;10,8;
180829;2200;10,71;
180829;2300;10,51;
180830;0000;10,58;
180830;0100;10,64;
180830;0200;10,59;
180830;0300;10,31;
180830;0400;9,99001;
180830;0500;9,97;
180830;0600;10,29;
180830;0700;10,36;
180830;0800;10,58;
180830;0900;11,85;
180830;1000;12,53;
180830;1100;13,98;
180830;1200;15,47;
180830;1300;13,41;
180830;1400;14,48;
180830;1500;14,24;
180830;1600;12,75;
180830;1700;12,53;
180830;1800;12,03;
180830;1900;11,64;
180830;2000;11,34;
180830;2100;11,49;
180830;2200;11,57;
180830;2300;11,07;
180831;0000;10,68;
180831;0100;10,36;
180831;0200;9,51199;
180831;0300;9,14;
180831;0400;9,57001;
180831;0500;9,48199;
180831;0600;9,35699;
180831;0700;9,39301;
180831;0800;9,80701;
180831;0900;11,33;
180831;1000;12,54;
180831;1100;12,44;
180831;1200;13,49;
180831;1300;13,47;
180831;1400;13,62;
180831;1500;12,4;
180831;1600;11,96;
180831;1700;11,48;
180831;1800;10,92;
180831;1900;10,57;
180831;2000;10,14;
180831;2100;8,963;
180831;2200;8,24899;
180831;2300;8,091;
180901;0000;8,007;
180901;0100;7,928;
180901;0200;8,02901;
180901;0300;7,361;
180901;0400;7,344;
180901;0500;7,04;
180901;0600;6,747;
180901;0700;5,879;
180901;0800;7,134;
180901;0900;8,76199;
180901;1000;11,47;
180901;1100;12,39;
180901;1200;13,11;
180901;1300;14,6;
180901;1400;15,23;
180901;1500;14,28;
180901;1600;13,04;
180901;1700;12,22;
180901;1800;11,06;
180901;1900;10,49;
180901;2000;9,965;
180901;2100;9,758;
180901;2200;9,55299;
180901;2300;8,618;
180902;0000;9,26199;
180902;0100;9,285;
180902;0200;9,27;
180902;0300;8,91299;
180902;0400;8,77701;
180902;0500;8,308;
180902;0600;7,68;
180902;0700;6,633;
180902;0800;8,939;
180902;0900;10,77;
180902;1000;11,68;
180902;1100;12,55;
180902;1200;13,65;
180902;1300;13,96;
180902;1400;13,54;
180902;1500;13,35;
180902;1600;13,13;
180902;1700;12,4;
180902;1800;11,31;
180902;1900;10,87;
180902;2000;10,94;
180902;2100;10,71;
180902;2200;10,18;
180902;2300;9,38699;
180903;0000;9,433;
180903;0100;9,715;
180903;0200;9,978;
180903;0300;9,98199;
180903;0400;10,54;
180903;0500;10,59;
180903;0600;10,46;
180903;0700;10,59;
180903;0800;11,55;
180903;0900;14,23;
180903;1000;16,63;
180903;1100;17,82;
180903;1200;16,66;
180903;1300;17,56;
180903;1400;17,79;
180903;1500;17,69;
180903;1600;17,69;
180903;1700;17,05;
180903;1800;15,3;
180903;1900;14,29;
180903;2000;13,46;
180903;2100;12,52;
180903;2200;11,58;
180903;2300;10,96;
180904;0000;11,5;
180904;0100;10,89;
180904;0200;10,45;
180904;0300;10,83;
180904;0400;9,578;
180904;0500;10,09;
180904;0600;9,89;
180904;0700;9,87;
180904;0800;11,65;
180904;0900;13,13;
180904;1000;13,52;
180904;1100;14,78;
180904;1200;16,07;
180904;1300;17,32;
180904;1400;17,4;
180904;1500;17,92;
180904;1600;17,98;
180904;1700;16,29;
180904;1800;13,14;
180904;1900;10,91;
180904;2000;9,63699;
180904;2100;10,18;
180904;2200;10,1;
180904;2300;10,29;
180905;0000;10,12;
180905;0100;9,418;
180905;0200;9,295;
180905;0300;9,515;
180905;0400;9,743;
180905;0500;10,27;
180905;0600;10,58;
180905;0700;10,56;
180905;0800;10,65;
180905;0900;11,06;
180905;1000;11,59;
180905;1100;11,53;
180905;1200;11,46;
180905;1300;11,46;
180905;1400;11,36;
180905;1500;10,84;
180905;1600;10,39;
180905;1700;9,2;
180905;1800;8,92799;
180905;1900;8,64799;
180905;2000;7,867;
180905;2100;8,52499;
180905;2200;9,14301;
180905;2300;9,23801;
180906;0000;8,685;
180906;0100;8,144;
180906;0200;7,608;
180906;0300;8,14301;
180906;0400;8,07401;
180906;0500;7,581;
