FECHA (YYMMDD);HORA (HHMM);;
110601;0100;78;
110601;0200;43;
110601;0300;58;
110601;0400;353;
110601;0500;325;
110601;0600;81;
110601;0700;76;
110601;0800;81;
110601;0900;48;
110601;1000;30;
110601;1100;6;
110601;1200;1;
110601;1300;9;
110601;1400;359;
110601;1500;353;
110601;1600;18;
110601;1700;35;
110601;1800;40;
110601;1900;39;
110601;2000;61;
110601;2100;71;
110601;2200;79;
110601;2300;84;
110602;0000;86;
110602;0100;84;
110602;0200;89;
110602;0300;88;
110602;0400;86;
110602;0500;86;
110602;0600;92;
110602;0700;99;
110602;0800;101;
110602;0900;88;
110602;1000;90;
110602;1100;85;
110602;1200;85;
110602;1300;82;
110602;1400;83;
110602;1500;86;
110602;1600;84;
110602;1700;88;
110602;1800;87;
110602;1900;87;
110602;2000;85;
110602;2100;84;
110602;2200;84;
110602;2300;82;
110603;0000;81;
110603;0100;80;
110603;0200;80;
110603;0300;81;
110603;0400;82;
110603;0500;80;
110603;0600;81;
110603;0700;82;
110603;0800;80;
110603;0900;71;
110603;1000;71;
110603;1100;17;
110603;1200;81;
110603;1300;25;
110603;1400;242;
110603;1500;269;
110603;1600;259;
110603;1700;167;
110603;1800;26;
110603;1900;100;
110603;2000;91;
110603;2100;51;
110603;2200;48;
110603;2300;65;
110604;0000;87;
110604;0100;99;
110604;0200;360;
110604;0300;355;
110604;0400;4;
110604;0500;25;
110604;0600;58;
110604;0700;63;
110604;0800;56;
110604;0900;46;
110604;1000;32;
110604;1100;23;
110604;1200;20;
110604;1300;33;
110604;1400;42;
110604;1500;17;
110604;1600;2;
110604;1700;359;
110604;1800;358;
110604;1900;3;
110604;2000;4;
110604;2100;35;
110604;2200;40;
110604;2300;43;
110605;0000;41;
110605;0100;52;
110605;0200;68;
110605;0300;77;
110605;0400;82;
110605;0500;70;
110605;0600;84;
110605;0700;85;
110605;0800;88;
110605;0900;86;
110605;1000;80;
110605;1100;80;
110605;1200;70;
110605;1300;87;
110605;1400;90;
110605;1500;326;
110605;1600;292;
110605;1700;118;
110605;1800;50;
110605;1900;38;
110605;2000;56;
110605;2100;86;
110605;2200;89;
110605;2300;85;
110606;0000;86;
110606;0100;71;
110606;0200;79;
110606;0300;78;
110606;0400;77;
110606;0500;83;
110606;0600;81;
110606;0700;77;
110606;0800;74;
110606;0900;77;
110606;1000;76;
110606;1100;43;
110606;1200;9;
110606;1300;4;
110606;1400;0;
110606;1500;360;
110606;1600;356;
110606;1700;359;
110606;1800;1;
110606;1900;6;
110606;2000;6;
110606;2100;22;
110606;2200;5;
110606;2300;5;
110607;0000;4;
110607;0100;3;
110607;0200;2;
110607;0300;354;
110607;0400;354;
110607;0500;353;
110607;0600;350;
110607;0700;350;
110607;0800;341;
110607;0900;331;
110607;1000;327;
110607;1100;322;
110607;1200;322;
110607;1300;322;
110607;1400;324;
110607;1500;314;
110607;1600;317;
110607;1700;322;
110607;1800;331;
110607;1900;328;
110607;2000;326;
110607;2100;329;
110607;2200;330;
110607;2300;328;
110608;0000;303;
110608;0100;322;
110608;0200;300;
110608;0300;301;
110608;0400;301;
110608;0500;306;
110608;0600;303;
110608;0700;295;
110608;0800;290;
110608;0900;305;
110608;1000;302;
110608;1100;305;
110608;1200;293;
110608;1300;308;
110608;1400;316;
110608;1500;327;
110608;1600;325;
110608;1700;320;
110608;1800;326;
110608;1900;333;
110608;2000;339;
110608;2100;336;
110608;2200;345;
110608;2300;3;
110609;0000;11;
110609;0100;15;
110609;0200;7;
110609;0300;355;
110609;0400;354;
110609;0500;348;
110609;0600;352;
110609;0700;358;
110609;0800;13;
110609;0900;3;
110609;1000;0;
110609;1100;1;
110609;1200;349;
110609;1300;336;
110609;1400;335;
110609;1500;336;
110609;1600;332;
110609;1700;12;
110609;1800;25;
110609;1900;60;
110609;2000;46;
110609;2100;45;
110609;2200;29;
110609;2300;354;
110610;0000;30;
110610;0100;44;
110610;0200;32;
110610;0300;6;
110610;0400;30;
110610;0500;19;
110610;0600;10;
110610;0700;5;
110610;0800;11;
110610;0900;8;
110610;1000;1;
110610;1100;356;
110610;1200;354;
110610;1300;349;
110610;1400;341;
110610;1500;338;
110610;1600;333;
110610;1700;319;
110610;1800;313;
110610;1900;303;
110610;2000;300;
110610;2100;300;
110610;2200;322;
110610;2300;309;
110611;0000;311;
110611;0100;307;
110611;0200;266;
110611;0300;111;
110611;0400;110;
110611;0500;82;
110611;0600;99;
110611;0700;80;
110611;0800;81;
110611;0900;33;
110611;1000;25;
110611;1100;349;
110611;1200;337;
110611;1300;333;
110611;1400;329;
110611;1500;333;
110611;1600;325;
110611;1700;339;
110611;1800;336;
110611;1900;336;
110611;2000;333;
110611;2100;304;
110611;2200;253;
110611;2300;237;
110612;0000;210;
110612;0100;187;
110612;0200;155;
110612;0300;120;
110612;0400;116;
110612;0500;112;
110612;0600;114;
110612;0700;110;
110612;0800;123;
110612;0900;104;
110612;1000;323;
110612;1100;286;
110612;1200;240;
110612;1300;255;
110612;1400;245;
110612;1500;237;
110612;1600;199;
110612;1700;178;
110612;1800;128;
110612;1900;126;
110612;2000;120;
110612;2100;128;
110612;2200;128;
110612;2300;187;
110613;0000;129;
110613;0100;98;
110613;0200;68;
110613;0300;44;
110613;0400;76;
110613;0500;48;
110613;0600;47;
110613;0700;98;
110613;0800;104;
110613;0900;35;
110613;1000;287;
110613;1100;290;
110613;1200;296;
110613;1300;288;
110613;1400;250;
110613;1500;199;
110613;1600;224;
110613;1700;216;
110613;1800;155;
110613;1900;155;
110613;2000;73;
110613;2100;66;
110613;2200;40;
110613;2300;41;
110614;0000;113;
110614;0100;105;
110614;0200;102;
110614;0300;20;
110614;0400;61;
110614;0500;36;
110614;0600;74;
110614;0700;90;
110614;0800;77;
110614;0900;83;
110614;1000;84;
110614;1100;89;
110614;1200;199;
110614;1300;332;
110614;1400;231;
110614;1500;248;
110614;1600;68;
110614;1700;78;
110614;1800;81;
110614;1900;50;
110614;2000;60;
110614;2100;54;
110614;2200;54;
110614;2300;68;
110615;0000;55;
110615;0100;53;
110615;0200;38;
110615;0300;41;
110615;0400;45;
110615;0500;64;
110615;0600;77;
110615;0700;74;
110615;0800;89;
110615;0900;78;
110615;1000;88;
110615;1100;95;
110615;1200;93;
110615;1300;85;
110615;1400;86;
110615;1500;81;
110615;1600;88;
110615;1700;87;
110615;1800;89;
110615;1900;91;
110615;2000;86;
110615;2100;88;
110615;2200;89;
110615;2300;83;
110616;0000;78;
110616;0100;79;
110616;0200;80;
110616;0300;83;
110616;0400;83;
110616;0500;82;
110616;0600;85;
110616;0700;84;
110616;0800;81;
110616;0900;78;
110616;1000;73;
110616;1100;75;
110616;1200;76;
110616;1300;78;
110616;1400;70;
110616;1500;23;
110616;1600;14;
110616;1700;22;
110616;1800;25;
110616;1900;24;
110616;2000;35;
110616;2100;33;
110616;2200;37;
110616;2300;40;
110617;0000;42;
110617;0100;42;
110617;0200;44;
110617;0300;42;
110617;0400;42;
110617;0500;38;
110617;0600;38;
110617;0700;31;
110617;0800;49;
110617;0900;48;
110617;1000;39;
110617;1100;41;
110617;1200;47;
110617;1300;42;
110617;1400;55;
110617;1500;54;
110617;1600;49;
110617;1700;46;
110617;1800;39;
110617;1900;32;
110617;2000;35;
110617;2100;34;
110617;2200;34;
110617;2300;26;
110618;0000;345;
110618;0100;22;
110618;0200;19;
110618;0300;28;
110618;0400;31;
110618;0500;23;
110618;0600;15;
110618;0700;11;
110618;0800;18;
110618;0900;30;
110618;1000;16;
110618;1100;17;
110618;1200;28;
110618;1300;356;
110618;1400;16;
110618;1500;21;
110618;1600;343;
110618;1700;330;
110618;1800;310;
110618;1900;342;
110618;2000;343;
110618;2100;339;
110618;2200;313;
110618;2300;314;
110619;0000;334;
110619;0100;24;
110619;0200;353;
110619;0300;359;
110619;0400;29;
110619;0500;33;
110619;0600;16;
110619;0700;15;
110619;0800;29;
110619;0900;61;
110619;1000;62;
110619;1100;48;
110619;1200;64;
110619;1300;80;
110619;1400;84;
110619;1500;83;
110619;1600;78;
110619;1700;78;
110619;1800;82;
110619;1900;80;
110619;2000;77;
110619;2100;73;
110619;2200;65;
110619;2300;75;
110620;0000;81;
110620;0100;69;
110620;0200;85;
110620;0300;79;
110620;0400;80;
110620;0500;83;
110620;0600;76;
110620;0700;76;
110620;0800;80;
110620;0900;61;
110620;1000;75;
110620;1100;39;
110620;1200;61;
110620;1300;71;
110620;1400;63;
110620;1500;88;
110620;1600;85;
110620;1700;98;
110620;1800;138;
110620;1900;123;
110620;2000;114;
110620;2100;112;
110620;2200;103;
110620;2300;178;
110621;0000;139;
110621;0100;99;
110621;0200;28;
110621;0300;48;
110621;0400;112;
110621;0500;128;
110621;0600;35;
110621;0700;28;
110621;0800;72;
110621;0900;90;
110621;1000;62;
110621;1100;358;
110621;1200;35;
110621;1300;76;
110621;1400;295;
110621;1500;291;
110621;1600;278;
110621;1700;205;
110621;1800;120;
110621;1900;98;
110621;2000;101;
110621;2100;107;
110621;2200;120;
110621;2300;118;
110622;0000;112;
110622;0100;137;
110622;0200;185;
110622;0300;201;
110622;0400;215;
110622;0500;221;
110622;0600;45;
110622;0700;69;
110622;0800;119;
110622;0900;59;
110622;1000;1;
110622;1100;294;
110622;1200;298;
110622;1300;291;
110622;1400;214;
110622;1500;265;
110622;1600;288;
110622;1700;97;
110622;1800;94;
110622;1900;96;
110622;2000;95;
110622;2100;90;
110622;2200;96;
110622;2300;92;
110623;0000;95;
110623;0100;95;
110623;0200;101;
110623;0300;103;
110623;0400;108;
110623;0500;129;
110623;0600;107;
110623;0700;101;
110623;0800;107;
110623;0900;99;
110623;1000;62;
110623;1100;284;
110623;1200;280;
110623;1300;289;
110623;1400;287;
110623;1500;294;
110623;1600;315;
110623;1700;6;
110623;1800;41;
110623;1900;31;
110623;2000;205;
110623;2100;209;
110623;2200;154;
110623;2300;116;
110624;0000;115;
110624;0100;111;
110624;0200;116;
110624;0300;115;
110624;0400;121;
110624;0500;114;
110624;0600;133;
110624;0700;177;
110624;0800;212;
110624;0900;335;
110624;1000;211;
110624;1100;231;
110624;1200;228;
110624;1300;237;
110624;1400;240;
110624;1500;233;
110624;1600;193;
110624;1700;194;
110624;1800;210;
110624;1900;133;
110624;2000;177;
110624;2100;175;
110624;2200;122;
110624;2300;53;
