FECHA (YYMMDD);HORA (HHMM);;
110601;0100;61,85;
110601;0200;68,6357;
110601;0300;74,2583;
110601;0400;76,0957;
110601;0500;72,8925;
110601;0600;74,6333;
110601;0700;81,0349;
110601;0800;85,9166;
110601;0900;83,0667;
110601;1000;80,5741;
110601;1100;78,985;
110601;1200;77,0258;
110601;1300;76,7516;
110601;1400;74,0641;
110601;1500;74,4983;
110601;1600;75,7557;
110601;1700;76,6775;
110601;1800;75,9791;
110601;1900;75,3441;
110601;2000;75,1608;
110601;2100;75,9249;
110601;2200;78,6899;
110601;2300;79,3008;
110602;0000;79,2875;
110602;0100;78,1074;
110602;0200;77,4657;
110602;0300;77,4641;
110602;0400;78,3875;
110602;0500;81,0649;
110602;0600;79,2975;
110602;0700;83,6499;
110602;0800;82,725;
110602;0900;76,355;
110602;1000;75,4049;
110602;1100;81,985;
110602;1200;81,5641;
110602;1300;84,1832;
110602;1400;84,3167;
110602;1500;80,975;
110602;1600;80,875;
110602;1700;81,5332;
110602;1800;79,4507;
110602;1900;78,9441;
110602;2000;79,0591;
110602;2100;79,4216;
110602;2200;81,4166;
110602;2300;82,0582;
110603;0000;81,5;
110603;0100;80,8507;
110603;0200;80,6917;
110603;0300;79,7424;
110603;0400;79,2324;
110603;0500;78,7975;
110603;0600;81,0199;
110603;0700;81,9082;
110603;0800;80,46;
110603;0900;79,0508;
110603;1000;73,5608;
110603;1100;72,9358;
110603;1200;74,2207;
110603;1300;75,3799;
110603;1400;80,9391;
110603;1500;81,0907;
110603;1600;82,4249;
110603;1700;84,6;
110603;1800;89,1333;
110603;1900;91,4833;
110603;2000;91,4667;
110603;2100;91,2333;
110603;2200;91,8417;
110603;2300;91,8082;
110604;0000;91,5667;
110604;0100;92,1;
110604;0200;93,0416;
110604;0300;93,6333;
110604;0400;94,1167;
110604;0500;94,375;
110604;0600;93,8167;
110604;0700;90,9583;
110604;0800;89,375;
110604;0900;86,25;
110604;1000;84,3583;
110604;1100;81,2167;
110604;1200;80,1499;
110604;1300;87,8167;
110604;1400;90,3916;
110604;1500;89,7666;
110604;1600;90,5;
110604;1700;90,125;
110604;1800;89,4332;
110604;1900;89,8333;
110604;2000;89,6499;
110604;2100;87,9667;
110604;2200;86,3167;
110604;2300;85,8082;
110605;0000;85,7;
110605;0100;85,6832;
110605;0200;85,7167;
110605;0300;86,7666;
110605;0400;84,825;
110605;0500;86,4166;
110605;0600;83,1;
110605;0700;81,7;
110605;0800;82,7749;
110605;0900;81,5667;
110605;1000;77,9341;
110605;1100;74,8567;
110605;1200;71,1924;
110605;1300;72,2032;
110605;1400;69,8741;
110605;1500;75,9199;
110605;1600;80,8774;
110605;1700;86,0667;
110605;1800;88,2333;
110605;1900;83,4833;
110605;2000;81,9332;
110605;2100;83,825;
110605;2200;81,7516;
110605;2300;80,37;
110606;0000;79,0016;
110606;0100;77,6725;
110606;0200;78,2383;
110606;0300;78,7642;
110606;0400;78,4532;
110606;0500;81,1832;
110606;0600;79,3999;
110606;0700;78,825;
110606;0800;78,375;
110606;0900;78,7491;
110606;1000;79,7224;
110606;1100;73,6416;
110606;1200;74,245;
110606;1300;75,4441;
110606;1400;79,3958;
110606;1500;88,4332;
110606;1600;83,3417;
110606;1700;83,7;
110606;1800;84,6666;
110606;1900;85,3167;
110606;2000;82,1941;
110606;2100;78,0375;
110606;2200;78,8524;
110606;2300;80,625;
110607;0000;81,2832;
110607;0100;81,0499;
110607;0200;80,8857;
110607;0300;81,2167;
110607;0400;83,4417;
110607;0500;90,6666;
110607;0600;93,5332;
110607;0700;93,75;
110607;0800;92,9249;
110607;0900;94,5667;
110607;1000;94,8916;
110607;1100;95,0667;
110607;1200;94,2083;
110607;1300;86,3916;
110607;1400;79,6532;
110607;1500;77,1357;
110607;1600;82,5392;
110607;1700;89,2333;
110607;1800;89,5083;
110607;1900;86,8417;
110607;2000;87,4166;
110607;2100;87,5249;
110607;2200;87,725;
110607;2300;89,4166;
110608;0000;92,9082;
110608;0100;93,5166;
110608;0200;92,8082;
110608;0300;94,0917;
110608;0400;94,625;
