FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;49,0214;
110602;0000;;;36,6186;
110603;0000;;;45,4491;
110604;0000;;;27,8468;
110605;0000;;;20,6502;
110606;0000;;;21,1065;
110607;0000;;;43,628;
110608;0000;;;42,3884;
110609;0000;;;46,2227;
110610;0000;;;31,8092;
110611;0000;;;29,3264;
110612;0000;;;18,1701;
110613;0000;;;42,1019;
110614;0000;;;50,8581;
110615;0000;;;14,5532;
110616;0000;;;20,9795;
110617;0000;;;15,2285;
110618;0000;;;20,4149;
110619;0000;;;12,8763;
110620;0000;;;;
110621;0000;;;26,55;
110622;0000;;;25,1238;
110623;0000;;;27,8479;
110624;0000;;;91,9425;
110625;0000;;;359,315;
110626;0000;;;259,602;
110627;0000;;;34,9123;
110628;0000;;;16,5304;
110629;0000;;;9,77444;
110630;0000;;;16,8194;
110701;0000;;;15,0936;
110702;0000;;;108,752;
110703;0000;;;53,5732;
110704;0000;;;30,2711;
110705;0000;;;;
110706;0000;;;;
110707;0000;;;;
110708;0000;;;74,8673;
110709;0000;;;;
110710;0000;;;;
110711;0000;;;;
110712;0000;;;23,8655;
110713;0000;;;19,235;
110714;0000;;;15,2181;
110715;0000;;;24,5822;
110716;0000;;;50,458;
110717;0000;;;18,6339;
110718;0000;;;18,5372;
110719;0000;;;37,0928;
110720;0000;;;30,1898;
110721;0000;;;37,0184;
110722;0000;;;32,8298;
110723;0000;;;34,9167;
110724;0000;;;17,8178;
110725;0000;;;18,7477;
110726;0000;;;13,2214;
110727;0000;;;23,2824;
110728;0000;;;10,2667;
110729;0000;;;10,4794;
110730;0000;;;14,105;
110731;0000;;;21,1462;
110801;0000;;;121,544;
110802;0000;;;27,5638;
110803;0000;;;43,0848;
110804;0000;;;26,1794;
110805;0000;;;13,9109;
110806;0000;;;19,3802;
110807;0000;;;7,649;
110808;0000;;;12,175;
110809;0000;;;16,2087;
110810;0000;;;21,4562;
110811;0000;;;9,18495;
110812;0000;;;12,4011;
110813;0000;;;13,9073;
110814;0000;;;30,0166;
110815;0000;;;16,0661;
110816;0000;;;11,692;
110817;0000;;;9,05106;
110818;0000;;;22,8166;
110819;0000;;;19,8737;
110820;0000;;;14,3493;
110821;0000;;;16,3673;
110822;0000;;;49,6406;
110823;0000;;;19,1393;
110824;0000;;;22,7471;
110825;0000;;;26,5834;
110826;0000;;;10,6659;
110827;0000;;;12,9525;
110828;0000;;;10,3604;
110829;0000;;;13,4814;
110830;0000;;;7,58284;
110831;0000;;;23,022;
110901;0000;;;18,1009;
110902;0000;;;10,2251;
110903;0000;;;8,12427;
110904;0000;;;7,61942;
110905;0000;;;7,96741;
110906;0000;;;12,2899;
110907;0000;;;12,6593;
110908;0000;;;13,8961;
110909;0000;;;7,52901;
110910;0000;;;14,3765;
110911;0000;;;18,0453;
110912;0000;;;11,6049;
110913;0000;;;26,5647;
110914;0000;;;30,757;
110915;0000;;;16,6576;
110916;0000;;;6,27294;
110917;0000;;;16,8121;
110918;0000;;;17,0632;
110919;0000;;;24,6734;
110920;0000;;;17,0259;
110921;0000;;;22,5723;
110922;0000;;;10,509;
110923;0000;;;20,1074;
110924;0000;;;18,6693;
110925;0000;;;14,5431;
110926;0000;;;30,2467;
110927;0000;;;24,3626;
110928;0000;;;7,20069;
110929;0000;;;10,0299;
110930;0000;;;11,2761;
111001;0000;;;9,24901;
111002;0000;;;16,0066;
111003;0000;;;24,1951;
111004;0000;;;18,3895;
111005;0000;;;12,9582;
111006;0000;;;5,22919;
111007;0000;;;12,0724;
111008;0000;;;16,3866;
111009;0000;;;14,8533;
111010;0000;;;9,89635;
111011;0000;;;15,5476;
111012;0000;;;11,0107;
111013;0000;;;21,2799;
111014;0000;;;13,3941;
111015;0000;;;4,71989;
111016;0000;;;6,73788;
111017;0000;;;20,2618;
111018;0000;;;20,5759;
111019;0000;;;20,2148;
111020;0000;;;10,7111;
111021;0000;;;10,6127;
111022;0000;;;24,8724;
111023;0000;;;23,6214;
111024;0000;;;13,8433;
111025;0000;;;31,4604;
111026;0000;;;25,7725;
111027;0000;;;14,0242;
111028;0000;;;8,62093;
111029;0000;;;14,5905;
111030;0000;;;30,6029;
111031;0000;;;18,6486;
111101;0000;;;12,8203;
111102;0000;;;14,5507;
111103;0000;;;13,4322;
111104;0000;;;10,6813;
111105;0000;;;22,9448;
111106;0000;;;18,6558;
111107;0000;;;11,9376;
111108;0000;;;10,2169;
111109;0000;;;5,58532;
111110;0000;;;9,26451;
111111;0000;;;15,168;
111112;0000;;;19,356;
111113;0000;;;11,3596;
111114;0000;;;20,0884;
111115;0000;;;10,9813;
111116;0000;;;17,6411;
111117;0000;;;7,79562;
111118;0000;;;9,73201;
111119;0000;;;15,2992;
111120;0000;;;15,9755;
111121;0000;;;6,45338;
111122;0000;;;16,5842;
111123;0000;;;7,64697;
111124;0000;;;5,61433;
111125;0000;;;11,3836;
111126;0000;;;20,7653;
111127;0000;;;7,35838;
111128;0000;;;9,65027;
111129;0000;;;23,4386;
111130;0000;;;32,4745;
111201;0000;;;26,2475;
111202;0000;;;10,6738;
111203;0000;;;7,75072;
111204;0000;;;9,81137;
111205;0000;;;19,141;
111206;0000;;;14,8213;
111207;0000;;;16,388;
111208;0000;;;11,5108;
111209;0000;;;13,9859;
111210;0000;;;6,91519;
111211;0000;;;9,12431;
111212;0000;;;15,7283;
111213;0000;;;15,9553;
111214;0000;;;16,3068;
111215;0000;;;13,1734;
111216;0000;;;13,1526;
111217;0000;;;16,3092;
111218;0000;;;8,91638;
111219;0000;;;10,5692;
111220;0000;;;11,0849;
111221;0000;;;8,01512;
111222;0000;;;7,85899;
111223;0000;;;16,5425;
111224;0000;;;19,5508;
111225;0000;;;26,7206;
111226;0000;;;30,1475;
111227;0000;;;20,7866;
111228;0000;;;14,6655;
111229;0000;;;18,368;
111230;0000;;;22,3313;
111231;0000;;;16,9893;
120101;0000;;;22,6087;
120102;0000;;;27,1612;
120103;0000;;;27,1077;
120104;0000;;;32,3163;
120105;0000;;;26,0014;
120106;0000;;;24,3586;
120107;0000;;;14,6029;
120108;0000;;;13,4066;
120109;0000;;;7,66928;
120110;0000;;;;
120111;0000;;;;
120112;0000;;;;
120113;0000;;;24,7538;
120114;0000;;;14,1028;
120115;0000;;;9,44629;
120116;0000;;;12,841;
120117;0000;;;12,6047;
120118;0000;;;21,993;
120119;0000;;;16,4716;
120120;0000;;;10,1731;
120121;0000;;;11,9276;
120122;0000;;;13,6025;
120123;0000;;;12,9203;
120124;0000;;;10,8724;
120125;0000;;;18,6261;
120126;0000;;;18,1856;
120127;0000;;;11,6518;
120128;0000;;;14,3695;
120129;0000;;;6,98052;
120130;0000;;;7,90871;
120131;0000;;;9,88675;
120201;0000;;;15,711;
120202;0000;;;13,8084;
120203;0000;;;13,6161;
120204;0000;;;10,1;
120205;0000;;;13,7129;
120206;0000;;;17,0035;
120207;0000;;;7,53857;
120208;0000;;;13,3015;
120209;0000;;;23,6154;
120210;0000;;;18,8944;
120211;0000;;;11,4217;
120212;0000;;;9,93181;
120213;0000;;;19,1295;
120214;0000;;;21,7157;
120215;0000;;;16,9067;
120216;0000;;;6,32333;
120217;0000;;;8,75751;
120218;0000;;;5,89256;
120219;0000;;;10,8637;
120220;0000;;;9,03209;
120221;0000;;;13,9865;
120222;0000;;;8,48004;
120223;0000;;;21,7969;
120224;0000;;;9,63313;
120225;0000;;;9,5141;
120226;0000;;;10,7726;
120227;0000;;;7,79228;
120228;0000;;;7,6088;
120229;0000;;;10,2468;
120301;0000;;;14,2028;
120302;0000;;;8,23079;
120303;0000;;;8,85155;
120304;0000;;;9,33534;
120305;0000;;;8,29544;
120306;0000;;;15,9273;
120307;0000;;;19,0969;
120308;0000;;;30,5859;
120309;0000;;;13,6933;
120310;0000;;;26,3021;
120311;0000;;;12,5578;
120312;0000;;;11,2043;
120313;0000;;;17,1795;
120314;0000;;;21,0778;
120315;0000;;;45,1595;
120316;0000;;;26,6788;
120317;0000;;;13,2556;
120318;0000;;;15,1048;
120319;0000;;;18,1826;
120320;0000;;;25,8323;
120321;0000;;;18,4298;
120322;0000;;;25,8417;
120323;0000;;;20,6794;
120324;0000;;;20,4534;
120325;0000;;;15,3694;
120326;0000;;;22,7607;
120327;0000;;;23,9467;
120328;0000;;;27,5845;
120329;0000;;;28,1716;
120330;0000;;;36,8074;
120331;0000;;;25,8835;
120401;0000;;;40,2569;
120402;0000;;;60,5703;
120403;0000;;;51,0577;
120404;0000;;;38,1412;
120405;0000;;;55,6895;
120406;0000;;;41,8943;
120407;0000;;;47,1682;
120408;0000;;;36,006;
120409;0000;;;49,6869;
120410;0000;;;75,9434;
120411;0000;;;105,671;
120412;0000;;;76,2666;
120413;0000;;;55,5774;
120414;0000;;;61,7695;
120415;0000;;;75,5645;
120416;0000;;;69,2566;
120417;0000;;;76,3695;
120418;0000;;;70,4065;
120419;0000;;;46,7429;
120420;0000;;;47,2413;
120421;0000;;;97,1252;
120422;0000;;;68,1307;
120423;0000;;;57,117;
120424;0000;;;94,9058;
120425;0000;;;86,6278;
120426;0000;;;101,554;
120427;0000;;;70,9303;
120428;0000;;;31,3916;
120429;0000;;;32,9944;
120430;0000;;;42,8876;
120501;0000;;;72,2076;
120502;0000;;;56,1866;
120503;0000;;;84,7419;
120504;0000;;;106,979;
120505;0000;;;39,0383;
120506;0000;;;39,4587;
120507;0000;;;42,5527;
120508;0000;;;80,4999;
120509;0000;;;49,2729;
120510;0000;;;38,562;
120511;0000;;;50,4727;
120512;0000;;;109,995;
120513;0000;;;101,623;
120514;0000;;;87,2047;
120515;0000;;;37,6281;
120516;0000;;;105,11;
120517;0000;;;61,1404;
120518;0000;;;59,3374;
120519;0000;;;55,2208;
120520;0000;;;85,1464;
120521;0000;;;105,926;
120522;0000;;;121,091;
120523;0000;;;125,214;
120524;0000;;;133,754;
120525;0000;;;42,1099;
120526;0000;;;17,1201;
120527;0000;;;5,36765;
120528;0000;;;5,78343;
120529;0000;;;103,545;
120530;0000;;;134,073;
120531;0000;;;130,955;
120601;0000;;;34,478;
120602;0000;;;78,21;
120603;0000;;;66,312;
120604;0000;;;81,0208;
120605;0000;;;68,436;
120606;0000;;;90,6422;
