FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150804;0000;;;60,0154;
150805;0000;;;17,0047;
150806;0000;;;32,5089;
150807;0000;;;27,5162;
150808;0000;;;12,7027;
150809;0000;;;21,0391;
150810;0000;;;60,9128;
150811;0000;;;59,3337;
150812;0000;;;84,599;
150813;0000;;;63,6549;
150814;0000;;;50,3245;
150815;0000;;;29,3592;
150816;0000;;;32,2183;
150817;0000;;;59,8899;
150818;0000;;;42,3445;
150819;0000;;;57,5928;
150820;0000;;;58,9012;
150821;0000;;;24,4525;
150822;0000;;;28,6495;
150823;0000;;;59,8487;
150824;0000;;;26,3132;
150825;0000;;;11,0927;
150826;0000;;;23,4833;
150827;0000;;;31,8025;
150828;0000;;;14,5601;
150829;0000;;;28,3316;
150830;0000;;;62,2041;
150831;0000;;;27,5109;
150901;0000;;;58,247;
150902;0000;;;71,6019;
150903;0000;;;48,1541;
150904;0000;;;59,0366;
150905;0000;;;48,0713;
150906;0000;;;20,9136;
150907;0000;;;14,4801;
150908;0000;;;27,1536;
150909;0000;;;59,7716;
150910;0000;;;54,7337;
150911;0000;;;41,2505;
150912;0000;;;43,4875;
150913;0000;;;66,4073;
150914;0000;;;66,677;
150915;0000;;;26,9665;
150916;0000;;;37,1354;
150917;0000;;;23,9762;
150918;0000;;;44,8116;
150919;0000;;;47,857;
150920;0000;;;50,6528;
150921;0000;;;24,9381;
150922;0000;;;38,8233;
150923;0000;;;29,6666;
150924;0000;;;17,1359;
150925;0000;;;15,0095;
150926;0000;;;30,5077;
150927;0000;;;21,4554;
150928;0000;;;22,8396;
150929;0000;;;39,4856;
150930;0000;;;19,6687;
151001;0000;;;20,9363;
151002;0000;;;21,8595;
151003;0000;;;20,4971;
151004;0000;;;15,3176;
151005;0000;;;14,2044;
151006;0000;;;16,4403;
151007;0000;;;19,9239;
151008;0000;;;23,4496;
151009;0000;;;23,0695;
151010;0000;;;29,5536;
151011;0000;;;15,5896;
151012;0000;;;20,8716;
151013;0000;;;17,5262;
151014;0000;;;17,4523;
151015;0000;;;20,9292;
151016;0000;;;26,8551;
151017;0000;;;27,1737;
151018;0000;;;20,155;
151019;0000;;;18,8686;
151020;0000;;;15,6159;
151021;0000;;;13,1419;
151022;0000;;;27,7675;
151023;0000;;;14,2556;
151024;0000;;;11,2259;
151025;0000;;;310,405;
151026;0000;;;348,51;
151027;0000;;;24,9954;
151028;0000;;;13,5795;
151029;0000;;;16,6986;
151030;0000;;;16,1741;
151031;0000;;;16,8804;
151101;0000;;;25,505;
151102;0000;;;26,3225;
151103;0000;;;23,6935;
151104;0000;;;24,7587;
151105;0000;;;25,9975;
151106;0000;;;19,7687;
151107;0000;;;13,7037;
151108;0000;;;9,92357;
151109;0000;;;16,0303;
151110;0000;;;17,0873;
151111;0000;;;19,2203;
151112;0000;;;16,2686;
151113;0000;;;16,5076;
151114;0000;;;11,5364;
151115;0000;;;8,72095;
151116;0000;;;9,03253;
151117;0000;;;10,2412;
151118;0000;;;24,5269;
151119;0000;;;20,782;
151120;0000;;;12,7294;
151121;0000;;;11,5623;
151122;0000;;;9,29308;
151123;0000;;;9,2084;
151124;0000;;;8,8549;
151125;0000;;;8,5804;
151126;0000;;;11,4257;
151127;0000;;;7,42657;
151128;0000;;;11,6445;
151129;0000;;;17,1974;
151130;0000;;;18,5944;
151201;0000;;;19,82;
151202;0000;;;9,92323;
151203;0000;;;12,3615;
151204;0000;;;15,9574;
151205;0000;;;14,9614;
151206;0000;;;9,29987;
151207;0000;;;8,59554;
151208;0000;;;11,9818;
151209;0000;;;17,161;
151210;0000;;;12,036;
151211;0000;;;10,811;
151212;0000;;;9,24199;
151213;0000;;;7,40903;
151214;0000;;;7,68545;
151215;0000;;;12,1496;
151216;0000;;;13,0362;
151217;0000;;;10,0816;
151218;0000;;;11,8732;
151219;0000;;;16,1165;
151220;0000;;;7,3877;
151221;0000;;;13,3232;
151222;0000;;;9,5392;
151223;0000;;;8,45253;
151224;0000;;;15,0534;
151225;0000;;;13,625;
151226;0000;;;11,1405;
151227;0000;;;12,5602;
151228;0000;;;7,11937;
151229;0000;;;12,9345;
151230;0000;;;13,371;
151231;0000;;;20,234;
160101;0000;;;15,0661;
160102;0000;;;10,8591;
160103;0000;;;9,54016;
160104;0000;;;13,016;
160105;0000;;;17,0379;
160106;0000;;;32,7549;
160107;0000;;;23,1574;
160108;0000;;;17,7034;
160109;0000;;;11,7386;
160110;0000;;;10,9021;
160111;0000;;;12,6426;
160112;0000;;;7,94757;
160113;0000;;;15,8421;
160114;0000;;;8,52516;
160115;0000;;;8,19644;
160116;0000;;;10,2867;
160117;0000;;;11,7782;
160118;0000;;;18,8977;
160119;0000;;;21,9007;
160120;0000;;;16,25;
160121;0000;;;16,1414;
160122;0000;;;;
160123;0000;;;;
160124;0000;;;;
160125;0000;;;;
160126;0000;;;;
160127;0000;;;;
160128;0000;;;;
160129;0000;;;;
160130;0000;;;19,4901;
160131;0000;;;15,5412;
160201;0000;;;17,2673;
160202;0000;;;9,68123;
160203;0000;;;6,92728;
160204;0000;;;13,4299;
160205;0000;;;14,3235;
160206;0000;;;17,1809;
160207;0000;;;12,4723;
160208;0000;;;13,8824;
160209;0000;;;15,09;
160210;0000;;;22,2881;
160211;0000;;;9,89687;
160212;0000;;;9,20337;
160213;0000;;;14,3489;
160214;0000;;;8,7092;
160215;0000;;;9,97649;
160216;0000;;;7,84879;
160217;0000;;;8,17099;
160218;0000;;;14,0471;
160219;0000;;;15,1379;
160220;0000;;;12,4642;
160221;0000;;;9,53506;
160222;0000;;;9,9369;
160223;0000;;;18,0598;
160224;0000;;;17,003;
160225;0000;;;12,3631;
160226;0000;;;9,59026;
160227;0000;;;17,8339;
160228;0000;;;9,41211;
160229;0000;;;18,48;
160301;0000;;;25,0141;
160302;0000;;;24,4791;
160303;0000;;;16,8264;
160304;0000;;;23,0154;
160305;0000;;;31,8296;
160306;0000;;;21,8783;
160307;0000;;;19,1829;
160308;0000;;;28,4124;
160309;0000;;;13,1485;
160310;0000;;;23,8862;
160311;0000;;;23,3246;
160312;0000;;;28,912;
160313;0000;;;23,2556;
160314;0000;;;22,0908;
160315;0000;;;32,382;
160316;0000;;;32,5341;
160317;0000;;;18,3069;
160318;0000;;;12,2629;
160319;0000;;;22,0008;
160320;0000;;;31,7312;
160321;0000;;;22,156;
160322;0000;;;25,8808;
160323;0000;;;17,0544;
160324;0000;;;34,2341;
160325;0000;;;46,9916;
160326;0000;;;27,7646;
160327;0000;;;18,1114;
160328;0000;;;25,8042;
160329;0000;;;18,6011;
160330;0000;;;18,4502;
160331;0000;;;20,3835;
160401;0000;;;21,5504;
160402;0000;;;40,3166;
160403;0000;;;28,5972;
160404;0000;;;24,4146;
160405;0000;;;34,2491;
160406;0000;;;13,6072;
160407;0000;;;24,1216;
160408;0000;;;26,0904;
160409;0000;;;36,4262;
160410;0000;;;38,6058;
160411;0000;;;39,2162;
160412;0000;;;32,7433;
160413;0000;;;19,5437;
160414;0000;;;12,4009;
160415;0000;;;20,2219;
160416;0000;;;28,4387;
160417;0000;;;38,6491;
160418;0000;;;40,3466;
160419;0000;;;28,519;
160420;0000;;;11,5537;
160421;0000;;;23,2384;
160422;0000;;;40,4625;
160423;0000;;;;
160424;0000;;;;
160425;0000;;;;
160426;0000;;;;
160427;0000;;;55,0178;
160428;0000;;;59,3528;
160429;0000;;;84,422;
160430;0000;;;128,951;
160501;0000;;;63,6991;
160502;0000;;;26,9867;
160503;0000;;;62,3521;
160504;0000;;;63,3533;
160505;0000;;;49,9598;
160506;0000;;;35,9487;
160507;0000;;;46,6908;
160508;0000;;;55,045;
160509;0000;;;73,2319;
160510;0000;;;48,3758;
160511;0000;;;19,9442;
160512;0000;;;12,4084;
160513;0000;;;44,0341;
160514;0000;;;34,7591;
160515;0000;;;44,5494;
160516;0000;;;53,8623;
160517;0000;;;60,207;
160518;0000;;;41,3895;
160519;0000;;;42,5512;
160520;0000;;;53,4354;
160521;0000;;;56,0579;
160522;0000;;;67,7761;
160523;0000;;;79,297;
160524;0000;;;20,4937;
160525;0000;;;17,4266;
160526;0000;;;;
160527;0000;;;;
160528;0000;;;44,752;
160529;0000;;;32,0473;
160530;0000;;;59,0939;
160531;0000;;;26,111;
160601;0000;;;18,3503;
160602;0000;;;58,1292;
160603;0000;;;65,4683;
160604;0000;;;62,2312;
160605;0000;;;91,0654;
160606;0000;;;70,3716;
160607;0000;;;73,5878;
160608;0000;;;90,5558;
160609;0000;;;81,4049;
160610;0000;;;84,8757;
160611;0000;;;95,6849;
160612;0000;;;45,9066;
160613;0000;;;72,1819;
160614;0000;;;79,1357;
160615;0000;;;66,7083;
160616;0000;;;85,1278;
160617;0000;;;97,1382;
160618;0000;;;95,1375;
160619;0000;;;94,3065;
160620;0000;;;58,4028;
160621;0000;;;83,1161;
160622;0000;;;72,2224;
160623;0000;;;49,4166;
160624;0000;;;49,6412;
160625;0000;;;67,8212;
160626;0000;;;102,013;
160627;0000;;;120,867;
160628;0000;;;85,8003;
160629;0000;;;83,6744;
160630;0000;;;112,161;
160701;0000;;;98,277;
160702;0000;;;65,4449;
160703;0000;;;68,6024;
160704;0000;;;106,352;
160705;0000;;;76,3008;
160706;0000;;;89,7349;
160707;0000;;;96,1599;
160708;0000;;;36,4789;
160709;0000;;;20,8209;
160710;0000;;;18,4633;
160711;0000;;;20,3173;
160712;0000;;;28,4907;
160713;0000;;;12,796;
160714;0000;;;45,7468;
160715;0000;;;65,0216;
160716;0000;;;53,4674;
160717;0000;;;33,162;
160718;0000;;;68,6068;
160719;0000;;;62,8366;
160720;0000;;;27,3932;
160721;0000;;;84,7578;
160722;0000;;;21,6892;
160723;0000;;;34,6108;
160724;0000;;;28,8199;
160725;0000;;;38,2483;
160726;0000;;;89,6233;
160727;0000;;;69,8574;
160728;0000;;;49,1749;
160729;0000;;;50,7766;
160730;0000;;;32,3054;
160731;0000;;;25,1664;
160801;0000;;;46,8177;
160802;0000;;;62,4103;
160803;0000;;;36,0291;
160804;0000;;;54,9199;
160805;0000;;;54,8999;
160806;0000;;;35,199;
160807;0000;;;43,1845;
160808;0000;;;54,2157;
160809;0000;;;78,4049;
160810;0000;;;53,717;
160811;0000;;;43,8441;
160812;0000;;;48,222;
160813;0000;;;52,6149;
160814;0000;;;39,7896;
160815;0000;;;14,9626;
160816;0000;;;17,9373;
160817;0000;;;19,2146;
160818;0000;;;24,9914;
160819;0000;;;46,999;
160820;0000;;;60,1391;
160821;0000;;;46,1487;
160822;0000;;;47,2566;
160823;0000;;;43,9193;
160824;0000;;;29,2791;
160825;0000;;;30,4716;
160826;0000;;;38,0598;
160827;0000;;;;
160828;0000;;;;
160829;0000;;;33,3066;
160830;0000;;;19,4764;
160831;0000;;;35,5366;
160901;0000;;;35,1591;
160902;0000;;;43,6671;
160903;0000;;;8,16129;
160904;0000;;;17,0107;
160905;0000;;;31,9883;
160906;0000;;;62,8737;
160907;0000;;;60,9225;
160908;0000;;;34,7816;
160909;0000;;;27,5739;
160910;0000;;;30,7388;
160911;0000;;;14,8494;
160912;0000;;;16,2646;
160913;0000;;;26,5838;
160914;0000;;;;
160915;0000;;;;
160916;0000;;;27,8654;
160917;0000;;;47,7612;
160918;0000;;;47,832;
160919;0000;;;30,27;
160920;0000;;;17,4902;
160921;0000;;;21,2408;
160922;0000;;;20,7128;
160923;0000;;;20,088;
160924;0000;;;42,8687;
160925;0000;;;17,8958;
160926;0000;;;31,1225;
160927;0000;;;32,1838;
160928;0000;;;28,4458;
160929;0000;;;12,6726;
160930;0000;;;9,47437;
161001;0000;;;26,8775;
161002;0000;;;35,1981;
161003;0000;;;24,9754;
161004;0000;;;18,4772;
161005;0000;;;20,817;
161006;0000;;;17,638;
161007;0000;;;18,8685;
161008;0000;;;20,2576;
161009;0000;;;17,8192;
161010;0000;;;16,9447;
161011;0000;;;25,8233;
161012;0000;;;8,56029;
161013;0000;;;15,0545;
161014;0000;;;28,1799;
161015;0000;;;12,7288;
161016;0000;;;33,6191;
161017;0000;;;20,5553;
161018;0000;;;31,0724;
161019;0000;;;21,1435;
161020;0000;;;18,0532;
161021;0000;;;21,6712;
161022;0000;;;26,1875;
161023;0000;;;18,185;
161024;0000;;;17,6184;
161025;0000;;;19,3407;
161026;0000;;;12,6769;
161027;0000;;;16,9121;
161028;0000;;;15,1262;
161029;0000;;;15,2166;
161030;0000;;;7,8125;
161031;0000;;;23,0681;
161101;0000;;;20,0615;
161102;0000;;;16,8607;
161103;0000;;;8,80037;
161104;0000;;;14,5035;
161105;0000;;;7,28925;
161106;0000;;;8,44371;
161107;0000;;;13,846;
161108;0000;;;;
161109;0000;;;17,0606;
161110;0000;;;19,1968;
161111;0000;;;19,3992;
161112;0000;;;16,3653;
161113;0000;;;10,4426;
161114;0000;;;8,94221;
161115;0000;;;7,64254;
161116;0000;;;12,6833;
161117;0000;;;20,81;
161118;0000;;;21,6679;
161119;0000;;;11,5525;
161120;0000;;;11,2878;
161121;0000;;;20,3538;
161122;0000;;;15,7085;
161123;0000;;;22,7379;
161124;0000;;;14,7851;
161125;0000;;;11,9007;
161126;0000;;;5,761;
161127;0000;;;5,73942;
161128;0000;;;10,9748;
161129;0000;;;24,1021;
161130;0000;;;25,3267;
161201;0000;;;15,5452;
161202;0000;;;16,5625;
161203;0000;;;18,3075;
161204;0000;;;11,7361;
161205;0000;;;9,67397;
161206;0000;;;10,8213;
161207;0000;;;12,2057;
161208;0000;;;8,60583;
161209;0000;;;10,2737;
161210;0000;;;12,874;
161211;0000;;;10,0603;
161212;0000;;;7,20471;
161213;0000;;;12,7863;
161214;0000;;;19,2387;
161215;0000;;;14,6903;
161216;0000;;;9,71774;
161217;0000;;;13,2956;
161218;0000;;;13,4628;
161219;0000;;;10,5416;
161220;0000;;;9,99059;
161221;0000;;;9,52863;
161222;0000;;;8,21541;
161223;0000;;;10,7565;
161224;0000;;;7,12679;
161225;0000;;;7,0915;
161226;0000;;;13,2154;
161227;0000;;;12,1382;
161228;0000;;;17,9586;
161229;0000;;;15,5067;
161230;0000;;;6,83004;
161231;0000;;;10,729;
170101;0000;;;14,4416;
