FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;6,72512;
110602;0000;;;0,118371;
110603;0000;;;0,784625;
110604;0000;;;0,852736;
110605;0000;;;0,311315;
110606;0000;;;0,380313;
110607;0000;;;0,700788;
110608;0000;;;0,437943;
110609;0000;;;3,06945;
110610;0000;;;1,11002;
110611;0000;;;1,32319;
110612;0000;;;0,425697;
110613;0000;;;1,39936;
110614;0000;;;1,39003;
110615;0000;;;0,232584;
110616;0000;;;0,21913;
110617;0000;;;0,180457;
110618;0000;;;0,700866;
110619;0000;;;0,529135;
110620;0000;;;;
110621;0000;;;0,962338;
110622;0000;;;0,459396;
110623;0000;;;1,53135;
110624;0000;;;2,2631;
110625;0000;;;11,2229;
110626;0000;;;5,07031;
110627;0000;;;0,933901;
110628;0000;;;1,05298;
110629;0000;;;0,302701;
110630;0000;;;0,720104;
110701;0000;;;0,624294;
110702;0000;;;1,5776;
110703;0000;;;2,0925;
110704;0000;;;1,40054;
110705;0000;;;0,644141;
110706;0000;;;1,84956;
110707;0000;;;6,21129;
110708;0000;;;2,98444;
110709;0000;;;1,14716;
110710;0000;;;0,928597;
110711;0000;;;0,31716;
110712;0000;;;1,40667;
110713;0000;;;0,797192;
110714;0000;;;0,293447;
110715;0000;;;0,650069;
110716;0000;;;0,256723;
110717;0000;;;0,278078;
110718;0000;;;0,362851;
110719;0000;;;2,40969;
110720;0000;;;1,32853;
110721;0000;;;3,63456;
110722;0000;;;0,565676;
110723;0000;;;1,48567;
110724;0000;;;0,794009;
110725;0000;;;1,68878;
110726;0000;;;0,589532;
110727;0000;;;5,02979;
110728;0000;;;1,064;
110729;0000;;;0,704614;
110730;0000;;;1,88908;
110731;0000;;;1,12204;
110801;0000;;;1,94109;
110802;0000;;;1,20357;
110803;0000;;;1,67743;
110804;0000;;;10,8076;
110805;0000;;;2,57686;
110806;0000;;;0,665789;
110807;0000;;;0,15526;
110808;0000;;;0,31887;
110809;0000;;;1,68099;
110810;0000;;;1,8321;
110811;0000;;;0,422448;
110812;0000;;;0,35819;
110813;0000;;;0,27311;
110814;0000;;;0,633003;
110815;0000;;;0,580799;
110816;0000;;;0,454474;
110817;0000;;;0,317409;
110818;0000;;;0,372492;
110819;0000;;;0,854619;
110820;0000;;;1,11918;
