FECHA (YYMMDD);HORA (HHMM);;
110601;0100;11,83;
110601;0200;10,3642;
110601;0300;9,68416;
110601;0400;9,94916;
110601;0500;10,0717;
110601;0600;9,29999;
110601;0700;9,00499;
110601;0800;9,375;
110601;0900;10,675;
110601;1000;11,5617;
110601;1100;12,2817;
110601;1200;12,4725;
110601;1300;12,4133;
110601;1400;12,5783;
110601;1500;12,4483;
110601;1600;12,4683;
110601;1700;12,31;
110601;1800;12,1017;
110601;1900;12,13;
110601;2000;11,9783;
110601;2100;11,65;
110601;2200;10,9625;
110601;2300;10,8625;
110602;0000;10,7217;
110602;0100;10,8417;
110602;0200;10,8725;
110602;0300;10,795;
110602;0400;10,6558;
110602;0500;10,3142;
110602;0600;10,2508;
110602;0700;9,46249;
110602;0800;9,74332;
110602;0900;10,82;
110602;1000;10,8958;
110602;1100;10,5133;
110602;1200;11,3842;
110602;1300;11,2233;
110602;1400;11,6325;
110602;1500;12,3325;
110602;1600;12,2358;
110602;1700;12,22;
110602;1800;12,51;
110602;1900;12,635;
110602;2000;12,6483;
110602;2100;12,7925;
110602;2200;12,6617;
110602;2300;12,6592;
110603;0000;13,055;
110603;0100;13,1933;
110603;0200;13,2275;
110603;0300;13,29;
110603;0400;13,3458;
110603;0500;13,3433;
110603;0600;13,0142;
110603;0700;12,8183;
110603;0800;13,1792;
110603;0900;13,6567;
110603;1000;15,0117;
110603;1100;15,6208;
110603;1200;15,2742;
110603;1300;15,2883;
110603;1400;14,0508;
110603;1500;13,9325;
110603;1600;13,7117;
110603;1700;13,08;
110603;1800;12,02;
110603;1900;11,7333;
110603;2000;11,4833;
110603;2100;11,5317;
110603;2200;11,2817;
110603;2300;11,28;
110604;0000;11,4208;
110604;0100;11,1708;
110604;0200;11,2933;
110604;0300;11,3825;
110604;0400;11,2208;
110604;0500;11,2008;
110604;0600;11,2308;
110604;0700;11,5317;
110604;0800;11,7225;
110604;0900;12,3667;
110604;1000;12,8258;
110604;1100;13,4508;
110604;1200;13,4475;
110604;1300;12,3542;
110604;1400;11,8767;
110604;1500;12,1867;
110604;1600;12,2775;
110604;1700;12,2075;
110604;1800;12,345;
110604;1900;12,3475;
110604;2000;12,3567;
110604;2100;12,4242;
110604;2200;12,465;
110604;2300;12,4733;
110605;0000;12,4775;
110605;0100;12,2425;
110605;0200;12,0508;
110605;0300;11,6217;
110605;0400;11,5092;
110605;0500;11,0133;
110605;0600;11,1683;
110605;0700;11,115;
110605;0800;10,8983;
110605;0900;11,6767;
110605;1000;12,6775;
110605;1100;13,3633;
110605;1200;14,0667;
110605;1300;13,7483;
110605;1400;14,3525;
