FECHA (YYMMDD);HORA (HHMM);;
110601;0100;0,8195;
110601;0200;0,805166;
110601;0300;1,02658;
110601;0400;0,553582;
110601;0500;1,08233;
110601;0600;2,38058;
110601;0700;1,69417;
110601;0800;2,84117;
110601;0900;2,8395;
110601;1000;2,92992;
110601;1100;2,91183;
110601;1200;2,96208;
110601;1300;2,88883;
110601;1400;3,11525;
110601;1500;2,92608;
110601;1600;1,99233;
110601;1700;1,69733;
110601;1800;2,36442;
110601;1900;2,20783;
110601;2000;2,74183;
110601;2100;3,50342;
110601;2200;4,61549;
110601;2300;4,57999;
110602;0000;5,11282;
110602;0100;5,11633;
110602;0200;5,7225;
110602;0300;5,73232;
110602;0400;5,49683;
110602;0500;5,46249;
110602;0600;4,63316;
110602;0700;5,55099;
110602;0800;5,41991;
110602;0900;4,92799;
110602;1000;5,94032;
110602;1100;6,58807;
110602;1200;5,94642;
110602;1300;3,73067;
110602;1400;5,51807;
110602;1500;5,89133;
110602;1600;5,85917;
110602;1700;6,81516;
110602;1800;6,516;
110602;1900;6,1465;
110602;2000;5,50842;
110602;2100;5,65707;
110602;2200;6,13367;
110602;2300;5,52232;
110603;0000;5,06258;
110603;0100;5,14158;
110603;0200;5,25983;
110603;0300;5,438;
110603;0400;4,85892;
110603;0500;4,84258;
110603;0600;4,8125;
110603;0700;5,14558;
110603;0800;4,668;
110603;0900;2,69083;
110603;1000;2,61475;
110603;1100;1,30108;
110603;1200;2,11758;
110603;1300;1,13317;
110603;1400;0,77;
110603;1500;0,590667;
110603;1600;0,572582;
110603;1700;0,591749;
110603;1800;0,397;
110603;1900;1,05417;
110603;2000;1,13575;
110603;2100;1,12542;
110603;2200;1,25958;
110603;2300;1,24308;
110604;0000;1,04492;
110604;0100;1,61917;
110604;0200;1,84433;
110604;0300;1,10283;
110604;0400;2,00258;
110604;0500;1,58558;
110604;0600;2,61792;
110604;0700;2,947;
110604;0800;2,95192;
110604;0900;3,82825;
110604;1000;3,08617;
110604;1100;2,46642;
110604;1200;2,93133;
110604;1300;4,03667;
110604;1400;4,31116;
110604;1500;4,294;
110604;1600;4,86317;
110604;1700;4,33067;
110604;1800;3,8905;
110604;1900;3,03517;
110604;2000;2,50225;
110604;2100;2,29792;
110604;2200;2,7475;
110604;2300;2,607;
110605;0000;2,28025;
110605;0100;2,60658;
110605;0200;2,38292;
110605;0300;3,34217;
110605;0400;3,71058;
110605;0500;2,41158;
110605;0600;3,88417;
110605;0700;5,19733;
110605;0800;4,95042;
110605;0900;5,03349;
110605;1000;4,07166;
110605;1100;3,73058;
110605;1200;2,98025;
110605;1300;2,9945;
110605;1400;2,61067;
110605;1500;1,27033;
110605;1600;0,46225;
110605;1700;0,832749;
110605;1800;1,1975;
110605;1900;2,81883;
110605;2000;2,54817;
110605;2100;3,32483;
110605;2200;5,06708;
110605;2300;4,73367;
110606;0000;4,49283;
110606;0100;4,10425;
110606;0200;3,95467;
110606;0300;4,05566;
110606;0400;4,0095;
110606;0500;5,46792;
110606;0600;4,44833;
110606;0700;3,72675;
110606;0800;3,71592;
110606;0900;4,26008;
110606;1000;4,408;
110606;1100;3,55975;
110606;1200;3,71942;
110606;1300;5,37724;
110606;1400;5,973;
110606;1500;5,30482;
110606;1600;4,96625;
110606;1700;4,59608;
110606;1800;5,03933;
110606;1900;5,08742;
110606;2000;6,66782;
110606;2100;5,16383;
110606;2200;5,76691;
110606;2300;7,71933;
110607;0000;7,79617;
110607;0100;7,62708;
110607;0200;7,59325;
110607;0300;7,75208;
110607;0400;8,61324;
110607;0500;8,63791;
110607;0600;9,91541;
110607;0700;8,88608;
110607;0800;8,879;
110607;0900;8,86058;
110607;1000;8,20232;
110607;1100;5,23557;
110607;1200;5,18182;
110607;1300;5,23557;
110607;1400;5,50583;
110607;1500;5,54842;
110607;1600;5,78117;
110607;1700;5,75783;
110607;1800;6,31083;
110607;1900;6,69217;
110607;2000;6,56075;
110607;2100;6,11992;
110607;2200;6,12433;
110607;2300;6,39742;
110608;0000;4,8295;
110608;0100;3,9195;
110608;0200;6,33575;
110608;0300;4,37241;
110608;0400;4,12542;
110608;0500;4,78349;
110608;0600;4,57816;
110608;0700;5,04482;
110608;0800;4,99966;
110608;0900;3,38475;
110608;1000;3,68058;
110608;1100;3,92092;
110608;1200;3,12725;
110608;1300;2,64508;
110608;1400;1,71692;
110608;1500;3,451;
110608;1600;4,44433;
110608;1700;4,53857;
110608;1800;3,53658;
110608;1900;3,03667;
110608;2000;2,60675;
110608;2100;2,69642;
110608;2200;2,42025;
110608;2300;2,05033;
110609;0000;2,35583;
110609;0100;2,60325;
110609;0200;2,63667;
110609;0300;2,6295;
110609;0400;3,25608;
110609;0500;3,03533;
110609;0600;2,92175;
110609;0700;2,88442;
110609;0800;3,09233;
110609;0900;2,57025;
110609;1000;2,84825;
110609;1100;3,09508;
110609;1200;2,69058;
110609;1300;2,97683;
110609;1400;3,02933;
110609;1500;2,53767;
110609;1600;2,50217;
110609;1700;1,73767;
110609;1800;1,30033;
110609;1900;1,40158;
110609;2000;1,58067;
110609;2100;1,66233;
110609;2200;2,04392;
110609;2300;1,50767;
110610;0000;1,88608;
110610;0100;1,79617;
110610;0200;2,14425;
110610;0300;1,99033;
110610;0400;2,31225;
110610;0500;2,3185;
110610;0600;2,6465;
110610;0700;2,64108;
110610;0800;2,75625;
110610;0900;2,79217;
110610;1000;3,14308;
110610;1100;3,18442;
110610;1200;3,681;
110610;1300;3,8465;
110610;1400;4,84917;
110610;1500;4,449;
110610;1600;5,31125;
110610;1700;3,06792;
110610;1800;2,15475;
110610;1900;1,79858;
110610;2000;1,58908;
110610;2100;1,16658;
110610;2200;1,41792;
110610;2300;2,1065;
110611;0000;2,45642;
110611;0100;2,96742;
110611;0200;1,02508;
110611;0300;1,14358;
110611;0400;1,65375;
110611;0500;0,667333;
110611;0600;2,02725;
110611;0700;1,89333;
110611;0800;1,63675;
110611;0900;0,787083;
110611;1000;1,4485;
110611;1100;1,34208;
110611;1200;2,44433;
110611;1300;3,2095;
110611;1400;3,2935;
110611;1500;3,01075;
110611;1600;3,79017;
110611;1700;3,086;
110611;1800;4,05849;
110611;1900;5,44308;
110611;2000;6,7305;
110611;2100;6,94175;
110611;2200;4,08607;
110611;2300;4,20475;
110612;0000;1,89425;
110612;0100;1,84083;
110612;0200;1,49083;
110612;0300;1,21808;
110612;0400;2,2035;
110612;0500;1,77208;
110612;0600;1,97;
110612;0700;2,27833;
110612;0800;1,95967;
110612;0900;2,17683;
110612;1000;0,593582;
110612;1100;0,968666;
110612;1200;1,37758;
110612;1300;1,01083;
110612;1400;1,4735;
110612;1500;2,28942;
110612;1600;1,556;
110612;1700;1,58658;
110612;1800;1,49767;
110612;1900;1,25508;
110612;2000;1,66917;
110612;2100;1,02175;
110612;2200;1,18967;
110612;2300;0,666499;
110613;0000;1,78392;
110613;0100;1,71475;
110613;0200;1,088;
110613;0300;0,655;
110613;0400;1,562;
110613;0500;0,903;
110613;0600;0,99825;
110613;0700;1,28467;
110613;0800;1,29083;
110613;0900;0,626917;
110613;1000;0,321083;
110613;1100;0,880583;
110613;1200;0,782083;
110613;1300;0,749249;
110613;1400;0,54175;
110613;1500;0,894667;
110613;1600;1,4245;
110613;1700;1,74575;
110613;1800;1,69533;
110613;1900;1,32325;
110613;2000;0,863583;
110613;2100;1,75483;
110613;2200;1,26625;
110613;2300;0,969;
110614;0000;1,68142;
110614;0100;2,30417;
110614;0200;1,417;
110614;0300;0,723166;
110614;0400;1,08458;
110614;0500;0,878833;
110614;0600;0,760667;
110614;0700;1,01742;
110614;0800;0,923332;
110614;0900;1,585;
110614;1000;1,90667;
110614;1100;0,74325;
110614;1200;0,0505;
110614;1300;0,20675;
110614;1400;0,211583;
110614;1500;0,231917;
110614;1600;0,752;
110614;1700;1,344;
110614;1800;1,99792;
110614;1900;1,82792;
110614;2000;2,58942;
110614;2100;2,501;
110614;2200;2,84183;
110614;2300;3,0355;
110615;0000;3,50608;
110615;0100;3,50408;
110615;0200;3,06192;
110615;0300;2,88708;
110615;0400;2,96;
110615;0500;3,05983;
110615;0600;3,13142;
110615;0700;3,66508;
110615;0800;3,12325;
110615;0900;3,40917;
110615;1000;3,45533;
110615;1100;4,36983;
110615;1200;4,062;
110615;1300;4,78158;
110615;1400;5,42825;
110615;1500;4,94083;
110615;1600;5,32417;
110615;1700;4,68442;
110615;1800;4,82957;
110615;1900;4,14583;
110615;2000;4,50175;
110615;2100;6,03082;
110615;2200;6,62524;
110615;2300;6,14483;
110616;0000;5,41866;
110616;0100;4,76475;
110616;0200;3,08633;
110616;0300;2,87225;
110616;0400;3,33858;
110616;0500;3,20742;
110616;0600;3,36833;
110616;0700;3,68183;
110616;0800;4,72192;
110616;0900;4,56174;
110616;1000;4,0235;
110616;1100;3,95125;
110616;1200;3,65558;
110616;1300;3,354;
110616;1400;3,07658;
110616;1500;3,4675;
110616;1600;4,29124;
110616;1700;3,28525;
110616;1800;3,71825;
110616;1900;3,4855;
110616;2000;4,63216;
110616;2100;4,47157;
110616;2200;4,85883;
110616;2300;4,3835;
110617;0000;4,74917;
110617;0100;4,66299;
110617;0200;4,75774;
110617;0300;4,40057;
110617;0400;5,09092;
110617;0500;5,0715;
110617;0600;4,48566;
110617;0700;4,42899;
110617;0800;4,26758;
110617;0900;4,22549;
110617;1000;4,56767;
110617;1100;4,94742;
110617;1200;4,82;
110617;1300;4,98849;
110617;1400;4,80067;
110617;1500;5,786;
110617;1600;5,45508;
110617;1700;6,00475;
110617;1800;6,35983;
110617;1900;6,46;
110617;2000;6,54942;
110617;2100;6,75908;
110617;2200;8,38225;
110617;2300;7,60332;
110618;0000;4,75957;
110618;0100;3,84808;
110618;0200;5,32999;
110618;0300;4,77316;
110618;0400;4,38332;
110618;0500;4,33217;
110618;0600;4,70875;
110618;0700;4,24467;
110618;0800;4,33033;
110618;0900;4,60899;
110618;1000;4,41357;
110618;1100;3,664;
110618;1200;3,03683;
110618;1300;4,06142;
110618;1400;3,38042;
110618;1500;4,00075;
110618;1600;3,69292;
110618;1700;4,07583;
110618;1800;4,59039;
110618;1900;4,14317;
110618;2000;4,72783;
110618;2100;5,08649;
110618;2200;4,87524;
110618;2300;3,54483;
110619;0000;2,70942;
110619;0100;3,35175;
110619;0200;3,51575;
110619;0300;3,49517;
110619;0400;3,04542;
110619;0500;2,95733;
110619;0600;2,78842;
110619;0700;2,11908;
110619;0800;2,60367;
110619;0900;2,42308;
110619;1000;2,69675;
110619;1100;2,91683;
110619;1200;3,17808;
110619;1300;3,73817;
110619;1400;5,28283;
110619;1500;6,31392;
110619;1600;6,19742;
110619;1700;7,37858;
110619;1800;7,75874;
110619;1900;8,73141;
110619;2000;9,00441;
110619;2100;7,83375;
110619;2200;5,49249;
110619;2300;5,08667;
110620;0000;6,84475;
110620;0100;5,446;
110620;0200;6,89525;
110620;0300;6,813;
110620;0400;7,812;
110620;0500;7,32483;
110620;0600;6,86767;
110620;0700;7,68075;
110620;0800;6,55733;
110620;0900;5,716;
110620;1000;7,51266;
110620;1100;4,51392;
110620;1200;4,43575;
110620;1300;4,21725;
110620;1400;2,68658;
110620;1500;2,15242;
110620;1600;2,73367;
110620;1700;1,56208;
110620;1800;1,01758;
110620;1900;0,752;
110620;2000;2,13467;
110620;2100;3,14483;
110620;2200;3,43;
110620;2300;1,40783;
110621;0000;0,605;
110621;0100;1,98475;
110621;0200;2,31225;
110621;0300;1,39867;
110621;0400;2,03;
110621;0500;2,46592;
110621;0600;1,43442;
110621;0700;1,53025;
110621;0800;1,52275;
110621;0900;1,74867;
110621;1000;0,908833;
110621;1100;1,63675;
110621;1200;1,79558;
110621;1300;2,08525;
110621;1400;1,26483;
110621;1500;1,42425;
110621;1600;0,853916;
110621;1700;0,690582;
110621;1800;0,958417;
110621;1900;2,65275;
110621;2000;2,80742;
110621;2100;2,7;
110621;2200;2,18358;
110621;2300;1,70725;
110622;0000;1,631;
110622;0100;1,09192;
110622;0200;0,93475;
110622;0300;1,614;
110622;0400;0,839832;
110622;0500;0,321167;
110622;0600;0,933;
110622;0700;1,42625;
110622;0800;0,916833;
110622;0900;0,385083;
110622;1000;0,632333;
110622;1100;0,955832;
110622;1200;0,884333;
110622;1300;0,9775;
110622;1400;1,02758;
110622;1500;0,688;
110622;1600;0,643416;
110622;1700;1,54975;
110622;1800;2,98208;
110622;1900;2,44308;
110622;2000;2,37558;
110622;2100;2,748;
110622;2200;3,38208;
110622;2300;3,64833;
110623;0000;3,58017;
110623;0100;3,451;
110623;0200;3,03533;
110623;0300;2,57;
110623;0400;2,33608;
110623;0500;1,6045;
110623;0600;2,4715;
110623;0700;3,25325;
110623;0800;3,37142;
110623;0900;1,91692;
110623;1000;0,750667;
110623;1100;1,05925;
110623;1200;0,786166;
110623;1300;0,742249;
110623;1400;1,38342;
110623;1500;1,31042;
110623;1600;1,47108;
110623;1700;1,20642;
110623;1800;2,16817;
110623;1900;1,99458;
110623;2000;2,69192;
110623;2100;1,80458;
110623;2200;1,58708;
110623;2300;1,25283;
110624;0000;2,2315;
110624;0100;2,78975;
110624;0200;2,97258;
110624;0300;2,6235;
110624;0400;1,84;
110624;0500;2,22433;
110624;0600;1,89642;
110624;0700;1,34458;
110624;0800;1,03683;
110624;0900;0,805082;
110624;1000;1,39442;
110624;1100;1,59567;
110624;1200;2,19433;
110624;1300;2,19008;
110624;1400;3,11167;
110624;1500;2,63575;
110624;1600;2,561;
110624;1700;1,59883;
110624;1800;1,48592;
110624;1900;1,20375;
110624;2000;0,86375;
110624;2100;1,44192;
110624;2200;1,359;
110624;2300;0,972082;
110625;0000;1,04933;
110625;0100;1,071;
110625;0200;1,18767;
110625;0300;1,03533;
110625;0400;0,989583;
110625;0500;1,6295;
110625;0600;1,13817;
110625;0700;1,375;
110625;0800;0,956249;
110625;0900;1,34492;
110625;1000;0,760166;
110625;1100;0,900499;
110625;1200;0,752666;
110625;1300;0,657832;
110625;1400;0,688167;
110625;1500;0,592833;
110625;1600;0,890667;
110625;1700;1,70933;
110625;1800;0,5695;
110625;1900;1,21383;
110625;2000;0,701417;
110625;2100;1,27133;
110625;2200;0,795333;
110625;2300;1,48242;
110626;0000;1,14267;
110626;0100;1,07542;
110626;0200;1,17825;
110626;0300;1,15392;
110626;0400;0,986833;
110626;0500;1,26975;
110626;0600;0,902416;
110626;0700;0,68775;
110626;0800;0,502083;
110626;0900;0,463083;
110626;1000;0,558499;
110626;1100;0,731916;
110626;1200;1,04667;
110626;1300;0,742832;
110626;1400;0,825417;
110626;1500;1,19292;
110626;1600;1,1215;
110626;1700;1,48333;
110626;1800;1,33083;
110626;1900;0,521832;
110626;2000;0,635166;
110626;2100;1,02142;
110626;2200;2,44392;
110626;2300;1,37783;
110627;0000;0,93975;
110627;0100;0,968917;
110627;0200;1,14858;
110627;0300;1,22675;
110627;0400;0,714;
110627;0500;0,959416;
110627;0600;1,28117;
110627;0700;1,582;
110627;0800;0,869833;
110627;0900;0,475167;
110627;1000;0,95725;
110627;1100;1,42375;
110627;1200;1,84283;
110627;1300;2,2005;
110627;1400;2,42617;
110627;1500;1,9625;
110627;1600;2,27417;
110627;1700;3,39042;
110627;1800;3,12925;
110627;1900;3,24383;
110627;2000;2,767;
