FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;0,455754;
110602;0000;;;0,456573;
110603;0000;;;0,834934;
110604;0000;;;0,46681;
110605;0000;;;0,330043;
110606;0000;;;0,284572;
110607;0000;;;0,515538;
110608;0000;;;0,663362;
110609;0000;;;0,892262;
110610;0000;;;0,601939;
110611;0000;;;0,568033;
110612;0000;;;1,18299;
110613;0000;;;1,64548;
110614;0000;;;1,48028;
110615;0000;;;0,769417;
110616;0000;;;0,571637;
110617;0000;;;0,81446;
110618;0000;;;0,780883;
110619;0000;;;0,732973;
110620;0000;;;1,32416;
110621;0000;;;;
110622;0000;;;;
110623;0000;;;;
110624;0000;;;;
110625;0000;;;0,676465;
110626;0000;;;0,451659;
110627;0000;;;0,227316;
110628;0000;;;0,230129;
110629;0000;;;0,2375;
110630;0000;;;0,541335;
110701;0000;;;0,526594;
110702;0000;;;0,603987;
110703;0000;;;0,581465;
110704;0000;;;0,753448;
110705;0000;;;0,326357;
110706;0000;;;0,909051;
110707;0000;;;1,13427;
110708;0000;;;0,674827;
110709;0000;;;0,208017;
110710;0000;;;0,218254;
110711;0000;;;0,328331;
110712;0000;;;0,433642;
110713;0000;;;0,206789;
110714;0000;;;0,0962282;
110715;0000;;;0,221612;
110716;0000;;;0,325948;
110717;0000;;;0,453297;
110718;0000;;;0,816544;
110719;0000;;;0,925021;
110720;0000;;;0,341508;
110721;0000;;;0,494245;
110722;0000;;;0,334957;
110723;0000;;;0,232586;
110724;0000;;;0,290323;
110725;0000;;;0,424223;
110726;0000;;;0,242414;
110727;0000;;;0,229719;
110728;0000;;;0,257389;
110729;0000;;;0,776788;
110730;0000;;;0,581056;
110731;0000;;;0,6089;
110801;0000;;;0,305064;
110802;0000;;;0,608491;
110803;0000;;;1,03394;
110804;0000;;;0,165021;
110805;0000;;;0,161941;
110806;0000;;;0,211293;
110807;0000;;;0,326767;
110808;0000;;;0,119569;
110809;0000;;;0,132886;
110810;0000;;;0,179353;
110811;0000;;;0,173211;
110812;0000;;;0,209245;
110813;0000;;;0,466401;
110814;0000;;;0,668685;
110815;0000;;;0,342737;
110816;0000;;;0,252241;
110817;0000;;;;
110818;0000;;;;
110819;0000;;;0,815689;
110820;0000;;;0,500797;
110821;0000;;;0,685063;
110822;0000;;;0,481551;
110823;0000;;;0,470905;
110824;0000;;;0,694631;
110825;0000;;;0,342737;
110826;0000;;;0,204039;
110827;0000;;;0,19;
110828;0000;;;0,153556;
110829;0000;;;0,50612;
110830;0000;;;0,412349;
110831;0000;;;0,455754;
110901;0000;;;0,268211;
110902;0000;;;0,0568291;
110903;0000;;;0,112124;
110904;0000;;;0,548706;
110905;0000;;;0,39623;
110906;0000;;;0,349698;
110907;0000;;;0,446086;
110908;0000;;;0,226444;
110909;0000;;;0,135129;
110910;0000;;;0,289914;
110911;0000;;;0,41112;
110912;0000;;;0,392284;
110913;0000;;;0,585151;
110914;0000;;;0,476228;
110915;0000;;;0,137177;
110916;0000;;;0,565726;
110917;0000;;;0,314892;
110918;0000;;;0,602757;
110919;0000;;;0,41931;
110920;0000;;;0,198189;
110921;0000;;;0,192279;
110922;0000;;;0,512262;
110923;0000;;;0,260431;
110924;0000;;;0,370991;
110925;0000;;;0,31653;
110926;0000;;;0,504481;
110927;0000;;;0,386551;
110928;0000;;;0,172392;
110929;0000;;;0,186724;
110930;0000;;;0,289504;
111001;0000;;;0,178534;
111002;0000;;;0,172392;
111003;0000;;;0,171164;
111004;0000;;;0,192047;
111005;0000;;;0,0851723;
111006;0000;;;0,221121;
111007;0000;;;0,2565;
111008;0000;;;0,187816;
111009;0000;;;0,185905;
111010;0000;;;0,130625;
111011;0000;;;0,142909;
111012;0000;;;0,154511;
111013;0000;;;;
111014;0000;;;;
111015;0000;;;0,0880387;
111016;0000;;;0,125301;
111017;0000;;;;
111018;0000;;;0,167888;
111019;0000;;;0,0892671;
111020;0000;;;0,107011;
111021;0000;;;0,109741;
111022;0000;;;0,0954094;
111023;0000;;;0,122845;
111024;0000;;;0,13982;
111025;0000;;;0,144138;
111026;0000;;;0,0853447;
111027;0000;;;0,138405;
