FECHA (YYMMDD);HORA (HHMM);;
110601;0100;168;
110601;0200;188;
110601;0300;151;
110601;0400;113;
110601;0500;305;
110601;0600;51;
110601;0700;81;
110601;0800;63;
110601;0900;35;
110601;1000;24;
110601;1100;17;
110601;1200;15;
110601;1300;17;
110601;1400;14;
110601;1500;11;
110601;1600;23;
110601;1700;23;
110601;1800;25;
110601;1900;35;
110601;2000;50;
110601;2100;51;
110601;2200;64;
110601;2300;63;
110602;0000;65;
110602;0100;67;
110602;0200;65;
110602;0300;66;
110602;0400;60;
110602;0500;70;
110602;0600;69;
110602;0700;74;
110602;0800;73;
110602;0900;71;
110602;1000;64;
110602;1100;62;
110602;1200;55;
110602;1300;61;
110602;1400;62;
110602;1500;61;
110602;1600;59;
110602;1700;68;
110602;1800;61;
110602;1900;65;
110602;2000;67;
110602;2100;61;
110602;2200;59;
110602;2300;61;
110603;0000;65;
110603;0100;58;
110603;0200;58;
110603;0300;61;
110603;0400;62;
110603;0500;59;
110603;0600;63;
110603;0700;64;
110603;0800;62;
110603;0900;57;
110603;1000;58;
110603;1100;24;
110603;1200;46;
110603;1300;303;
110603;1400;275;
110603;1500;264;
110603;1600;258;
110603;1700;268;
110603;1800;41;
110603;1900;87;
110603;2000;67;
110603;2100;56;
110603;2200;48;
110603;2300;69;
110604;0000;102;
110604;0100;84;
110604;0200;11;
110604;0300;10;
110604;0400;9;
110604;0500;359;
110604;0600;41;
110604;0700;40;
110604;0800;35;
110604;0900;33;
110604;1000;27;
110604;1100;17;
110604;1200;13;
110604;1300;24;
110604;1400;29;
110604;1500;18;
110604;1600;14;
110604;1700;10;
110604;1800;12;
110604;1900;17;
110604;2000;15;
110604;2100;26;
110604;2200;35;
110604;2300;34;
110605;0000;34;
110605;0100;42;
110605;0200;44;
110605;0300;48;
110605;0400;46;
110605;0500;58;
110605;0600;55;
110605;0700;69;
110605;0800;66;
110605;0900;63;
110605;1000;57;
110605;1100;60;
110605;1200;40;
110605;1300;53;
110605;1400;52;
110605;1500;284;
110605;1600;359;
110605;1700;205;
110605;1800;32;
110605;1900;37;
110605;2000;39;
110605;2100;67;
110605;2200;62;
110605;2300;61;
110606;0000;70;
110606;0100;53;
110606;0200;48;
110606;0300;64;
110606;0400;60;
110606;0500;63;
110606;0600;64;
110606;0700;65;
110606;0800;64;
110606;0900;58;
110606;1000;46;
110606;1100;31;
110606;1200;16;
110606;1300;15;
110606;1400;9;
110606;1500;10;
110606;1600;8;
110606;1700;12;
110606;1800;9;
110606;1900;17;
110606;2000;14;
110606;2100;18;
110606;2200;11;
110606;2300;13;
110607;0000;15;
110607;0100;12;
110607;0200;10;
110607;0300;4;
110607;0400;1;
110607;0500;1;
110607;0600;357;
110607;0700;0;
110607;0800;351;
110607;0900;343;
110607;1000;340;
110607;1100;325;
110607;1200;333;
110607;1300;325;
110607;1400;336;
110607;1500;325;
110607;1600;326;
110607;1700;328;
110607;1800;337;
110607;1900;333;
110607;2000;332;
110607;2100;336;
110607;2200;339;
110607;2300;335;
110608;0000;288;
110608;0100;314;
110608;0200;290;
110608;0300;282;
110608;0400;289;
110608;0500;293;
110608;0600;283;
110608;0700;262;
110608;0800;264;
110608;0900;298;
110608;1000;292;
110608;1100;301;
110608;1200;269;
110608;1300;303;
110608;1400;342;
110608;1500;329;
110608;1600;334;
110608;1700;323;
110608;1800;336;
110608;1900;340;
110608;2000;348;
110608;2100;354;
110608;2200;358;
110608;2300;10;
110609;0000;15;
110609;0100;16;
110609;0200;16;
110609;0300;6;
110609;0400;5;
110609;0500;360;
110609;0600;2;
110609;0700;7;
110609;0800;16;
110609;0900;11;
110609;1000;7;
110609;1100;7;
110609;1200;2;
110609;1300;354;
110609;1400;354;
110609;1500;356;
110609;1600;353;
110609;1700;24;
110609;1800;19;
110609;1900;59;
110609;2000;56;
110609;2100;54;
110609;2200;38;
110609;2300;5;
110610;0000;25;
110610;0100;22;
110610;0200;22;
110610;0300;17;
110610;0400;27;
110610;0500;20;
110610;0600;19;
110610;0700;14;
110610;0800;19;
110610;0900;18;
110610;1000;13;
110610;1100;8;
110610;1200;3;
110610;1300;2;
110610;1400;356;
110610;1500;354;
110610;1600;342;
110610;1700;317;
110610;1800;318;
110610;1900;304;
110610;2000;296;
110610;2100;304;
110610;2200;329;
110610;2300;311;
110611;0000;313;
110611;0100;297;
110611;0200;242;
110611;0300;120;
110611;0400;40;
110611;0500;57;
110611;0600;99;
110611;0700;70;
110611;0800;69;
110611;0900;337;
110611;1000;41;
110611;1100;5;
110611;1200;348;
110611;1300;349;
110611;1400;345;
110611;1500;349;
110611;1600;347;
110611;1700;353;
110611;1800;349;
110611;1900;353;
110611;2000;346;
110611;2100;284;
110611;2200;222;
110611;2300;217;
110612;0000;207;
110612;0100;166;
110612;0200;165;
110612;0300;135;
110612;0400;156;
110612;0500;146;
110612;0600;149;
110612;0700;158;
110612;0800;181;
