FECHA (YYMMDD);HORA (HHMM);;
110601;0100;68,6233;
110601;0200;74,7692;
110601;0300;76,5791;
110601;0400;77,1266;
110601;0500;73,5258;
110601;0600;72,6658;
110601;0700;81,8317;
110601;0800;86,5332;
110601;0900;83,7749;
110601;1000;81,3167;
110601;1100;79,3716;
110601;1200;77,1324;
110601;1300;76,0408;
110601;1400;73,3333;
110601;1500;73,9132;
110601;1600;74,6958;
110601;1700;76,8232;
110601;1800;76,0724;
110601;1900;75,495;
110601;2000;75,0691;
110601;2100;74,5208;
110601;2200;78,3307;
110601;2300;79,3833;
110602;0000;79,0057;
110602;0100;78,0632;
110602;0200;78,6349;
110602;0300;78,1292;
110602;0400;79,6074;
110602;0500;81,7832;
110602;0600;79,6017;
110602;0700;77,9767;
110602;0800;76,5325;
110602;0900;75,8892;
110602;1000;75,9249;
110602;1100;82,9341;
110602;1200;82,3633;
110602;1300;83,3167;
110602;1400;82,475;
110602;1500;79,0525;
110602;1600;80,12;
110602;1700;82,2832;
110602;1800;80,3058;
110602;1900;79,1307;
110602;2000;79,6608;
110602;2100;80,2958;
110602;2200;82,0499;
110602;2300;82,375;
110603;0000;82,9082;
110603;0100;82,0083;
110603;0200;81,475;
110603;0300;80,4192;
110603;0400;79,2291;
110603;0500;79,5083;
110603;0600;81,5083;
110603;0700;81,8417;
110603;0800;81,0682;
110603;0900;79,1608;
110603;1000;72,1891;
110603;1100;72,8391;
110603;1200;69,9092;
110603;1300;79,6775;
110603;1400;79,5941;
110603;1500;80,625;
110603;1600;81,6917;
110603;1700;82,8667;
110603;1800;87,6832;
110603;1900;89,3999;
110603;2000;90,0499;
110603;2100;89,4917;
110603;2200;91,075;
110603;2300;91,1333;
110604;0000;90,4583;
110604;0100;90,5833;
110604;0200;92,5083;
110604;0300;94,6582;
110604;0400;95,2749;
110604;0500;95,3082;
110604;0600;93,4082;
110604;0700;88,0917;
110604;0800;86,725;
110604;0900;84,725;
110604;1000;83,7832;
110604;1100;80,6449;
110604;1200;79,6658;
110604;1300;87,35;
110604;1400;89,8583;
110604;1500;86,8916;
110604;1600;87,325;
110604;1700;87,8417;
