FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;66,3148;
110602;0000;;;39,2486;
110603;0000;;;66,2643;
110604;0000;;;28,4583;
110605;0000;;;38,3776;
110606;0000;;;26,8868;
110607;0000;;;43,1902;
110608;0000;;;;
110609;0000;;;85,2642;
110610;0000;;;30,8577;
110611;0000;;;30,9925;
110612;0000;;;78,1033;
110613;0000;;;102,361;
110614;0000;;;102,099;
110615;0000;;;27,6962;
110616;0000;;;28,9653;
110617;0000;;;22,3879;
110618;0000;;;45,5645;
110619;0000;;;33,0859;
110620;0000;;;45,192;
110621;0000;;;60,9243;
110622;0000;;;48,41;
110623;0000;;;40,6066;
110624;0000;;;102,836;
110625;0000;;;648,771;
110626;0000;;;403,451;
110627;0000;;;67,0093;
110628;0000;;;41,1888;
110629;0000;;;40,8419;
110630;0000;;;78,6445;
110701;0000;;;74,0034;
110702;0000;;;163,739;
110703;0000;;;103,815;
110704;0000;;;103,898;
110705;0000;;;61,5215;
110706;0000;;;171,506;
110707;0000;;;228,139;
110708;0000;;;111,12;
110709;0000;;;61,6222;
110710;0000;;;47,1678;
110711;0000;;;56,7382;
110712;0000;;;57,9766;
110713;0000;;;25,7002;
110714;0000;;;32,9374;
110715;0000;;;41,7157;
110716;0000;;;39,5145;
110717;0000;;;45,4375;
110718;0000;;;69,8082;
110719;0000;;;90,625;
110720;0000;;;39,6458;
110721;0000;;;62,2573;
110722;0000;;;47,9181;
110723;0000;;;48,0134;
110724;0000;;;27,9142;
110725;0000;;;60,0092;
110726;0000;;;47,9937;
110727;0000;;;48,9758;
110728;0000;;;57,5541;
110729;0000;;;84,2678;
110730;0000;;;73,5743;
110731;0000;;;93,131;
110801;0000;;;105,703;
110802;0000;;;71,8765;
110803;0000;;;104,574;
110804;0000;;;32,3589;
110805;0000;;;33,1566;
110806;0000;;;30,5224;
110807;0000;;;32,5414;
110808;0000;;;27,2094;
110809;0000;;;27,8793;
110810;0000;;;51,2616;
110811;0000;;;28,7296;
110812;0000;;;40,3304;
110813;0000;;;59,1539;
110814;0000;;;81,7419;
110815;0000;;;37,9108;
110816;0000;;;38,0694;
