FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150804;0000;;;20,038;
150805;0000;;;72,3663;
150806;0000;;;4,43337;
150807;0000;;;6,11482;
150808;0000;;;6,33878;
150809;0000;;;7,91461;
150810;0000;;;7,02495;
150811;0000;;;9,13217;
150812;0000;;;20,7536;
150813;0000;;;15,3788;
150814;0000;;;24,9141;
150815;0000;;;9,87953;
150816;0000;;;10,3407;
150817;0000;;;15,1586;
150818;0000;;;;
150819;0000;;;;
150820;0000;;;30,6437;
150821;0000;;;106,684;
150822;0000;;;164,022;
150823;0000;;;;
150824;0000;;;;
150825;0000;;;92,0719;
150826;0000;;;14,2789;
150827;0000;;;16,5036;
150828;0000;;;91,8929;
150829;0000;;;58,5391;
150830;0000;;;17,1087;
150831;0000;;;9,99236;
150901;0000;;;23,439;
150902;0000;;;19,4512;
150903;0000;;;21,3303;
150904;0000;;;20,0213;
150905;0000;;;68,5116;
150906;0000;;;12,6081;
150907;0000;;;6,32737;
150908;0000;;;61,8735;
150909;0000;;;50,3416;
150910;0000;;;4,83599;
150911;0000;;;6,0357;
150912;0000;;;7,09266;
150913;0000;;;20,4113;
150914;0000;;;22,0424;
150915;0000;;;9,4959;
150916;0000;;;9,42824;
150917;0000;;;8,13519;
150918;0000;;;8,85449;
150919;0000;;;13,8002;
150920;0000;;;23,3661;
150921;0000;;;13,7639;
150922;0000;;;13,4571;
150923;0000;;;13,0959;
150924;0000;;;10,0607;
150925;0000;;;4,06241;
150926;0000;;;14,1173;
150927;0000;;;15,9536;
150928;0000;;;4,96333;
150929;0000;;;9,49365;
150930;0000;;;11,1984;
151001;0000;;;12,6152;
151002;0000;;;5,77628;
151003;0000;;;6,95437;
151004;0000;;;11,8825;
151005;0000;;;4,88545;
151006;0000;;;6,71458;
151007;0000;;;5,5687;
151008;0000;;;8,18599;
151009;0000;;;11,341;
151010;0000;;;13,0316;
151011;0000;;;7,49816;
151012;0000;;;11,1583;
151013;0000;;;6,78815;
151014;0000;;;6,67349;
151015;0000;;;3,71358;
151016;0000;;;9,50945;
151017;0000;;;11,4764;
151018;0000;;;10,2991;
151019;0000;;;8,21404;
151020;0000;;;7,21495;
151021;0000;;;6,95674;
151022;0000;;;10,3387;
151023;0000;;;8,72136;
151024;0000;;;7,59995;
151025;0000;;;4,91691;
151026;0000;;;5,54982;
151027;0000;;;12,4299;
151028;0000;;;;
151029;0000;;;7,25228;
151030;0000;;;6,21299;
151031;0000;;;6,57187;
151101;0000;;;14,169;
151102;0000;;;10,9241;
151103;0000;;;16,5158;
151104;0000;;;16,866;
151105;0000;;;15,8923;
151106;0000;;;14,6964;
151107;0000;;;6,97128;
151108;0000;;;5,60091;
151109;0000;;;6,50549;
151110;0000;;;10,2659;
151111;0000;;;12,7154;
151112;0000;;;7,69003;
151113;0000;;;10,0427;
151114;0000;;;7,10862;
151115;0000;;;6,99918;
151116;0000;;;7,14595;
151117;0000;;;;
151118;0000;;;4,90787;
151119;0000;;;4,18608;
151120;0000;;;5,17078;
151121;0000;;;5,23849;
151122;0000;;;3,65341;
151123;0000;;;4,81204;
151124;0000;;;6,15399;
151125;0000;;;2,7392;
151126;0000;;;4,85999;
151127;0000;;;3,24087;
151128;0000;;;6,57707;
151129;0000;;;11,1912;
151130;0000;;;14,4614;
151201;0000;;;15,2793;
151202;0000;;;7,41929;
151203;0000;;;7,0042;
151204;0000;;;11,1032;
151205;0000;;;12,8854;
151206;0000;;;4,8532;
151207;0000;;;5,79578;
151208;0000;;;8,74023;
151209;0000;;;17,0634;
151210;0000;;;11,567;
151211;0000;;;8,87332;
151212;0000;;;4,20441;
151213;0000;;;5,89503;
151214;0000;;;4,28941;
151215;0000;;;8,14212;
151216;0000;;;13,9202;
151217;0000;;;11,0232;
151218;0000;;;9,96732;
151219;0000;;;14,9105;
151220;0000;;;3,87933;
151221;0000;;;7,69324;
151222;0000;;;6,10199;
151223;0000;;;4,59862;
151224;0000;;;10,3076;
151225;0000;;;6,27828;
151226;0000;;;8,28128;
151227;0000;;;8,37498;
151228;0000;;;6,3822;
151229;0000;;;11,7549;
151230;0000;;;8,61424;
151231;0000;;;16,1122;
160101;0000;;;9,83319;
160102;0000;;;8,28215;
160103;0000;;;8,17415;
160104;0000;;;11,2459;
160105;0000;;;13,3163;
160106;0000;;;23,8583;
160107;0000;;;18,2155;
160108;0000;;;12,1932;
160109;0000;;;12,2487;
160110;0000;;;8,70786;
160111;0000;;;9,40524;
160112;0000;;;4,41374;
160113;0000;;;11,4038;
160114;0000;;;7,63541;
160115;0000;;;4,66525;
160116;0000;;;8,89966;
160117;0000;;;8,32173;
160118;0000;;;;
160119;0000;;;;
160120;0000;;;13,14;
160121;0000;;;12,9638;
160122;0000;;;15,9434;
160123;0000;;;17,6865;
160124;0000;;;4,40404;
160125;0000;;;11,6156;
160126;0000;;;9,29123;
160127;0000;;;6,85561;
160128;0000;;;10,8564;
160129;0000;;;7,32611;
160130;0000;;;21,3717;
160131;0000;;;14,845;
160201;0000;;;58,4183;
160202;0000;;;7,60974;
160203;0000;;;7,86116;
160204;0000;;;12,4073;
160205;0000;;;11,2365;
160206;0000;;;13,5961;
160207;0000;;;10,6063;
160208;0000;;;61,3594;
160209;0000;;;16,008;
160210;0000;;;17,6994;
160211;0000;;;8,14386;
160212;0000;;;5,86678;
160213;0000;;;6,92833;
160214;0000;;;5,01704;
160215;0000;;;8,66573;
160216;0000;;;9,44283;
160217;0000;;;6,1417;
160218;0000;;;8,24557;
160219;0000;;;11,6346;
160220;0000;;;11,8975;
160221;0000;;;7,81178;
160222;0000;;;8,72552;
160223;0000;;;20,4256;
160224;0000;;;14,9571;
160225;0000;;;12,0519;
160226;0000;;;7,25057;
160227;0000;;;14,5149;
160228;0000;;;96,9606;
160229;0000;;;17,6318;
160301;0000;;;23,7087;
160302;0000;;;20,8535;
160303;0000;;;14,2816;
160304;0000;;;21,9733;
160305;0000;;;23,9037;
160306;0000;;;14,5471;
160307;0000;;;59,3862;
160308;0000;;;77,9854;
160309;0000;;;12,1002;
160310;0000;;;25,0498;
160311;0000;;;21,2925;
160312;0000;;;18,9004;
160313;0000;;;11,4182;
160314;0000;;;14,4326;
160315;0000;;;28,4362;
