FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;4,47146;
110602;0000;;;1,49486;
110603;0000;;;7,18401;
110604;0000;;;1,9475;
110605;0000;;;1,47641;
110606;0000;;;0,838635;
110607;0000;;;0,53136;
110608;0000;;;0,753579;
110609;0000;;;3,92739;
110610;0000;;;1,02336;
110611;0000;;;3,33248;
110612;0000;;;6,95933;
110613;0000;;;19,7605;
110614;0000;;;14,3406;
110615;0000;;;1,62893;
110616;0000;;;0,73595;
110617;0000;;;0,767109;
110618;0000;;;0,886419;
110619;0000;;;0,817539;
110620;0000;;;6,45995;
110621;0000;;;7,99186;
110622;0000;;;3,43375;
110623;0000;;;4,35501;
110624;0000;;;10,0749;
110625;0000;;;23,1211;
110626;0000;;;9,66368;
110627;0000;;;4,2464;
110628;0000;;;5,59526;
110629;0000;;;4,75149;
110630;0000;;;14,0659;
110701;0000;;;14,1294;
110702;0000;;;13,4447;
110703;0000;;;8,53046;
110704;0000;;;17,3604;
110705;0000;;;3,82161;
110706;0000;;;20,1838;
110707;0000;;;34,9402;
110708;0000;;;11,8236;
110709;0000;;;1,3325;
110710;0000;;;1,56415;
110711;0000;;;2,15764;
110712;0000;;;3,157;
110713;0000;;;0,988099;
110714;0000;;;0,660509;
110715;0000;;;1,35874;
110716;0000;;;1,50962;
110717;0000;;;2,54774;
110718;0000;;;11,0503;
110719;0000;;;15,4037;
110720;0000;;;2,89088;
110721;0000;;;5,77689;
110722;0000;;;6,84494;
110723;0000;;;5,94663;
110724;0000;;;0,995069;
110725;0000;;;1,88231;
110726;0000;;;5,74942;
110727;0000;;;1,54037;
110728;0000;;;5,21743;
110729;0000;;;12,66;
110730;0000;;;11,6932;
110731;0000;;;5,54934;
110801;0000;;;8,50636;
110802;0000;;;13,5429;
110803;0000;;;20,2739;
110804;0000;;;6,77364;
110805;0000;;;3,91867;
110806;0000;;;6,87829;
110807;0000;;;6,84068;
110808;0000;;;4,29955;
110809;0000;;;9,10397;
110810;0000;;;5,07912;
110811;0000;;;6,12128;
110812;0000;;;8,49632;
110813;0000;;;8,77394;
110814;0000;;;13,0046;
110815;0000;;;5,24018;
110816;0000;;;4,8504;
110817;0000;;;7,61649;
110818;0000;;;10,273;
110819;0000;;;15,8452;
110820;0000;;;15,9111;
110821;0000;;;13,0528;
110822;0000;;;13,8437;
110823;0000;;;9,25397;
110824;0000;;;12,8914;
110825;0000;;;11,1377;
110826;0000;;;2,96212;
110827;0000;;;6,76862;
110828;0000;;;2,21714;
110829;0000;;;9,065;
110830;0000;;;12,9538;
110831;0000;;;16,032;
110901;0000;;;2,79866;
110902;0000;;;1,33964;
110903;0000;;;3,66253;
110904;0000;;;0,9266;
110905;0000;;;8,24948;
110906;0000;;;8,63623;
110907;0000;;;9,14749;
