FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;9,89165;
110602;0000;;;1,79041;
110603;0000;;;7,70041;
110604;0000;;;4,49999;
110605;0000;;;2,92625;
110606;0000;;;2,72;
110607;0000;;;2,3475;
110608;0000;;;3,18916;
110609;0000;;;10,2096;
110610;0000;;;6,02291;
110611;0000;;;7,59916;
110612;0000;;;8,49332;
110613;0000;;;13,4482;
110614;0000;;;16,2592;
110615;0000;;;4,18832;
110616;0000;;;3,21166;
110617;0000;;;2,23792;
110618;0000;;;4,62541;
110619;0000;;;2,68333;
110620;0000;;;6,78954;
110621;0000;;;9,71817;
110622;0000;;;5,17291;
110623;0000;;;8,22873;
110624;0000;;;9,28749;
110625;0000;;;16,9104;
110626;0000;;;10,8933;
110627;0000;;;6,25317;
110628;0000;;;7,42249;
110629;0000;;;6,19749;
110630;0000;;;13,7312;
110701;0000;;;11,6733;
110702;0000;;;12,2941;
110703;0000;;;11,2221;
110704;0000;;;13,1891;
110705;0000;;;5,77999;
110706;0000;;;13,5275;
110707;0000;;;12,3037;
110708;0000;;;7,19181;
110709;0000;;;4,75957;
110710;0000;;;3,51208;
110711;0000;;;6,16999;
110712;0000;;;7,64416;
110713;0000;;;2,44541;
110714;0000;;;3,21375;
110715;0000;;;2,98833;
110716;0000;;;4,22166;
110717;0000;;;5,39583;
110718;0000;;;10,8091;
110719;0000;;;9,11707;
110720;0000;;;6,57631;
110721;0000;;;10,0954;
110722;0000;;;5,69208;
110723;0000;;;3,79708;
110724;0000;;;2,9025;
110725;0000;;;7,61458;
110726;0000;;;6,69249;
110727;0000;;;6,68707;
110728;0000;;;8,0909;
110729;0000;;;12,0892;
110730;0000;;;11,15;
110731;0000;;;7,90499;
110801;0000;;;2,45863;
110802;0000;;;9,10966;
110803;0000;;;11,9437;
110804;0000;;;1,5424;
110805;0000;;;0,672573;
110806;0000;;;0,887333;
110807;0000;;;1,44154;
110808;0000;;;0,78347;
110809;0000;;;2,08551;
110810;0000;;;1,64054;
110811;0000;;;1,04463;
110812;0000;;;1,76376;
110813;0000;;;5,23403;
110814;0000;;;5,92427;
110815;0000;;;1,68825;
110816;0000;;;1,20274;
110817;0000;;;2,85255;
110818;0000;;;7,69552;
110819;0000;;;14,4964;
110820;0000;;;8,00044;
110821;0000;;;5,63641;
110822;0000;;;6,3877;
110823;0000;;;3,99068;
110824;0000;;;6,16401;
110825;0000;;;2,61511;
110826;0000;;;1,5146;
110827;0000;;;0,852984;
110828;0000;;;0,466702;
110829;0000;;;2,118;
110830;0000;;;4,56669;
110831;0000;;;5,40987;
110901;0000;;;4,62624;
110902;0000;;;2,12091;
110903;0000;;;4,45874;
110904;0000;;;1,685;
110905;0000;;;9,1076;
110906;0000;;;8,18748;
110907;0000;;;8,40207;
110908;0000;;;1,44167;
110909;0000;;;3,19833;
110910;0000;;;6,82957;
110911;0000;;;7,81041;
110912;0000;;;3,72958;
110913;0000;;;8,32124;
110914;0000;;;5,04832;
110915;0000;;;2,17739;
110916;0000;;;6,66957;
110917;0000;;;4,005;
110918;0000;;;4,95916;
110919;0000;;;4,27457;
110920;0000;;;4,78999;
110921;0000;;;4,24094;
110922;0000;;;6,48332;
110923;0000;;;8,38332;
110924;0000;;;6,64957;
110925;0000;;;5,32666;
110926;0000;;;8,87999;
110927;0000;;;7,75565;
110928;0000;;;2,32125;
110929;0000;;;5,41541;
110930;0000;;;6,355;
111001;0000;;;5,88083;
111002;0000;;;4,92041;
