FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;16,92;
110602;0000;;;3,34215;
110603;0000;;;13,8119;
110604;0000;;;7,42088;
110605;0000;;;4,47564;
110606;0000;;;3,62897;
110607;0000;;;2,75385;
110608;0000;;;3,78691;
110609;0000;;;13,9747;
110610;0000;;;7,35553;
110611;0000;;;10,9343;
110612;0000;;;13,9142;
110613;0000;;;33,188;
110614;0000;;;32,153;
110615;0000;;;5,89371;
110616;0000;;;3,94969;
110617;0000;;;3,05391;
110618;0000;;;5,48946;
110619;0000;;;3,48749;
110620;0000;;;12,0793;
110621;0000;;;17,1563;
110622;0000;;;10,1129;
110623;0000;;;11,2118;
110624;0000;;;19,35;
110625;0000;;;40,0146;
110626;0000;;;21,6496;
110627;0000;;;10,2859;
110628;0000;;;13,5426;
110629;0000;;;10,3479;
110630;0000;;;27,165;
110701;0000;;;25,0609;
110702;0000;;;26,4887;
110703;0000;;;19,8962;
110704;0000;;;30,5623;
110705;0000;;;10,5765;
110706;0000;;;32,0289;
110707;0000;;;46,0251;
110708;0000;;;21,881;
110709;0000;;;6,38529;
110710;0000;;;5,2421;
110711;0000;;;7,90971;
110712;0000;;;10,474;
110713;0000;;;4,12889;
110714;0000;;;3,82901;
110715;0000;;;4,24606;
110716;0000;;;5,34317;
110717;0000;;;8,29851;
110718;0000;;;19,7543;
110719;0000;;;25,2922;
110720;0000;;;10,4542;
110721;0000;;;15,5636;
110722;0000;;;13,1407;
110723;0000;;;9,68588;
110724;0000;;;4,19536;
110725;0000;;;9,16942;
110726;0000;;;12,3617;
110727;0000;;;7,93786;
110728;0000;;;12,9212;
110729;0000;;;24,1982;
110730;0000;;;23,2616;
110731;0000;;;14,3441;
110801;0000;;;11,1689;
110802;0000;;;21,8532;
110803;0000;;;30,585;
110804;0000;;;10,8176;
110805;0000;;;4,56995;
110806;0000;;;7,35859;
110807;0000;;;8,65216;
110808;0000;;;5,13441;
110809;0000;;;9,40279;
110810;0000;;;8,31155;
110811;0000;;;7,02538;
110812;0000;;;10,2045;
110813;0000;;;13,1127;
110814;0000;;;18,6983;
110815;0000;;;8,23232;
110816;0000;;;5,70947;
110817;0000;;;10,5091;
110818;0000;;;17,0148;
110819;0000;;;30,6406;
110820;0000;;;23,5923;
110821;0000;;;18,7499;
110822;0000;;;21,3192;
110823;0000;;;13,1131;
110824;0000;;;18,3896;
110825;0000;;;14,3102;
110826;0000;;;4,75571;
110827;0000;;;7,48082;
110828;0000;;;2,83322;
110829;0000;;;10,6799;
110830;0000;;;16,9453;
110831;0000;;;21,8144;
110901;0000;;;8,0744;
110902;0000;;;3,28144;
110903;0000;;;8,04385;
110904;0000;;;2,77886;
110905;0000;;;16,1283;
