FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;6,23291;
110602;0000;;;9,7554;
110603;0000;;;9,73248;
110604;0000;;;8,53915;
110605;0000;;;10,6912;
110606;0000;;;5,24714;
110607;0000;;;9,76624;
110608;0000;;;10,8517;
110609;0000;;;11,5571;
110610;0000;;;12,6308;
110611;0000;;;12,2079;
110612;0000;;;13,5362;
110613;0000;;;7,07904;
110614;0000;;;3,04217;
110615;0000;;;8,90457;
110616;0000;;;11,765;
110617;0000;;;6,31374;
110618;0000;;;10,1612;
110619;0000;;;8,84749;
110620;0000;;;12,5805;
110621;0000;;;4,3139;
110622;0000;;;3,86291;
110623;0000;;;6,91708;
110624;0000;;;7,47624;
110625;0000;;;6,91624;
110626;0000;;;5,81249;
110627;0000;;;6,9538;
110628;0000;;;8,4404;
110629;0000;;;8,7529;
110630;0000;;;7,65999;
110701;0000;;;6,37125;
110702;0000;;;4,79458;
110703;0000;;;5,89458;
110704;0000;;;6,60619;
110705;0000;;;4,98499;
110706;0000;;;5,57082;
110707;0000;;;6,80666;
110708;0000;;;5,07136;
110709;0000;;;4,77916;
110710;0000;;;1,66958;
110711;0000;;;8,69713;
110712;0000;;;7,52791;
110713;0000;;;5,22916;
110714;0000;;;4,39416;
110715;0000;;;15,2092;
110716;0000;;;9,09207;
110717;0000;;;7,70624;
110718;0000;;;5,79523;
110719;0000;;;6,74166;
110720;0000;;;6,31052;
110721;0000;;;8,16624;
110722;0000;;;6,27416;
110723;0000;;;7,58374;
110724;0000;;;12,6271;
110725;0000;;;10,7758;
110726;0000;;;10,1317;
110727;0000;;;13,0225;
110728;0000;;;11,1864;
110729;0000;;;7,65624;
110730;0000;;;7,45374;
110731;0000;;;5,61124;
110801;0000;;;5,96708;
110802;0000;;;9,99748;
110803;0000;;;8,40082;
110804;0000;;;12,8058;
110805;0000;;;19,5838;
110806;0000;;;13,6946;
110807;0000;;;4,48499;
110808;0000;;;4,88666;
110809;0000;;;10,2029;
110810;0000;;;7,05166;
110811;0000;;;5,28874;
110812;0000;;;9,55206;
110813;0000;;;11,01;
110814;0000;;;7,73499;
110815;0000;;;8,57373;
110816;0000;;;3,47666;
110817;0000;;;10,2433;
110818;0000;;;10,2505;
110819;0000;;;7,49124;
110820;0000;;;8,85791;
110821;0000;;;10,1362;
110822;0000;;;7,76624;
110823;0000;;;3,73375;
110824;0000;;;8,60698;
110825;0000;;;10,0212;
110826;0000;;;6,52761;
110827;0000;;;5,17833;
110828;0000;;;3,36416;
110829;0000;;;12,2643;
110830;0000;;;7,97999;
110831;0000;;;8,89665;
110901;0000;;;10,0783;
110902;0000;;;4,1825;
110903;0000;;;12,6408;
110904;0000;;;5,81458;
110905;0000;;;10,9919;
110906;0000;;;7,91083;
110907;0000;;;10,9519;
110908;0000;;;5,53833;
110909;0000;;;6,46499;
110910;0000;;;7,82458;
110911;0000;;;9,03831;
110912;0000;;;6,49957;
110913;0000;;;7,86416;
110914;0000;;;10,2846;
110915;0000;;;2,74904;
110916;0000;;;12,7262;
110917;0000;;;8,90373;
110918;0000;;;7,20332;
110919;0000;;;5,30499;
110920;0000;;;5,97832;
110921;0000;;;4,76476;
110922;0000;;;8,59291;
110923;0000;;;7,24332;
110924;0000;;;7,69041;
110925;0000;;;6,38249;
110926;0000;;;10,9441;
110927;0000;;;7,20863;
110928;0000;;;12,6462;
110929;0000;;;11,6262;
110930;0000;;;9,74832;
111001;0000;;;8,99081;
111002;0000;;;9,07999;
111003;0000;;;7,88666;
111004;0000;;;6,85999;
111005;0000;;;6,50832;
111006;0000;;;11,805;
111007;0000;;;7,54618;
111008;0000;;;5,86443;
111009;0000;;;7,17249;
111010;0000;;;6,08833;
111011;0000;;;9,68082;
111012;0000;;;4,47208;
111013;0000;;;9,30635;
111014;0000;;;7,92583;
111015;0000;;;8,13332;
111016;0000;;;5,88457;
111017;0000;;;7,88818;
111018;0000;;;6,58541;
111019;0000;;;6,46999;
111020;0000;;;6,51083;
111021;0000;;;9,63165;
111022;0000;;;9,26915;
111023;0000;;;7,57582;
111024;0000;;;8,67908;
111025;0000;;;7,98291;
111026;0000;;;8,74454;
111027;0000;;;12,9308;
111028;0000;;;8,42207;
111029;0000;;;8,76833;
111030;0000;;;6,88374;
111031;0000;;;8,97226;
111101;0000;;;10,3587;
111102;0000;;;8,91206;
111103;0000;;;8,46498;
111104;0000;;;6,73874;
111105;0000;;;9,31749;
111106;0000;;;8,31708;
111107;0000;;;8,80635;
111108;0000;;;5,64874;
111109;0000;;;10,1562;
111110;0000;;;7,91041;
111111;0000;;;8,13206;
111112;0000;;;8,94331;
111113;0000;;;7,51458;
111114;0000;;;7,10272;
111115;0000;;;6,98291;
111116;0000;;;6,45833;
111117;0000;;;7,96999;
111118;0000;;;10,1979;
111119;0000;;;6,98833;
111120;0000;;;8,2529;
111121;0000;;;6,61707;
111122;0000;;;6,90582;
111123;0000;;;8,83957;
111124;0000;;;7,81082;
111125;0000;;;8,22862;
