FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110601;0000;;;7,39026;
110602;0000;;;1,36415;
110603;0000;;;5,01853;
110604;0000;;;2,81802;
110605;0000;;;2,62279;
110606;0000;;;0,609041;
110607;0000;;;3,27288;
110608;0000;;;2,65727;
110609;0000;;;6,22051;
110610;0000;;;2,98767;
110611;0000;;;8,48065;
110612;0000;;;5,87157;
110613;0000;;;10,3329;
110614;0000;;;8,25153;
110615;0000;;;2,10313;
110616;0000;;;0,749784;
110617;0000;;;0,699522;
110618;0000;;;4,01145;
110619;0000;;;1,93822;
110620;0000;;;5,79813;
110621;0000;;;6,7251;
110622;0000;;;2,50357;
110623;0000;;;4,45301;
110624;0000;;;7,31697;
110625;0000;;;24,4245;
110626;0000;;;14,4054;
110627;0000;;;3,71633;
110628;0000;;;4,97184;
110629;0000;;;2,38934;
110630;0000;;;8,20816;
110701;0000;;;5,86825;
110702;0000;;;7,75929;
110703;0000;;;10,5988;
110704;0000;;;8,78448;
110705;0000;;;4,702;
110706;0000;;;14,4881;
110707;0000;;;18,9295;
110708;0000;;;9,96597;
110709;0000;;;2,97961;
110710;0000;;;2,94306;
110711;0000;;;4,64802;
110712;0000;;;7,14143;
110713;0000;;;1,83271;
110714;0000;;;2,10247;
110715;0000;;;2,50025;
110716;0000;;;3,25211;
110717;0000;;;4,296;
110718;0000;;;6,46609;
110719;0000;;;10,6021;
110720;0000;;;2,96512;
110721;0000;;;6,61264;
110722;0000;;;4,33006;
110723;0000;;;4,30762;
110724;0000;;;3,61641;
110725;0000;;;5,37061;
110726;0000;;;3,51921;
110727;0000;;;4,02225;
110728;0000;;;3,08554;
110729;0000;;;8,5762;
110730;0000;;;9,47137;
110731;0000;;;7,46254;
110801;0000;;;3,78008;
110802;0000;;;6,69904;
110803;0000;;;11,7066;
110804;0000;;;2,93808;
110805;0000;;;1,54327;
110806;0000;;;3,14619;
110807;0000;;;3,59232;
110808;0000;;;1,09622;
110809;0000;;;4,98515;
110810;0000;;;4,32424;
110811;0000;;;4,46538;
110812;0000;;;2,36441;
110813;0000;;;4,69144;
110814;0000;;;7,55101;
110815;0000;;;2,78205;
110816;0000;;;1,87093;
110817;0000;;;3,14369;
110818;0000;;;6,12984;
110819;0000;;;7,52402;
110820;0000;;;6,93457;
110821;0000;;;6,21012;
110822;0000;;;4,53609;
110823;0000;;;3,66044;
110824;0000;;;5,29028;
110825;0000;;;2,92204;
110826;0000;;;0,890952;
110827;0000;;;1,92369;
110828;0000;;;1,35335;
110829;0000;;;3,11499;
110830;0000;;;3,13248;
110831;0000;;;3,63469;
110901;0000;;;1,55855;
110902;0000;;;1,40932;
110903;0000;;;3,51713;
110904;0000;;;2,06533;
110905;0000;;;5,36265;
110906;0000;;;3,28493;
110907;0000;;;3,29614;
110908;0000;;;0,994678;
110909;0000;;;0,165326;
110910;0000;;;0,333145;
110911;0000;;;0,479779;
110912;0000;;;0,277898;
110913;0000;;;1,96315;
110914;0000;;;1,81984;
110915;0000;;;0,932791;
110916;0000;;;2,49713;
110917;0000;;;2,18164;
110918;0000;;;2,57876;
110919;0000;;;3,24131;
110920;0000;;;2,50233;
110921;0000;;;2,38554;
110922;0000;;;4,01411;
110923;0000;;;3,94872;
110924;0000;;;2,11352;
110925;0000;;;3,16903;
110926;0000;;;3,7696;
110927;0000;;;2,1573;
110928;0000;;;0,719046;
110929;0000;;;1,34753;
110930;0000;;;1,86179;
111001;0000;;;2,16628;
111002;0000;;;3,21846;
111003;0000;;;3,97074;
111004;0000;;;2,8147;
111005;0000;;;2,27095;
111006;0000;;;1,19384;
111007;0000;;;2,54741;
111008;0000;;;1,30766;
111009;0000;;;1,95766;
111010;0000;;;1,30392;
111011;0000;;;3,832;
111012;0000;;;2,0346;
111013;0000;;;3,09919;
111014;0000;;;1,3708;
111015;0000;;;1,04056;
111016;0000;;;1,33757;
111017;0000;;;4,16245;
111018;0000;;;4,00024;
111019;0000;;;1,71765;
111020;0000;;;1,59738;
111021;0000;;;1,54111;
111022;0000;;;3,287;
111023;0000;;;3,16256;
111024;0000;;;3,83693;
111025;0000;;;3,08346;
111026;0000;;;3,52718;
111027;0000;;;1,8215;
111028;0000;;;2,52849;
111029;0000;;;1,62294;
111030;0000;;;2,41468;
111031;0000;;;6,08966;
111101;0000;;;1,34463;
111102;0000;;;1,74507;
111103;0000;;;2,21185;
111104;0000;;;1,24551;
111105;0000;;;3,07308;
111106;0000;;;3,47643;
111107;0000;;;1,39095;
111108;0000;;;2,24271;
111109;0000;;;0,483933;
111110;0000;;;0,809185;
111111;0000;;;1,92974;
111112;0000;;;6,04562;
111113;0000;;;0,935466;
111114;0000;;;2,33588;
111115;0000;;;1,29935;
111116;0000;;;5,36429;
111117;0000;;;1,5166;
111118;0000;;;2,17682;
111119;0000;;;4,48043;
111120;0000;;;2,17167;
111121;0000;;;1,10079;
111122;0000;;;4,71803;
111123;0000;;;1,78702;
111124;0000;;;1,54111;
111125;0000;;;3,73331;
111126;0000;;;3,78672;
111127;0000;;;0,915525;
111128;0000;;;1,41566;
111129;0000;;;1,34712;
111130;0000;;;1,06257;
111201;0000;;;4,68813;
111202;0000;;;1,92327;
111203;0000;;;2,43171;
111204;0000;;;1,20921;
111205;0000;;;1,47257;
111206;0000;;;4,05798;
111207;0000;;;2,14213;
111208;0000;;;0,583627;
111209;0000;;;1,42147;
111210;0000;;;1,0256;
111211;0000;;;1,1361;
111212;0000;;;1,70704;
111213;0000;;;1,70186;
111214;0000;;;3,94457;
111215;0000;;;4,99423;
111216;0000;;;1,46634;
111217;0000;;;4,11945;
111218;0000;;;0,517163;
111219;0000;;;3,55452;
111220;0000;;;1,5922;
111221;0000;;;0,808354;
111222;0000;;;0,986143;
111223;0000;;;1,17598;
111224;0000;;;1,82067;
111225;0000;;;1,34421;
111226;0000;;;8,15765;
111227;0000;;;3,31608;
111228;0000;;;1,90558;
111229;0000;;;2,56297;
111230;0000;;;5,65392;
111231;0000;;;2,03085;
120101;0000;;;0,626412;
120102;0000;;;1,81901;
120103;0000;;;2,23398;
120104;0000;;;3,04358;
120105;0000;;;2,63625;
120106;0000;;;7,2104;
120107;0000;;;4,74155;
120108;0000;;;1,28024;
120109;0000;;;1,83329;
120110;0000;;;0,824862;
120111;0000;;;0,95582;
120112;0000;;;7,36201;
120113;0000;;;2,92104;
120114;0000;;;2,46785;
120115;0000;;;0,760169;
120116;0000;;;1,00941;
120117;0000;;;1,88879;
120118;0000;;;0,644274;
120119;0000;;;0,949992;
120120;0000;;;1,34361;
120121;0000;;;1,5922;
120122;0000;;;4,11031;
120123;0000;;;4,41454;
120124;0000;;;1,61463;
120125;0000;;;1,18553;
120126;0000;;;0,381212;
120127;0000;;;2,0645;
120128;0000;;;1,98142;
120129;0000;;;4,00564;
120130;0000;;;5,10892;
120131;0000;;;1,11616;
120201;0000;;;0,294336;
120202;0000;;;1,61089;
120203;0000;;;0,712814;
120204;0000;;;0,876064;
120205;0000;;;0,451532;
120206;0000;;;0,505532;
