FECHA (YYMMDD);HORA (HHMM);;
110601;0100;11,4458;
110601;0200;10,535;
110601;0300;10,2258;
110601;0400;10,3033;
110601;0500;10,1308;
110601;0600;9,67667;
110601;0700;9,12582;
110601;0800;9,32166;
110601;0900;10,6975;
110601;1000;11,5925;
110601;1100;12,2467;
110601;1200;12,4525;
110601;1300;12,4733;
110601;1400;12,5508;
110601;1500;12,6375;
110601;1600;12,6775;
110601;1700;12,4792;
110601;1800;12,3183;
110601;1900;12,3467;
110601;2000;12,2258;
110601;2100;12,0517;
110601;2200;11,235;
110601;2300;11,0525;
110602;0000;11,035;
110602;0100;11,1283;
110602;0200;10,8817;
110602;0300;10,8542;
110602;0400;10,6108;
110602;0500;10,3317;
110602;0600;10,3133;
110602;0700;10,5125;
110602;0800;10,7833;
110602;0900;10,99;
110602;1000;11,0533;
110602;1100;10,68;
110602;1200;11,1817;
110602;1300;11,3683;
110602;1400;12,0958;
110602;1500;13,0025;
110602;1600;12,5267;
110602;1700;12,2017;
110602;1800;12,565;
110602;1900;12,83;
110602;2000;12,8008;
110602;2100;12,8733;
110602;2200;12,7992;
110602;2300;12,9067;
110603;0000;12,9383;
110603;0100;13,1417;
110603;0200;13,2075;
110603;0300;13,4075;
110603;0400;13,62;
110603;0500;13,4758;
110603;0600;13,175;
110603;0700;13,0417;
110603;0800;13,2817;
110603;0900;13,7692;
110603;1000;15,3892;
110603;1100;15,3483;
110603;1200;16,145;
110603;1300;14,0617;
110603;1400;14,1442;
110603;1500;14,015;
110603;1600;13,885;
110603;1700;13,5933;
110603;1800;12,6683;
110603;1900;12,215;
110603;2000;12,0942;
110603;2100;12,0908;
110603;2200;11,5333;
110603;2300;11,6558;
110604;0000;12,0567;
110604;0100;11,995;
110604;0200;11,4792;
110604;0300;11,4425;
110604;0400;11,2908;
110604;0500;11,2792;
110604;0600;11,5017;
110604;0700;12,0792;
110604;0800;12,2767;
110604;0900;12,665;
110604;1000;12,9592;
110604;1100;13,3975;
110604;1200;13,5233;
110604;1300;12,5683;
110604;1400;12,1983;
110604;1500;12,68;
110604;1600;12,7458;
110604;1700;12,6325;
110604;1800;12,6358;
110604;1900;12,5367;
110604;2000;12,5642;
110604;2100;12,6442;
110604;2200;12,6525;
110604;2300;12,6875;
110605;0000;12,6567;
110605;0100;12,5175;
110605;0200;12,3617;
110605;0300;11,575;
110605;0400;11,2308;
110605;0500;11,0942;
110605;0600;10,9658;
110605;0700;10,88;
110605;0800;11,1908;
110605;0900;12,1608;
110605;1000;13,2158;
110605;1100;14,3717;
110605;1200;14,7158;
110605;1300;14,895;
110605;1400;15,2225;
110605;1500;14,135;
110605;1600;13,3258;
110605;1700;13,0292;
110605;1800;12,6867;
110605;1900;12,7508;
110605;2000;12,4983;
110605;2100;11,9217;
110605;2200;12,0067;
110605;2300;11,8408;
110606;0000;11,8567;
110606;0100;12,3775;
110606;0200;13,0325;
110606;0300;12,7567;
110606;0400;12,5242;
110606;0500;11,67;
110606;0600;11,6325;
110606;0700;12,3033;
110606;0800;12,57;
110606;0900;12,8858;
110606;1000;13,2342;
110606;1100;14,4042;
110606;1200;14,0467;
110606;1300;13,8283;
110606;1400;13,2542;
110606;1500;13,0433;
110606;1600;13,4317;
110606;1700;13,1742;
110606;1800;13,0975;
110606;1900;13,075;
110606;2000;13,2367;
110606;2100;13,4317;
110606;2200;13,5325;
110606;2300;13,37;
110607;0000;13,3258;
110607;0100;13,3375;
110607;0200;13,3942;
110607;0300;13,5258;
110607;0400;13,5708;
110607;0500;13,1175;
110607;0600;12,96;
110607;0700;13,1642;
110607;0800;13,0467;
110607;0900;12,8608;
110607;1000;12,955;
110607;1100;12,9983;
110607;1200;13,7875;
110607;1300;13,8225;
110607;1400;14,395;
110607;1500;14,1575;
110607;1600;13,2883;
110607;1700;13,2075;
110607;1800;13,3692;
110607;1900;13,2967;
110607;2000;13,115;
110607;2100;13,175;
110607;2200;13,0883;
110607;2300;13,0225;
110608;0000;11,11;
110608;0100;11,4058;
110608;0200;12,3208;
110608;0300;11,3792;
110608;0400;11,435;
110608;0500;11,8525;
110608;0600;12,0575;
110608;0700;11,785;
110608;0800;12,0258;
110608;0900;12,1492;
110608;1000;12,6142;
110608;1100;13,0117;
110608;1200;12,8308;
110608;1300;12,3783;
110608;1400;12,3692;
110608;1500;12,7842;
110608;1600;12,9125;
110608;1700;12,4325;
110608;1800;12,3708;
110608;1900;12,3775;
110608;2000;12,3283;
110608;2100;12,3575;
110608;2200;12,2683;
110608;2300;12,13;
110609;0000;12,2017;
110609;0100;12,1483;
110609;0200;12,15;
110609;0300;12,2017;
110609;0400;12,1967;
110609;0500;12,1875;
110609;0600;12,1467;
110609;0700;12,07;
110609;0800;12,1125;
110609;0900;12,3958;
110609;1000;12,6425;
110609;1100;13,0583;
110609;1200;13,6225;
110609;1300;13,8158;
110609;1400;14,0058;
110609;1500;13,9083;
110609;1600;13,7925;
110609;1700;13,35;
110609;1800;12,6108;
110609;1900;12,1292;
110609;2000;12,0992;
110609;2100;12,22;
110609;2200;12,3008;
110609;2300;12,3433;
110610;0000;12,06;
110610;0100;11,9708;
110610;0200;11,92;
110610;0300;11,7958;
110610;0400;11,58;
110610;0500;11,5708;
110610;0600;11,5783;
110610;0700;11,63;
110610;0800;11,7275;
110610;0900;11,9667;
110610;1000;12,1908;
110610;1100;12,5;
110610;1200;12,7933;
110610;1300;12,7667;
110610;1400;12,6992;
110610;1500;12,5858;
110610;1600;12,6058;
110610;1700;12,5433;
110610;1800;12,6683;
110610;1900;12,5892;
110610;2000;12,4667;
110610;2100;12,3117;
110610;2200;12,3825;
110610;2300;12,4692;
110611;0000;12,4067;
110611;0100;12,39;
110611;0200;12,235;
110611;0300;11,9333;
110611;0400;11,7908;
110611;0500;11,3108;
110611;0600;10,9933;
110611;0700;10,8275;
110611;0800;11,1308;
110611;0900;11,5867;
110611;1000;11,7742;
110611;1100;12,2358;
110611;1200;12,5417;
110611;1300;12,4875;
110611;1400;12,7542;
110611;1500;12,6708;
110611;1600;12,7183;
110611;1700;12,6725;
110611;1800;12,6833;
110611;1900;12,7133;
110611;2000;12,8225;
110611;2100;12,3183;
110611;2200;11,6558;
110611;2300;11,1667;
110612;0000;9,4025;
110612;0100;9,4025;
110612;0200;8,87833;
110612;0300;8,68999;
110612;0400;8,70749;
110612;0500;8,43666;
110612;0600;8,46582;
110612;0700;8,15916;
110612;0800;7,38575;
110612;0900;9,34782;
110612;1000;10,8458;
110612;1100;11,4692;
110612;1200;12,3133;
110612;1300;12,63;
110612;1400;12,9617;
110612;1500;13,1633;
110612;1600;12,7208;
110612;1700;11,8825;
110612;1800;10,5217;
110612;1900;9,95833;
110612;2000;9,6075;
110612;2100;8,80457;
110612;2200;7,77074;
110612;2300;7,20125;
110613;0000;5,95808;
110613;0100;6,19241;
110613;0200;6,05608;
110613;0300;6,08707;
110613;0400;5,40208;
110613;0500;5,32124;
110613;0600;5,23;
110613;0700;5,44749;
110613;0800;5,86208;
110613;0900;7,35042;
110613;1000;8,91916;
110613;1100;9,46332;
110613;1200;10,25;
110613;1300;11,4083;
110613;1400;12,595;
110613;1500;13,2667;
110613;1600;12,8983;
110613;1700;11,5233;
110613;1800;10,1508;
110613;1900;8,85916;
110613;2000;7,89349;
110613;2100;7,17367;
110613;2200;7,25442;
110613;2300;7,17599;
110614;0000;6,93333;
110614;0100;7,02267;
110614;0200;6,79792;
110614;0300;6,60525;
110614;0400;6,15289;
110614;0500;6,4515;
110614;0600;6,72342;
110614;0700;6,91008;
110614;0800;7,49267;
110614;0900;8,06908;
110614;1000;8,37392;
110614;1100;9,24416;
110614;1200;9,85666;
110614;1300;9,80249;
110614;1400;10,0567;
110614;1500;9,84499;
110614;1600;9,39249;
110614;1700;9,17999;
110614;1800;8,86749;
110614;1900;9,04999;
110614;2000;9,30333;
110614;2100;9,60332;
110614;2200;9,80249;
110614;2300;10,0558;
110615;0000;10,3117;
110615;0100;10,3808;
110615;0200;10,5242;
110615;0300;10,5467;
110615;0400;10,4683;
110615;0500;10,2167;
110615;0600;9,69083;
110615;0700;9,36832;
110615;0800;9,49083;
110615;0900;9,19417;
110615;1000;9,13416;
110615;1100;8,89082;
110615;1200;8,91333;
110615;1300;8,97667;
110615;1400;9,10832;
110615;1500;9,81;
110615;1600;9,26332;
110615;1700;8,95332;
110615;1800;8,84499;
110615;1900;8,67;
110615;2000;8,79332;
110615;2100;8,73;
110615;2200;8,66083;
110615;2300;9,06583;
110616;0000;9,37749;
110616;0100;9,56999;
110616;0200;9,92249;
110616;0300;9,92249;
110616;0400;9,54999;
110616;0500;9,10332;
110616;0600;9,22166;
110616;0700;9,37582;
110616;0800;9,72333;
110616;0900;10,4983;
110616;1000;11,7208;
110616;1100;12,215;
110616;1200;12,445;
110616;1300;12,7333;
110616;1400;12,3792;
110616;1500;12,5508;
110616;1600;12,3658;
110616;1700;12,1583;
110616;1800;12,2067;
110616;1900;12,3942;
110616;2000;12,3575;
110616;2100;12,2817;
110616;2200;12,2267;
110616;2300;11,9508;
110617;0000;12,0592;
110617;0100;12,0658;
110617;0200;12,0675;
110617;0300;12,0783;
110617;0400;11,88;
110617;0500;11,94;
110617;0600;12,045;
110617;0700;11,9808;
110617;0800;11,3517;
110617;0900;11,7675;
110617;1000;12,0517;
110617;1100;12,2583;
110617;1200;12,3958;
110617;1300;12,2117;
110617;1400;11,775;
110617;1500;12,2142;
110617;1600;11,7858;
110617;1700;11,9667;
110617;1800;12,3683;
110617;1900;12,9458;
110617;2000;13,0175;
