FECHA (YYMMDD);HORA (HHMM);;
110601;0100;1,00083;
110601;0200;0,933666;
110601;0300;0,771333;
110601;0400;0,353667;
110601;0500;0,809167;
110601;0600;0,918082;
110601;0700;1,39117;
110601;0800;1,82417;
110601;0900;2,63708;
110601;1000;3,29575;
110601;1100;3,69842;
110601;1200;3,68325;
110601;1300;3,609;
110601;1400;4,37749;
110601;1500;3,56525;
110601;1600;2,95067;
110601;1700;1,81967;
110601;1800;2,55258;
110601;1900;2,25;
110601;2000;2,59558;
110601;2100;3,35083;
110601;2200;3,09825;
110601;2300;3,55425;
110602;0000;3,60992;
110602;0100;3,70242;
110602;0200;3,96225;
110602;0300;3,97133;
110602;0400;4,10367;
110602;0500;3,6905;
110602;0600;3,28733;
110602;0700;4,49308;
110602;0800;4,6115;
110602;0900;4,88158;
110602;1000;3,92033;
110602;1100;3,38667;
110602;1200;3,37533;
110602;1300;2,84583;
110602;1400;3,39592;
110602;1500;3,72458;
110602;1600;3,72808;
110602;1700;4,41566;
110602;1800;4,00983;
110602;1900;4,46149;
110602;2000;3,88367;
110602;2100;3,43825;
110602;2200;3,83583;
110602;2300;3,28208;
110603;0000;2,64433;
110603;0100;2,80917;
110603;0200;3,14358;
110603;0300;3,45267;
110603;0400;3,40942;
110603;0500;2,59933;
110603;0600;1,85675;
110603;0700;2,88958;
110603;0800;2,40558;
110603;0900;1,977;
110603;1000;2,56008;
110603;1100;2,19742;
110603;1200;2,29675;
110603;1300;1,50575;
110603;1400;1,05425;
110603;1500;1,21058;
110603;1600;0,974333;
110603;1700;0,317833;
110603;1800;0,265167;
110603;1900;0,641999;
110603;2000;0,516749;
110603;2100;0,561916;
110603;2200;1,0305;
110603;2300;0,521167;
110604;0000;0,546332;
110604;0100;0,430167;
110604;0200;1,36442;
110604;0300;1,09033;
110604;0400;2,309;
110604;0500;2,10133;
110604;0600;2,74583;
110604;0700;3,55958;
110604;0800;3,423;
110604;0900;4,02074;
110604;1000;3,28942;
110604;1100;2,99783;
110604;1200;3,08333;
110604;1300;4,53732;
110604;1400;4,24957;
110604;1500;5,38457;
110604;1600;5,34742;
110604;1700;5,30842;
110604;1800;4,67733;
110604;1900;4,15141;
110604;2000;3,80025;
110604;2100;2,26808;
110604;2200;2,3265;
110604;2300;2,03183;
