FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0000;;;0,672041;
091024;0000;;;0,67129;
091025;0000;;;1,17696;
091026;0000;;;0,670458;
091027;0000;;;0,533249;
091028;0000;;;0,411125;
091029;0000;;;0,392875;
091030;0000;;;0,736166;
091031;0000;;;0,623249;
091101;0000;;;0,477833;
091102;0000;;;1,92287;
091103;0000;;;0,526416;
091104;0000;;;0,514999;
091105;0000;;;0,553707;
091106;0000;;;2,18637;
091107;0000;;;2,17979;
091108;0000;;;0,53404;
091109;0000;;;2,00762;
091110;0000;;;4,39891;
091111;0000;;;3,09845;
091112;0000;;;1,72625;
091113;0000;;;1,73408;
091114;0000;;;1,48854;
091115;0000;;;3,01049;
091116;0000;;;0,652124;
091117;0000;;;0,44525;
091118;0000;;;0,521957;
091119;0000;;;0,386708;
091120;0000;;;0,636374;
091121;0000;;;1,54179;
091122;0000;;;0,532957;
091123;0000;;;0,398458;
091124;0000;;;0,429833;
091125;0000;;;1,19208;
091126;0000;;;2,10508;
091127;0000;;;3,5812;
091128;0000;;;0,62454;
091129;0000;;;1,85871;
091130;0000;;;1,63746;
091201;0000;;;1,10396;
091202;0000;;;1,98116;
091203;0000;;;0,689082;
091204;0000;;;0,912915;
091205;0000;;;1,10258;
091206;0000;;;0,572666;
091207;0000;;;0,345125;
091208;0000;;;1,32021;
091209;0000;;;0,943999;
091210;0000;;;2,09633;
091211;0000;;;1,21246;
091212;0000;;;1,98112;
091213;0000;;;2,39716;
091214;0000;;;2,86554;
091215;0000;;;0,956499;
091216;0000;;;0,756832;
091217;0000;;;0,756041;
091218;0000;;;0,911165;
091219;0000;;;1,68046;
091220;0000;;;0,483624;
091221;0000;;;0,64975;
091222;0000;;;0,695457;
091223;0000;;;0,296833;
091224;0000;;;0,356041;
091225;0000;;;0,473083;
091226;0000;;;0,400791;
091227;0000;;;0,354583;
091228;0000;;;0,198375;
091229;0000;;;0,193458;
091230;0000;;;0,432499;
091231;0000;;;0,470541;
100101;0000;;;2,35975;
100102;0000;;;2,26595;
100103;0000;;;0,329458;
100104;0000;;;0,295791;
100105;0000;;;2,19641;
100106;0000;;;1,18558;
100107;0000;;;0,89854;
100108;0000;;;0,993707;
100109;0000;;;1,27271;
100110;0000;;;0,364958;
100111;0000;;;0,419874;
100112;0000;;;3,43183;
100113;0000;;;3,65216;
100114;0000;;;0,451624;
100115;0000;;;0,811583;
100116;0000;;;1,40921;
100117;0000;;;1,18492;
100118;0000;;;1,99837;
100119;0000;;;0,847999;
100120;0000;;;2,06037;
100121;0000;;;3,31525;
100122;0000;;;2,54141;
100123;0000;;;2,02387;
100124;0000;;;3,56283;
100125;0000;;;1,03812;
100126;0000;;;3,34341;
100127;0000;;;5,42912;
100128;0000;;;0,953207;
100129;0000;;;3,25183;
100130;0000;;;1,37917;
100131;0000;;;1,81146;
100201;0000;;;2,33345;
100202;0000;;;0,676791;
100203;0000;;;1,48733;
100204;0000;;;0,578666;
100205;0000;;;0,582915;
100206;0000;;;0,3385;
100207;0000;;;0,346291;
100208;0000;;;0,917124;
100209;0000;;;1,39046;
100210;0000;;;0,990083;
100211;0000;;;0,571374;
100212;0000;;;0,502583;
100213;0000;;;1,671;
100214;0000;;;2,38191;
100215;0000;;;1,95275;
100216;0000;;;0,35025;
100217;0000;;;0,135292;
100218;0000;;;0,161125;
100219;0000;;;0,502666;
100220;0000;;;0,964041;
100221;0000;;;1,93121;
100222;0000;;;1,45825;
100223;0000;;;0,838249;
100224;0000;;;0,307958;
100225;0000;;;0,173583;
100226;0000;;;0,660707;
100227;0000;;;0,161958;
100228;0000;;;0,05;
100301;0000;;;0,05;
100302;0000;;;;
100303;0000;;;;
100304;0000;;;;
100305;0000;;;;
100306;0000;;;;
100307;0000;;;;
100308;0000;;;;
100309;0000;;;;
100310;0000;;;;
100311;0000;;;;
100312;0000;;;;
100313;0000;;;;
100314;0000;;;;
100315;0000;;;;
100316;0000;;;;
