FECHA (YYMMDD);HORA (HHMM);;
091022;0100;;
091022;0200;;
091022;0300;;
091022;0400;;
091022;0500;;
091022;0600;;
091022;0700;;
091022;0800;;
091022;0900;;
091022;1000;;
091022;1100;;
091022;1200;13,9;
091022;1300;2,105;
091022;1400;349,3;
091022;1500;346,9;
091022;1600;342,4;
091022;1700;341,8;
091022;1800;337,5;
091022;1900;337,5;
091022;2000;341,5;
091022;2100;343,4;
091022;2200;331;
091022;2300;297,1;
091023;0000;246,8;
091023;0100;237;
091023;0200;245;
091023;0300;252,9;
091023;0400;238,5;
091023;0500;230,4;
091023;0600;238,2;
091023;0700;248,7;
091023;0800;234,7;
091023;0900;224,2;
091023;1000;224,3;
091023;1100;230,4;
091023;1200;233,1;
091023;1300;260,6;
091023;1400;255,3;
091023;1500;267,5;
091023;1600;262,7;
091023;1700;252,3;
091023;1800;255,8;
091023;1900;251,2;
091023;2000;263,4;
091023;2100;274;
091023;2200;40,2599;
091023;2300;80,5;
091024;0000;84,6;
091024;0100;127,7;
091024;0200;156,8;
091024;0300;89;
091024;0400;67,3099;
091024;0500;148,1;
091024;0600;348,7;
091024;0700;195,7;
091024;0800;158,9;
091024;0900;173,5;
091024;1000;214,1;
091024;1100;195,9;
091024;1200;229,4;
091024;1300;233;
091024;1400;235,2;
091024;1500;234,1;
091024;1600;234,4;
091024;1700;231,7;
091024;1800;232,9;
091024;1900;228,2;
091024;2000;224,7;
091024;2100;216;
091024;2200;187,1;
091024;2300;188,3;
091025;0000;184,9;
091025;0100;176;
091025;0200;8,12999;
091025;0300;85,6;
091025;0400;147,1;
091025;0500;56,97;
091025;0600;55,77;
091025;0700;81,7;
091025;0800;187,5;
091025;0900;226,6;
091025;1000;197,9;
091025;1100;203,7;
091025;1200;238,5;
091025;1300;220,9;
091025;1400;232,5;
091025;1500;232,4;
091025;1600;239,9;
091025;1700;228,8;
091025;1800;216,8;
091025;1900;202,2;
091025;2000;203,6;
091025;2100;202,6;
091025;2200;204,4;
091025;2300;208,5;
091026;0000;212,5;
091026;0100;209,3;
091026;0200;199,9;
091026;0300;197,3;
091026;0400;196,2;
091026;0500;182,8;
091026;0600;204;
091026;0700;130,4;
091026;0800;189,8;
091026;0900;195,8;
091026;1000;210,7;
091026;1100;243;
091026;1200;272,7;
091026;1300;268,7;
091026;1400;241,4;
091026;1500;251,1;
091026;1600;231,6;
091026;1700;235,3;
091026;1800;220,2;
091026;1900;220,3;
091026;2000;232,9;
091026;2100;230,4;
091026;2200;227,3;
091026;2300;172,5;
091027;0000;250,2;
091027;0100;175,1;
091027;0200;67,4399;
091027;0300;267,3;
091027;0400;218,1;
091027;0500;206,3;
091027;0600;176,9;
091027;0700;286,7;
091027;0800;245,2;
091027;0900;275,1;
091027;1000;282,8;
091027;1100;268;
091027;1200;268;
091027;1300;265,8;
091027;1400;261,7;
091027;1500;331;
091027;1600;37,89;
091027;1700;19,42;
091027;1800;22,28;
091027;1900;28,22;
091027;2000;35,0099;
091027;2100;54,12;
091027;2200;30,22;
091027;2300;38,79;
091028;0000;37,46;
091028;0100;37,48;
091028;0200;33,18;
091028;0300;11,64;
091028;0400;19,4;
091028;0500;30,55;
091028;0600;25,89;
091028;0700;33,7;
091028;0800;31,69;
091028;0900;36,59;
091028;1000;34,91;
091028;1100;261,5;
091028;1200;257,3;
091028;1300;266,5;
091028;1400;267,6;
091028;1500;275,1;
091028;1600;272,9;
091028;1700;270,8;
091028;1800;239,9;
