FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0000;;;56,787;
091024;0000;;;68,7654;
091025;0000;;;63,4349;
091026;0000;;;57,7391;
091027;0000;;;43,4941;
091028;0000;;;18,3425;
091029;0000;;;16,5045;
091030;0000;;;43,1237;
091031;0000;;;44,4172;
091101;0000;;;14,5831;
091102;0000;;;50,652;
091103;0000;;;38,507;
091104;0000;;;28,5252;
091105;0000;;;34,287;
091106;0000;;;50,7776;
091107;0000;;;59,6802;
091108;0000;;;30,8137;
091109;0000;;;61,1058;
091110;0000;;;99,9661;
091111;0000;;;84,1091;
091112;0000;;;58,512;
091113;0000;;;66,0037;
091114;0000;;;64,4457;
091115;0000;;;65,3303;
091116;0000;;;44,9304;
091117;0000;;;32,7264;
091118;0000;;;31,645;
091119;0000;;;23,8075;
091120;0000;;;37,3799;
091121;0000;;;58,9283;
091122;0000;;;34,4644;
091123;0000;;;26,7633;
091124;0000;;;30,0208;
091125;0000;;;54,9941;
091126;0000;;;82,6104;
091127;0000;;;79,4282;
091128;0000;;;44,1137;
091129;0000;;;55,0903;
091130;0000;;;56,0516;
091201;0000;;;51,5879;
091202;0000;;;94,7336;
091203;0000;;;93,8569;
091204;0000;;;72,2212;
091205;0000;;;70,6216;
091206;0000;;;37,1696;
091207;0000;;;43,6754;
091208;0000;;;42,817;
091209;0000;;;69,537;
091210;0000;;;74,8728;
091211;0000;;;67,614;
091212;0000;;;56,7266;
091213;0000;;;74,1744;
091214;0000;;;98,6853;
091215;0000;;;71,6425;
091216;0000;;;79,9203;
091217;0000;;;74,6929;
091218;0000;;;96,2319;
091219;0000;;;91,6049;
091220;0000;;;81,3528;
091221;0000;;;69,2775;
091222;0000;;;47,0741;
091223;0000;;;52,6208;
091224;0000;;;47,8487;
091225;0000;;;40,7474;
091226;0000;;;53,1949;
091227;0000;;;49,7083;
091228;0000;;;33,98;
091229;0000;;;34,8383;
091230;0000;;;45,8024;
091231;0000;;;45,1662;
100101;0000;;;75,9919;
100102;0000;;;80,1187;
100103;0000;;;34,5504;
100104;0000;;;35,7187;
100105;0000;;;75,5216;
100106;0000;;;89,2267;
100107;0000;;;70,8624;
100108;0000;;;72,5482;
100109;0000;;;76,8115;
100110;0000;;;54,2075;
100111;0000;;;39,92;
100112;0000;;;65,6119;
100113;0000;;;97,6807;
100114;0000;;;74,7532;
100115;0000;;;57,1416;
100116;0000;;;55,2195;
100117;0000;;;42,3441;
100118;0000;;;64,3987;
100119;0000;;;58,952;
100120;0000;;;68,3282;
100121;0000;;;99,4733;
100122;0000;;;104,918;
100123;0000;;;84,2587;
100124;0000;;;106,46;
100125;0000;;;60,8879;
100126;0000;;;114,235;
100127;0000;;;126,615;
100128;0000;;;59,1957;
100129;0000;;;112,994;
100130;0000;;;83,757;
100131;0000;;;84,2961;
100201;0000;;;91,7078;
100202;0000;;;44,2541;
100203;0000;;;56,3282;
100204;0000;;;70,2782;
100205;0000;;;56,5262;
100206;0000;;;35,2726;
100207;0000;;;14,4774;
100208;0000;;;66,5482;
100209;0000;;;55,7803;
100210;0000;;;86,8549;
100211;0000;;;64,5437;
100212;0000;;;51,5953;
100213;0000;;;66,1387;
100214;0000;;;72,7224;
100215;0000;;;78,4432;
100216;0000;;;51,6724;
100217;0000;;;40,242;
100218;0000;;;26,3962;
100219;0000;;;51,4287;
100220;0000;;;53,4699;
100221;0000;;;59,6974;
100222;0000;;;59,9562;
100223;0000;;;75,0833;
100224;0000;;;70,197;
100225;0000;;;58,3129;
100226;0000;;;70,312;
100227;0000;;;23,7987;
100228;0000;;;0;
100301;0000;;;0;
100302;0000;;;;
100303;0000;;;;
100304;0000;;;;
100305;0000;;;;
100306;0000;;;;
100307;0000;;;;
100308;0000;;;;
100309;0000;;;;
100310;0000;;;;
100311;0000;;;;
100312;0000;;;;
100313;0000;;;;
100314;0000;;;;
100315;0000;;;;
100316;0000;;;;
100317;0000;;;;
100318;0000;;;;
100319;0000;;;33,925;
100320;0000;;;14,5484;
100321;0000;;;17,1552;
100322;0000;;;28,01;
100323;0000;;;25,5698;
100324;0000;;;36,313;
100325;0000;;;35,7479;
100326;0000;;;46,6637;
100327;0000;;;31,2558;
100328;0000;;;29,7532;
100329;0000;;;47,5809;
100330;0000;;;43,4858;
100331;0000;;;35,166;
100401;0000;;;54,687;
100402;0000;;;49,0751;
100403;0000;;;45,7476;
100404;0000;;;50,2787;
100405;0000;;;72,3899;
100406;0000;;;35,5758;
100407;0000;;;81,167;
100408;0000;;;52,452;
100409;0000;;;58,7749;
100410;0000;;;54,0042;
100411;0000;;;49,297;
100412;0000;;;60,6785;
100413;0000;;;62,2199;
100414;0000;;;82,7566;
100415;0000;;;83,2582;
100416;0000;;;52,8887;
100417;0000;;;35,5158;
100418;0000;;;21,398;
100419;0000;;;46,8611;
100420;0000;;;49,3391;
100421;0000;;;52,2412;
100422;0000;;;51,8191;
100423;0000;;;52,4366;
100424;0000;;;52,2658;
100425;0000;;;46,2733;
100426;0000;;;76,1003;
100427;0000;;;47,7733;
100428;0000;;;44,347;
100429;0000;;;62,3141;
100430;0000;;;56,3263;
100501;0000;;;36,7941;
100502;0000;;;84,1416;
100503;0000;;;63,3433;
100504;0000;;;42,6658;
100505;0000;;;25,1277;
100506;0000;;;39,8589;
100507;0000;;;54,7341;
100508;0000;;;54,032;
100509;0000;;;48,8104;
100510;0000;;;93,8916;
100511;0000;;;44,9808;
100512;0000;;;51,2362;
100513;0000;;;61,4449;
100514;0000;;;66,3987;
100515;0000;;;57,9141;
100516;0000;;;91,5204;
100517;0000;;;64,3911;
100518;0000;;;45,2337;
100519;0000;;;44,9056;
100520;0000;;;90,3866;
100521;0000;;;92,637;
100522;0000;;;41,1641;
100523;0000;;;53,0337;
100524;0000;;;64,0299;
100525;0000;;;40,2521;
100526;0000;;;53,6074;
100527;0000;;;99,0244;
100528;0000;;;88,3987;
100529;0000;;;74,5916;
100530;0000;;;82,4099;
100531;0000;;;75,262;
100601;0000;;;83,8207;
100602;0000;;;59,5765;
100603;0000;;;53,0183;
100604;0000;;;28,1983;
100605;0000;;;41,1073;
100606;0000;;;25,9991;
100607;0000;;;46,8804;
100608;0000;;;77,0109;
100609;0000;;;66,9279;
100610;0000;;;68,1929;
100611;0000;;;29,4871;
100612;0000;;;25,8229;
100613;0000;;;26,7408;
100614;0000;;;30,0416;
100615;0000;;;33,1528;
100616;0000;;;28,1924;
100617;0000;;;22,4463;
100618;0000;;;16,2274;
100619;0000;;;24,7026;
100620;0000;;;30,5693;
100621;0000;;;11,3947;
100622;0000;;;10,366;
100623;0000;;;14,6976;
100624;0000;;;66,6724;
100625;0000;;;55,4891;
100626;0000;;;88,927;
100627;0000;;;71,4452;
100628;0000;;;51,947;
100629;0000;;;57,9145;
100630;0000;;;64,5745;
100701;0000;;;25,4355;
100702;0000;;;22,3046;
100703;0000;;;24,7729;
100704;0000;;;20,1016;
100705;0000;;;33,0231;
100706;0000;;;31,4629;
100707;0000;;;26,9475;
100708;0000;;;44,5816;
100709;0000;;;72,1667;
100710;0000;;;45,2739;
100711;0000;;;44,4595;
100712;0000;;;45,0453;
100713;0000;;;69,624;
100714;0000;;;112,684;
100715;0000;;;44,605;
100716;0000;;;25,3873;
100717;0000;;;131,726;
100718;0000;;;116,575;
100719;0000;;;39,4962;
100720;0000;;;37,2064;
100721;0000;;;61,6047;
100722;0000;;;27,2851;
100723;0000;;;20,6555;
100724;0000;;;29,7269;
100725;0000;;;30,5195;
100726;0000;;;48,8904;
100727;0000;;;31,9673;
100728;0000;;;62,7122;
100729;0000;;;93,4286;
100730;0000;;;99,1544;
100731;0000;;;70,2078;
100801;0000;;;32,4843;
100802;0000;;;42,1533;
100803;0000;;;43,0471;
100804;0000;;;110,994;
100805;0000;;;49,415;
100806;0000;;;71,3345;
100807;0000;;;105,777;
100808;0000;;;72,3074;
100809;0000;;;126,752;
100810;0000;;;60,5917;
100811;0000;;;82,5411;
100812;0000;;;98,0132;
100813;0000;;;68,2007;
100814;0000;;;98,3257;
100815;0000;;;61,3416;
100816;0000;;;35,4641;
100817;0000;;;30,6037;
100818;0000;;;43,3391;
100819;0000;;;76,7631;
100820;0000;;;40,2274;
100821;0000;;;29,4433;
100822;0000;;;14,1797;
100823;0000;;;79,7074;
100824;0000;;;63,4553;
100825;0000;;;30,8792;
100826;0000;;;20,8994;
100827;0000;;;29,9848;
100828;0000;;;40,4559;
100829;0000;;;33,5347;
100830;0000;;;44,1873;
100831;0000;;;89,1207;
100901;0000;;;105,819;
100902;0000;;;48,2637;
100903;0000;;;68,7386;
100904;0000;;;62,5374;
100905;0000;;;34,6566;
100906;0000;;;48,5237;
100907;0000;;;51,0997;
100908;0000;;;38,5408;
100909;0000;;;60,2316;
100910;0000;;;58,7508;
100911;0000;;;45,6595;
100912;0000;;;50,7949;
100913;0000;;;44,3674;
100914;0000;;;26,0829;
100915;0000;;;46,6074;
100916;0000;;;55,9583;
100917;0000;;;47,0267;
100918;0000;;;59,0451;
100919;0000;;;52,6974;
100920;0000;;;33,4966;
100921;0000;;;47,2604;
100922;0000;;;71,9895;
100923;0000;;;70,1874;
100924;0000;;;69,7495;
100925;0000;;;52,6924;
100926;0000;;;64,0507;
100927;0000;;;29,1803;
100928;0000;;;58,677;
100929;0000;;;70,5679;
100930;0000;;;76,5054;
101001;0000;;;63,1028;
101002;0000;;;78,1632;
101003;0000;;;26,9408;
101004;0000;;;46,9912;
101005;0000;;;54,1895;
101006;0000;;;48,0312;
101007;0000;;;65,7773;
101008;0000;;;72,3866;
101009;0000;;;78,7745;
101010;0000;;;69,7142;
101011;0000;;;47,8562;
101012;0000;;;42,6466;
101013;0000;;;38,3079;
101014;0000;;;32,733;
101015;0000;;;60,1862;
101016;0000;;;62,837;
101017;0000;;;46,85;
101018;0000;;;34,3904;
101019;0000;;;31,02;
101020;0000;;;19,2011;
101021;0000;;;46,3323;
101022;0000;;;50,0408;
101023;0000;;;41,6099;
101024;0000;;;41,8923;
101025;0000;;;70,0157;
101026;0000;;;38,7275;
101027;0000;;;26,3279;
101028;0000;;;26,2037;
101029;0000;;;24,7639;
101030;0000;;;38,2745;
101031;0000;;;49,7775;
101101;0000;;;64,1991;
101102;0000;;;51,8616;
101103;0000;;;66,5629;
101104;0000;;;63,5112;
101105;0000;;;58,4174;
101106;0000;;;24,1972;
101107;0000;;;43,7095;
101108;0000;;;60,8912;
101109;0000;;;40,0125;
101110;0000;;;73,0562;
101111;0000;;;54,332;
101112;0000;;;65,0449;
101113;0000;;;63,8508;
101114;0000;;;79,9762;
101115;0000;;;96,8269;
101116;0000;;;66,462;
101117;0000;;;60,1591;
101118;0000;;;34,0403;
101119;0000;;;22,8596;
101120;0000;;;17,0636;
101121;0000;;;14,6554;
101122;0000;;;73,6299;
101123;0000;;;71,2583;
101124;0000;;;66,2695;
101125;0000;;;78,8766;
101126;0000;;;97,0703;
101127;0000;;;80,9303;
101128;0000;;;84,5736;
101129;0000;;;61,4291;
101130;0000;;;97,6411;
101201;0000;;;49,8383;
101202;0000;;;43,3599;
101203;0000;;;72,9153;
101204;0000;;;82,9308;
101205;0000;;;48,3845;
101206;0000;;;40,3737;
