FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0000;;;21,5827;
091024;0000;;;23,0288;
091025;0000;;;19,9545;
091026;0000;;;15,5898;
091027;0000;;;12,2101;
091028;0000;;;6,88982;
091029;0000;;;5,44537;
091030;0000;;;9,79732;
091031;0000;;;10,3185;
091101;0000;;;6,80149;
091102;0000;;;13,431;
091103;0000;;;10,7912;
091104;0000;;;7,9772;
091105;0000;;;11,6141;
091106;0000;;;11,0692;
091107;0000;;;19,6208;
091108;0000;;;7,98866;
091109;0000;;;13,7043;
091110;0000;;;21,468;
091111;0000;;;21,2491;
091112;0000;;;19,6954;
091113;0000;;;17,7346;
091114;0000;;;16,8985;
091115;0000;;;20,0328;
091116;0000;;;11,8595;
091117;0000;;;9,34845;
091118;0000;;;14,9528;
091119;0000;;;8,22227;
091120;0000;;;11,0893;
091121;0000;;;15,9116;
091122;0000;;;9,23836;
091123;0000;;;9,04274;
091124;0000;;;6,72974;
091125;0000;;;14,8369;
091126;0000;;;15,9759;
091127;0000;;;17,8675;
091128;0000;;;11,1462;
091129;0000;;;18,3159;
091130;0000;;;14,4023;
091201;0000;;;12,257;
091202;0000;;;22,7075;
091203;0000;;;16,5858;
091204;0000;;;17,7218;
091205;0000;;;20,338;
091206;0000;;;11,905;
091207;0000;;;11,1601;
091208;0000;;;14,4133;
091209;0000;;;18,3022;
091210;0000;;;21,372;
091211;0000;;;17,8181;
091212;0000;;;14,9179;
091213;0000;;;22,1875;
091214;0000;;;18,5724;
091215;0000;;;19,9296;
091216;0000;;;16,3131;
091217;0000;;;17,4255;
091218;0000;;;23,0008;
091219;0000;;;17,9368;
091220;0000;;;20,848;
091221;0000;;;12,7048;
091222;0000;;;9,34344;
091223;0000;;;12,9167;
091224;0000;;;10,2299;
091225;0000;;;10,4624;
091226;0000;;;17,5721;
091227;0000;;;11,2749;
091228;0000;;;10,5403;
091229;0000;;;8,04648;
091230;0000;;;11,8931;
091231;0000;;;7,24378;
100101;0000;;;20,0908;
100102;0000;;;23,2237;
100103;0000;;;9,60115;
100104;0000;;;8,04495;
100105;0000;;;15,8015;
100106;0000;;;18,7269;
100107;0000;;;18,3899;
100108;0000;;;16,456;
100109;0000;;;21,868;
100110;0000;;;16,7248;
100111;0000;;;10,5096;
100112;0000;;;20,8531;
100113;0000;;;20,1873;
100114;0000;;;15,8268;
100115;0000;;;15,7442;
100116;0000;;;16,879;
100117;0000;;;13,9014;
100118;0000;;;19,167;
100119;0000;;;14,9688;
100120;0000;;;15,268;
100121;0000;;;20,3747;
100122;0000;;;21,259;
100123;0000;;;19,9515;
100124;0000;;;21,3873;
100125;0000;;;17,5343;
100126;0000;;;27,11;
100127;0000;;;24,6633;
100128;0000;;;12,627;
100129;0000;;;27,6752;
100130;0000;;;22,6123;
100131;0000;;;20,6396;
100201;0000;;;22,6534;
100202;0000;;;10,7417;
100203;0000;;;17,9964;
100204;0000;;;19,859;
100205;0000;;;13,2972;
100206;0000;;;7,4297;
100207;0000;;;4,26745;
100208;0000;;;29,3559;
100209;0000;;;14,2325;
100210;0000;;;27,8229;
100211;0000;;;17,0515;
100212;0000;;;14,2274;
100213;0000;;;16,4241;
100214;0000;;;17,6437;
100215;0000;;;20,985;
100216;0000;;;12,3623;
100217;0000;;;10,8624;
100218;0000;;;11,1641;
100219;0000;;;21,2509;
100220;0000;;;15,1212;
100221;0000;;;19,0152;
100222;0000;;;14,4999;
100223;0000;;;19,2616;
100224;0000;;;21,812;
100225;0000;;;17,3429;
100226;0000;;;19,7946;
100227;0000;;;5,70816;
100228;0000;;;0;
100301;0000;;;0;
100302;0000;;;;
100303;0000;;;;
100304;0000;;;;
100305;0000;;;;
100306;0000;;;;
100307;0000;;;;
100308;0000;;;;
100309;0000;;;;
100310;0000;;;;
100311;0000;;;;
100312;0000;;;;
100313;0000;;;;
100314;0000;;;;
100315;0000;;;;
100316;0000;;;;
100317;0000;;;;
100318;0000;;;;
100319;0000;;;10,2617;
100320;0000;;;4,10358;
100321;0000;;;5,9037;
100322;0000;;;6,34779;
100323;0000;;;8,73145;
100324;0000;;;10,6501;
100325;0000;;;9,19066;
100326;0000;;;11,6843;
100327;0000;;;11,6759;
100328;0000;;;8,25456;
100329;0000;;;11,2322;
100330;0000;;;12,822;
100331;0000;;;9,21182;
100401;0000;;;12,9515;
100402;0000;;;9,47644;
100403;0000;;;14,9452;
100404;0000;;;13,974;
100405;0000;;;18,7629;
100406;0000;;;10,1285;
100407;0000;;;30,21;
100408;0000;;;25,7791;
100409;0000;;;20,6278;
100410;0000;;;18,6057;
100411;0000;;;11,8278;
100412;0000;;;12,5757;
100413;0000;;;16,8978;
100414;0000;;;19,4394;
100415;0000;;;28,5875;
100416;0000;;;20,5441;
100417;0000;;;12,8129;
100418;0000;;;8,64278;
100419;0000;;;21,3456;
100420;0000;;;19,2625;
100421;0000;;;20,935;
100422;0000;;;19,2399;
100423;0000;;;20,1673;
100424;0000;;;18,7382;
100425;0000;;;19,4967;
100426;0000;;;41,5421;
100427;0000;;;22,0474;
100428;0000;;;19,9198;
100429;0000;;;20,795;
100430;0000;;;20,4044;
100501;0000;;;16,3636;
100502;0000;;;54,562;
100503;0000;;;33,4316;
100504;0000;;;16,8201;
100505;0000;;;12,0783;
100506;0000;;;21,871;
100507;0000;;;23,1263;
100508;0000;;;23,6843;
100509;0000;;;23,4551;
100510;0000;;;39,736;
100511;0000;;;23,3183;
100512;0000;;;30,8192;
100513;0000;;;28,1773;
100514;0000;;;39,0254;
100515;0000;;;23,3251;
100516;0000;;;52,3931;
100517;0000;;;35,5784;
100518;0000;;;20,5575;
100519;0000;;;20,1247;
100520;0000;;;50,442;
100521;0000;;;49,3345;
100522;0000;;;17,9954;
100523;0000;;;34,6069;
100524;0000;;;33,6949;
100525;0000;;;12,7597;
100526;0000;;;24,4985;
100527;0000;;;42,5468;
100528;0000;;;50,7766;
100529;0000;;;49,0374;
100530;0000;;;50,4374;
100531;0000;;;39,437;
100601;0000;;;53,9191;
100602;0000;;;35,33;
100603;0000;;;35,6516;
100604;0000;;;14,3252;
100605;0000;;;19,952;
100606;0000;;;11,1688;
100607;0000;;;19,5496;
100608;0000;;;42,3063;
