FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140121;0000;;;2,66233;
140122;0000;;;3,44266;
140123;0000;;;3,6352;
140124;0000;;;7,37332;
140125;0000;;;5,69512;
140126;0000;;;4,54604;
140127;0000;;;5,92503;
140128;0000;;;7,65658;
140129;0000;;;5,54866;
140130;0000;;;5,07512;
140131;0000;;;5,84295;
140201;0000;;;5,01241;
140202;0000;;;5,16374;
140203;0000;;;6,77679;
140204;0000;;;5,84687;
140205;0000;;;4,39033;
140206;0000;;;6,34283;
140207;0000;;;8,54037;
140208;0000;;;5,1012;
140209;0000;;;2,05529;
140210;0000;;;4,54004;
140211;0000;;;5,1716;
140212;0000;;;5,35987;
140213;0000;;;5,88741;
140214;0000;;;6,56841;
140215;0000;;;5,44274;
140216;0000;;;7,41354;
140217;0000;;;5,32212;
140218;0000;;;5,36626;
140219;0000;;;5,4922;
140220;0000;;;7,09699;
140221;0000;;;4,93829;
140222;0000;;;;
140223;0000;;;3,94066;
140224;0000;;;6,28412;
140225;0000;;;7,41484;
140226;0000;;;7,32199;
140227;0000;;;6,5813;
140228;0000;;;6,83499;
140301;0000;;;7,08454;
140302;0000;;;;
140303;0000;;;5,33653;
140304;0000;;;6,05589;
140305;0000;;;5,76974;
140306;0000;;;7,60817;
140307;0000;;;7,27438;
140308;0000;;;10,4107;
140309;0000;;;5,28378;
140310;0000;;;8,48952;
140311;0000;;;6,80379;
140312;0000;;;4,71851;
140313;0000;;;6,48103;
140314;0000;;;5,83269;
140315;0000;;;6,70029;
140316;0000;;;4,68441;
140317;0000;;;7,81141;
140318;0000;;;13,3448;
140319;0000;;;6,62349;
140320;0000;;;5,97099;
140321;0000;;;10,5607;
140322;0000;;;10,7609;
140323;0000;;;8,29344;
140324;0000;;;6,06168;
140325;0000;;;11,4315;
140326;0000;;;5,1992;
140327;0000;;;8,92757;
140328;0000;;;7,39124;
140329;0000;;;6,40311;
140330;0000;;;8,1954;
140331;0000;;;7,52833;
140401;0000;;;12,8291;
140402;0000;;;8,15816;
140403;0000;;;8,69998;
140404;0000;;;9,67932;
140405;0000;;;10,2615;
140406;0000;;;6,3907;
140407;0000;;;10,888;
140408;0000;;;8,28915;
140409;0000;;;11,3676;
140410;0000;;;10,4656;
140411;0000;;;10,7471;
140412;0000;;;9,62511;
140413;0000;;;8,98032;
140414;0000;;;6,95595;
140415;0000;;;8,53369;
140416;0000;;;11,8332;
140417;0000;;;12,4494;
140418;0000;;;10,8241;
140419;0000;;;7,98224;
140420;0000;;;6,53058;
140421;0000;;;7,9192;
140422;0000;;;9,24435;
140423;0000;;;5,85316;
140424;0000;;;9,3349;
140425;0000;;;9,32899;
140426;0000;;;5,24145;
140427;0000;;;7,69353;
140428;0000;;;10,2086;
140429;0000;;;8,68611;
140430;0000;;;8,30473;
140501;0000;;;6,53741;
140502;0000;;;9,16177;
140503;0000;;;5,37154;
140504;0000;;;5,14416;
140505;0000;;;15,7063;
140506;0000;;;10,5072;
140507;0000;;;7,68666;
140508;0000;;;6,52166;
140509;0000;;;8,19553;
140510;0000;;;6,96516;
140511;0000;;;8,2269;
140512;0000;;;16,2199;
140513;0000;;;9,37691;
