FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150729;0000;;;10,9122;
150730;0000;;;15,5437;
150731;0000;;;21,405;
150801;0000;;;22,4958;
150802;0000;;;21,6608;
150803;0000;;;10,3424;
150804;0000;;;9,42911;
150805;0000;;;19,7979;
150806;0000;;;17,2292;
150807;0000;;;10,1605;
150808;0000;;;18,0466;
150809;0000;;;19,6487;
150810;0000;;;11,6057;
150811;0000;;;11,1212;
150812;0000;;;11,0193;
150813;0000;;;8,17369;
150814;0000;;;12,9785;
150815;0000;;;18,4391;
150816;0000;;;13,5802;
150817;0000;;;12,6677;
150818;0000;;;8,33208;
150819;0000;;;7,25108;
150820;0000;;;15,2685;
150821;0000;;;17,032;
150822;0000;;;20,205;
150823;0000;;;10,3076;
150824;0000;;;10,5975;
150825;0000;;;20,1112;
150826;0000;;;16,9847;
150827;0000;;;10,2224;
150828;0000;;;15,7187;
150829;0000;;;10,974;
150830;0000;;;9,50812;
150831;0000;;;8,94695;
150901;0000;;;7,50274;
150902;0000;;;8,01265;
150903;0000;;;9,93098;
150904;0000;;;10,894;
150905;0000;;;13,6225;
150906;0000;;;19,1962;
150907;0000;;;16,8912;
150908;0000;;;16,9259;
150909;0000;;;12,306;
150910;0000;;;11,0406;
150911;0000;;;12,7245;
150912;0000;;;11,273;
150913;0000;;;13,4343;
150914;0000;;;12,9808;
150915;0000;;;14,6406;
150916;0000;;;13,3112;
150917;0000;;;17,4441;
150918;0000;;;13,8527;
150919;0000;;;14,2469;
150920;0000;;;10,0604;
150921;0000;;;14,7689;
150922;0000;;;10,6895;
150923;0000;;;11,3419;
150924;0000;;;15,3213;
150925;0000;;;15,8431;
150926;0000;;;17,1913;
150927;0000;;;16,6279;
150928;0000;;;8,54199;
150929;0000;;;7,43199;
150930;0000;;;10,9798;
151001;0000;;;11,8423;
151002;0000;;;12,0781;
151003;0000;;;11,4636;
151004;0000;;;18,2646;
151005;0000;;;14,2316;
151006;0000;;;12,7211;
151007;0000;;;12,8101;
151008;0000;;;11,6943;
151009;0000;;;11,0342;
151010;0000;;;13,3738;
151011;0000;;;16,4456;
151012;0000;;;13,5479;
151013;0000;;;14,9884;
151014;0000;;;12,9587;
151015;0000;;;10,8825;
151016;0000;;;11,0354;
151017;0000;;;10,7305;
151018;0000;;;12,6443;
151019;0000;;;13,3738;
151020;0000;;;12,5763;
151021;0000;;;11,4168;
151022;0000;;;10,8884;
151023;0000;;;15,3157;
151024;0000;;;12,0179;
151025;0000;;;13,6267;
151026;0000;;;10,1796;
151027;0000;;;10,6337;
151028;0000;;;13,1139;
151029;0000;;;12,2456;
151030;0000;;;12,8399;
151031;0000;;;13,6152;
151101;0000;;;12,4352;
151102;0000;;;9,37416;
151103;0000;;;10,8356;
151104;0000;;;12,2647;
151105;0000;;;10,3;
151106;0000;;;9,53099;
151107;0000;;;12,6929;
151108;0000;;;15,995;
151109;0000;;;10,6994;
151110;0000;;;8,07724;
151111;0000;;;13,6757;
151112;0000;;;13,2503;
151113;0000;;;11,1107;
151114;0000;;;12,3846;
151115;0000;;;12,8229;
151116;0000;;;9,4337;
151117;0000;;;12,8573;
151118;0000;;;12,3844;
151119;0000;;;10,0259;
151120;0000;;;10,7709;
151121;0000;;;10,7436;
151122;0000;;;11,1946;
151123;0000;;;7,83516;
151124;0000;;;8,44728;
151125;0000;;;8,82474;
151126;0000;;;8,50511;
151127;0000;;;13,1233;
151128;0000;;;11,8489;
151129;0000;;;10,8985;
151130;0000;;;9,44482;
151201;0000;;;10,0637;
151202;0000;;;10,6852;
151203;0000;;;10,2419;
151204;0000;;;10,45;
151205;0000;;;10,1597;
151206;0000;;;11,1293;
151207;0000;;;11,8455;
151208;0000;;;11,9699;
151209;0000;;;11,3555;
151210;0000;;;9,6532;
151211;0000;;;11,4488;
151212;0000;;;13,5929;
151213;0000;;;15,1246;
151214;0000;;;11,2019;
151215;0000;;;9,85187;
151216;0000;;;8,64557;
151217;0000;;;9,82069;
151218;0000;;;9,5717;
151219;0000;;;9,72778;
151220;0000;;;10,256;
151221;0000;;;7,12824;
151222;0000;;;9,13936;
151223;0000;;;9,90207;
151224;0000;;;9,76277;
151225;0000;;;9,67494;
151226;0000;;;10,4389;
151227;0000;;;8,17365;
151228;0000;;;5,07537;
151229;0000;;;7,33853;
151230;0000;;;6,89378;
151231;0000;;;7,11545;
160101;0000;;;9,04575;
160102;0000;;;6,60483;
160103;0000;;;8,40678;
160104;0000;;;10,7227;
160105;0000;;;10,2416;
160106;0000;;;10,6158;
160107;0000;;;10,4387;
160108;0000;;;7,1422;
160109;0000;;;6,8707;
160110;0000;;;8,82469;
160111;0000;;;8,73645;
160112;0000;;;8,19572;
160113;0000;;;7,69828;
160114;0000;;;9,26573;
160115;0000;;;7,11562;
160116;0000;;;6,93732;
160117;0000;;;8,22624;
160118;0000;;;8,96828;
160119;0000;;;9,5107;
160120;0000;;;11,1082;
160121;0000;;;15,8504;
160122;0000;;;;
160123;0000;;;;
160124;0000;;;;
160125;0000;;;;
160126;0000;;;;
160127;0000;;;;
160128;0000;;;;
160129;0000;;;;
160130;0000;;;9,22769;
160131;0000;;;9,99344;
160201;0000;;;8,70082;
160202;0000;;;7,97953;
160203;0000;;;9,67178;
160204;0000;;;10,7975;
160205;0000;;;10,3854;
160206;0000;;;11,2389;
160207;0000;;;12,7937;
160208;0000;;;9,79587;
160209;0000;;;9,06358;
160210;0000;;;7,98425;
160211;0000;;;8,00441;
160212;0000;;;7,18062;
160213;0000;;;7,40262;
160214;0000;;;8,25128;
160215;0000;;;6,82545;
160216;0000;;;7,62096;
160217;0000;;;7,74154;
160218;0000;;;5,79241;
160219;0000;;;9,53523;
160220;0000;;;8,15094;
160221;0000;;;8,45554;
160222;0000;;;6,75732;
160223;0000;;;7,79824;
160224;0000;;;10,7612;
160225;0000;;;9,05603;
160226;0000;;;9,9872;
160227;0000;;;9,02507;
160228;0000;;;8,53745;
160229;0000;;;9,68573;
160301;0000;;;9,50632;
160302;0000;;;8,53304;
160303;0000;;;7,3937;
160304;0000;;;8,9669;
160305;0000;;;11,7944;
160306;0000;;;10,913;
160307;0000;;;9,77303;
160308;0000;;;9,70761;
160309;0000;;;8,27695;
160310;0000;;;6,90003;
160311;0000;;;11,33;
160312;0000;;;16,3737;
160313;0000;;;14,4597;
160314;0000;;;8,85036;
160315;0000;;;8,37845;
160316;0000;;;9,18445;
160317;0000;;;8,19208;
160318;0000;;;10,3995;
160319;0000;;;9,42728;
160320;0000;;;8,47362;
160321;0000;;;8,32458;
160322;0000;;;7,64343;
160323;0000;;;9,6609;
160324;0000;;;8,87183;
160325;0000;;;8,11658;
160326;0000;;;13,3912;
160327;0000;;;11,504;
160328;0000;;;5,827;
160329;0000;;;6,76491;
160330;0000;;;11,6266;
160331;0000;;;8,61459;
160401;0000;;;8,47443;
160402;0000;;;8,51811;
160403;0000;;;9,56927;
160404;0000;;;7,84178;
160405;0000;;;9,46353;
160406;0000;;;12,6057;
160407;0000;;;8,07611;
160408;0000;;;;
160409;0000;;;6,47203;
