FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091023;0000;;;14,0619;
091024;0000;;;13,7172;
091025;0000;;;11,6472;
091026;0000;;;12,5428;
091027;0000;;;4,39245;
091028;0000;;;2,338;
091029;0000;;;1,53675;
091030;0000;;;4,35441;
091031;0000;;;2,43996;
091101;0000;;;1,25392;
091102;0000;;;11,6938;
091103;0000;;;5,6082;
091104;0000;;;5,17012;
091105;0000;;;3,02262;
091106;0000;;;8,91957;
091107;0000;;;15,0886;
091108;0000;;;2,175;
091109;0000;;;10,3468;
091110;0000;;;12,7881;
091111;0000;;;11,0275;
091112;0000;;;7,41549;
091113;0000;;;13,5237;
091114;0000;;;15,0842;
091115;0000;;;9,31352;
091116;0000;;;4,9067;
091117;0000;;;1,80521;
091118;0000;;;6,62828;
091119;0000;;;4,03549;
091120;0000;;;3,86541;
091121;0000;;;9,31328;
091122;0000;;;4,64312;
091123;0000;;;4,80799;
091124;0000;;;6,16837;
091125;0000;;;7,48283;
091126;0000;;;15,3009;
091127;0000;;;17,1843;
091128;0000;;;8,3582;
091129;0000;;;18,1205;
091130;0000;;;13,763;
091201;0000;;;8,36819;
091202;0000;;;16,5797;
091203;0000;;;9,38574;
091204;0000;;;17,2311;
091205;0000;;;13,3047;
091206;0000;;;5,60408;
091207;0000;;;3,2955;
091208;0000;;;4,67403;
091209;0000;;;12,3356;
091210;0000;;;10,3539;
091211;0000;;;7,93604;
091212;0000;;;15,5783;
091213;0000;;;22,0124;
091214;0000;;;16,2527;
091215;0000;;;11,2258;
091216;0000;;;7,38587;
091217;0000;;;18,0352;
091218;0000;;;21,7276;
091219;0000;;;17,3673;
091220;0000;;;28,3595;
091221;0000;;;9,49503;
091222;0000;;;3,76741;
091223;0000;;;4,92378;
091224;0000;;;2,4257;
091225;0000;;;4,60216;
091226;0000;;;8,51511;
091227;0000;;;3,299;
091228;0000;;;4,42441;
091229;0000;;;2,7547;
091230;0000;;;4,77504;
091231;0000;;;4,05103;
100101;0000;;;13,2044;
100102;0000;;;16,4986;
100103;0000;;;1,55941;
100104;0000;;;1,57775;
100105;0000;;;8,12682;
100106;0000;;;13,2124;
100107;0000;;;24,9022;
100108;0000;;;22,9097;
100109;0000;;;17,3172;
100110;0000;;;9,58711;
100111;0000;;;4,72783;
100112;0000;;;14,7377;
100113;0000;;;10,2063;
100114;0000;;;8,48407;
100115;0000;;;3,42324;
100116;0000;;;14,5334;
100117;0000;;;6,4247;
100118;0000;;;11,1428;
100119;0000;;;7,54262;
100120;0000;;;8,37032;
100121;0000;;;2,46891;
100122;0000;;;1,66033;
100123;0000;;;2,40345;
100124;0000;;;2,0447;
100125;0000;;;1,43729;
100126;0000;;;1,72116;
100127;0000;;;1,57758;
100128;0000;;;1,39625;
100129;0000;;;1,50387;
100130;0000;;;1,65937;
100131;0000;;;1,50575;
100201;0000;;;1,548;
100202;0000;;;1,4895;
100203;0000;;;11,0468;
100204;0000;;;10,9357;
100205;0000;;;3,67675;
100206;0000;;;1,09325;
100207;0000;;;0,905874;
100208;0000;;;4,68282;
100209;0000;;;3,18996;
100210;0000;;;9,85732;
100211;0000;;;3,1505;
100212;0000;;;2,52537;
100213;0000;;;3,78487;
100214;0000;;;9,45628;
100215;0000;;;7,03529;
100216;0000;;;2,34704;
100217;0000;;;1,44192;
100218;0000;;;1,98133;
100219;0000;;;4,07654;
100220;0000;;;8,08199;
100221;0000;;;11,8484;
100222;0000;;;4,66628;
100223;0000;;;9,13974;
100224;0000;;;2,78062;
100225;0000;;;4,87641;
100226;0000;;;3,12662;
100227;0000;;;0,706874;
100228;0000;;;0;
100301;0000;;;0;
100302;0000;;;;
100303;0000;;;;
100304;0000;;;;
100305;0000;;;;
100306;0000;;;;
100307;0000;;;;
100308;0000;;;;
100309;0000;;;;
100310;0000;;;;
100311;0000;;;;
100312;0000;;;;
100313;0000;;;;
100314;0000;;;;
100315;0000;;;;
100316;0000;;;;
100317;0000;;;;
100318;0000;;;;
100319;0000;;;1,48333;
100320;0000;;;1,534;
100321;0000;;;1,51475;
100322;0000;;;1,48687;
100323;0000;;;1,46779;
100324;0000;;;1,51387;
100325;0000;;;1,52587;
100326;0000;;;1,50837;
100327;0000;;;1,169;
100328;0000;;;0,702666;
100329;0000;;;0,717291;
100330;0000;;;0,820624;
100331;0000;;;0,763999;
100401;0000;;;0,803791;
100402;0000;;;1,2095;
100403;0000;;;1,97446;
100404;0000;;;2,77008;
100405;0000;;;1,58687;
100406;0000;;;2,27454;
100407;0000;;;1,52441;
100408;0000;;;1,47771;
100409;0000;;;1,33829;
100410;0000;;;0,930832;
100411;0000;;;2,75249;
100412;0000;;;2,23212;
100413;0000;;;4,12029;
100414;0000;;;2,86795;
100415;0000;;;1,83025;
100416;0000;;;7,09386;
100417;0000;;;2,52112;
100418;0000;;;2,18366;
100419;0000;;;2,32579;
100420;0000;;;7,66466;
100421;0000;;;7,95786;
100422;0000;;;6,45828;
100423;0000;;;5,40874;
100424;0000;;;5,34616;
100425;0000;;;4,88737;
100426;0000;;;3,2522;
100427;0000;;;5,43587;
100428;0000;;;6,46937;
100429;0000;;;4,2622;
100430;0000;;;5,37266;
100501;0000;;;0,795583;
100502;0000;;;1,85921;
100503;0000;;;4,25925;
100504;0000;;;4,6752;
100505;0000;;;18,9786;
100506;0000;;;3,32937;
100507;0000;;;6,4315;
100508;0000;;;4,57507;
100509;0000;;;3,38237;
100510;0000;;;2,75175;
100511;0000;;;7,75849;
100512;0000;;;3,84579;
100513;0000;;;3,33712;
100514;0000;;;2,71296;
100515;0000;;;4,04895;
100516;0000;;;2,47458;
100517;0000;;;4,25754;
100518;0000;;;5,02487;
100519;0000;;;6,56416;
100520;0000;;;3,90812;
100521;0000;;;4,3507;
100522;0000;;;11,026;
100523;0000;;;4,08941;
100524;0000;;;3,44896;
100525;0000;;;6,2495;
100526;0000;;;9,94386;
100527;0000;;;6,49678;
100528;0000;;;14,8075;
100529;0000;;;2,22475;
100530;0000;;;6,35175;
100531;0000;;;6,74036;
100601;0000;;;4,53487;
100602;0000;;;7,21141;
100603;0000;;;17,0065;
100604;0000;;;4,38879;
100605;0000;;;10,1189;
100606;0000;;;9,4519;
100607;0000;;;4,9977;
100608;0000;;;4,74345;
100609;0000;;;7,29504;
100610;0000;;;19,2675;
100611;0000;;;49,0095;
100612;0000;;;29,0441;
100613;0000;;;19,5901;
100614;0000;;;15,0628;
100615;0000;;;6,08958;
100616;0000;;;5,30616;
100617;0000;;;29,5489;
100618;0000;;;4,59208;
100619;0000;;;4,19196;
100620;0000;;;5,25874;
100621;0000;;;23,8133;
100622;0000;;;25,6748;
100623;0000;;;8,99495;
100624;0000;;;4,49441;
100625;0000;;;7,28353;
100626;0000;;;6,31853;
100627;0000;;;3,04062;
100628;0000;;;5,7922;
100629;0000;;;7,13591;
100630;0000;;;10,177;
100701;0000;;;19,0055;
100702;0000;;;5,5902;
100703;0000;;;2,49495;
