FECHA (YYMMDD);HORA (HHMM);;
091022;0100;;
091022;0200;;
091022;0300;;
091022;0400;;
091022;0500;;
091022;0600;;
091022;0700;;
091022;0800;;
091022;0900;;
091022;1000;;
091022;1100;;
091022;1200;5,395;
091022;1300;5,738;
091022;1400;5,98399;
091022;1500;6,363;
091022;1600;6,144;
091022;1700;6,02299;
091022;1800;5,347;
091022;1900;5,535;
091022;2000;5,62099;
091022;2100;5,952;
091022;2200;6,492;
091022;2300;6,895;
091023;0000;5,52399;
091023;0100;4,951;
091023;0200;5,106;
091023;0300;4,463;
091023;0400;5,437;
091023;0500;5,45;
091023;0600;4,98399;
091023;0700;4,075;
091023;0800;4,925;
091023;0900;5,24899;
091023;1000;5,522;
091023;1100;5,48;
091023;1200;4,97099;
091023;1300;5,44099;
091023;1400;5,293;
091023;1500;5,328;
091023;1600;5,214;
091023;1700;4,572;
091023;1800;4,26099;
091023;1900;3,628;
091023;2000;2,983;
091023;2100;1,834;
091023;2200;1,426;
091023;2300;2,196;
091024;0000;1,934;
091024;0100;1,486;
091024;0200;1,522;
091024;0300;1,808;
091024;0400;1,911;
091024;0500;1,676;
091024;0600;1,272;
091024;0700;1,257;
091024;0800;1,159;
091024;0900;2,36;
091024;1000;3,562;
091024;1100;5,383;
091024;1200;4,477;
091024;1300;5,153;
091024;1400;4,973;
091024;1500;5,64999;
091024;1600;5,379;
091024;1700;5,19399;
091024;1800;5,31499;
091024;1900;5,30399;
091024;2000;4,464;
091024;2100;3,921;
091024;2200;3,008;
091024;2300;2,444;
091025;0000;2,476;
091025;0100;3,158;
091025;0200;1,624;
091025;0300;1,691;
091025;0400;1,278;
091025;0500;1,912;
091025;0600;2,133;
091025;0700;1,685;
091025;0800;1,927;
091025;0900;3,195;
091025;1000;5,31699;
091025;1100;5,39899;
091025;1200;4,945;
091025;1300;5,418;
091025;1400;5,147;
091025;1500;5,452;
091025;1600;5,739;
091025;1700;6,392;
091025;1800;6,575;
091025;1900;7,34399;
091025;2000;5,862;
091025;2100;6,35899;
091025;2200;5,876;
091025;2300;5,17;
091026;0000;4,35899;
091026;0100;3,967;
091026;0200;4,214;
091026;0300;4,76199;
091026;0400;3,226;
091026;0500;2,65;
091026;0600;3,322;
091026;0700;1,902;
091026;0800;3,114;
091026;0900;4,172;
091026;1000;3,241;
091026;1100;4,349;
091026;1200;5,353;
091026;1300;5,722;
091026;1400;5,042;
091026;1500;4,452;
091026;1600;5,202;
091026;1700;4,21999;
091026;1800;4,574;
091026;1900;4,502;
091026;2000;3,744;
091026;2100;4,389;
091026;2200;4,01099;
091026;2300;2,493;
091027;0000;2,395;
091027;0100;2,23;
091027;0200;3,148;
091027;0300;3,054;
091027;0400;3,503;
091027;0500;2,438;
091027;0600;2,412;
091027;0700;1,502;
091027;0800;2,195;
091027;0900;2,763;
091027;1000;3,059;
091027;1100;2,969;
091027;1200;2,894;
091027;1300;2,8;
091027;1400;3,824;
091027;1500;2,824;
091027;1600;3,795;
091027;1700;2,888;
091027;1800;3,02;
091027;1900;4,13499;
091027;2000;2,943;
091027;2100;2,535;
091027;2200;2,71;
091027;2300;3,46;
091028;0000;3,549;
091028;0100;3,178;
091028;0200;2,559;
091028;0300;1,983;
091028;0400;2,347;
091028;0500;2,602;
091028;0600;2,39;
091028;0700;2,971;
091028;0800;3,365;
091028;0900;3,452;
091028;1000;3,088;
091028;1100;2,529;
091028;1200;3,73;
091028;1300;4,55399;
091028;1400;4,019;
