FECHA (YYMMDD),mp10,station,mp2.5,dirviento,tamb,so2,velviento,hrel,no2,o3,nox,no,co
10/18/2012 0:00,,club 23 de marz,,247.634,23.5821,,7.78564,6.42825,,,,,
10/19/2012 0:00,,club 23 de marz,6.29063,,,,,,,,,,
10/20/2012 0:00,,club 23 de marz,7.00727,,,,,,,,,,
10/21/2012 0:00,,club 23 de marz,7.54784,,,,,,,,,,
10/22/2012 0:00,,club 23 de marz,7.74152,,,,,,,,,,
10/23/2012 0:00,,club 23 de marz,6.03768,,,,,,,,,,
10/24/2012 0:00,,club 23 de marz,7.33343,,,,,,,,,,
10/25/2012 0:00,,club 23 de marz,7.62622,,,,,,,,,,
10/26/2012 0:00,,club 23 de marz,7.58743,,,,,,,,,,
10/27/2012 0:00,,club 23 de marz,9.90317,,,,,,,,,,
10/28/2012 0:00,,club 23 de marz,10.3996,,,,,,,,,,
10/29/2012 0:00,,club 23 de marz,14.6704,,,,,,,,,,
10/30/2012 0:00,,club 23 de marz,11.5635,265.856,25.5772,,7.43813,8.67915,,,,,
10/31/2012 0:00,,club 23 de marz,7.89072,,,,,,,,,,
11/1/2012 0:00,,club 23 de marz,8.02229,,,,,,,,,,
11/3/2012 0:00,,club 23 de marz,8.37421,,,,,,,,,,
11/4/2012 0:00,,club 23 de marz,7.61768,,,,,,,,,,
11/5/2012 0:00,,club 23 de marz,7.2491,,,,,,,,,,
11/6/2012 0:00,,club 23 de marz,6.87547,,,,,,,,,,
11/7/2012 0:00,,club 23 de marz,7.4597,,,,,,,,,,
11/8/2012 0:00,,club 23 de marz,6.85746,,,,,,,,,,
11/9/2012 0:00,,club 23 de marz,6.71468,,,,,,,,,,
11/10/2012 0:00,,club 23 de marz,8.89511,,,,,,,,,,
11/11/2012 0:00,,club 23 de marz,7.43173,,,,,,,,,,
11/12/2012 0:00,,club 23 de marz,8.15149,,,,,,,,,,
11/13/2012 0:00,,club 23 de marz,9.7312,,,,,,,,,,
11/14/2012 0:00,,club 23 de marz,10.023,,,,,,,,,,
11/15/2012 0:00,,club 23 de marz,11.0078,,,,,,,,,,
11/16/2012 0:00,,club 23 de marz,9.95853,,,,,,,,,,
11/17/2012 0:00,,club 23 de marz,7.87151,,,,,,,,,,
11/18/2012 0:00,,club 23 de marz,7.14474,,,,,,,,,,
11/19/2012 0:00,,club 23 de marz,8.24982,,,,,,,,,,
11/20/2012 0:00,,club 23 de marz,7.69257,,,,,,,,,,
11/21/2012 0:00,,club 23 de marz,7.04412,,,,,,,,,,
11/22/2012 0:00,,club 23 de marz,8.2514,,,,,,,,,,
11/23/2012 0:00,,club 23 de marz,5.61468,,,,,,,,,,
11/24/2012 0:00,,club 23 de marz,7.31639,,,,,,,,,,
11/25/2012 0:00,,club 23 de marz,5.47707,,,,,,,,,,
11/26/2012 0:00,,club 23 de marz,5.66759,,,,,,,,,,
11/27/2012 0:00,,club 23 de marz,7.2235,,,,,,,,,,
11/28/2012 0:00,,club 23 de marz,8.21552,,,,,,,,,,
11/29/2012 0:00,,club 23 de marz,11.5909,,,,,,,,,,
11/30/2012 0:00,,club 23 de marz,9.48993,86.3953,12.6967,,2.56498,20.5016,,,,,
12/1/2012 0:00,48.814,club 23 de marz,6.8839,83.8374,11.9182,,3.03091,20.7815,,,,,
