FECHA (YYMMDD),no2,station,o3,nox,mp10,no,mp2.5,dirviento,tamb,so2,velviento,hrel,co
4/11/2013,,hualqui,24.9204,,,,,,,,,,
4/12/2013,,hualqui,27.4917,,,,,,,,,,
4/13/2013,,hualqui,21.7935,,,,,,,,,,
4/14/2013,,hualqui,27.075,,,,,,,,,,
4/15/2013,,hualqui,29.5912,,,,,,,,,,
4/16/2013,,hualqui,18.8929,,,,,,,,,,
4/17/2013,,hualqui,18.9977,,,,,,,,,,
4/18/2013,,hualqui,12.9477,,,,,,,,,,
4/19/2013,,hualqui,16.3086,,,,,,,,,,
4/20/2013,,hualqui,42.0042,,,,,,,,,,
4/21/2013,,hualqui,40.9087,,,,,,,,,,
4/22/2013,,hualqui,29.7139,,,,,,,,,,
4/23/2013,,hualqui,19.075,,,,,,,,,,
4/24/2013,,hualqui,18.1041,,,,,,,,,,
4/25/2013,,hualqui,9.73006,,,,,,,,,,
4/26/2013,,hualqui,30.7681,,,,,,,,,,
4/27/2013,,hualqui,15.8955,,,,,,,,,,
4/28/2013,,hualqui,19.7238,,,,,,,,,,
4/29/2013,,hualqui,23.4783,,,,,,,,,,
4/30/2013,,hualqui,17.4526,,,,,,,,,,
5/1/2013,,hualqui,54.5201,,,,,,,,,,
5/2/2013,,hualqui,44.9736,,,,,,,,,,
5/3/2013,,hualqui,141.04,,,,,,,,,,
5/4/2013,,hualqui,6.58904,,,,,,,,,,
5/5/2013,,hualqui,8.24883,,,,,,,,,,
5/6/2013,,hualqui,15.9621,,,,,,,,,,
5/7/2013,,hualqui,15.2767,,,,,,,,,,
5/8/2013,,hualqui,10.0669,,,,,,,,,,
5/9/2013,,hualqui,26.5559,,,,,,,,,,
5/10/2013,,hualqui,30.247,,,,,,,,,,
5/11/2013,,hualqui,16.0874,,,,,,,,,,
5/12/2013,,hualqui,19.166,,,,,,,,,,
5/13/2013,,hualqui,19.0238,,,,,,,,,,
5/16/2013,,hualqui,14.5165,,,,,,,,,,
5/17/2013,,hualqui,13.7576,,,,,,,,,,
5/18/2013,,hualqui,4.17696,,,,,,,,,,
5/19/2013,,hualqui,6.9715,,,,,,,,,,
5/20/2013,,hualqui,7.74796,,,,,,,,,,
5/21/2013,,hualqui,11.4923,,,,,,,,,,
5/22/2013,,hualqui,9.53816,,,,,,,,,,
5/23/2013,,hualqui,10.442,,,,,,,,,,
5/24/2013,,hualqui,11.0659,,,,,,,,,,
5/25/2013,,hualqui,6.46551,,,,,,,,,,
5/26/2013,,hualqui,29.3548,,,,,,,,,,
5/27/2013,,hualqui,29.2316,,,,,,,,,,
5/28/2013,,hualqui,35.502,,,,,,,,,,
5/29/2013,,hualqui,24.3125,,,,,,,,,,
5/30/2013,,hualqui,15.0417,,,,,,,,,,
5/31/2013,,hualqui,54.9911,,,,,,,,,,
6/1/2013,,hualqui,35.7242,,,,,,,,,,
6/2/2013,,hualqui,11.7931,,,,,,,,,,
6/3/2013,,hualqui,16.1938,,,,,,,,,,
6/4/2013,,hualqui,5.91364,,,,,,,,,,
6/5/2013,,hualqui,18.0344,,,,,,,,,,
6/6/2013,,hualqui,27.8942,,,,,,,,,,
6/7/2013,,hualqui,16.1368,,,,,,,,,,
6/8/2013,,hualqui,14.3253,,,,,,,,,,
6/9/2013,,hualqui,10.5985,,,,,,,,,,
6/10/2013,,hualqui,9.27049,,,,,,,,,,
6/11/2013,,hualqui,9.80501,,,,,,,,,,
6/12/2013,,hualqui,9.00931,,,,,,,,,,
6/16/2013,,hualqui,16.9717,,,,,,,,,,
6/17/2013,,hualqui,19.7988,,,,,,,,,,
6/18/2013,,hualqui,24.485,,,,,,,,,,
6/19/2013,,hualqui,17.9051,,,,,,,,,,
6/20/2013,,hualqui,8.98509,,,,,,,,,,
6/21/2013,,hualqui,14.787,,,,,,,,,,
6/22/2013,,hualqui,28.1109,,,,,,,,,,
6/23/2013,,hualqui,11.6813,,,,,,,,,,
6/24/2013,,hualqui,9.04022,,,,,,,,,,
6/25/2013,,hualqui,6.0984,,,,,,,,,,
6/26/2013,,hualqui,25.5968,,,,,,,,,,
6/27/2013,,hualqui,45.0463,,,,,,,,,,
6/28/2013,,hualqui,33.9079,,,,,,,,,,
6/29/2013,,hualqui,15.8658,,,,,,,,,,
6/30/2013,,hualqui,9.71941,,,,,,,,,,
7/1/2013,,hualqui,11.9475,,,,,,,,,,
7/2/2013,,hualqui,57.5461,,,,,,,,,,
7/3/2013,,hualqui,32.1972,,,,,,,,,,
7/4/2013,,hualqui,16.5412,,,,,,,,,,
7/5/2013,,hualqui,6.41155,,,,,,,,,,
7/6/2013,,hualqui,12.8661,,,,,,,,,,
7/7/2013,,hualqui,11.5089,,,,,,,,,,
7/8/2013,,hualqui,5.69893,,,,,,,,,,
7/9/2013,,hualqui,16.5757,,,,,,,,,,
7/10/2013,,hualqui,23.3985,,,,,,,,,,
7/11/2013,,hualqui,24.1776,,,,,,,,,,
7/12/2013,,hualqui,18.6492,,,,,,,,,,
7/13/2013,,hualqui,26.0434,,,,,,,,,,
7/14/2013,,hualqui,10.1732,,,,,,,,,,
7/15/2013,,hualqui,12.0748,,,,,,,,,,
7/16/2013,,hualqui,14.2214,,,,,,,,,,
7/17/2013,,hualqui,19.567,,,,,,,,,,
7/18/2013,,hualqui,17.4429,,,,,,,,,,
7/19/2013,,hualqui,18.8795,,,,,,,,,,
7/20/2013,,hualqui,19.0904,,,,,,,,,,
7/21/2013,,hualqui,30.4638,,,,,,,,,,
7/22/2013,,hualqui,21.5147,,,,,,,,,,
7/23/2013,,hualqui,15.3539,,,,,,,,,,
7/24/2013,,hualqui,12.8255,,,,,,,,,,
7/25/2013,,hualqui,16.4086,,,,,,,,,,
7/26/2013,,hualqui,3.87476,,,,,,,,,,
7/27/2013,,hualqui,7.28854,,,,,,,,,,
7/28/2013,,hualqui,6.22871,,,,,,,,,,
7/29/2013,,hualqui,4.48878,,,,,,,,,,
7/30/2013,,hualqui,16.9802,,,,,,,,,,
7/31/2013,,hualqui,12.0298,,,,,,,,,,
8/1/2013,,hualqui,11.9099,,,,,,,,,,
8/2/2013,,hualqui,19.1755,,,,,,,,,,
8/3/2013,,hualqui,47.3468,,,,,,,,,,
8/4/2013,,hualqui,50.1491,,,,,,,,,,
8/5/2013,,hualqui,34.9955,,,,,,,,,,
8/6/2013,,hualqui,23.6729,,,,,,,,,,
8/7/2013,,hualqui,46.173,,,,,,,,,,
8/8/2013,,hualqui,19.1914,,,,,,,,,,
8/9/2013,,hualqui,17.2995,,,,,,,,,,
8/10/2013,,hualqui,16.6704,,,,,,,,,,
8/11/2013,,hualqui,20.6987,,,,,,,,,,
8/14/2013,,hualqui,14.4228,,,,,,,,,,
8/15/2013,,hualqui,20.155,,,,,,,,,,
8/16/2013,,hualqui,26.3938,,,,,,,,,,
8/17/2013,,hualqui,16.4062,,,,,,,,,,
8/18/2013,,hualqui,39.5725,,,,,,,,,,
8/19/2013,,hualqui,34.7511,,,,,,,,,,
8/20/2013,,hualqui,21.5247,,,,,,,,,,
8/21/2013,,hualqui,31.8,,,,,,,,,,
8/22/2013,,hualqui,46.6069,,,,,,,,,,
8/23/2013,,hualqui,31.4999,,,,,,,,,,
8/24/2013,,hualqui,33.2922,,,,,,,,,,
8/25/2013,,hualqui,31.4766,,,,,,,,,,
8/26/2013,,hualqui,26.107,,,,,,,,,,
8/27/2013,,hualqui,10.9704,,,,,,,,,,
8/28/2013,,hualqui,17.0134,,,,,,,,,,
8/29/2013,,hualqui,15.8118,,,,,,,,,,
8/30/2013,,hualqui,39.2473,,,,,,,,,,
8/31/2013,,hualqui,31.9411,,,,,,,,,,
9/1/2013,,hualqui,16.1978,,,,,,,,,,
9/2/2013,,hualqui,20.9083,,,,,,,,,,
9/3/2013,,hualqui,19.5114,,,,,,,,,,
9/4/2013,,hualqui,8.01498,,,,,,,,,,
9/7/2013,,hualqui,13.6589,,,,,,,,,,
9/8/2013,,hualqui,11.653,,,,,,,,,,
9/11/2013,,hualqui,11.5687,,,,,,,,,,
9/12/2013,,hualqui,24.3354,,,,,,,,,,
9/13/2013,,hualqui,30.6814,,,,,,,,,,
9/14/2013,,hualqui,25.7505,,,,,,,,,,
9/15/2013,,hualqui,36.4172,,,,,,,,,,
9/16/2013,,hualqui,22.7913,,,,,,,,,,
9/17/2013,,hualqui,25.039,,,,,,,,,,
9/18/2013,,hualqui,27.922,,,,,,,,,,
9/19/2013,,hualqui,17.1016,,,,,,,,,,
9/20/2013,,hualqui,17.3972,,,,,,,,,,
9/21/2013,,hualqui,48.5603,,,,,,,,,,
9/22/2013,,hualqui,55.8671,,,,,,,,,,
9/23/2013,,hualqui,50.8187,,,,,,,,,,
9/24/2013,,hualqui,49.219,,,,,,,,,,
9/25/2013,,hualqui,31.8067,,,,,,,,,,
9/26/2013,,hualqui,43.6889,,,,,,,,,,
9/27/2013,,hualqui,38.329,,,,,,,,,,
9/28/2013,,hualqui,38.8557,,,,,,,,,,
9/29/2013,,hualqui,38.2613,,,,,,,,,,
9/30/2013,,hualqui,34.7812,,,,,,,,,,
10/1/2013,,hualqui,38.6357,,,,,,,,,,
10/2/2013,,hualqui,46.2476,,,,,,,,,,
10/3/2013,,hualqui,25.8564,,,,,,,,,,
10/4/2013,,hualqui,28.6241,,,,,,,,,,
10/5/2013,,hualqui,35.5636,,,,,,,,,,
10/6/2013,,hualqui,39.1854,,,,,,,,,,
10/7/2013,,hualqui,41.9715,,,,,,,,,,
10/8/2013,,hualqui,38.851,,,,,,,,,,
10/9/2013,,hualqui,38.2285,,,,,,,,,,
10/10/2013,,hualqui,31.5848,,,,,,,,,,
10/11/2013,,hualqui,23.4506,,,,,,,,,,
10/12/2013,,hualqui,27.203,,,,,,,,,,
10/14/2013,,hualqui,22.1242,,,,,,,,,,
10/15/2013,,hualqui,20.7538,,,,,,,,,,
10/16/2013,,hualqui,23.8701,,,,,,,,,,
10/17/2013,,hualqui,34.1076,,,,,,,,,,
10/18/2013,,hualqui,37.6689,,,,,,,,,,
10/19/2013,,hualqui,34.4243,,,,,,,,,,
10/20/2013,,hualqui,26.5914,,,,,,,,,,
10/21/2013,,hualqui,28.7476,,,,,,,,,,
10/22/2013,,hualqui,36.7536,,,,,,,,,,
