FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970405;0000;0,929165;;;
970406;0000;1,20416;;;
970407;0000;1,12083;;;
970408;0000;1,65833;;;
970409;0000;2,24166;;;
970410;0000;1,5625;;;
970411;0000;1,2625;;;
970412;0000;1,44167;;;
970413;0000;1,87083;;;
970414;0000;1,87083;;;
970415;0000;1,96522;;;
970416;0000;1,34583;;;
970417;0000;1,59583;;;
970418;0000;0,913042;;;
970419;0000;1,24166;;;
970420;0000;1,05833;;;
970421;0000;0,558332;;;
970422;0000;1,10417;;;
970423;0000;1,45;;;
970424;0000;0,690475;;;
970425;0000;1,02083;;;
970426;0000;1,00833;;;
970427;0000;1,29166;;;
970428;0000;1,68333;;;
970429;0000;1,78333;;;
970430;0000;2,25217;;;
970501;0000;1,50417;;;
970502;0000;1,03043;;;
970503;0000;3,04583;;;
970504;0000;2,6125;;;
970505;0000;2,28333;;;
970506;0000;2,69583;;;
970507;0000;1,90417;;;
970508;0000;1,85;;;
970509;0000;2,11666;;;
970510;0000;2,76666;;;
970511;0000;2,825;;;
970512;0000;1,56667;;;
970513;0000;3,11666;;;
970514;0000;2,38333;;;
970515;0000;1,97826;;;
970516;0000;1,275;;;
970517;0000;1,97916;;;
970518;0000;1,47917;;;
970519;0000;1,425;;;
970520;0000;1,95;;;
970521;0000;1,20833;;;
970522;0000;3,875;;;
970523;0000;3,97083;;;
970524;0000;2,69583;;;
970525;0000;3,16249;;;
970526;0000;2,07916;;;
970527;0000;4,08749;;;
970528;0000;2,95;;;
970529;0000;0,683331;;;
970530;0000;1,87083;;;
970531;0000;2,875;;;
970601;0000;4,66249;;;
970602;0000;4,04582;;;
970603;0000;4,24999;;;
970604;0000;1,57916;;;
970605;0000;1,42916;;;
970606;0000;4,12083;;;
970607;0000;6,37916;;;
970608;0000;6,75416;;;
970609;0000;4,66666;;;
970610;0000;1,9625;;;
970611;0000;1,75;;;
970612;0000;;;;
970613;0000;1,8875;;;
970614;0000;1,45416;;;
970615;0000;3,8;;;
970616;0000;1,78333;;;
970617;0000;1,9125;;;
970618;0000;1,82916;;;
970619;0000;2,37916;;;
970620;0000;0,649999;;;
970621;0000;0,295833;;;
970622;0000;0,554165;;;
970623;0000;0,995831;;;
970624;0000;1,38636;;;
970625;0000;1,46667;;;
970626;0000;1,48333;;;
970627;0000;1,49583;;;
970628;0000;1,2625;;;
970629;0000;3,15;;;
970630;0000;5,09583;;;
970701;0000;2,68333;;;
970702;0000;1,7875;;;
970703;0000;2,68333;;;
970704;0000;4,05;;;
970705;0000;3,07916;;;
970706;0000;3,09999;;;
970707;0000;1,80833;;;
970708;0000;3,67916;;;
970709;0000;2,15833;;;
970710;0000;2,89583;;;
970711;0000;1,78333;;;
970712;0000;1,125;;;
970713;0000;3,52499;;;
970714;0000;4,00832;;;
970715;0000;2,07083;;;
970716;0000;2,1;;;
970717;0000;5,66249;;;
970718;0000;4,74782;;;
970719;0000;4,2375;;;
970720;0000;3,85833;;;
970721;0000;3,39583;;;
970722;0000;4,87916;;;
970723;0000;3,15833;;;
970724;0000;3,70833;;;
970725;0000;3,89583;;;
970726;0000;4,86249;;;
970727;0000;3,28749;;;
970728;0000;0,841665;;;
970729;0000;0,81739;;;
970730;0000;0,291666;;;
970731;0000;0,591665;;;
