FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;221,195;
031215;1100;224,808;
031215;1200;206,929;
031215;1300;211,919;
031215;1400;204,468;
031215;1500;209,139;
031215;1600;211,637;
031215;1700;209,535;
031215;1800;206,556;
031215;1900;214,718;
031215;2000;218,05;
031215;2100;198,876;
031215;2200;195,258;
031215;2300;187,722;
031216;0000;178,333;
031216;0100;171,372;
031216;0200;186,105;
031216;0300;188,312;
031216;0400;182,289;
031216;0500;169,346;
031216;0600;157,332;
031216;0700;181,916;
031216;0800;342,625;
031216;0900;283,312;
031216;1000;266,199;
031216;1100;235,211;
031216;1200;221,801;
031216;1300;210,76;
031216;1400;215,357;
031216;1500;210,45;
031216;1600;205,389;
031216;1700;206,038;
031216;1800;202,427;
031216;1900;219,752;
031216;2000;218,363;
031216;2100;206,844;
031216;2200;184,385;
031216;2300;172,668;
031217;0000;166,529;
031217;0100;165,999;
031217;0200;178,029;
031217;0300;142,482;
031217;0400;125,699;
031217;0500;121,719;
031217;0600;130,365;
031217;0700;193,342;
031217;0800;280,489;
031217;0900;274,595;
031217;1000;267,532;
031217;1100;272,54;
031217;1200;268,045;
031217;1300;261,516;
031217;1400;255,475;
031217;1500;250,204;
031217;1600;248,722;
031217;1700;247,365;
031217;1800;259,882;
031217;1900;256,58;
031217;2000;222,043;
031217;2100;216,646;
031217;2200;201,563;
031217;2300;296,181;
031218;0000;162,724;
031218;0100;150,785;
031218;0200;188,542;
031218;0300;176,247;
031218;0400;193,608;
031218;0500;190,7;
031218;0600;274,982;
031218;0700;274,16;
031218;0800;294,139;
031218;0900;251,596;
031218;1000;254,17;
031218;1100;237,094;
031218;1200;269,578;
031218;1300;258,529;
031218;1400;258,402;
031218;1500;257,118;
031218;1600;261,951;
031218;1700;258,501;
031218;1800;252,462;
031218;1900;252,794;
031218;2000;253,432;
031218;2100;256,505;
031218;2200;188,475;
031218;2300;182,368;
031219;0000;190,098;
031219;0100;230,358;
031219;0200;165,329;
031219;0300;172,657;
031219;0400;166,019;
031219;0500;174,662;
031219;0600;146,427;
031219;0700;287,563;
031219;0800;300,153;
031219;0900;277,388;
031219;1000;250,229;
031219;1100;224,901;
031219;1200;219,3;
031219;1300;232,684;
031219;1400;242,771;
031219;1500;255,659;
031219;1600;253,792;
031219;1700;255,369;
031219;1800;265,678;
031219;1900;260,23;
031219;2000;263,77;
031219;2100;274,532;
031219;2200;269,9;
031219;2300;325,073;
031220;0000;309,845;
031220;0100;163,075;
031220;0200;62,236;
031220;0300;240,201;
031220;0400;160,526;
031220;0500;146,141;
031220;0600;155,382;
031220;0700;182,351;
031220;0800;243,133;
031220;0900;276,735;
031220;1000;278,24;
031220;1100;245,492;
031220;1200;267,357;
031220;1300;263,167;
031220;1400;258,865;
031220;1500;259,772;
031220;1600;261,519;
031220;1700;254,499;
031220;1800;242,457;
031220;1900;255,029;
031220;2000;221,874;
031220;2100;193,712;
031220;2200;160,157;
031220;2300;252,669;
031221;0000;219,858;
031221;0100;209,796;
031221;0200;208,14;
031221;0300;193,774;
031221;0400;207,629;
031221;0500;197,992;
031221;0600;201,437;
031221;0700;202,61;
031221;0800;97,3683;
031221;0900;280,332;
031221;1000;261,875;
031221;1100;205,364;
031221;1200;217,435;
031221;1300;222,989;
031221;1400;224,324;
031221;1500;234,617;
031221;1600;235,289;
031221;1700;218,713;
031221;1800;214,481;
031221;1900;210,821;
031221;2000;224,457;
031221;2100;211,82;
031221;2200;205,484;
031221;2300;209,52;
031222;0000;207,83;
031222;0100;200,3;
031222;0200;196,254;
031222;0300;195,724;
031222;0400;183,267;
031222;0500;178,272;
031222;0600;177,838;
031222;0700;193,725;
031222;0800;309,379;
031222;0900;292,947;
031222;1000;250,167;
031222;1100;223,543;
031222;1200;213,435;
031222;1300;221,912;
031222;1400;220,888;
031222;1500;235,285;
031222;1600;224,771;
031222;1700;247,43;
031222;1800;254,203;
031222;1900;255,098;
031222;2000;264,542;
031222;2100;;
031222;2200;299,027;
031222;2300;185,509;
031223;0000;163,029;
031223;0100;180,631;
031223;0200;172,894;
031223;0300;161,667;
031223;0400;136,974;
031223;0500;130,381;
031223;0600;126,914;
031223;0700;3,56813;
031223;0800;309,983;
031223;0900;264,552;
031223;1000;277,016;
031223;1100;261,291;
031223;1200;256,947;
031223;1300;253,083;
031223;1400;256,188;
031223;1500;259,696;
031223;1600;262,283;
031223;1700;251,309;
031223;1800;258,535;
031223;1900;256,601;
031223;2000;259,352;
031223;2100;234,724;
031223;2200;193,822;
031223;2300;174,644;
031224;0000;175,576;
031224;0100;182,478;
031224;0200;197,219;
031224;0300;155,43;
031224;0400;257,104;
031224;0500;162,946;
031224;0600;172,124;
031224;0700;278,478;
031224;0800;292,918;
031224;0900;274,204;
031224;1000;275,719;
031224;1100;261,366;
031224;1200;265,728;
031224;1300;249,72;
031224;1400;232,351;
031224;1500;255,183;
031224;1600;261,183;
031224;1700;257,765;
031224;1800;265,681;
031224;1900;262,579;
031224;2000;287,517;
031224;2100;267,006;
031224;2200;254,623;
031224;2300;200,98;
031225;0000;182,081;
031225;0100;227,746;
031225;0200;219,3;
031225;0300;235,425;
031225;0400;251,552;
031225;0500;190,647;
031225;0600;168,546;
031225;0700;251,148;
031225;0800;251,617;
031225;0900;302,802;
031225;1000;297,795;
031225;1100;270,556;
031225;1200;254,239;
031225;1300;225,653;
031225;1400;246,922;
031225;1500;261;
031225;1600;260,665;
031225;1700;256,004;
031225;1800;261,041;
031225;1900;258,292;
031225;2000;263,155;
031225;2100;252,308;
031225;2200;249,616;
031225;2300;192,701;
031226;0000;188,539;
031226;0100;169,863;
031226;0200;189,185;
031226;0300;220,887;
031226;0400;191,568;
031226;0500;279,887;
031226;0600;245,312;
031226;0700;235,923;
031226;0800;286,288;
031226;0900;283,402;
031226;1000;270,699;
031226;1100;246,695;
031226;1200;267,928;
031226;1300;258,3;
031226;1400;256,8;
031226;1500;253,793;
031226;1600;256,57;
031226;1700;257,032;
031226;1800;264,505;
031226;1900;261,912;
031226;2000;267,473;
031226;2100;277,065;
031226;2200;292,288;
031226;2300;298,498;
031227;0000;289,495;
031227;0100;218,912;
031227;0200;209,46;
031227;0300;202,745;
031227;0400;202,51;
031227;0500;196,82;
031227;0600;198,941;
031227;0700;215,924;
031227;0800;202,909;
031227;0900;211,243;
031227;1000;214,607;
031227;1100;222,985;
031227;1200;224,59;
031227;1300;239,336;
031227;1400;222,78;
031227;1500;218,669;
031227;1600;221,521;
031227;1700;212,674;
031227;1800;201,468;
031227;1900;212,009;
031227;2000;213,264;
031227;2100;213,745;
031227;2200;208,754;
031227;2300;206,709;
031228;0000;195,639;
031228;0100;193,194;
031228;0200;192,927;
031228;0300;169,211;
031228;0400;178,74;
031228;0500;177,124;
031228;0600;177,574;
031228;0700;194,538;
031228;0800;258,426;
031228;0900;270,548;
031228;1000;242,764;
031228;1100;235,528;
031228;1200;217,549;
031228;1300;222,577;
031228;1400;207,016;
031228;1500;232,698;
031228;1600;219,863;
031228;1700;250,579;
031228;1800;254,602;
031228;1900;258,124;
031228;2000;261,956;
031228;2100;335,741;
031228;2200;287,848;
031228;2300;202,404;
031229;0000;191,142;
031229;0100;168,698;
031229;0200;243,938;
031229;0300;165,704;
031229;0400;154,482;
031229;0500;137,835;
031229;0600;159,374;
031229;0700;255,375;
031229;0800;284,209;
031229;0900;270,053;
031229;1000;271,268;
031229;1100;266,759;
031229;1200;247,407;
031229;1300;219,786;
031229;1400;264,605;
031229;1500;257,749;
031229;1600;259,064;
031229;1700;259,159;
031229;1800;254,492;
031229;1900;256,653;
031229;2000;273,929;
031229;2100;264,634;
031229;2200;157,857;
031229;2300;199,752;
031230;0000;159,21;
