FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970405;0000;178,542;;;
970406;0000;146,042;;;
970407;0000;136,667;;;
970408;0000;156,833;;;
970409;0000;193,375;;;
970410;0000;168,875;;;
970411;0000;178;;;
970412;0000;147,667;;;
970413;0000;143,042;;;
970414;0000;130,875;;;
970415;0000;144,708;;;
970416;0000;140,667;;;
970417;0000;145,583;;;
970418;0000;102,333;;;
970419;0000;133,125;;;
970420;0000;102,792;;;
970421;0000;94,875;;;
970422;0000;173,625;;;
970423;0000;106,542;;;
970424;0000;56,125;;;
970425;0000;105,75;;;
970426;0000;126,917;;;
970427;0000;108,375;;;
970428;0000;181,083;;;
970429;0000;162,375;;;
970430;0000;168,333;;;
970501;0000;110;;;
970502;0000;124,609;;;
970503;0000;226,75;;;
970504;0000;164,625;;;
970505;0000;198,625;;;
970506;0000;228,417;;;
970507;0000;194,667;;;
970508;0000;170,75;;;
970509;0000;216,958;;;
970510;0000;215,5;;;
970511;0000;185,417;;;
970512;0000;120,167;;;
970513;0000;191,125;;;
970514;0000;167,25;;;
970515;0000;143,25;;;
970516;0000;80,375;;;
970517;0000;85,7916;;;
970518;0000;14,5833;;;
970519;0000;67,5833;;;
970520;0000;111,708;;;
970521;0000;61,0833;;;
970522;0000;217,333;;;
970523;0000;179,958;;;
970524;0000;170,792;;;
970525;0000;168,75;;;
970526;0000;129,875;;;
970527;0000;199,167;;;
970528;0000;161,522;;;
970529;0000;14,4583;;;
970530;0000;39,7916;;;
970531;0000;111,125;;;
970601;0000;165,667;;;
970602;0000;171,458;;;
970603;0000;105,333;;;
970604;0000;23;;;
970605;0000;56,125;;;
970606;0000;196,625;;;
970607;0000;226,125;;;
970608;0000;205,167;;;
970609;0000;157,773;;;
970610;0000;88,5454;;;
970611;0000;48,1364;;;
970612;0000;;;;
970613;0000;84,2916;;;
970614;0000;29,0417;;;
970615;0000;73;;;
970616;0000;56,2916;;;
970617;0000;96,2083;;;
970618;0000;61,4545;;;
970619;0000;62,1666;;;
970620;0000;17,0833;;;
970621;0000;12,8182;;;
970622;0000;21,5833;;;
970623;0000;24;;;
970624;0000;60,625;;;
970625;0000;98,9583;;;
970626;0000;91,9166;;;
970627;0000;93,375;;;
970628;0000;103,208;;;
970629;0000;154,792;;;
970630;0000;224,292;;;
970701;0000;106,083;;;
970702;0000;120;;;
970703;0000;129,333;;;
970704;0000;179,333;;;
970705;0000;134,75;;;
970706;0000;121,208;;;
970707;0000;102,826;;;
970708;0000;162,042;;;
970709;0000;110,667;;;
970710;0000;174,875;;;
970711;0000;88,5416;;;
970712;0000;44,625;;;
970713;0000;134,708;;;
970714;0000;212,917;;;
970715;0000;98,1666;;;
970716;0000;125,5;;;
970717;0000;267,125;;;
970718;0000;190,75;;;
970719;0000;237,583;;;
970720;0000;192,5;;;
970721;0000;197,125;;;
970722;0000;226,375;;;
970723;0000;221,375;;;
970724;0000;267,708;;;
970725;0000;240,5;;;
970726;0000;242,542;;;
970727;0000;101,167;;;
970728;0000;39,2083;;;
970729;0000;44,3333;;;
970730;0000;9,58333;;;
970731;0000;25,5217;;;
970801;0000;53,1666;;;
970802;0000;70;;;
970803;0000;67,0833;;;
970804;0000;218,792;;;
970805;0000;153,208;;;
970806;0000;163,125;;;
970807;0000;190,167;;;
970808;0000;166,917;;;
970809;0000;187,958;;;
970810;0000;150,583;;;
970811;0000;169,458;;;
970812;0000;153,583;;;
970813;0000;79,7826;;;
970814;0000;109,667;;;
970815;0000;80,0416;;;
970816;0000;17,3333;;;
970817;0000;;;;
970818;0000;;;;
970819;0000;90,25;;;
970820;0000;101,458;;;
970821;0000;139,25;;;
970822;0000;132,333;;;
970823;0000;121,042;;;
970824;0000;124,208;;;
970825;0000;152;;;
970826;0000;125,542;;;
970827;0000;150,542;;;
970828;0000;159,542;;;
970829;0000;103,5;;;
970830;0000;57,0416;;;
970831;0000;37,75;;;
970901;0000;76,0833;;;
970902;0000;76,125;;;
970903;0000;25,5;;;
970904;0000;38,5416;;;
970905;0000;118,125;;;
970906;0000;49,2083;;;
970907;0000;13,125;;;
970908;0000;31,5417;;;
970909;0000;45,9166;;;
970910;0000;97,875;;;
970911;0000;38;;;
970912;0000;;;;
970913;0000;88,8333;;;
970914;0000;81,25;;;
970915;0000;191,458;;;
970916;0000;173;;;
970917;0000;134,083;;;
970918;0000;57,6666;;;
970919;0000;43,5;;;
970920;0000;61,9583;;;
970921;0000;54,3333;;;
970922;0000;36,7916;;;
970923;0000;52,375;;;
970924;0000;61,125;;;
970925;0000;142,167;;;
970926;0000;110,833;;;
970927;0000;31,625;;;
970928;0000;75,5416;;;
970929;0000;95,4583;;;
970930;0000;103,208;;;
971001;0000;122,958;;;
