FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080501;0000;;;49,7829;
080502;0000;;;42,545;
080503;0000;;;57,3055;
080504;0000;;;66,1943;
080505;0000;;;52,9166;
080506;0000;;;49,9131;
080507;0000;;;61,0207;
080508;0000;;;63,5763;
080509;0000;;;56,6804;
080510;0000;;;79,243;
080511;0000;;;79,92;
080512;0000;;;69,9165;
080513;0000;;;65,9479;
080514;0000;;;77,1804;
080515;0000;;;80,6631;
080516;0000;;;68,4722;
080517;0000;;;36,8575;
080518;0000;;;35,6458;
080519;0000;;;10,4375;
080520;0000;;;24,6006;
080521;0000;;;19,8541;
080522;0000;;;28,4548;
080523;0000;;;12,9548;
080524;0000;;;38,6249;
080525;0000;;;51,3159;
080526;0000;;;32,4791;
080527;0000;;;9,31041;
080528;0000;;;31,993;
080529;0000;;;67,6908;
080530;0000;;;75,5173;
080531;0000;;;75,3472;
080601;0000;;;55,2274;
080602;0000;;;52,9999;
080603;0000;;;52,1075;
080604;0000;;;18,5208;
080605;0000;;;19,7673;
080606;0000;;;32,4479;
080607;0000;;;39,4583;
080608;0000;;;31,684;
080609;0000;;;38,2534;
080610;0000;;;37,7742;
080611;0000;;;41,3072;
080612;0000;;;65,5074;
080613;0000;;;64,8436;
080614;0000;;;45,2898;
080615;0000;;;98,1249;
080616;0000;;;60,6006;
080617;0000;;;89,2828;
080618;0000;;;64,8402;
080619;0000;;;12,5729;
080620;0000;;;36,743;
080621;0000;;;89,8228;
080622;0000;;;88,3523;
080623;0000;;;88,979;
080624;0000;;;84,0347;
080625;0000;;;77,4357;
080626;0000;;;55,3141;
080627;0000;;;80,2081;
080628;0000;;;78,1648;
080629;0000;;;68,8158;
080630;0000;;;75,0588;
080701;0000;;;63,4617;
080702;0000;;;59,9305;
080703;0000;;;50,6006;
080704;0000;;;22,9909;
080705;0000;;;55,3992;
080706;0000;;;62,7638;
080707;0000;;;51,3853;
080708;0000;;;66,5242;
080709;0000;;;52,6943;
080710;0000;;;49,7638;
080711;0000;;;54,4686;
080712;0000;;;53,7464;
080713;0000;;;38,4478;
080714;0000;;;46,3506;
080715;0000;;;36,6562;
080716;0000;;;36,7117;
080717;0000;;;9,94095;
080718;0000;;;44,2708;
080719;0000;;;69,6527;
080720;0000;;;36,7499;
080721;0000;;;47,4443;
080722;0000;;;50,2152;
080723;0000;;;15,3055;
080724;0000;;;75,1439;
080725;0000;;;65,177;
080726;0000;;;44,3853;
080727;0000;;;40,7673;
080728;0000;;;57,0363;
080729;0000;;;45,8228;
080730;0000;;;51,5693;
080731;0000;;;54,7308;
080801;0000;;;19,993;
080802;0000;;;26,6683;
080803;0000;;;46,0521;
080804;0000;;;29,9583;
080805;0000;;;40,809;
080806;0000;;;35,4965;
080807;0000;;;47,4183;
080808;0000;;;53,2481;
080809;0000;;;69,0347;
080810;0000;;;66,8175;
080811;0000;;;27,2708;
080812;0000;;;41,1736;
080813;0000;;;50,6041;
080814;0000;;;55,9166;
080815;0000;;;19,1389;
080816;0000;;;7,94096;
080817;0000;;;24,5833;
080818;0000;;;21,5486;
080819;0000;;;13,1423;
080820;0000;;;15,1771;
080821;0000;;;33,2708;
080822;0000;;;44,8622;
080823;0000;;;45,6909;
080824;0000;;;50,8194;
080825;0000;;;31,8368;
080826;0000;;;15,1215;
080827;0000;;;8,56943;
080828;0000;;;9,61111;
080829;0000;;;36,0138;
080830;0000;;;41,9722;
080831;0000;;;30,3663;
080901;0000;;;18,4548;
080902;0000;;;12,2048;
080903;0000;;;12,493;
080904;0000;;;20,9514;
080905;0000;;;31,0937;
080906;0000;;;32,3506;
080907;0000;;;43,1058;
080908;0000;;;34,8333;
080909;0000;;;39,118;
080910;0000;;;24,1597;
080911;0000;;;24,7083;
080912;0000;;;54,92;
080913;0000;;;40,5694;
080914;0000;;;43,1458;
080915;0000;;;34,3055;
080916;0000;;;35,993;
080917;0000;;;21,5;
080918;0000;;;32,4235;
080919;0000;;;24,3507;
080920;0000;;;37,8958;
080921;0000;;;29,2048;
080922;0000;;;25,375;
080923;0000;;;24,0173;
080924;0000;;;35,045;
080925;0000;;;32,2256;
080926;0000;;;9,93748;
080927;0000;;;12,9097;
080928;0000;;;17,3646;
