FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090324;0000;34,8333;;;
090325;0000;39,625;;;
090326;0000;33,4583;;;
090327;0000;41,3333;;;
090328;0000;30,375;;;
090329;0000;19,2917;;;
090330;0000;21,9167;;;
090331;0000;20,4583;;;
090401;0000;19,2917;;;
090402;0000;26,4583;;;
090403;0000;28,1667;;;
090404;0000;41,375;;;
090405;0000;39,9583;;;
090406;0000;44,5;;;
090407;0000;38,0833;;;
090408;0000;39,25;;;
090409;0000;60,5;;;
090410;0000;76,125;;;
090411;0000;32,5416;;;
090412;0000;52,5416;;;
090413;0000;59,0416;;;
090414;0000;49,0416;;;
090415;0000;57,375;;;
090416;0000;56,375;;;
090417;0000;51,625;;;
090418;0000;39,8333;;;
090419;0000;62,375;;;
090420;0000;24,2083;;;
090421;0000;53,625;;;
090422;0000;51,7083;;;
090423;0000;31,5417;;;
090424;0000;38,4166;;;
090425;0000;50,375;;;
090426;0000;87,5;;;
090427;0000;112,292;;;
090428;0000;71,5;;;
090429;0000;72,375;;;
090430;0000;64,625;;;
090501;0000;55,5416;;;
090502;0000;38,625;;;
090503;0000;5,5;;;
090504;0000;19,625;;;
090505;0000;119,375;;;
090506;0000;132,917;;;
090507;0000;68,5;;;
090508;0000;87,0833;;;
090509;0000;81,625;;;
090510;0000;90,7916;;;
090511;0000;195,667;;;
090512;0000;91,4583;;;
090513;0000;79,9166;;;
090514;0000;57,8333;;;
090515;0000;89,1666;;;
090516;0000;67,25;;;
090517;0000;28,875;;;
090518;0000;26,0417;;;
090519;0000;78,8333;;;
090520;0000;122,667;;;
090521;0000;101,542;;;
090522;0000;87,6666;;;
090523;0000;57,6666;;;
090524;0000;71,625;;;
090525;0000;28,2083;;;
090526;0000;15,6667;;;
090527;0000;73,75;;;
090528;0000;82,375;;;
090529;0000;76;;;
090530;0000;86,125;;;
090531;0000;104,083;;;
090601;0000;138,625;;;
090602;0000;148,042;;;
090603;0000;157,917;;;
090604;0000;89,0833;;;
090605;0000;131,208;;;
090606;0000;94,7083;;;
090607;0000;13,7917;;;
090608;0000;66,5833;;;
090609;0000;137,875;;;
090610;0000;109,333;;;
090611;0000;161,458;;;
090612;0000;102,875;;;
090613;0000;45,375;;;
090614;0000;46,0833;;;
090615;0000;65,0833;;;
090616;0000;105,125;;;
090617;0000;57,875;;;
090618;0000;185,542;;;
090619;0000;94,375;;;
090620;0000;7,70833;;;
090621;0000;16,2917;;;
090622;0000;57,4166;;;
090623;0000;120,042;;;
090624;0000;197,917;;;
090625;0000;152,667;;;
090626;0000;227,917;;;
090627;0000;135,417;;;
090628;0000;4;;;
090629;0000;67,5;;;
090630;0000;67,375;;;
090701;0000;49,4583;;;
090702;0000;80,5833;;;
090703;0000;129,667;;;
090704;0000;142,583;;;
090705;0000;122,292;;;
090706;0000;68,3333;;;
090707;0000;47,8333;;;
090708;0000;50,75;;;
090709;0000;68;;;
090710;0000;75,375;;;
090711;0000;102,292;;;
090712;0000;57,5;;;
090713;0000;101,083;;;
090714;0000;97,3333;;;
090715;0000;62,3333;;;
090716;0000;109,625;;;
090717;0000;57,5416;;;
090718;0000;94,5416;;;
090719;0000;62,25;;;
090720;0000;45,25;;;
090721;0000;16,5909;;;
090722;0000;23;;;
090723;0000;94;;;
090724;0000;144,583;;;
090725;0000;99,8333;;;
090726;0000;76,5;;;
