FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090324;0000;65,1666;;;
090325;0000;69,2083;;;
090326;0000;63,5;;;
090327;0000;69,8333;;;
090328;0000;51,125;;;
090329;0000;35,7083;;;
090330;0000;46,1666;;;
090331;0000;45,1666;;;
090401;0000;42,9166;;;
090402;0000;54,2916;;;
090403;0000;45,9583;;;
090404;0000;61,0833;;;
090405;0000;63,375;;;
090406;0000;75,5833;;;
090407;0000;70,375;;;
090408;0000;70,1666;;;
090409;0000;98,1666;;;
090410;0000;100,958;;;
090411;0000;53,5416;;;
090412;0000;68,8333;;;
090413;0000;85,875;;;
090414;0000;86;;;
090415;0000;88,7916;;;
090416;0000;88,3333;;;
090417;0000;83,8333;;;
090418;0000;71,2916;;;
090419;0000;93,9166;;;
090420;0000;56,6666;;;
090421;0000;90,5;;;
090422;0000;82,375;;;
090423;0000;55,8333;;;
090424;0000;75,2916;;;
090425;0000;86,3333;;;
090426;0000;122,333;;;
090427;0000;153,417;;;
090428;0000;113,375;;;
090429;0000;108;;;
090430;0000;94,875;;;
090501;0000;93,75;;;
090502;0000;61,375;;;
090503;0000;25,0417;;;
090504;0000;37,625;;;
090505;0000;162,167;;;
090506;0000;169,125;;;
090507;0000;94,375;;;
090508;0000;120,583;;;
090509;0000;113,75;;;
090510;0000;136,917;;;
090511;0000;263,875;;;
090512;0000;139,125;;;
090513;0000;100,083;;;
090514;0000;75,5833;;;
090515;0000;118,542;;;
090516;0000;96,4583;;;
090517;0000;44,5;;;
090518;0000;46,0416;;;
090519;0000;109,917;;;
090520;0000;163,125;;;
090521;0000;143,458;;;
090522;0000;125,333;;;
090523;0000;92,4166;;;
090524;0000;98,8333;;;
090525;0000;45,0833;;;
090526;0000;33,5416;;;
090527;0000;109,292;;;
090528;0000;111,583;;;
090529;0000;106,292;;;
090530;0000;111,083;;;
090531;0000;127,667;;;
090601;0000;174,958;;;
090602;0000;194,125;;;
090603;0000;203,833;;;
090604;0000;124,792;;;
090605;0000;174,5;;;
090606;0000;134,917;;;
090607;0000;36,7916;;;
090608;0000;105,75;;;
090609;0000;181,458;;;
090610;0000;150,75;;;
090611;0000;214,208;;;
090612;0000;154,958;;;
090613;0000;80,5833;;;
090614;0000;73,6666;;;
090615;0000;90,2083;;;
090616;0000;135,458;;;
090617;0000;84;;;
090618;0000;231,75;;;
090619;0000;123,833;;;
090620;0000;22,5;;;
090621;0000;31,25;;;
090622;0000;81,2916;;;
