FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;16,9167;;;
970403;0000;12,4583;;;
970404;0000;23,2083;;;
970405;0000;28,2917;;;
970406;0000;21,2083;;;
970407;0000;17,625;;;
970408;0000;15,0417;;;
970409;0000;23,2083;;;
970410;0000;20,0833;;;
970411;0000;22,0417;;;
970412;0000;19,5833;;;
970413;0000;24,125;;;
970414;0000;17,0833;;;
970415;0000;15,7917;;;
970416;0000;15,9583;;;
970417;0000;9,29166;;;
970418;0000;7,33333;;;
970419;0000;14,6667;;;
970420;0000;17,3333;;;
970421;0000;13,375;;;
970422;0000;7,875;;;
970423;0000;4,5;;;
970424;0000;8,91666;;;
970425;0000;13,7083;;;
970426;0000;9,375;;;
970427;0000;16,375;;;
970428;0000;14,75;;;
970429;0000;6,29166;;;
970430;0000;10,8696;;;
970501;0000;21,75;;;
970502;0000;12,0417;;;
970503;0000;23,625;;;
970504;0000;18,5;;;
970505;0000;12,625;;;
970506;0000;17;;;
970507;0000;12,7083;;;
970508;0000;12,6667;;;
970509;0000;13,9583;;;
970510;0000;17,4167;;;
970511;0000;22,75;;;
970512;0000;4,95833;;;
970513;0000;14,875;;;
970514;0000;17,2917;;;
970515;0000;13,375;;;
970516;0000;5,95833;;;
970517;0000;3,16666;;;
970518;0000;9,29166;;;
970519;0000;7,70833;;;
970520;0000;4,45833;;;
970521;0000;15,4167;;;
970522;0000;11,25;;;
970523;0000;9,08333;;;
970524;0000;10,2917;;;
970525;0000;8,04166;;;
970526;0000;5,16666;;;
970527;0000;11,2083;;;
970528;0000;4,41666;;;
970529;0000;5,54166;;;
970530;0000;7,29166;;;
970531;0000;4,29166;;;
970601;0000;16,75;;;
970602;0000;10,5;;;
970603;0000;2,58333;;;
970604;0000;6,375;;;
970605;0000;8;;;
970606;0000;10,2917;;;
970607;0000;13,8333;;;
970608;0000;10;;;
970609;0000;4,75;;;
970610;0000;4,90909;;;
970611;0000;3,5;;;
970612;0000;;;;
970613;0000;10,625;;;
970614;0000;5,79166;;;
970615;0000;2,29166;;;
970616;0000;5,08333;;;
970617;0000;6,29166;;;
970618;0000;4,5;;;
970619;0000;3,16666;;;
970620;0000;10,375;;;
970621;0000;9,08333;;;
970622;0000;9,08333;;;
970623;0000;8,95833;;;
970624;0000;8,20833;;;
