FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970729;0000;9,5;;;
970730;0000;6,54166;;;
970731;0000;6,04166;;;
970801;0000;11;;;
970802;0000;10,7917;;;
970803;0000;24,9167;;;
970804;0000;23,9167;;;
970805;0000;21,0417;;;
970806;0000;17,75;;;
970807;0000;24,5417;;;
970808;0000;18,4167;;;
970809;0000;11,0833;;;
970810;0000;10,1667;;;
970811;0000;11,75;;;
970812;0000;11,9167;;;
970813;0000;5,83333;;;
970814;0000;5,79166;;;
970815;0000;4,875;;;
970816;0000;3,375;;;
970817;0000;;;;
970818;0000;;;;
970819;0000;3,91666;;;
970820;0000;8,79166;;;
970821;0000;8,70833;;;
970822;0000;9,125;;;
970823;0000;10,2083;;;
970824;0000;13,2917;;;
970825;0000;18,9583;;;
970826;0000;21,3333;;;
970827;0000;17;;;
970828;0000;12,0833;;;
970829;0000;6,625;;;
970830;0000;3,79166;;;
970831;0000;2,95833;;;
970901;0000;6;;;
970902;0000;7,125;;;
970903;0000;2,69565;;;
970904;0000;2,91666;;;
970905;0000;6,79166;;;
970906;0000;10,2083;;;
970907;0000;1,08333;;;
970908;0000;2,125;;;
970909;0000;1,75;;;
970910;0000;;;;
970911;0000;;;;
970912;0000;;;;
970913;0000;;;;
970914;0000;;;;
970915;0000;;;;
970916;0000;;;;
970917;0000;;;;
970918;0000;;;;
970919;0000;;;;
970920;0000;;;;
970921;0000;;;;
970922;0000;;;;
970923;0000;;;;
970924;0000;;;;
970925;0000;;;;
970926;0000;8,41666;;;
970927;0000;4,29166;;;
970928;0000;5,625;;;
970929;0000;7,375;;;
970930;0000;6,75;;;
971001;0000;6,91666;;;
971002;0000;4,16666;;;
971003;0000;3,95833;;;
971004;0000;3,375;;;
971005;0000;3,08333;;;
971006;0000;13,5417;;;
971007;0000;11,8333;;;
971008;0000;6,875;;;
971009;0000;5,04166;;;
971010;0000;5,58333;;;
971011;0000;5,75;;;
971012;0000;3,875;;;
971013;0000;3,82608;;;
971014;0000;3,25;;;
971015;0000;3,54166;;;
971016;0000;15,0833;;;
971017;0000;20,2083;;;
971018;0000;20,5;;;
971019;0000;8,08333;;;
971020;0000;19,625;;;
971021;0000;10,5833;;;
971022;0000;4,20833;;;
971023;0000;21,4167;;;
971024;0000;5,41666;;;
971025;0000;1,41667;;;
971026;0000;1,75;;;
971027;0000;1,79167;;;
971028;0000;1,08333;;;
971029;0000;2,66666;;;
971030;0000;1,41667;;;
971031;0000;6,875;;;
971101;0000;5;;;
971102;0000;1,83333;;;
971103;0000;2,70833;;;
971104;0000;3,70833;;;
971105;0000;3,45833;;;
971106;0000;4,375;;;
971107;0000;3,16666;;;
971108;0000;3,875;;;
971109;0000;2,25;;;
971110;0000;1,16667;;;
971111;0000;1,70833;;;
971112;0000;1,66667;;;
971113;0000;20,4583;;;
971114;0000;9,08333;;;
971115;0000;7,54166;;;
971116;0000;3,375;;;
971117;0000;3,95833;;;
971118;0000;4,125;;;
971119;0000;3,41666;;;
971120;0000;5,45833;;;
971121;0000;17;;;
971122;0000;9,375;;;
971123;0000;7,29166;;;
971124;0000;6,66666;;;
971125;0000;2,08333;;;
971126;0000;2,95833;;;
971127;0000;5,75;;;
971128;0000;7,75;;;
971129;0000;3,16666;;;
971130;0000;8,625;;;
971201;0000;4,41666;;;
971202;0000;3,375;;;
971203;0000;9,54166;;;
971204;0000;4,16666;;;
971205;0000;20;;;
971206;0000;16,5417;;;
971207;0000;11,375;;;
971208;0000;5,33333;;;
971209;0000;5,41666;;;
971210;0000;2,75;;;
971211;0000;1,41667;;;
971212;0000;1,5;;;
971213;0000;9,25;;;
971214;0000;3,58333;;;
971215;0000;2,70833;;;
971216;0000;1,29167;;;
971217;0000;2,95833;;;
971218;0000;38,2083;;;
971219;0000;20,0417;;;
971220;0000;41,8333;;;
971221;0000;1,41667;;;
971222;0000;3,125;;;
971223;0000;4;;;
971224;0000;15,0833;;;
971225;0000;3,41666;;;
971226;0000;1;;;
971227;0000;1,70833;;;
971228;0000;3,45833;;;
971229;0000;2;;;
971230;0000;4,08333;;;
971231;0000;1,375;;;
980101;0000;2,16666;;;
980102;0000;2,125;;;
980103;0000;2,875;;;
980104;0000;4,83333;;;
980105;0000;4,625;;;
980106;0000;10,25;;;
980107;0000;4,875;;;
980108;0000;3,70833;;;
980109;0000;3,04166;;;
980110;0000;2,375;;;
980111;0000;3,625;;;
980112;0000;5,91666;;;
980113;0000;4,75;;;
980114;0000;2,91666;;;
980115;0000;8,79166;;;
980116;0000;4,66666;;;
980117;0000;8,25;;;
980118;0000;2,04166;;;
980119;0000;1,08333;;;
980120;0000;2,5;;;
980121;0000;2,79166;;;
980122;0000;14,2917;;;
980123;0000;6,20833;;;
980124;0000;5,75;;;
980125;0000;3;;;
980126;0000;1,75;;;
980127;0000;1,70833;;;
980128;0000;9,625;;;
980129;0000;6,45833;;;
980130;0000;7,95833;;;
980131;0000;4,83333;;;
980201;0000;2,20833;;;
980202;0000;1,66667;;;
980203;0000;3,83333;;;
980204;0000;3,5;;;
980205;0000;7,875;;;
980206;0000;2,875;;;
980207;0000;5,66666;;;
980208;0000;1,83333;;;
980209;0000;7,25;;;
980210;0000;2,08696;;;
