FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970517;0000;1,85833;;;
970518;0000;0,874999;;;
970519;0000;1,36666;;;
970520;0000;1,41666;;;
970521;0000;0,679166;;;
970522;0000;4,33749;;;
970523;0000;4,06666;;;
970524;0000;3,80833;;;
970525;0000;4,20416;;;
970526;0000;1,55416;;;
970527;0000;2,645;;;
970528;0000;;;;
970529;0000;0,720832;;;
970530;0000;1,51666;;;
970531;0000;4,37916;;;
970601;0000;5,05833;;;
970602;0000;3,525;;;
970603;0000;2,77083;;;
970604;0000;0,424999;;;
970605;0000;0,799999;;;
970606;0000;3,96666;;;
970607;0000;3,39583;;;
970608;0000;5,99166;;;
970609;0000;1,80416;;;
970610;0000;2,47916;;;
970611;0000;1,28333;;;
970612;0000;0,362499;;;
970613;0000;1,55;;;
970614;0000;1,6375;;;
970615;0000;4,10832;;;
970616;0000;3,42083;;;
970617;0000;1,79583;;;
970618;0000;1,575;;;
970619;0000;3,21666;;;
970620;0000;0,316666;;;
970621;0000;0,3625;;;
970622;0000;0,562499;;;
970623;0000;1,12083;;;
970624;0000;2,07083;;;
970625;0000;2,27916;;;
970626;0000;1,6375;;;
970627;0000;2,09166;;;
970628;0000;1,54166;;;
970629;0000;3,12083;;;
970630;0000;5,08333;;;
970701;0000;3,02608;;;
970702;0000;2,62083;;;
970703;0000;2,21666;;;
970704;0000;4,67083;;;
970705;0000;3,64166;;;
970706;0000;2,98333;;;
970707;0000;1,49166;;;
970708;0000;2,79166;;;
970709;0000;3;;;
970710;0000;2,7375;;;
970711;0000;2,86666;;;
970712;0000;0,8375;;;
970713;0000;3,59166;;;
970714;0000;3,75833;;;
970715;0000;3,4375;;;
970716;0000;2,76842;;;
970717;0000;5,29166;;;
970718;0000;6,24583;;;
970719;0000;6,45416;;;
970720;0000;4,37083;;;
970721;0000;3,96666;;;
970722;0000;6,16666;;;
970723;0000;4,77391;;;
970724;0000;3,70416;;;
970725;0000;3,94583;;;
970726;0000;6,00832;;;
970727;0000;3,99583;;;
970728;0000;0,204166;;;
970729;0000;0,541666;;;
970730;0000;0,504166;;;
970731;0000;0,741666;;;
970801;0000;1,13333;;;
970802;0000;0,812499;;;
970803;0000;1,23333;;;
