FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;228,177;
031214;1200;239,353;
031214;1300;239,445;
031214;1400;223,995;
031214;1500;232,194;
031214;1600;226,759;
031214;1700;229,45;
031214;1800;226,322;
031214;1900;231,686;
031214;2000;216,904;
031214;2100;219,425;
031214;2200;220,47;
031214;2300;217,471;
031215;0000;232,133;
031215;0100;228,098;
031215;0200;220,214;
031215;0300;206,863;
031215;0400;195,715;
031215;0500;133,109;
031215;0600;179,791;
031215;0700;155,107;
031215;0800;225,325;
031215;0900;249,925;
031215;1000;261,604;
031215;1100;224,916;
031215;1200;225,122;
031215;1300;213,286;
031215;1400;218,073;
031215;1500;216,603;
031215;1600;209,146;
031215;1700;231,788;
031215;1800;227,875;
031215;1900;198,285;
031215;2000;188,647;
031215;2100;190,925;
031215;2200;172,825;
031215;2300;148,65;
031216;0000;71,4159;
031216;0100;137,077;
031216;0200;134,074;
031216;0300;147,634;
031216;0400;157,187;
031216;0500;112,601;
031216;0600;119,563;
031216;0700;163,615;
031216;0800;300,112;
031216;0900;249,736;
031216;1000;236,197;
031216;1100;219,697;
031216;1200;227,318;
031216;1300;207,041;
031216;1400;212,131;
031216;1500;216,692;
031216;1600;216,667;
031216;1700;217,273;
031216;1800;219,227;
031216;1900;211,589;
031216;2000;205,751;
031216;2100;208,297;
031216;2200;216,72;
031216;2300;174,798;
031217;0000;62,7997;
031217;0100;123,878;
031217;0200;124,413;
031217;0300;133,425;
031217;0400;84,1476;
031217;0500;121,677;
031217;0600;84,9146;
031217;0700;193,9;
031217;0800;251,031;
031217;0900;249,669;
031217;1000;236,928;
031217;1100;217,363;
031217;1200;216,454;
031217;1300;227,3;
031217;1400;224,869;
031217;1500;225,062;
031217;1600;223,94;
031217;1700;222,762;
031217;1800;216,691;
031217;1900;203,981;
031217;2000;188,752;
031217;2100;205,785;
031217;2200;203,586;
031217;2300;214,176;
031218;0000;225,043;
031218;0100;222,749;
031218;0200;215,529;
031218;0300;202,618;
031218;0400;221,767;
031218;0500;213,927;
031218;0600;239,301;
031218;0700;248,272;
031218;0800;253,394;
031218;0900;229,061;
031218;1000;221,219;
031218;1100;215,218;
031218;1200;211,773;
031218;1300;227,782;
031218;1400;229,823;
031218;1500;225,206;
031218;1600;226,228;
031218;1700;224,556;
031218;1800;220,21;
031218;1900;214,113;
031218;2000;202,659;
031218;2100;186,396;
031218;2200;198,813;
031218;2300;210,792;
031219;0000;223,566;
031219;0100;223,854;
031219;0200;197,907;
031219;0300;239,273;
031219;0400;225,131;
031219;0500;194,219;
031219;0600;238,704;
031219;0700;247,705;
031219;0800;257,876;
031219;0900;242,242;
031219;1000;242,573;
031219;1100;218,976;
031219;1200;212,77;
031219;1300;220,281;
031219;1400;226,451;
031219;1500;227,078;
031219;1600;226,789;
031219;1700;227,664;
031219;1800;222,782;
031219;1900;219,815;
031219;2000;203,178;
031219;2100;206,333;
031219;2200;195,559;
031219;2300;200,912;
031220;0000;242,945;
031220;0100;250,882;
031220;0200;296,933;
031220;0300;235,074;
031220;0400;197,89;
031220;0500;147,258;
031220;0600;234,606;
031220;0700;253,906;
031220;0800;241,349;
031220;0900;260,801;
031220;1000;234,794;
031220;1100;217,992;
031220;1200;222,601;
031220;1300;229,538;
031220;1400;228,924;
031220;1500;219,757;
031220;1600;223,958;
031220;1700;221,318;
031220;1800;217,773;
031220;1900;200,54;
031220;2000;180,769;
031220;2100;169,172;
031220;2200;198,941;
031220;2300;220,202;
031221;0000;205,401;
031221;0100;205,246;
031221;0200;207,959;
031221;0300;193,456;
031221;0400;213,035;
031221;0500;213,909;
031221;0600;223,878;
031221;0700;222,527;
031221;0800;182,692;
031221;0900;254,778;
031221;1000;226,92;
031221;1100;210,167;
031221;1200;206,4;
031221;1300;201,335;
031221;1400;215,358;
031221;1500;211,579;
031221;1600;220,55;
031221;1700;216,834;
031221;1800;229,315;
031221;1900;221,927;
031221;2000;214,069;
031221;2100;211,405;
031221;2200;205,059;
031221;2300;198,269;
031222;0000;185,579;
031222;0100;175,48;
031222;0200;183,062;
031222;0300;214,496;
031222;0400;291,664;
031222;0500;128,814;
031222;0600;145,002;
031222;0700;260,78;
031222;0800;327,396;
031222;0900;253,111;
031222;1000;233,317;
031222;1100;212,368;
031222;1200;221,884;
031222;1300;217,758;
031222;1400;211,209;
031222;1500;209,922;
031222;1600;221,198;
031222;1700;226,16;
031222;1800;226,762;
031222;1900;217,751;
031222;2000;213,516;
031222;2100;206,189;
031222;2200;204,764;
031222;2300;195,711;
031223;0000;209,334;
031223;0100;233,719;
031223;0200;245,687;
031223;0300;224,414;
031223;0400;174,476;
031223;0500;346,966;
031223;0600;227,167;
031223;0700;242,527;
031223;0800;235,996;
031223;0900;242,46;
031223;1000;225,312;
031223;1100;216,081;
031223;1200;224,442;
031223;1300;224,037;
031223;1400;223,869;
031223;1500;221,923;
031223;1600;221,206;
031223;1700;222,731;
031223;1800;215,977;
031223;1900;209,013;
031223;2000;183,604;
031223;2100;197,479;
031223;2200;194,847;
031223;2300;202,848;
031224;0000;221,517;
031224;0100;226,484;
031224;0200;195,315;
031224;0300;230,832;
031224;0400;237,045;
031224;0500;202,419;
031224;0600;221,563;
031224;0700;236,807;
031224;0800;235,325;
031224;0900;228,314;
031224;1000;219,675;
031224;1100;216,415;
031224;1200;214,589;
031224;1300;211,316;
031224;1400;217,333;
031224;1500;220,859;
031224;1600;223,659;
031224;1700;228,17;
031224;1800;226,193;
031224;1900;211,125;
031224;2000;191,704;
031224;2100;211,129;
031224;2200;210,71;
031224;2300;209,948;
031225;0000;215,641;
031225;0100;223,247;
031225;0200;209,633;
031225;0300;211,204;
031225;0400;208,195;
031225;0500;240,502;
031225;0600;234,014;
031225;0700;283,244;
031225;0800;257,5;
031225;0900;293,122;
031225;1000;262,868;
031225;1100;224,389;
031225;1200;218,971;
031225;1300;217,09;
031225;1400;222,649;
031225;1500;225,657;
031225;1600;230,116;
031225;1700;223,794;
031225;1800;223,498;
031225;1900;221,227;
031225;2000;197,556;
031225;2100;201,078;
031225;2200;189,75;
031225;2300;197,501;
031226;0000;205,145;
031226;0100;207,347;
031226;0200;205,755;
031226;0300;233,517;
031226;0400;203,042;
031226;0500;249,055;
031226;0600;212,687;
031226;0700;223,323;
031226;0800;228,774;
031226;0900;228,208;
031226;1000;211,827;
031226;1100;212,139;
031226;1200;223,745;
031226;1300;227,013;
031226;1400;228,69;
031226;1500;234,222;
031226;1600;230,295;
031226;1700;229,126;
031226;1800;222,04;
031226;1900;220,84;
031226;2000;220,111;
031226;2100;215,493;
031226;2200;215,004;
031226;2300;218,385;
031227;0000;207,281;
031227;0100;212,405;
031227;0200;224,878;
031227;0300;234,721;
031227;0400;227,947;
031227;0500;228,667;
031227;0600;226,182;
031227;0700;222,38;
031227;0800;183,257;
031227;0900;178,008;
031227;1000;202,559;
031227;1100;221,639;
031227;1200;209,385;
031227;1300;211,338;
031227;1400;213,498;
031227;1500;211,705;
031227;1600;216,435;
031227;1700;214,244;
031227;1800;200,476;
031227;1900;181,231;
031227;2000;193,927;
031227;2100;191,219;
031227;2200;190,978;
031227;2300;190,604;
031228;0000;182,221;
031228;0100;170,479;
031228;0200;70,3013;
031228;0300;133,227;
031228;0400;148,35;
031228;0500;142,774;
031228;0600;126,656;
031228;0700;166,887;
031228;0800;293,229;
031228;0900;244,764;
031228;1000;239,638;
031228;1100;211,841;
031228;1200;208,419;
031228;1300;208,417;
031228;1400;199,61;
031228;1500;204,89;
031228;1600;213,994;
031228;1700;229,729;
031228;1800;223,922;
031228;1900;220,137;
031228;2000;209,438;
031228;2100;185,64;
031228;2200;192,727;
031228;2300;197,024;
031229;0000;193,214;
031229;0100;252,571;
031229;0200;241,971;
031229;0300;209,39;
031229;0400;202,151;
031229;0500;222,191;
031229;0600;216,32;
031229;0700;238,052;
031229;0800;229,598;
031229;0900;221,306;
031229;1000;224,803;
031229;1100;215,224;
031229;1200;218,502;
031229;1300;223,796;
031229;1400;227,13;
031229;1500;220,657;
031229;1600;225,284;
031229;1700;222,867;
031229;1800;218,922;
031229;1900;216,603;
031229;2000;184,685;
031229;2100;204,199;
031229;2200;201,157;
031229;2300;217,567;
031230;0000;226,789;
031230;0100;227,876;
031230;0200;238,252;
031230;0300;257,706;
031230;0400;243,685;
031230;0500;224,641;
031230;0600;50,5964;
031230;0700;257,014;
031230;0800;271,841;
031230;0900;271,98;
031230;1000;248,266;
031230;1100;231,338;
031230;1200;215,954;
031230;1300;219,154;
031230;1400;228,213;
031230;1500;227,834;
031230;1600;225,135;
031230;1700;222,495;
031230;1800;222,601;
031230;1900;216,381;
031230;2000;199,717;
031230;2100;196,737;
031230;2200;206,136;
031230;2300;199,162;
031231;0000;220,082;
031231;0100;248,523;
031231;0200;225,91;
031231;0300;229,745;
031231;0400;308,31;
031231;0500;48,8864;
031231;0600;329,489;
031231;0700;254,111;
031231;0800;235,233;
031231;0900;239,183;
031231;1000;227,554;
031231;1100;222,128;
031231;1200;222,45;
031231;1300;226,323;
031231;1400;222,561;
031231;1500;222,596;
031231;1600;220,342;
031231;1700;222,042;
031231;1800;220,214;
031231;1900;212,263;
031231;2000;201,334;
031231;2100;194,598;
031231;2200;199,762;
031231;2300;208,465;
040101;0000;216,741;
040101;0100;226,352;
040101;0200;227,129;
040101;0300;241,472;
040101;0400;195,904;
040101;0500;204,782;
040101;0600;220,958;
040101;0700;299,021;
040101;0800;236,219;
040101;0900;231,146;
040101;1000;227,406;
040101;1100;219,568;
040101;1200;213,079;
040101;1300;215,074;
040101;1400;225,111;
040101;1500;229,644;
040101;1600;226,463;
040101;1700;229,263;
040101;1800;223,697;
040101;1900;218,15;
040101;2000;189,654;
040101;2100;195,33;
040101;2200;199,57;
040101;2300;225,383;
040102;0000;236,076;
040102;0100;232,341;
040102;0200;240,406;
040102;0300;228,4;
040102;0400;229,854;
040102;0500;131,433;
040102;0600;357,411;
040102;0700;277,62;
040102;0800;261,464;
040102;0900;251,803;
040102;1000;236,246;
040102;1100;209,176;
040102;1200;206,601;
040102;1300;208,14;
040102;1400;227,703;
040102;1500;231,013;
040102;1600;227,296;
040102;1700;221,168;
040102;1800;224,048;
040102;1900;216,531;
040102;2000;184,524;
040102;2100;191,79;
040102;2200;195,08;
040102;2300;196,839;
040103;0000;209,889;
040103;0100;231,313;
040103;0200;220,003;
040103;0300;206,555;
040103;0400;216,061;
040103;0500;13,3176;
040103;0600;25,3226;
040103;0700;225,368;
040103;0800;233,842;
040103;0900;225,336;
040103;1000;239,87;
040103;1100;214,724;
040103;1200;221,338;
040103;1300;217,765;
040103;1400;224,56;
040103;1500;218,667;
040103;1600;223,15;
040103;1700;231,993;
040103;1800;221,488;
040103;1900;215,523;
040103;2000;199,612;
040103;2100;187,786;
040103;2200;190,265;
040103;2300;207,593;
040104;0000;236,743;
040104;0100;229,096;
040104;0200;217,226;
040104;0300;222,663;
040104;0400;201,81;
040104;0500;218,728;
040104;0600;231,779;
040104;0700;264,578;
040104;0800;247,55;
040104;0900;254,953;
040104;1000;219,958;
040104;1100;211,122;
040104;1200;220,806;
040104;1300;224,799;
040104;1400;223,592;
040104;1500;224,382;
040104;1600;226,971;
040104;1700;219,595;
040104;1800;216,542;
040104;1900;211,321;
040104;2000;187,43;
040104;2100;193,904;
040104;2200;193,484;
040104;2300;194,791;
040105;0000;202,046;
040105;0100;216,047;
040105;0200;233,7;
040105;0300;194,241;
040105;0400;299,453;
040105;0500;168,066;
040105;0600;180,011;
040105;0700;231,861;
040105;0800;193,457;
040105;0900;206,198;
040105;1000;241,848;
040105;1100;216,561;
040105;1200;200,024;
040105;1300;200,513;
040105;1400;203,708;
040105;1500;208,496;
040105;1600;227,329;
040105;1700;230,919;
040105;1800;226,965;
040105;1900;224,261;
040105;2000;218,268;
040105;2100;217,416;
040105;2200;215,682;
040105;2300;208,037;
040106;0000;203,38;
040106;0100;194,768;
040106;0200;236,703;
040106;0300;218,358;
040106;0400;250,889;
040106;0500;213,62;
040106;0600;191,308;
040106;0700;205,727;
040106;0800;215,15;
040106;0900;209,72;
040106;1000;216,249;
040106;1100;219,198;
040106;1200;219,513;
040106;1300;224,629;
040106;1400;228,141;
040106;1500;226,711;
040106;1600;219,553;
040106;1700;221,369;
040106;1800;221,958;
040106;1900;218,367;
040106;2000;193,113;
040106;2100;179,692;
040106;2200;200,525;
040106;2300;208,489;
040107;0000;232,013;
040107;0100;229,254;
040107;0200;219,96;
040107;0300;222,053;
040107;0400;95,3698;
040107;0500;269,548;
040107;0600;227,59;
040107;0700;247,37;
040107;0800;235,888;
040107;0900;224,377;
040107;1000;217,511;
040107;1100;210,239;
040107;1200;211,952;
040107;1300;225,14;
040107;1400;227,579;
040107;1500;222,977;
040107;1600;227,309;
