FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;58,5833;
031214;1200;48,5833;
031214;1300;40,75;
031214;1400;38,6666;
031214;1500;36,0833;
031214;1600;37,0833;
031214;1700;43,0833;
031214;1800;48;
031214;1900;51,8333;
031214;2000;55,5;
031214;2100;58,5;
031214;2200;61,75;
031214;2300;62,5;
031215;0000;66,5;
031215;0100;66,5833;
031215;0200;64,0833;
031215;0300;65,1664;
031215;0400;67,3333;
031215;0500;71,8333;
031215;0600;66,9164;
031215;0700;58,3333;
031215;0800;50,4166;
031215;0900;46,5;
031215;1000;43,1666;
031215;1100;40,4166;
031215;1200;33,6666;
031215;1300;25;
031215;1400;21,6667;
031215;1500;21;
031215;1600;21,6667;
031215;1700;19,3333;
031215;1800;18,0833;
031215;1900;29,7;
031215;2000;32,25;
031215;2100;30,1667;
031215;2200;28,8333;
031215;2300;32,9166;
031216;0000;37,0833;
031216;0100;40,0833;
031216;0200;45,4166;
031216;0300;48;
031216;0400;53,3333;
031216;0500;55,5;
031216;0600;49,75;
031216;0700;41,8333;
031216;0800;32,1666;
031216;0900;28,5833;
031216;1000;23,8333;
031216;1100;20,6667;
031216;1200;17,75;
031216;1300;14,0833;
031216;1400;12,6667;
031216;1500;12,5833;
031216;1600;15,3333;
031216;1700;16,25;
031216;1800;17;
031216;1900;19,3333;
031216;2000;24,0833;
031216;2100;28,5;
031216;2200;31,6667;
031216;2300;37;
031217;0000;41,25;
031217;0100;43,75;
031217;0200;42,6666;
031217;0300;43,4166;
031217;0400;45,8333;
031217;0500;49,0833;
031217;0600;42,4166;
031217;0700;32,4166;
031217;0800;29,1667;
031217;0900;26,1667;
031217;1000;24,6667;
031217;1100;23,8333;
031217;1200;24,3333;
031217;1300;21,5;
031217;1400;20,9167;
031217;1500;25;
031217;1600;27,6667;
031217;1700;32,1666;
031217;1800;35,5;
031217;1900;44,25;
031217;2000;54,1666;
031217;2100;57,0833;
031217;2200;61,0833;
031217;2300;64,5833;
031218;0000;68,1664;
031218;0100;69,9164;
031218;0200;72,1664;
031218;0300;76;
031218;0400;79,0833;
031218;0500;80,5;
031218;0600;73,0833;
031218;0700;63,9166;
031218;0800;58,5833;
031218;0900;52,25;
031218;1000;48,5;
031218;1100;42,4166;
031218;1200;43,6666;
031218;1300;43,0833;
031218;1400;42,6666;
031218;1500;43,5;
031218;1600;44,1666;
031218;1700;46,25;
031218;1800;47,6666;
031218;1900;55,9166;
031218;2000;66,1664;
031218;2100;69,3333;
031218;2200;72,1664;
031218;2300;75,9164;
031219;0000;82,1664;
031219;0100;88,1664;
031219;0200;89,3999;
031219;0300;91,5833;
031219;0400;94,3333;
031219;0500;93,9164;
031219;0600;86,8333;
031219;0700;76,5833;
031219;0800;66,0833;
031219;0900;55,4166;
031219;1000;58;
031219;1100;53,4166;
031219;1200;49,1666;
031219;1300;46,8333;
031219;1400;43,6666;
031219;1500;41,1666;
031219;1600;40,8333;
031219;1700;44,5;
031219;1800;49,5833;
031219;1900;55,9166;
031219;2000;58,9166;
031219;2100;64,1664;
031219;2200;67,5;
031219;2300;68,75;
031220;0000;71,75;
031220;0100;75,9164;
031220;0200;79,1664;
031220;0300;81,1664;
031220;0400;83,0833;
031220;0500;82,4164;
031220;0600;77,1664;
031220;0700;65,5833;
031220;0800;56,1666;
031220;0900;48;
031220;1000;42,25;
031220;1100;36,8333;
031220;1200;35,5;
031220;1300;32,4166;
031220;1400;32,8333;
031220;1500;;
031220;1600;34,9166;
031220;1700;39,4166;
031220;1800;45,75;
031220;1900;44,5833;
031220;2000;44,8333;
031220;2100;43,25;
031220;2200;44,8333;
031220;2300;57,5;
031221;0000;79,5833;
031221;0100;85,5;
031221;0200;86,0833;
031221;0300;86,5;
031221;0400;89,25;
031221;0500;92;
031221;0600;86,5;
031221;0700;76,8333;
031221;0800;64,9164;
031221;0900;57,1666;
031221;1000;52,25;
031221;1100;47,8333;
031221;1200;44,6666;
031221;1300;41,6666;
031221;1400;33,75;
031221;1500;26,75;
031221;1600;25,8333;
031221;1700;26,5833;
031221;1800;29,5833;
031221;1900;36,6666;
031221;2000;47,0833;
031221;2100;48,8333;
031221;2200;45,5;
031221;2300;44,4166;
031222;0000;47,8333;
031222;0100;50,8333;
031222;0200;55,9166;
031222;0300;59,9166;
031222;0400;65,25;
031222;0500;66,6664;
031222;0600;60,6666;
031222;0700;50,8333;
031222;0800;44,0833;
031222;0900;39,25;
031222;1000;36,25;
031222;1100;34,25;
031222;1200;32,3333;
031222;1300;28,5;
031222;1400;25;
031222;1500;22,1667;
031222;1600;24,8333;
031222;1700;25,3333;
031222;1800;27,8333;
031222;1900;32,8333;
031222;2000;36,1666;
031222;2100;38,5;
031222;2200;41,9166;
031222;2300;44,5833;
031223;0000;47,5;
031223;0100;50,6666;
031223;0200;56,8333;
031223;0300;59,5833;
031223;0400;62;
031223;0500;65,25;
031223;0600;56,8333;
031223;0700;52,4166;
031223;0800;45,3333;
031223;0900;38,75;
031223;1000;36,9166;
031223;1100;34,25;
031223;1200;28,4167;
031223;1300;26,6667;
031223;1400;30,4167;
031223;1500;30,25;
031223;1600;26,9167;
031223;1700;24,3333;
031223;1800;30,4167;
031223;1900;36,8333;
031223;2000;47,25;
031223;2100;54,25;
031223;2200;55,0833;
031223;2300;58,4166;
031224;0000;59,6666;
031224;0100;66,3333;
031224;0200;77;
031224;0300;78,9164;
031224;0400;82,25;
031224;0500;88,75;
031224;0600;83,8333;
031224;0700;73,0833;
031224;0800;58,75;
031224;0900;60,4166;
031224;1000;53;
031224;1100;47,9166;
031224;1200;45,9166;
031224;1300;43,4166;
031224;1400;41,6666;
031224;1500;40,5;
031224;1600;41,5;
031224;1700;45,4166;
031224;1800;49,9166;
031224;1900;57;
031224;2000;65,75;
031224;2100;70,3333;
031224;2200;75,4164;
031224;2300;81;
031225;0000;85,25;
031225;0100;90,1664;
031225;0200;94,0833;
031225;0300;95,75;
031225;0400;;
031225;0500;96,25;
031225;0600;89,1664;
031225;0700;74,25;
031225;0800;67,5;
031225;0900;55,4166;
031225;1000;49,4166;
031225;1100;47,6666;
031225;1200;44,6666;
031225;1300;43,5;
031225;1400;39;
031225;1500;36,25;
031225;1600;37;
031225;1700;40,3333;
031225;1800;47,5;
031225;1900;51,0833;
031225;2000;49,1666;
031225;2100;53,0833;
031225;2200;62,5833;
031225;2300;68,3333;
031226;0000;73,9164;
031226;0100;79,5833;
031226;0200;80;
031226;0300;86,3333;
031226;0400;89,1664;
031226;0500;;
031226;0600;84,7272;
031226;0700;72,25;
031226;0800;58,9166;
031226;0900;57,4166;
031226;1000;52;
031226;1100;44,5;
031226;1200;42,6666;
031226;1300;37,4166;
031226;1400;35;
031226;1500;32,9166;
031226;1600;33,3333;
031226;1700;34,9166;
031226;1800;42,1666;
031226;1900;50,8333;
031226;2000;57,9166;
031226;2100;61,5;
031226;2200;63;
031226;2300;62,3;
031227;0000;64,4164;
031227;0100;65,1664;
031227;0200;66;
031227;0300;67,1664;
031227;0400;71;
031227;0500;74,1664;
031227;0600;72,0833;
031227;0700;67,0833;
031227;0800;61,5;
031227;0900;57,9166;
031227;1000;55,3333;
031227;1100;52,3333;
031227;1200;46,5833;
031227;1300;42,9166;
031227;1400;37,25;
031227;1500;33,75;
031227;1600;33,8333;
031227;1700;32,5;
031227;1800;35,1666;
031227;1900;33,75;
031227;2000;34,5;
031227;2100;30,4167;
031227;2200;31,2;
031227;2300;36,1666;
031228;0000;40,1666;
031228;0100;43,1666;
031228;0200;47,9166;
031228;0300;50,8333;
031228;0400;54,0833;
031228;0500;57,4166;
031228;0600;54,5;
031228;0700;42,9166;
031228;0800;34,9166;
031228;0900;32,0833;
031228;1000;28,3333;
031228;1100;28,9167;
031228;1200;26,4167;
031228;1300;24,0833;
031228;1400;23,3333;
031228;1500;20,8333;
031228;1600;17,5833;
031228;1700;18,8333;
031228;1800;22,5;
031228;1900;33,25;
031228;2000;38,9166;
031228;2100;43,25;
031228;2200;43,6364;
031228;2300;43,8333;
031229;0000;45,75;
031229;0100;50,25;
031229;0200;61;
031229;0300;65,5;
031229;0400;68,25;
031229;0500;66,9164;
031229;0600;61,6666;
031229;0700;54,3333;
031229;0800;46,0833;
031229;0900;40,9166;
031229;1000;38,5833;
031229;1100;39,1666;
031229;1200;37,1666;
031229;1300;33,5;
031229;1400;32,75;
031229;1500;34,0833;
031229;1600;35,5833;
031229;1700;42,6666;
031229;1800;42,5833;
031229;1900;36,5;
031229;2000;37,5833;
031229;2100;52,1666;
031229;2200;47,75;
031229;2300;57,25;
031230;0000;68;
031230;0100;78;
031230;0200;81,5;
031230;0300;83,3333;
031230;0400;85,1664;
031230;0500;86,2726;
031230;0600;78,1664;
031230;0700;64,9164;
031230;0800;58,3333;
031230;0900;50,6666;
031230;1000;43,0833;
031230;1100;39,8333;
031230;1200;37,6666;
031230;1300;36,5833;
031230;1400;34,5833;
031230;1500;33,3333;
031230;1600;33;
031230;1700;37,6666;
031230;1800;43,8333;
031230;1900;49,1666;
031230;2000;56,5;
031230;2100;62,0833;
031230;2200;63,4166;
031230;2300;64,5833;
031231;0000;67,5;
031231;0100;78,5833;
031231;0200;84,0833;
031231;0300;86,0833;
031231;0400;85,9091;
031231;0500;85,0833;
031231;0600;77,1664;
031231;0700;67,3333;
031231;0800;57,0833;
031231;0900;51,25;
031231;1000;49,1666;
031231;1100;43,75;
031231;1200;42,5;
031231;1300;39,8333;
031231;1400;39;
031231;1500;37,0833;
031231;1600;37,0833;
031231;1700;39,5;
031231;1800;45,9166;
031231;1900;51,6666;
031231;2000;60,9166;
031231;2100;67,6664;
031231;2200;68,3333;
031231;2300;70,6664;
040101;0000;74,3333;
040101;0100;82,9164;
040101;0200;86,8333;
040101;0300;89,1664;
040101;0400;90,4164;
040101;0500;90,25;
040101;0600;81,0833;
040101;0700;68,6664;
040101;0800;63,6666;
040101;0900;54,9166;
040101;1000;47,9166;
040101;1100;47,1666;
040101;1200;43,5833;
040101;1300;42,1666;
040101;1400;40,0833;
040101;1500;39,1666;
040101;1600;37,6666;
040101;1700;40,25;
040101;1800;45,3333;
040101;1900;50,8333;
040101;2000;61,1666;
040101;2100;61,3333;
040101;2200;63,4166;
040101;2300;68,5833;
040102;0000;79,75;
040102;0100;83,75;
040102;0200;84,8333;
040102;0300;85,9164;
040102;0400;86,75;
040102;0500;86;
040102;0600;77,1664;
040102;0700;67,5;
040102;0800;57,75;
040102;0900;51,1666;
040102;1000;46,0833;
040102;1100;44,0833;
040102;1200;37,8333;
040102;1300;33,3333;
040102;1400;30,9167;
040102;1500;29,5;
040102;1600;30,5833;
040102;1700;32,5;
040102;1800;39,5833;
040102;1900;48,8333;
040102;2000;50,4166;
040102;2100;51,75;
040102;2200;55,6666;
040102;2300;56,6666;
040103;0000;69,5833;
040103;0100;83,6664;
040103;0200;89,75;
040103;0300;90,6667;
040103;0400;90,25;
040103;0500;89,5;
040103;0600;78,5833;
040103;0700;64,9164;
040103;0800;57,0833;
040103;0900;51,0833;
040103;1000;41,9166;
040103;1100;39,9166;
040103;1200;38,9166;
040103;1300;36,9166;
040103;1400;31,9167;
040103;1500;26,0833;
040103;1600;26,1667;
040103;1700;30;
040103;1800;32,9166;
040103;1900;42,9166;
040103;2000;52,4166;
040103;2100;57,8333;
040103;2200;61,5833;
040103;2300;72,8333;
040104;0000;82,75;
040104;0100;92,6664;
040104;0200;96,5;
040104;0300;98,25;
040104;0400;99,5833;
040104;0500;100,167;
040104;0600;96,9164;
040104;0700;77,0833;
040104;0800;70,25;
040104;0900;56,5833;
040104;1000;50,1666;
040104;1100;46,75;
040104;1200;44,0833;
040104;1300;43,0833;
040104;1400;41,4166;
040104;1500;39;
040104;1600;39,5;
040104;1700;44,9166;
040104;1800;47,4166;
040104;1900;51,5;
040104;2000;58,8333;
040104;2100;66,9164;
040104;2200;70,1664;
040104;2300;69,5;
040105;0000;67,75;
040105;0100;73,8333;
040105;0200;84,1664;
040105;0300;87,4164;
040105;0400;85,6664;
040105;0500;88;
040105;0600;77,0833;
040105;0700;72,5;
040105;0800;56,5833;
040105;0900;44,25;
040105;1000;39,4166;
040105;1100;38,9166;
040105;1200;37,5;
040105;1300;36,5;
040105;1400;35,75;
040105;1500;33,4166;
040105;1600;33,1667;
040105;1700;32,25;
040105;1800;31,0833;
040105;1900;33,4166;
040105;2000;35,4166;
040105;2100;41;
040105;2200;45,6666;
040105;2300;50,4166;
040106;0000;55,4166;
040106;0100;60,8333;
040106;0200;63,3333;
040106;0300;67,25;
040106;0400;70,8333;
040106;0500;73,4164;
040106;0600;68,75;
040106;0700;56,5;
040106;0800;53,0833;
040106;0900;46,5;
040106;1000;40,6666;
040106;1100;37,0833;
040106;1200;36,4166;
040106;1300;34,4166;
