FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;1,875;;;
000102;0000;1,01667;;;
000103;0000;1;;;
000104;0000;5,76249;;;
000105;0000;5,83333;;;
000106;0000;8,9958;;;
000107;0000;5,21666;;;
000108;0000;2,29166;;;
000109;0000;3,625;;;
000110;0000;6,96248;;;
000111;0000;11,7954;;;
000112;0000;8,12082;;;
000113;0000;5,62499;;;
000114;0000;3,38695;;;
000115;0000;2,35;;;
000116;0000;2,34999;;;
000117;0000;4,2375;;;
000118;0000;8,60869;;;
000119;0000;16,2954;;;
000120;0000;5,92174;;;
000121;0000;6,43913;;;
000122;0000;6,70869;;;
000123;0000;3,41739;;;
000124;0000;13,2217;;;
000125;0000;23,1435;;;
000126;0000;19,5478;;;
000127;0000;11,9;;;
000128;0000;13,1434;;;
000129;0000;9,48695;;;
000130;0000;5,45651;;;
000131;0000;13,0652;;;
000201;0000;12,0739;;;
000202;0000;11,8391;;;
000203;0000;13,3435;;;
000204;0000;7,54582;;;
000205;0000;4,91666;;;
000206;0000;5,34583;;;
000207;0000;11,9167;;;
000208;0000;13,1416;;;
000209;0000;16,5875;;;
000210;0000;12,3041;;;
000211;0000;16,4458;;;
000212;0000;14,4041;;;
000213;0000;43,9333;;;
000214;0000;17,8087;;;
000215;0000;9,61665;;;
000216;0000;16,2;;;
000217;0000;5,07915;;;
000218;0000;12,4875;;;
000219;0000;8,09581;;;
000220;0000;4,3;;;
000221;0000;17,9375;;;
000222;0000;2,65416;;;
000223;0000;14,2125;;;
000224;0000;6,83333;;;
000225;0000;9,35832;;;
000226;0000;5,84583;;;
000227;0000;5,67082;;;
000228;0000;14,1375;;;
000229;0000;17,1708;;;
000301;0000;;;;
000302;0000;;;;
000303;0000;;;;
000304;0000;;;;
000305;0000;;;;
000306;0000;;;;
000307;0000;;;;
000308;0000;;;;
000309;0000;;;;
000310;0000;19,5875;;;
000311;0000;11,9875;;;
000312;0000;6,46249;;;
000313;0000;9,61249;;;
000314;0000;15,7791;;;
000315;0000;21,2625;;;
000316;0000;16,5708;;;
000317;0000;22,325;;;
000318;0000;38,15;;;
000319;0000;5,52083;;;
000320;0000;15,2542;;;
000321;0000;40,3624;;;
000322;0000;51,6095;;;
000323;0000;16,075;;;
000324;0000;30,9416;;;
000325;0000;34,7208;;;
000326;0000;23,1333;;;
000327;0000;13,9583;;;
000328;0000;28,0791;;;
000329;0000;51,1708;;;
000330;0000;27,2136;;;
000331;0000;49,3083;;;
000401;0000;46,8541;;;
000402;0000;4,3;;;
000403;0000;15,65;;;
000404;0000;28,0958;;;
000405;0000;30,95;;;
000406;0000;10,8542;;;
000407;0000;6,31249;;;
000408;0000;11,8292;;;
000409;0000;25,2;;;
000410;0000;24,4875;;;
000411;0000;79,8832;;;
000412;0000;74,1998;;;
000413;0000;42,4333;;;
000414;0000;42,0666;;;
000415;0000;26,1791;;;
000416;0000;15,9625;;;
000417;0000;53,3458;;;
000418;0000;82,2958;;;
000419;0000;51,6375;;;
000420;0000;37,0541;;;
000421;0000;111,854;;;
000422;0000;57,2625;;;
000423;0000;57,8333;;;
000424;0000;4,12083;;;
000425;0000;31,5416;;;
000426;0000;46,5291;;;
000427;0000;24,3916;;;
000428;0000;102,833;;;
000429;0000;102,796;;;
000430;0000;42,813;;;
000501;0000;8,61302;;;
000502;0000;15,8136;;;
000503;0000;9,22607;;;
000504;0000;44,6478;;;
000505;0000;125,761;;;
000506;0000;121,3;;;
000507;0000;74,313;;;
000508;0000;116,687;;;
000509;0000;125,63;;;
000510;0000;13,0869;;;
000511;0000;59,4521;;;
000512;0000;100,843;;;
000513;0000;17,6174;;;
000514;0000;12,9782;;;
000515;0000;32,0434;;;
000516;0000;122,478;;;
000517;0000;78,6869;;;
000518;0000;80,4478;;;
000519;0000;141,226;;;
000520;0000;166,53;;;
000521;0000;179,169;;;
000522;0000;109,852;;;
000523;0000;16,3043;;;
000524;0000;69,8303;;;
000525;0000;89,926;;;
000526;0000;214,208;;;
000527;0000;172,074;;;
000528;0000;125,074;;;
000529;0000;147,227;;;
000530;0000;164,691;;;
000531;0000;149,569;;;
000601;0000;127,469;;;
000602;0000;175,508;;;
000603;0000;105,069;;;
000604;0000;85,3999;;;
000605;0000;87,1302;;;
000606;0000;28,9435;;;
000607;0000;72,0173;;;
000608;0000;123,978;;;
000609;0000;166,795;;;
000610;0000;130,035;;;
000611;0000;123,435;;;
000612;0000;52,8391;;;
000613;0000;8,85216;;;
000614;0000;7,94347;;;
000615;0000;17,8;;;
000616;0000;57,913;;;
000617;0000;68,5303;;;
000618;0000;60,026;;;
000619;0000;67,5999;;;
000620;0000;89,8434;;;
000621;0000;104,926;;;
000622;0000;147,585;;;
000623;0000;122,326;;;
000624;0000;6,30434;;;
000625;0000;57,2695;;;
000626;0000;144,156;;;
000627;0000;33,8826;;;
000628;0000;54,1956;;;
000629;0000;63,0303;;;
000630;0000;87,0781;;;
000701;0000;22,4174;;;
000702;0000;62,8347;;;
000703;0000;192,65;;;
000704;0000;206,509;;;
000705;0000;120,291;;;
000706;0000;63,059;;;
000707;0000;44,2782;;;
000708;0000;15,8826;;;
000709;0000;17,7522;;;
000710;0000;114,278;;;
000711;0000;138,891;;;
000712;0000;172,854;;;
000713;0000;184,643;;;
000714;0000;144,474;;;
000715;0000;131,5;;;
000716;0000;114,326;;;
000717;0000;135,348;;;
000718;0000;75,2303;;;
000719;0000;174,108;;;
000720;0000;103,239;;;
000721;0000;13,0381;;;
000722;0000;80,1302;;;
000723;0000;122,456;;;
000724;0000;205,178;;;
000725;0000;195,726;;;
000726;0000;98,0739;;;
000727;0000;69,7738;;;
000728;0000;94,6781;;;
000729;0000;63,0869;;;
000730;0000;70,5129;;;
000731;0000;48,3347;;;
000801;0000;23,6521;;;
000802;0000;120,642;;;
000803;0000;109,045;;;
000804;0000;8,95216;;;
000805;0000;27,9261;;;
000806;0000;71,2694;;;
000807;0000;101,822;;;
000808;0000;82,7607;;;
000809;0000;97,1869;;;
000810;0000;81,2346;;;
000811;0000;;;;
000812;0000;;;;
000813;0000;;;;
000814;0000;;;;
000815;0000;;;;
000816;0000;;;;
000817;0000;;;;
000818;0000;;;;
000819;0000;;;;
000820;0000;;;;
000821;0000;;;;
000822;0000;;;;
000823;0000;;;;
000824;0000;;;;
000825;0000;;;;
000826;0000;;;;
000827;0000;;;;
000828;0000;;;;
000829;0000;;;;
000830;0000;;;;
000831;0000;;;;
000901;0000;;;;
000902;0000;;;;
000903;0000;;;;
000904;0000;;;;
000905;0000;;;;
000906;0000;;;;
000907;0000;;;;
000908;0000;;;;
000909;0000;;;;
000910;0000;;;;
000911;0000;;;;
000912;0000;;;;
000913;0000;;;;
000914;0000;;;;
000915;0000;;;;
000916;0000;;;;
000917;0000;;;;
000918;0000;;;;
000919;0000;;;;
000920;0000;;;;
000921;0000;;;;
000922;0000;;;;
000923;0000;;;;
000924;0000;;;;
000925;0000;;;;
000926;0000;;;;
000927;0000;;;;
000928;0000;;;;
000929;0000;;;;
000930;0000;;;;
001001;0000;;;;
001002;0000;;;;
001003;0000;;;;
001004;0000;;;;
001005;0000;;;;
001006;0000;;;;
001007;0000;;;;
001008;0000;;;;
001009;0000;;;;
001010;0000;;;;
001011;0000;;;;
001012;0000;;;;
001013;0000;;;;
001014;0000;17,7086;;;
001015;0000;5,13912;;;
001016;0000;29,2363;;;
001017;0000;18,3695;;;
001018;0000;5,21304;;;
001019;0000;8,23477;;;
001020;0000;16,8695;;;
001021;0000;3,87826;;;
001022;0000;2,48695;;;
001023;0000;5,42608;;;
001024;0000;4,49999;;;
001025;0000;8,20474;;;
001026;0000;34,8304;;;
001027;0000;37,2434;;;
001028;0000;29,8956;;;
001029;0000;4,25652;;;
001030;0000;3,81304;;;
001031;0000;10,9217;;;
001101;0000;3,74782;;;
001102;0000;20,5217;;;
001103;0000;5,33913;;;
001104;0000;25,9;;;
001105;0000;3,71304;;;
001106;0000;8,95651;;;
001107;0000;11,1652;;;
001108;0000;12,6391;;;
001109;0000;17,7913;;;
001110;0000;12,9522;;;
001111;0000;15,813;;;
001112;0000;3,18261;;;
001113;0000;7,39565;;;
001114;0000;10,2095;;;
001115;0000;14,1869;;;
001116;0000;12,4348;;;
001117;0000;11,6043;;;
001118;0000;8,43912;;;
001119;0000;6,87825;;;
001120;0000;8,24782;;;
001121;0000;17,6391;;;
001122;0000;25,0304;;;
001123;0000;13,8087;;;
001124;0000;9,40434;;;
001125;0000;14,0956;;;
001126;0000;6,83912;;;
001127;0000;7,73912;;;
001128;0000;7,55651;;;
001129;0000;12,5261;;;
001130;0000;13,1043;;;
001201;0000;10,9261;;;
001202;0000;7,1913;;;
001203;0000;4,20869;;;
001204;0000;8,98694;;;
001205;0000;14,2565;;;
001206;0000;9,69998;;;
001207;0000;11,3304;;;
001208;0000;4,86842;;;
001209;0000;10,0217;;;
001210;0000;4,11304;;;
001211;0000;8,70433;;;
001212;0000;9,81302;;;
001213;0000;6,20435;;;
001214;0000;6,56521;;;
001215;0000;7,70869;;;
001216;0000;10,2478;;;
001217;0000;19,4043;;;
001218;0000;7,85217;;;
001219;0000;6,63477;;;
001220;0000;5,74782;;;
001221;0000;4,29545;;;
001222;0000;10,5522;;;
001223;0000;10,1043;;;
001224;0000;5,0826;;;
001225;0000;3,80869;;;
001226;0000;6,91738;;;
001227;0000;10,5522;;;
001228;0000;7,06086;;;
001229;0000;12,4087;;;
001230;0000;17,3565;;;
001231;0000;2,36522;;;
010101;0000;6,22916;;;
010102;0000;9,71362;;;
010103;0000;7,25909;;;
010104;0000;9,88748;;;
010105;0000;15,3773;;;
010106;0000;9,11665;;;
010107;0000;0,986362;;;
010108;0000;7,64347;;;
010109;0000;12,0652;;;
010110;0000;;;;
010111;0000;;;;
010112;0000;;;;
010113;0000;13,3333;;;
010114;0000;12,3;;;
010115;0000;12,8833;;;
010116;0000;13,1696;;;
010117;0000;12,1454;;;
010118;0000;13,4208;;;
010119;0000;24,3375;;;
010120;0000;13,3042;;;
010121;0000;2,32608;;;
010122;0000;6,64165;;;
010123;0000;11,5667;;;
010124;0000;13,3435;;;
010125;0000;11,4454;;;
010126;0000;21,475;;;
010127;0000;10,5782;;;
010128;0000;7,74999;;;
010129;0000;13,8208;;;
010130;0000;11,5542;;;
010131;0000;22,9833;;;
010201;0000;4,97916;;;
010202;0000;9,24165;;;
010203;0000;10,5917;;;
010204;0000;8,06189;;;
010205;0000;8,43332;;;
010206;0000;21,1125;;;
010207;0000;17,5833;;;
010208;0000;18,913;;;
010209;0000;8,17825;;;
010210;0000;9,31248;;;
010211;0000;7,47272;;;
010212;0000;23,1956;;;
010213;0000;9,67142;;;
010214;0000;19,5166;;;
010215;0000;21,4136;;;
010216;0000;18,7666;;;
010217;0000;11,4956;;;
010218;0000;1,95;;;
010219;0000;10,2826;;;
010220;0000;1,43333;;;
010221;0000;10,3286;;;
010222;0000;8,71666;;;
010223;0000;22,5095;;;
010224;0000;;;;
010225;0000;20,5316;;;
010226;0000;;;;
010227;0000;;;;
010228;0000;;;;
010301;0000;;;;
010302;0000;;;;
010303;0000;;;;
010304;0000;;;;
010305;0000;;;;
010306;0000;;;;
010307;0000;;;;
010308;0000;;;;
010309;0000;13,7368;;;
010310;0000;16,3368;;;
010311;0000;;;;
010312;0000;7,70833;;;
010313;0000;18,8143;;;
010314;0000;22,9904;;;
010315;0000;38,5157;;;
010316;0000;19,645;;;
010317;0000;;;;
010318;0000;35,8047;;;
010319;0000;28,2272;;;
010320;0000;10,625;;;
010321;0000;6,34499;;;
010322;0000;10,1417;;;
010323;0000;33,9166;;;
010324;0000;51,6545;;;
010325;0000;33,759;;;
010326;0000;15,4458;;;
010327;0000;25,4166;;;
010328;0000;54,6895;;;
010329;0000;;;;
010330;0000;;;;
010331;0000;;;;
010401;0000;;;;
010402;0000;;;;
010403;0000;29,2052;;;
010404;0000;;;;
010405;0000;;;;
010406;0000;;;;
010407;0000;;;;
010408;0000;;;;
010409;0000;;;;
010410;0000;;;;
010411;0000;;;;
010412;0000;;;;
010413;0000;;;;
010414;0000;;;;
010415;0000;;;;
010416;0000;;;;
010417;0000;;;;
010418;0000;;;;
010419;0000;;;;
010420;0000;;;;
010421;0000;70,021;;;
010422;0000;;;;
010423;0000;;;;
010424;0000;89,6367;;;
010425;0000;133,479;;;
010426;0000;;;;
010427;0000;;;;
010428;0000;;;;
010429;0000;;;;
010430;0000;;;;
010501;0000;;;;
010502;0000;98,7051;;;
010503;0000;139,225;;;
010504;0000;;;;
010505;0000;;;;
010506;0000;;;;
010507;0000;;;;
010508;0000;117,558;;;
010509;0000;78,8148;;;
010510;0000;;;;
010511;0000;53,4999;;;
010512;0000;132,665;;;
010513;0000;;;;
010514;0000;99,9498;;;
010515;0000;;;;
010516;0000;173,237;;;
010517;0000;274,05;;;
010518;0000;;;;
010519;0000;;;;
010520;0000;;;;
010521;0000;55,4683;;;
010522;0000;169,437;;;
010523;0000;150,03;;;
010524;0000;;;;
010525;0000;;;;
010526;0000;143,321;;;
010527;0000;;;;
010528;0000;;;;
010529;0000;;;;
010530;0000;;;;
010531;0000;74,7473;;;
010601;0000;140,695;;;
010602;0000;;;;
010603;0000;;;;
010604;0000;;;;
010605;0000;107,474;;;
010606;0000;148,4;;;
010607;0000;;;;
010608;0000;;;;
010609;0000;221,384;;;
010610;0000;;;;
010611;0000;;;;
010612;0000;145,854;;;
010613;0000;272,619;;;
010614;0000;;;;
010615;0000;;;;
010616;0000;117,037;;;
010617;0000;;;;
010618;0000;172,361;;;
010619;0000;182,914;;;
010620;0000;185,158;;;
010621;0000;183,266;;;
010622;0000;150,834;;;
010623;0000;;;;
010624;0000;;;;
010625;0000;121,1;;;
010626;0000;232,378;;;
010627;0000;;;;
010628;0000;34,65;;;
010629;0000;;;;
010630;0000;104,163;;;
010701;0000;;;;
010702;0000;;;;
010703;0000;115,514;;;
010704;0000;198,089;;;
010705;0000;169,78;;;
010706;0000;;;;
010707;0000;28,2863;;;
010708;0000;;;;
010709;0000;;;;
010710;0000;;;;
010711;0000;215,387;;;
010712;0000;73,7166;;;
010713;0000;82,8248;;;
010714;0000;151,121;;;
010715;0000;174,189;;;
010716;0000;63,2199;;;
010717;0000;40,1333;;;
010718;0000;77,7771;;;
010719;0000;;;;
010720;0000;70,0262;;;
010721;0000;60,142;;;
010722;0000;145,994;;;
010723;0000;;;;
010724;0000;;;;
010725;0000;;;;
010726;0000;150,204;;;
010727;0000;225,258;;;
010728;0000;;;;
010729;0000;;;;
010730;0000;;;;
010731;0000;193,652;;;
010801;0000;127,285;;;
010802;0000;30,0391;;;
010803;0000;92,4199;;;
010804;0000;;;;
010805;0000;;;;
010806;0000;143,947;;;
010807;0000;137,94;;;
010808;0000;140,021;;;
010809;0000;191,794;;;
010810;0000;;;;
010811;0000;;;;
010812;0000;;;;
010813;0000;;;;
010814;0000;;;;
010815;0000;;;;
010816;0000;;;;
010817;0000;;;;
010818;0000;;;;
010819;0000;;;;
010820;0000;134,43;;;
010821;0000;150,328;;;
010822;0000;;;;
010823;0000;;;;
010824;0000;;;;
010825;0000;;;;
010826;0000;;;;
010827;0000;;;;
010828;0000;154,618;;;
010829;0000;67,3276;;;
010830;0000;;;;
010831;0000;;;;
010901;0000;;;;
010902;0000;;;;
010903;0000;;;;
010904;0000;;;;
010905;0000;;;;
010906;0000;;;;
010907;0000;;;;
010908;0000;;;;
010909;0000;;;;
010910;0000;;;;
010911;0000;;;;
010912;0000;;;;
010913;0000;;;;
010914;0000;;;;
010915;0000;;;;
010916;0000;;;;
010917;0000;;;;
010918;0000;19,1789;;;
010919;0000;37,1954;;;
010920;0000;17,625;;;
010921;0000;12,6636;;;
010922;0000;8,92999;;;
010923;0000;2,38947;;;
010924;0000;8,58095;;;
010925;0000;7,88332;;;
010926;0000;16,7818;;;
010927;0000;35,5458;;;
010928;0000;41,7749;;;
010929;0000;4,69047;;;
010930;0000;10,6429;;;
011001;0000;44,0916;;;
011002;0000;34,5521;;;
011003;0000;2,77368;;;
011004;0000;14,2125;;;
011005;0000;40,0458;;;
011006;0000;3,26315;;;
011007;0000;2,60909;;;
011008;0000;;;;
011009;0000;26,6708;;;
011010;0000;9,67499;;;
011011;0000;12,4782;;;
011012;0000;8,70453;;;
011013;0000;23,05;;;
011014;0000;12,7409;;;
011015;0000;7,87499;;;
011016;0000;7,93684;;;
011017;0000;10,021;;;
011018;0000;6,01052;;;
011019;0000;5,52999;;;
011020;0000;3,72631;;;
011021;0000;9,29999;;;
011022;0000;21,119;;;
011023;0000;29,1541;;;
011024;0000;;;;
011025;0000;;;;
011026;0000;25,4782;;;
011027;0000;27,3125;;;
011028;0000;;;;
011029;0000;;;;
011030;0000;;;;
011031;0000;;;;
011101;0000;;;;
011102;0000;;;;
011103;0000;;;;
011104;0000;;;;
011105;0000;;;;
011106;0000;;;;
011107;0000;;;;
011108;0000;;;;
011109;0000;;;;
011110;0000;;;;
011111;0000;;;;
011112;0000;;;;
011113;0000;;;;
011114;0000;;;;
011115;0000;;;;
011116;0000;;;;
011117;0000;;;;
011118;0000;;;;
011119;0000;;;;
011120;0000;;;;
011121;0000;;;;
011122;0000;;;;
011123;0000;;;;
011124;0000;;;;
011125;0000;;;;
011126;0000;;;;
011127;0000;;;;
011128;0000;;;;
011129;0000;;;;
011130;0000;;;;
011201;0000;;;;
011202;0000;;;;
011203;0000;;;;
011204;0000;;;;
011205;0000;;;;
011206;0000;;;;
011207;0000;;;;
011208;0000;;;;
011209;0000;;;;
011210;0000;;;;
011211;0000;;;;
011212;0000;;;;
011213;0000;;;;
011214;0000;;;;
011215;0000;;;;
011216;0000;;;;
011217;0000;;;;
011218;0000;;;;
011219;0000;;;;
011220;0000;;;;
011221;0000;;;;
011222;0000;;;;
011223;0000;;;;
011224;0000;;;;
011225;0000;;;;
011226;0000;;;;
011227;0000;;;;
011228;0000;;;;
011229;0000;;;;
011230;0000;;;;
011231;0000;;;;
020101;0000;;;;
020102;0000;;;;
020103;0000;;;;
020104;0000;;;;
020105;0000;;;;
020106;0000;;;;
020107;0000;;;;
020108;0000;;;;
020109;0000;;;;
020110;0000;;;;
020111;0000;;;;
020112;0000;;;;
020113;0000;;;;
020114;0000;;;;
020115;0000;;;;
020116;0000;;;;
020117;0000;;;;
020118;0000;;;;
020119;0000;;;;
020120;0000;;;;
020121;0000;;;;
020122;0000;;;;
020123;0000;;;;
020124;0000;;;;
020125;0000;;;;
020126;0000;;;;
020127;0000;;;;
020128;0000;;;;
020129;0000;;;;
020130;0000;;;;
020131;0000;;;;
020201;0000;;;;
020202;0000;;;;
020203;0000;;;;
020204;0000;;;;
020205;0000;;;;
020206;0000;;;;
020207;0000;;;;
020208;0000;;;;
020209;0000;;;;
020210;0000;;;;
020211;0000;;;;
020212;0000;;;;
020213;0000;;;;
020214;0000;;;;
020215;0000;;;;
020216;0000;;;;
020217;0000;;;;
020218;0000;;;;
020219;0000;;;;
020220;0000;;;;
020221;0000;;;;
020222;0000;;;;
020223;0000;;;;
020224;0000;;;;
020225;0000;;;;
020226;0000;;;;
020227;0000;;;;
020228;0000;;;;
020301;0000;;;;
020302;0000;;;;
020303;0000;;;;
020304;0000;;;;
020305;0000;;;;
020306;0000;;;;
020307;0000;;;;
020308;0000;;;;
020309;0000;;;;
020310;0000;;;;
020311;0000;;;;
020312;0000;;;;
020313;0000;;;;
020314;0000;;;;
020315;0000;;;;
020316;0000;;;;
020317;0000;;;;
020318;0000;;;;
020319;0000;;;;
020320;0000;;;;
020321;0000;;;;
020322;0000;;;;
020323;0000;;;;
020324;0000;;;;
020325;0000;;;;
020326;0000;;;;
020327;0000;;;;
020328;0000;60,4443;;;
020329;0000;;;;
020330;0000;;;;
020331;0000;;;;
020401;0000;;;;
020402;0000;;;;
020403;0000;;;;
020404;0000;;;;
020405;0000;;;;
020406;0000;;;;
020407;0000;;;;
020408;0000;;;;
020409;0000;;;;
020410;0000;;;;
020411;0000;;;;
020412;0000;;;;
020413;0000;;;;
020414;0000;;;;
020415;0000;;;;
020416;0000;;;;
020417;0000;;;;
020418;0000;;;;
020419;0000;;;;
020420;0000;;;;
020421;0000;;;;
020422;0000;;;;
020423;0000;;;;
020424;0000;;;;
020425;0000;;;;
020426;0000;182,647;;;
020427;0000;;;;
020428;0000;;;;
020429;0000;;;;
020430;0000;;;;
020501;0000;;;;
020502;0000;94,042;;;
020503;0000;115,768;;;
020504;0000;116,742;;;
020505;0000;;;;
020506;0000;;;;
020507;0000;94,7111;;;
020508;0000;234,272;;;
020509;0000;;;;
020510;0000;240,961;;;
020511;0000;;;;
020512;0000;;;;
020513;0000;;;;
020514;0000;;;;
020515;0000;;;;
