FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
031215;0000;;;;
031216;0000;;;;
031217;0000;;;;
031218;0000;;;;
031219;0000;;;;
031220;0000;;;;
031221;0000;;;;
031222;0000;;;;
031223;0000;;;;
031224;0000;;;;
031225;0000;;;;
031226;0000;;;;
031227;0000;;;;
031228;0000;;;;
031229;0000;;;;
031230;0000;;;;
031231;0000;;;;
040101;0000;;;;
040102;0000;;;;
040103;0000;;;;
040104;0000;;;;
040105;0000;;;;
040106;0000;;;;
040107;0000;;;;
040108;0000;;;;
040109;0000;;;;
040110;0000;;;;
040111;0000;;;;
040112;0000;;;;
040113;0000;;;;
040114;0000;;;;
040115;0000;;;;
040116;0000;;;;
040117;0000;;;;
040118;0000;;;;
040119;0000;;;;
040120;0000;;;;
040121;0000;;;;
040122;0000;;;;
040123;0000;;;;
040124;0000;;;;
040125;0000;;;;
040126;0000;;;;
040127;0000;;;;
040128;0000;;;;
040129;0000;;;;
040130;0000;;;;
040131;0000;;;;
040201;0000;;;;
040202;0000;;;;
040203;0000;;;;
040204;0000;;;;
040205;0000;;;;
040206;0000;;;;
040207;0000;;;;
040208;0000;;;;
040209;0000;;;;
040210;0000;;;;
040211;0000;;;;
040212;0000;;;;
040213;0000;;;;
040214;0000;;;;
040215;0000;;;;
040216;0000;;;;
040217;0000;;;;
040218;0000;;;;
040219;0000;;;;
040220;0000;;;;
040221;0000;;;;
040222;0000;;;;
040223;0000;;;;
040224;0000;;;;
040225;0000;;;;
040226;0000;;;;
040227;0000;;;;
040228;0000;;;;
040229;0000;;;;
040301;0000;;;;
040302;0000;;;;
040303;0000;;;;
040304;0000;;;;
040305;0000;;;;
040306;0000;;;;
040307;0000;;;;
040308;0000;;;;
040309;0000;;;;
040310;0000;;;;
040311;0000;;;;
040312;0000;;;;
040313;0000;;;;
040314;0000;;;;
040315;0000;;;;
040316;0000;;;;
040317;0000;;;;
040318;0000;;;;
040319;0000;;;;
040320;0000;;;;
040321;0000;;;;
040322;0000;;;;
040323;0000;;;;
040324;0000;;;;
040325;0000;;;;
040326;0000;;;;
040327;0000;;;;
040328;0000;;;;
040329;0000;;;;
040330;0000;;;;
040331;0000;;;;
040401;0000;;;;
040402;0000;;;;
040403;0000;;;;
040404;0000;;;;
040405;0000;;;;
040406;0000;;;;
040407;0000;;;;
040408;0000;;;;
040409;0000;;;;
040410;0000;;;;
040411;0000;;;;
040412;0000;;;;
040413;0000;;;;
040414;0000;;;;
040415;0000;;;;
040416;0000;;;;
040417;0000;;;;
040418;0000;;;;
040419;0000;;;;
040420;0000;;;;
040421;0000;;;;
040422;0000;;;;
040423;0000;;;;
040424;0000;;;;
040425;0000;;;;
040426;0000;;;;
040427;0000;;;;
040428;0000;;;;
040429;0000;;;;
040430;0000;;;;
040501;0000;;;;
040502;0000;;;;
040503;0000;;;;
040504;0000;;;;
040505;0000;;;;
040506;0000;;;;
040507;0000;;;;
040508;0000;;;;
040509;0000;;;;
040510;0000;;;;
040511;0000;;;;
040512;0000;;;;
040513;0000;;;;
040514;0000;;;;
040515;0000;;;;
040516;0000;;;;
040517;0000;;;;
040518;0000;;;;
040519;0000;;;;
040520;0000;;;;
040521;0000;;;;
040522;0000;;;;
040523;0000;;;;
040524;0000;;;;
