FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
000101;0000;7,37083;;;
000102;0000;5,17916;;;
000103;0000;6,84166;;;
000104;0000;14,3583;;;
000105;0000;14,775;;;
000106;0000;20,0333;;;
000107;0000;14,5375;;;
000108;0000;10,3042;;;
000109;0000;13,35;;;
000110;0000;19,8;;;
000111;0000;26,4318;;;
000112;0000;19,125;;;
000113;0000;13,7583;;;
000114;0000;10,213;;;
000115;0000;8,01665;;;
000116;0000;7,51249;;;
000117;0000;13,6917;;;
000118;0000;24,0739;;;
000119;0000;31,3454;;;
000120;0000;19,3174;;;
000121;0000;18,8521;;;
000122;0000;19,7043;;;
000123;0000;16,326;;;
000124;0000;28,4521;;;
000125;0000;41,5869;;;
000126;0000;40,3434;;;
000127;0000;27,013;;;
000128;0000;27,3174;;;
000129;0000;18,413;;;
000130;0000;14,3043;;;
000131;0000;25,226;;;
000201;0000;20,6522;;;
000202;0000;21,2261;;;
000203;0000;25,4087;;;
000204;0000;17,6625;;;
000205;0000;13,6458;;;
000206;0000;14,8708;;;
000207;0000;22,3208;;;
000208;0000;27,4583;;;
000209;0000;29,0166;;;
000210;0000;22,95;;;
000211;0000;27,7041;;;
000212;0000;24,6708;;;
000213;0000;56,6083;;;
000214;0000;36,4999;;;
000215;0000;23,5583;;;
000216;0000;28,9375;;;
000217;0000;17,3666;;;
000218;0000;27,925;;;
000219;0000;21,6292;;;
000220;0000;14,3042;;;
000221;0000;34,5791;;;
000222;0000;12,65;;;
000223;0000;29,4916;;;
000224;0000;19,0291;;;
000225;0000;21,4792;;;
000226;0000;14,775;;;
000227;0000;13,7542;;;
000228;0000;32,2;;;
000229;0000;33,3833;;;
000301;0000;;;;
000302;0000;;;;
000303;0000;;;;
000304;0000;;;;
000305;0000;;;;
000306;0000;;;;
000307;0000;;;;
000308;0000;;;;
000309;0000;;;;
000310;0000;37,8416;;;
000311;0000;25,4625;;;
000312;0000;14,7166;;;
000313;0000;20,0583;;;
000314;0000;31,8208;;;
000315;0000;38,2083;;;
000316;0000;29,35;;;
000317;0000;42,1958;;;
000318;0000;63,1791;;;
000319;0000;13,95;;;
000320;0000;29,3458;;;
000321;0000;67,4999;;;
000322;0000;76,8999;;;
000323;0000;33,2166;;;
000324;0000;59,0999;;;
000325;0000;59,6791;;;
000326;0000;40,1458;;;
000327;0000;28,4208;;;
000328;0000;58,5958;;;
000329;0000;82,6499;;;
000330;0000;58,1818;;;
000331;0000;82,95;;;
000401;0000;75,7749;;;
000402;0000;16,6375;;;
000403;0000;33,2416;;;
000404;0000;54,6958;;;
