FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;23,5;;;
970403;0000;18,4167;;;
970404;0000;27,8333;;;
970405;0000;30,9167;;;
970406;0000;23,875;;;
970407;0000;22,5;;;
970408;0000;17,0833;;;
970409;0000;28,5;;;
970410;0000;27,6667;;;
970411;0000;25,3333;;;
970412;0000;22,1667;;;
970413;0000;24,75;;;
970414;0000;20,625;;;
970415;0000;20,8333;;;
970416;0000;18;;;
970417;0000;10,375;;;
970418;0000;9,375;;;
970419;0000;16,625;;;
970420;0000;18,2083;;;
970421;0000;18,125;;;
970422;0000;8,79166;;;
970423;0000;5,54166;;;
970424;0000;11,9583;;;
970425;0000;23,4782;;;
970426;0000;12,8333;;;
970427;0000;23,625;;;
970428;0000;21,2917;;;
970429;0000;11,875;;;
970430;0000;18,7917;;;
970501;0000;24;;;
970502;0000;;;;
970503;0000;34,0833;;;
970504;0000;24,7917;;;
970505;0000;21,6667;;;
970506;0000;33,4583;;;
970507;0000;20,625;;;
970508;0000;19,4167;;;
970509;0000;20,9167;;;
970510;0000;24,75;;;
970511;0000;33;;;
970512;0000;11,25;;;
970513;0000;21,25;;;
970514;0000;17,2917;;;
970515;0000;18,9583;;;
970516;0000;11,0833;;;
970517;0000;7,41666;;;
970518;0000;12,6667;;;
970519;0000;12,2083;;;
970520;0000;10;;;
970521;0000;17,2917;;;
970522;0000;21,625;;;
970523;0000;19,5;;;
970524;0000;22,1667;;;
970525;0000;21,125;;;
970526;0000;12,25;;;
970527;0000;18,95;;;
970528;0000;;;;
970529;0000;;;;
970530;0000;;;;
970531;0000;4,25;;;
970601;0000;14,5833;;;
970602;0000;10;;;
970603;0000;3,04166;;;
970604;0000;7,04166;;;
970605;0000;11,5;;;
970606;0000;10,6667;;;
970607;0000;13,4167;;;
970608;0000;11,2917;;;
970609;0000;5,04166;;;
970610;0000;7,66666;;;
970611;0000;3,54166;;;
970612;0000;7,83333;;;
970613;0000;10,125;;;
970614;0000;7,20833;;;
970615;0000;2,29166;;;
970616;0000;6,33333;;;
970617;0000;5,125;;;
970618;0000;4,33333;;;
970619;0000;7,04166;;;
970620;0000;14,4583;;;
970621;0000;11,625;;;
970622;0000;7,83333;;;
970623;0000;8,58333;;;
970624;0000;8,33333;;;
970625;0000;9,79166;;;
970626;0000;8,5;;;
970627;0000;9,25;;;
970628;0000;11;;;
970629;0000;13,7917;;;
970630;0000;10,75;;;
970701;0000;8,52173;;;
970702;0000;11,5;;;
970703;0000;8,125;;;
970704;0000;15,7917;;;
970705;0000;14,5833;;;
970706;0000;17,125;;;
970707;0000;9,5;;;
970708;0000;8,79166;;;
970709;0000;9,75;;;
970710;0000;9;;;
970711;0000;12,5417;;;
970712;0000;11,4583;;;
970713;0000;15,3333;;;
970714;0000;9,79166;;;
970715;0000;14,2917;;;
970716;0000;10,2105;;;
970717;0000;9,5238;;;
970718;0000;10,8333;;;
970719;0000;17,2083;;;
970720;0000;13,9167;;;
970721;0000;6,20833;;;
970722;0000;12,5417;;;
970723;0000;17,7391;;;
970724;0000;6,625;;;
970725;0000;13,9583;;;
970726;0000;5,66666;;;
970727;0000;13,2083;;;
970728;0000;10,875;;;
