FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970711;0000;11,875;;;
970712;0000;3,6;;;
970713;0000;7,75;;;
970714;0000;15,0417;;;
970715;0000;11,5417;;;
970716;0000;14,75;;;
970717;0000;20,4545;;;
970718;0000;17,5;;;
970719;0000;14,375;;;
970720;0000;11,6667;;;
970721;0000;16,7917;;;
970722;0000;19,875;;;
970723;0000;25,3043;;;
970724;0000;22,5833;;;
970725;0000;19,2917;;;
970726;0000;20,6667;;;
970727;0000;12,125;;;
970728;0000;6,20833;;;
970729;0000;7,54166;;;
970730;0000;3,25;;;
970731;0000;4,95833;;;
970801;0000;8,125;;;
970802;0000;8,29166;;;
970803;0000;32,2916;;;
970804;0000;28,9583;;;
970805;0000;28,7083;;;
970806;0000;21,3333;;;
970807;0000;28,6667;;;
970808;0000;25,8695;;;
970809;0000;16,9167;;;
970810;0000;11,875;;;
970811;0000;14,5833;;;
970812;0000;13;;;
970813;0000;4,79166;;;
970814;0000;6;;;
970815;0000;5,625;;;
970816;0000;4,04166;;;
970817;0000;2,33333;;;
970818;0000;3,66666;;;
970819;0000;5,66666;;;
970820;0000;13,0833;;;
970821;0000;15,5833;;;
970822;0000;16,125;;;
970823;0000;7,95833;;;
970824;0000;14,0417;;;
970825;0000;22,2917;;;
970826;0000;27,1739;;;
970827;0000;20,75;;;
970828;0000;17,2083;;;
970829;0000;10,6667;;;
970830;0000;5,04166;;;
970831;0000;4,625;;;
970901;0000;7;;;
970902;0000;9,16666;;;
970903;0000;5,125;;;
970904;0000;6,5;;;
970905;0000;10,75;;;
970906;0000;10,4583;;;
970907;0000;2,58333;;;
970908;0000;5,25;;;
970909;0000;4,5;;;
970910;0000;9,29166;;;
970911;0000;2,95454;;;
970912;0000;4,19048;;;
970913;0000;11,7895;;;
970914;0000;;;;
970915;0000;14,75;;;
970916;0000;15,3333;;;
970917;0000;10,4167;;;
970918;0000;6,16666;;;
970919;0000;2,04166;;;
970920;0000;3,875;;;
970921;0000;2,41666;;;
970922;0000;3,5;;;
970923;0000;2,70833;;;
970924;0000;4;;;
970925;0000;5,58333;;;
970926;0000;7,20833;;;
970927;0000;1,70833;;;
970928;0000;2,66666;;;
970929;0000;4;;;
970930;0000;3,31818;;;
971001;0000;5,70833;;;
971002;0000;1,70833;;;
971003;0000;2,25;;;
971004;0000;2,08333;;;
971005;0000;2,375;;;
971006;0000;11,25;;;
971007;0000;10,5833;;;
971008;0000;4,375;;;
971009;0000;3,75;;;
971010;0000;4;;;
971011;0000;4,16666;;;
971012;0000;1,625;;;
971013;0000;3,26087;;;
971014;0000;2,25;;;
971015;0000;3,75;;;
971016;0000;7,83333;;;
971017;0000;7,04166;;;
971018;0000;4,04166;;;
971019;0000;3,125;;;
971020;0000;3,20833;;;
971021;0000;8,41666;;;
971022;0000;2,91666;;;
971023;0000;14,5417;;;
971024;0000;2,70833;;;
971025;0000;1,66667;;;
971026;0000;1,04167;;;
971027;0000;2,08696;;;
971028;0000;1,83333;;;
971029;0000;2,30434;;;
971030;0000;2,33333;;;
971031;0000;3,78261;;;
971101;0000;3,91666;;;
971102;0000;1,375;;;
971103;0000;2,45833;;;
971104;0000;3,91666;;;
971105;0000;3,25;;;
971106;0000;6,41666;;;
971107;0000;2,54166;;;
971108;0000;3,66666;;;
971109;0000;2,54166;;;
971110;0000;1,79167;;;
971111;0000;1,83333;;;
971112;0000;2,04166;;;
971113;0000;13,25;;;
971114;0000;5,125;;;
971115;0000;3,95833;;;
971116;0000;1,70833;;;
971117;0000;3;;;
971118;0000;2,5;;;
971119;0000;2,20833;;;
971120;0000;3,16666;;;
971121;0000;12,4167;;;
971122;0000;4,70833;;;
971123;0000;5,75;;;
971124;0000;2,33333;;;
971125;0000;1,375;;;
971126;0000;1,79167;;;
971127;0000;2,33333;;;
971128;0000;6,95833;;;
971129;0000;1,45833;;;
971130;0000;4;;;
971201;0000;2,91666;;;
971202;0000;2;;;
971203;0000;5,25;;;
971204;0000;3,83333;;;
971205;0000;9,875;;;
971206;0000;7,91666;;;
971207;0000;5,66666;;;
971208;0000;3,70833;;;
971209;0000;2,625;;;
971210;0000;3,08333;;;
971211;0000;2;;;
971212;0000;2,95833;;;
971213;0000;10,625;;;
971214;0000;5,91666;;;
971215;0000;4,41666;;;
971216;0000;1,375;;;
971217;0000;2,29166;;;
971218;0000;2,16666;;;
971219;0000;4,625;;;
971220;0000;3,33333;;;
971221;0000;2,125;;;
971222;0000;3,5;;;
971223;0000;5;;;
971224;0000;9,33333;;;
971225;0000;4,75;;;
971226;0000;2,33333;;;
971227;0000;2,66666;;;
971228;0000;4,70833;;;
971229;0000;3;;;
971230;0000;4,66666;;;
971231;0000;2,5;;;
980101;0000;2,33333;;;
980102;0000;1,5;;;
980103;0000;2,75;;;
980104;0000;3,45833;;;
980105;0000;2,45833;;;
980106;0000;4,91666;;;
980107;0000;5,41666;;;
980108;0000;4;;;
980109;0000;2,83333;;;
980110;0000;2,54166;;;
980111;0000;5,91666;;;
980112;0000;5,33333;;;
980113;0000;4,79166;;;
980114;0000;2,70833;;;
980115;0000;5,83333;;;
980116;0000;3,66666;;;
980117;0000;6,20833;;;
980118;0000;1,70833;;;
980119;0000;2,25;;;
980120;0000;1,66667;;;
980121;0000;2,54166;;;
980122;0000;9,95833;;;
980123;0000;3,875;;;
980124;0000;6,54166;;;
980125;0000;2,25;;;
980126;0000;1,95833;;;
980127;0000;1,375;;;
980128;0000;7;;;
980129;0000;4,04166;;;
980130;0000;7,5;;;
980131;0000;4,70833;;;
980201;0000;1,79167;;;
980202;0000;1,16667;;;
980203;0000;2,70833;;;
980204;0000;2,04166;;;
980205;0000;3,83333;;;
980206;0000;2,54166;;;
980207;0000;4,04166;;;
980208;0000;2,04166;;;
980209;0000;2,41666;;;
980210;0000;3,79166;;;
980211;0000;5,20833;;;
980212;0000;2,95833;;;
980213;0000;1,59091;;;
980214;0000;2,66666;;;
980215;0000;3,75;;;
980216;0000;1,16667;;;
980217;0000;2,04166;;;
980218;0000;4,91666;;;
980219;0000;1,75;;;
980220;0000;2;;;
980221;0000;4,875;;;
980222;0000;2,375;;;
980223;0000;8,79166;;;
980224;0000;2,79166;;;
980225;0000;6,04166;;;
980226;0000;6,54166;;;
980227;0000;13;;;
980228;0000;8,33333;;;
980301;0000;2,33333;;;
980302;0000;1,41667;;;
980303;0000;3;;;
980304;0000;1,20833;;;
980305;0000;2,83333;;;
980306;0000;1,91667;;;
980307;0000;5,875;;;
980308;0000;7;;;
980309;0000;11,125;;;
980310;0000;10,0833;;;
980311;0000;4,86956;;;
980312;0000;3;;;
980313;0000;7,25;;;
980314;0000;3,54166;;;
980315;0000;2,58333;;;
980316;0000;1,79167;;;
980317;0000;3,16666;;;
980318;0000;5,45833;;;
980319;0000;8,16666;;;
980320;0000;9,29166;;;
980321;0000;5,125;;;
980322;0000;5,75;;;
980323;0000;12,125;;;
980324;0000;26,0417;;;
980325;0000;9,45833;;;
980326;0000;2,04166;;;
980327;0000;5,29166;;;
980328;0000;7,29166;;;
980329;0000;12,25;;;
980330;0000;8,33333;;;
980331;0000;2,91666;;;
980401;0000;7,875;;;
980402;0000;7,375;;;
980403;0000;2,66666;;;
980404;0000;2,625;;;
980405;0000;4,41666;;;
980406;0000;3,5;;;
980407;0000;5,625;;;
980408;0000;6,375;;;
980409;0000;3,58333;;;
980410;0000;2,125;;;
980411;0000;1,41667;;;
980412;0000;1,625;;;
980413;0000;2,54166;;;
980414;0000;3,08333;;;
980415;0000;4,875;;;
980416;0000;14,5;;;
980417;0000;17,5833;;;
980418;0000;17,5;;;
980419;0000;7,25;;;
980420;0000;5,58333;;;
980421;0000;3,25;;;
980422;0000;3,625;;;
980423;0000;6,58333;;;
980424;0000;8,375;;;
980425;0000;6,58333;;;
980426;0000;2,91666;;;
980427;0000;5,375;;;
980428;0000;10,9167;;;
980429;0000;14,2083;;;
980430;0000;11,875;;;
980501;0000;;;;
980502;0000;;;;
980503;0000;8,08333;;;
980504;0000;6,95833;;;
980505;0000;10,7083;;;
980506;0000;10,7083;;;
980507;0000;7,91666;;;
980508;0000;23,5417;;;
980509;0000;10,125;;;
980510;0000;5,33333;;;
980511;0000;4,45833;;;
980512;0000;6,04166;;;
980513;0000;4,33333;;;
980514;0000;15,6667;;;
980515;0000;15,125;;;
980516;0000;12,75;;;
980517;0000;20,5417;;;
980518;0000;;;;
980519;0000;;;;
980520;0000;;;;
980521;0000;;;;
980522;0000;;;;
980523;0000;;;;
980524;0000;;;;
980525;0000;;;;
980526;0000;;;;
980527;0000;;;;
980528;0000;6,54166;;;
980529;0000;14,6667;;;
980530;0000;11,9583;;;
980531;0000;10,875;;;
980601;0000;13,7917;;;
980602;0000;16,375;;;
980603;0000;11,9583;;;
980604;0000;7,5;;;
980605;0000;6,29166;;;
980606;0000;4,25;;;
980607;0000;;;;
980608;0000;;;;
980609;0000;6,29166;;;
980610;0000;4,29166;;;
980611;0000;6,875;;;
980612;0000;8;;;
980613;0000;8,29166;;;
980614;0000;4,41666;;;
980615;0000;5,70833;;;
980616;0000;5,125;;;
980617;0000;4,91666;;;
980618;0000;7,04166;;;
980619;0000;3,125;;;
980620;0000;2,83333;;;
980621;0000;6,91666;;;
980622;0000;7,875;;;
980623;0000;14,625;;;
980624;0000;22,0417;;;
980625;0000;13,4167;;;
980626;0000;15,4583;;;
980627;0000;17,1667;;;
980628;0000;7,54166;;;
980629;0000;5,95833;;;
980630;0000;7,70833;;;
980701;0000;6,08333;;;
980702;0000;8,04166;;;
980703;0000;10,0417;;;
980704;0000;6,83333;;;
980705;0000;2,95833;;;
980706;0000;3,45833;;;
980707;0000;3,70833;;;
980708;0000;14;;;
980709;0000;17,25;;;
980710;0000;16,2917;;;
980711;0000;6,70833;;;
980712;0000;1,875;;;
980713;0000;2,04166;;;
980714;0000;3,16666;;;
980715;0000;7,75;;;
980716;0000;6,375;;;
980717;0000;7,41666;;;
980718;0000;13,0417;;;
980719;0000;8,25;;;
980720;0000;5,79166;;;
980721;0000;3,54166;;;
980722;0000;4,79166;;;
980723;0000;4,41666;;;
980724;0000;6,5;;;
980725;0000;13,9583;;;
980726;0000;11;;;
980727;0000;10,375;;;
980728;0000;16,5833;;;
980729;0000;15,625;;;
980730;0000;4,91666;;;
980731;0000;11,125;;;
980801;0000;17,7083;;;
980802;0000;11,25;;;
980803;0000;3,04166;;;
980804;0000;7,91666;;;
980805;0000;9,25;;;
980806;0000;6,29166;;;
980807;0000;2;;;
980808;0000;3,5;;;
980809;0000;3,08333;;;
980810;0000;2,79166;;;
980811;0000;8,16666;;;
980812;0000;5,70833;;;
980813;0000;10,375;;;
980814;0000;5,91666;;;
980815;0000;4,95833;;;
980816;0000;5,33333;;;
980817;0000;3,70833;;;
980818;0000;3,375;;;
980819;0000;2,875;;;
980820;0000;5;;;
980821;0000;6,625;;;
980822;0000;4,54166;;;
980823;0000;1,41667;;;
980824;0000;3,16666;;;
980825;0000;9,95833;;;
980826;0000;7,75;;;
980827;0000;8,875;;;
980828;0000;9,91666;;;
980829;0000;13,5;;;
980830;0000;6,83333;;;
980831;0000;2,91666;;;
980901;0000;3,70833;;;
980902;0000;3,04166;;;
980903;0000;3,75;;;
980904;0000;6,16666;;;
980905;0000;7,04166;;;
980906;0000;2,08333;;;
980907;0000;3,04166;;;
980908;0000;4,125;;;
980909;0000;6,375;;;
980910;0000;4,79166;;;
980911;0000;3,04545;;;
980912;0000;;;;
980913;0000;10,0417;;;
980914;0000;9,875;;;
980915;0000;8,08333;;;
980916;0000;3,91666;;;
980917;0000;2,58333;;;
980918;0000;5,20833;;;
980919;0000;3,375;;;
980920;0000;4,41666;;;
980921;0000;5,25;;;
980922;0000;2,04166;;;
980923;0000;12,375;;;
980924;0000;8,75;;;
980925;0000;3,08333;;;
980926;0000;1,54167;;;
980927;0000;5,95833;;;
980928;0000;10;;;
980929;0000;15,2917;;;
980930;0000;6;;;
981001;0000;8,20833;;;
981002;0000;6,25;;;
981003;0000;1,58333;;;
981004;0000;2,08333;;;
981005;0000;9,125;;;
981006;0000;4,79166;;;
981007;0000;4,125;;;
981008;0000;4,16666;;;
981009;0000;2,08333;;;
981010;0000;2,83333;;;
981011;0000;5,25;;;
981012;0000;1,75;;;
981013;0000;4,54166;;;
981014;0000;3,58333;;;
981015;0000;3,625;;;
981016;0000;4,66666;;;
981017;0000;12,0833;;;
981018;0000;3,375;;;
981019;0000;3,25;;;
981020;0000;6,125;;;
981021;0000;5;;;
981022;0000;2,75;;;
981023;0000;5,54166;;;
981024;0000;3,45833;;;
981025;0000;;;;
981026;0000;;;;
981027;0000;;;;
981028;0000;;;;
981029;0000;;;;
981030;0000;;;;
981031;0000;;;;
981101;0000;;;;
981102;0000;;;;
981103;0000;;;;
981104;0000;;;;
981105;0000;;;;
981106;0000;;;;
981107;0000;;;;
981108;0000;;;;
981109;0000;;;;
981110;0000;;;;
981111;0000;4,45833;;;
981112;0000;4,86363;;;
981113;0000;3,66666;;;
981114;0000;5,125;;;
981115;0000;4,08333;;;
981116;0000;2,95454;;;
981117;0000;7,22727;;;
981118;0000;4,63636;;;
981119;0000;3,59091;;;
981120;0000;6,81818;;;
981121;0000;5,86363;;;
981122;0000;4,25;;;
981123;0000;3,72727;;;
981124;0000;2,70833;;;
981125;0000;5,54166;;;
981126;0000;4,375;;;
981127;0000;3,75;;;
981128;0000;4,08333;;;
981129;0000;5,5;;;
981130;0000;3;;;
981201;0000;2,08333;;;
981202;0000;8,70833;;;
981203;0000;2,83333;;;
981204;0000;4,125;;;
