FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;20,1666;
031214;1200;22,925;
031214;1300;24,3416;
031214;1400;24,6333;
031214;1500;25,1166;
031214;1600;25,0166;
031214;1700;24,0916;
031214;1800;22,8416;
031214;1900;21,2333;
031214;2000;19,5833;
031214;2100;18,2166;
031214;2200;16,9583;
031214;2300;16,2833;
031215;0000;15,35;
031215;0100;14,3583;
031215;0200;14,375;
031215;0300;13,9833;
031215;0400;13,4167;
031215;0500;12,4083;
031215;0600;13,6167;
031215;0700;16,0417;
031215;0800;18,6333;
031215;0900;20,5583;
031215;1000;22,5;
031215;1100;23,775;
031215;1200;24,7833;
031215;1300;26,3333;
031215;1400;26,975;
031215;1500;27,4916;
031215;1600;27,6416;
031215;1700;27,2333;
031215;1800;26,425;
031215;1900;24,2166;
031215;2000;21,9583;
031215;2100;20,8916;
031215;2200;20,0083;
031215;2300;18,5083;
031216;0000;17,1667;
031216;0100;16,35;
031216;0200;15,2583;
031216;0300;14,4917;
031216;0400;13,4583;
031216;0500;13,0083;
031216;0600;14,8333;
031216;0700;18,575;
031216;0800;22,1666;
031216;0900;23,8666;
031216;1000;26,5667;
031216;1100;28,625;
031216;1200;30,125;
031216;1300;31,0667;
031216;1400;31,9666;
031216;1500;32,4833;
031216;1600;32,5916;
031216;1700;32,4916;
031216;1800;31,7083;
031216;1900;29,3333;
031216;2000;26,7166;
031216;2100;24,8583;
031216;2200;23,4916;
031216;2300;22,2166;
031217;0000;21,175;
031217;0100;19,9916;
031217;0200;18,675;
031217;0300;17,9;
031217;0400;17,3833;
031217;0500;16,775;
031217;0600;18,9333;
031217;0700;23,925;
031217;0800;26,1666;
031217;0900;27,75;
031217;1000;28,9666;
031217;1100;30,2916;
031217;1200;31,425;
031217;1300;32,0667;
031217;1400;31,6;
031217;1500;30,7833;
031217;1600;29,4166;
031217;1700;27,9417;
031217;1800;26,475;
031217;1900;23,8083;
031217;2000;20,825;
031217;2100;19,2166;
031217;2200;17,8666;
031217;2300;17,0833;
031218;0000;16,2666;
031218;0100;15,7917;
031218;0200;14,8;
031218;0300;13,8916;
031218;0400;13,3667;
031218;0500;13,15;
031218;0600;15,0489;
031218;0700;17,9833;
031218;0800;20;
031218;0900;22,375;
031218;1000;24,225;
031218;1100;26,575;
031218;1200;27,4333;
031218;1300;27,5916;
031218;1400;27,425;
031218;1500;27,2083;
031218;1600;26,6166;
031218;1700;25,7;
031218;1800;24,075;
031218;1900;21,9666;
031218;2000;19,8083;
031218;2100;18,6917;
031218;2200;18,0166;
031218;2300;17,0417;
031219;0000;15,8583;
031219;0100;14,9167;
031219;0200;14,7;
031219;0300;14,2;
031219;0400;13,4583;
031219;0500;13,5833;
031219;0600;15,2333;
031219;0700;17,8333;
031219;0800;20,8416;
031219;0900;24,1;
031219;1000;24,1;
031219;1100;25,75;
031219;1200;27,0083;
031219;1300;27,9583;
031219;1400;28,775;
031219;1500;29,1166;
031219;1600;28,9666;
031219;1700;27,6166;
031219;1800;25,7666;
031219;1900;23,475;
031219;2000;22,2166;
031219;2100;21,2833;
031219;2200;20,4916;
031219;2300;20,1666;
031220;0000;19,4666;
031220;0100;18,6667;
031220;0200;17,9;
031220;0300;17,3833;
031220;0400;16,9;
031220;0500;17,15;
031220;0600;18,3916;
031220;0700;21,625;
031220;0800;23,5916;
031220;0900;25,7583;
031220;1000;27,6083;
031220;1100;28,7917;
031220;1200;29,7833;
031220;1300;30,7583;
031220;1400;30,675;
031220;1500;30,2666;
031220;1600;28,4417;
031220;1700;25,7917;
031220;1800;22,7416;
031220;1900;21,1083;
031220;2000;20,1583;
031220;2100;19,5416;
031220;2200;18,9333;
031220;2300;17,4666;
031221;0000;14,5333;
031221;0100;13,525;
031221;0200;12,8916;
031221;0300;12,15;
031221;0400;11,525;
031221;0500;10,8667;
031221;0600;12,2833;
031221;0700;14,175;
031221;0800;17,1333;
031221;0900;18,9333;
031221;1000;20,4417;
031221;1100;21,85;
031221;1200;23,1416;
031221;1300;24,3583;
031221;1400;25,3666;
031221;1500;26,3833;
031221;1600;27,1166;
031221;1700;27,0333;
031221;1800;26,4666;
031221;1900;24,8083;
031221;2000;22,45;
031221;2100;21,125;
031221;2200;19,9916;
031221;2300;18,7916;
031222;0000;17,9166;
031222;0100;17,2833;
031222;0200;16,0833;
031222;0300;15,2166;
031222;0400;14,2333;
031222;0500;13,8667;
031222;0600;15,5417;
031222;0700;18,1917;
031222;0800;20,2833;
031222;0900;22,775;
031222;1000;24,5333;
031222;1100;26;
031222;1200;27,1;
031222;1300;28,4916;
031222;1400;29,6166;
031222;1500;30,5166;
031222;1600;30,2416;
031222;1700;29,375;
031222;1800;27,1583;
031222;1900;24,2917;
031222;2000;21,6416;
031222;2100;20,375;
031222;2200;19,475;
031222;2300;18,625;
031223;0000;17,8416;
031223;0100;17,2;
031223;0200;15,975;
031223;0300;15,5167;
031223;0400;15,1833;
031223;0500;14,7917;
031223;0600;17,4417;
031223;0700;18,9;
031223;0800;21,4916;
031223;0900;23,4166;
031223;1000;25,025;
031223;1100;26,2833;
031223;1200;27,825;
031223;1300;28,675;
031223;1400;28,3;
031223;1500;27,8333;
031223;1600;27,6;
031223;1700;26,775;
031223;1800;24,6666;
031223;1900;22,2583;
031223;2000;20,0833;
031223;2100;18,2833;
031223;2200;17,0916;
031223;2300;16,2833;
031224;0000;16,0583;
031224;0100;15,1416;
031224;0200;13,325;
031224;0300;12,9167;
031224;0400;12,5083;
031224;0500;11,65;
031224;0600;12,975;
031224;0700;15,6;
031224;0800;18,6083;
031224;0900;18,8833;
031224;1000;20,875;
031224;1100;23,1166;
031224;1200;24,95;
031224;1300;25,5833;
031224;1400;25,9833;
031224;1500;26,1917;
031224;1600;25,625;
031224;1700;24,7833;
031224;1800;23,5;
031224;1900;21,25;
031224;2000;19,0583;
031224;2100;17,7416;
031224;2200;16,4333;
031224;2300;15,2083;
031225;0000;14,4083;
031225;0100;13,4417;
031225;0200;12,6667;
031225;0300;12,25;
031225;0400;12,0333;
031225;0500;11,9417;
031225;0600;13,4417;
031225;0700;17,0916;
031225;0800;19,2583;
031225;0900;22,8167;
031225;1000;24,825;
031225;1100;26,0667;
031225;1200;27,3;
031225;1300;28,0416;
031225;1400;28,6833;
031225;1500;28,6833;
031225;1600;28,275;
031225;1700;27,375;
031225;1800;25,175;
031225;1900;22,225;
031225;2000;20,7666;
031225;2100;19,4333;
031225;2200;17,95;
031225;2300;16,8666;
031226;0000;15,8833;
031226;0100;14,9;
031226;0200;14,6333;
031226;0300;13,5667;
031226;0400;12,975;
031226;0500;12,65;
031226;0600;13,5;
031226;0700;16,2083;
031226;0800;18,9;
031226;0900;20,2917;
031226;1000;22;
031226;1100;23,475;
031226;1200;24,6;
031226;1300;25,5583;
031226;1400;26,3083;
031226;1500;26,4666;
031226;1600;26,4833;
031226;1700;25,85;
031226;1800;24,2333;
031226;1900;21,8083;
031226;2000;19,275;
031226;2100;17,6166;
031226;2200;16,3083;
031226;2300;15,5166;
031227;0000;14,8167;
031227;0100;14,05;
031227;0200;13,3;
031227;0300;12,6167;
031227;0400;12,0917;
031227;0500;11,5;
031227;0600;12,1667;
031227;0700;13,9333;
031227;0800;16,0083;
031227;0900;17,2917;
031227;1000;18,6083;
031227;1100;20,3;
031227;1200;22,35;
031227;1300;23,6917;
031227;1400;25,0333;
031227;1500;25,9833;
031227;1600;26,15;
031227;1700;26,3416;
031227;1800;25,5416;
031227;1900;23,2166;
031227;2000;20,9;
031227;2100;19,5667;
031227;2200;18,425;
031227;2300;16,9417;
031228;0000;15,6917;
031228;0100;14,8667;
031228;0200;13,8583;
031228;0300;13,1;
031228;0400;12,475;
031228;0500;11,8417;
031228;0600;13,425;
031228;0700;17,1166;
031228;0800;19,6333;
031228;0900;21,3833;
031228;1000;23,95;
031228;1100;25,3833;
031228;1200;26,7666;
031228;1300;28,0333;
031228;1400;29,3833;
031228;1500;29,9583;
031228;1600;30,3916;
031228;1700;29,5416;
031228;1800;28,125;
031228;1900;24,5416;
031228;2000;21,55;
031228;2100;20,0333;
031228;2200;19,4333;
031228;2300;19,1667;
031229;0000;18,625;
031229;0100;17,55;
031229;0200;15,4917;
031229;0300;14,7083;
031229;0400;14,2;
031229;0500;14,55;
031229;0600;15,8916;
031229;0700;17,675;
031229;0800;19,7;
031229;0900;21,825;
031229;1000;23,3666;
031229;1100;24,525;
031229;1200;25,7833;
031229;1300;26,6083;
031229;1400;27,2833;
031229;1500;27,5166;
031229;1600;26,625;
031229;1700;24,825;
031229;1800;23,475;
031229;1900;22,0083;
031229;2000;20,9916;
031229;2100;19,6166;
031229;2200;19;
031229;2300;17,9;
031230;0000;16,3583;
031230;0100;15,0667;
031230;0200;14,3833;
031230;0300;13,9083;
031230;0400;13,5333;
031230;0500;13,2666;
031230;0600;15,3083;
031230;0700;18,95;
031230;0800;20,8916;
031230;0900;23,25;
031230;1000;25,775;
031230;1100;27,1666;
031230;1200;28;
031230;1300;28,8666;
031230;1400;29,0667;
031230;1500;29,125;
031230;1600;28,25;
031230;1700;26,8583;
031230;1800;25,0583;
031230;1900;22,95;
031230;2000;21,15;
031230;2100;19,8583;
031230;2200;19,175;
031230;2300;18,7416;
031231;0000;18,1416;
031231;0100;16,1666;
031231;0200;15;
031231;0300;14,4833;
031231;0400;14,4083;
031231;0500;14,6083;
031231;0600;16,6;
031231;0700;18,9833;
031231;0800;21,6917;
031231;0900;23,85;
031231;1000;25,1666;
031231;1100;26,425;
031231;1200;27,05;
031231;1300;27,45;
031231;1400;27,55;
031231;1500;27,55;
031231;1600;27,1917;
031231;1700;26,5916;
031231;1800;24,9666;
031231;1900;22,9417;
031231;2000;21,05;
031231;2100;19,525;
031231;2200;19,0333;
031231;2300;18,3583;
040101;0000;17,6416;
040101;0100;16,0916;
040101;0200;15,1917;
040101;0300;14,55;
040101;0400;14,25;
040101;0500;14,2583;
040101;0600;16,3666;
040101;0700;19,7666;
040101;0800;21,125;
040101;0900;23,6;
040101;1000;25,7833;
040101;1100;26,4333;
040101;1200;27,7;
040101;1300;28,5166;
040101;1400;28,95;
040101;1500;28,95;
040101;1600;28,7833;
040101;1700;27,45;
040101;1800;25,7333;
040101;1900;23,4167;
040101;2000;21,175;
040101;2100;20,2666;
040101;2200;19,475;
040101;2300;18,3167;
040102;0000;16,1917;
040102;0100;15,3167;
040102;0200;14,9417;
040102;0300;14,5583;
040102;0400;14,275;
040102;0500;14,5667;
040102;0600;17,05;
040102;0700;19,6666;
040102;0800;22,4916;
040102;0900;24,5417;
040102;1000;26,5667;
040102;1100;28,3333;
040102;1200;30,025;
040102;1300;30,9;
040102;1400;31,15;
040102;1500;31,3333;
040102;1600;30,6;
040102;1700;29,25;
040102;1800;27,1416;
040102;1900;24,075;
040102;2000;21,8916;
040102;2100;21,175;
040102;2200;20,1833;
040102;2300;19,5166;
040103;0000;17,4417;
040103;0100;15,2417;
040103;0200;14,1;
040103;0300;13,8916;
040103;0400;13,8583;
040103;0500;13,9833;
040103;0600;16,4333;
040103;0700;19,8416;
040103;0800;22,0583;
040103;0900;24,1583;
040103;1000;26,7083;
040103;1100;28,3833;
040103;1200;28,8916;
040103;1300;30,4417;
040103;1400;30,55;
040103;1500;30,9666;
040103;1600;30,6;
040103;1700;29,2666;
040103;1800;27,4166;
040103;1900;24,225;
040103;2000;21,3666;
040103;2100;20,525;
040103;2200;19,8083;
040103;2300;17,675;
040104;0000;15,8416;
040104;0100;14,1833;
040104;0200;13,4333;
040104;0300;12,9417;
040104;0400;12,5166;
040104;0500;12,3167;
040104;0600;13,3333;
040104;0700;18,0417;
040104;0800;19,9083;
040104;0900;23,375;
040104;1000;25,5833;
040104;1100;27,3833;
040104;1200;28,3167;
040104;1300;28,8916;
040104;1400;28,6833;
040104;1500;28,6833;
040104;1600;28,25;
040104;1700;26,4;
040104;1800;24,7083;
040104;1900;22,2166;
040104;2000;19,9833;
040104;2100;18,15;
040104;2200;16,9583;
040104;2300;16,7333;
040105;0000;16,7666;
040105;0100;16,1333;
040105;0200;14,1333;
040105;0300;13,6583;
040105;0400;13,925;
040105;0500;13,5;
040105;0600;16,2083;
040105;0700;17,3333;
040105;0800;20,4083;
040105;0900;23,525;
040105;1000;25,4333;
040105;1100;26,6083;
040105;1200;27,75;
040105;1300;29,0416;
040105;1400;29,775;
040105;1500;30,3083;
040105;1600;30,1833;
040105;1700;29,1583;
040105;1800;28,1917;
040105;1900;26,1583;
040105;2000;24,1166;
040105;2100;22,725;
040105;2200;21,8;
040105;2300;20,85;
040106;0000;19,7;
040106;0100;18,55;
040106;0200;18,05;
040106;0300;17,4;
040106;0400;16,8;
040106;0500;16,2083;
040106;0600;17,6;
040106;0700;20,1333;
040106;0800;21,55;
