FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;1,98598;
031214;1200;2,07649;
031214;1300;2,57854;
031214;1400;3,86813;
031214;1500;3,34134;
031214;1600;4,9296;
031214;1700;5,57487;
031214;1800;5,93349;
031214;1900;4,20582;
031214;2000;2,94073;
031214;2100;3,00961;
031214;2200;3,10159;
031214;2300;2,44576;
031215;0000;2,42117;
031215;0100;2,69497;
031215;0200;1,76869;
031215;0300;1,54608;
031215;0400;1,23275;
031215;0500;1,28682;
031215;0600;1,02452;
031215;0700;1,04996;
031215;0800;0,91198;
031215;0900;0,820724;
031215;1000;1,58979;
031215;1100;2,62224;
031215;1200;3,96745;
031215;1300;3,72136;
031215;1400;4,15207;
031215;1500;4,27145;
031215;1600;3,86417;
031215;1700;4,68192;
031215;1800;5,2493;
031215;1900;3,19766;
031215;2000;1,97258;
031215;2100;2,03065;
031215;2200;2,65569;
031215;2300;1,20456;
031216;0000;0,801105;
031216;0100;1,18508;
031216;0200;1,926;
031216;0300;1,69193;
031216;0400;0,944637;
031216;0500;0,709189;
031216;0600;1,06657;
031216;0700;0,678469;
031216;0800;0,507771;
031216;0900;1,24454;
031216;1000;1,25508;
031216;1100;1,96288;
031216;1200;3,03239;
031216;1300;4,13374;
031216;1400;4,28246;
031216;1500;4,52579;
031216;1600;4,40096;
031216;1700;4,02676;
031216;1800;3,90902;
031216;1900;3,20285;
031216;2000;1,70889;
031216;2100;1,79493;
031216;2200;1,00894;
031216;2300;0,7491;
031217;0000;0,396345;
031217;0100;1,20422;
031217;0200;1,1976;
031217;0300;1,24923;
031217;0400;1,50069;
031217;0500;0,994422;
031217;0600;1,0609;
031217;0700;0,554177;
031217;0800;0,735467;
031217;0900;1,39253;
031217;1000;2,39673;
031217;1100;3,65085;
031217;1200;4,48041;
031217;1300;5,39062;
031217;1400;6,68741;
031217;1500;7,22803;
031217;1600;7,11719;
031217;1700;6,6076;
031217;1800;5,20329;
031217;1900;4,17496;
031217;2000;3,09924;
031217;2100;3,75194;
031217;2200;2,68422;
031217;2300;2,37813;
031218;0000;2,03442;
031218;0100;1,36129;
031218;0200;1,47619;
031218;0300;1,03296;
031218;0400;1,32097;
031218;0500;0,977036;
031218;0600;0,780955;
031218;0700;0,916492;
031218;0800;1,36232;
031218;0900;1,84729;
031218;1000;2,4781;
031218;1100;2,90564;
031218;1200;4,1469;
031218;1300;6,1945;
031218;1400;6,64095;
031218;1500;6,82925;
031218;1600;6,8559;
031218;1700;6,26854;
031218;1800;5,75497;
031218;1900;4,97285;
031218;2000;3,74424;
031218;2100;3,00742;
031218;2200;2,56391;
031218;2300;2,48781;
031219;0000;2,06179;
031219;0100;1,57486;
031219;0200;0,923285;
031219;0300;1,40831;
031219;0400;0,988639;
031219;0500;0,835447;
031219;0600;0,839289;
031219;0700;1,32061;
031219;0800;1,11915;
031219;0900;1,03092;
031219;1000;3,06349;
031219;1100;4,04259;
031219;1200;4,34425;
031219;1300;4,88354;
031219;1400;5,11169;
031219;1500;5,16016;
031219;1600;5,60094;
031219;1700;5,88902;
031219;1800;5,91861;
031219;1900;5,59483;
031219;2000;3,05936;
031219;2100;2,82237;
031219;2200;1,64524;
031219;2300;0,872371;
031220;0000;0,846066;
031220;0100;0,88202;
031220;0200;0,310343;
031220;0300;0,421041;
031220;0400;0,676479;
031220;0500;1,04885;
031220;0600;0,892921;
031220;0700;0,595616;
031220;0800;1,05338;
031220;0900;1,23735;
031220;1000;1,53165;
031220;1100;2,68988;
031220;1200;3,65959;
031220;1300;4,14043;
031220;1400;5,4137;
031220;1500;5,93893;
031220;1600;6,45686;
031220;1700;7,67548;
031220;1800;6,86279;
031220;1900;4,72912;
031220;2000;2,81163;
031220;2100;2,13615;
031220;2200;1,29429;
031220;2300;1,92981;
031221;0000;2,9552;
031221;0100;3,22309;
031221;0200;3,27143;
031221;0300;1,2376;
031221;0400;2,48015;
031221;0500;1,93042;
031221;0600;1,21066;
031221;0700;2,28819;
031221;0800;0,493187;
031221;0900;2,08392;
031221;1000;3,36926;
031221;1100;4,64188;
031221;1200;4,66856;
031221;1300;3,81171;
031221;1400;4,56973;
031221;1500;4,49699;
031221;1600;3,83109;
031221;1700;4,32117;
031221;1800;4,26891;
031221;1900;3,54492;
031221;2000;3,50872;
031221;2100;3,84864;
031221;2200;3,83518;
031221;2300;4,46358;
031222;0000;2,90569;
031222;0100;2,64239;
031222;0200;1,1352;
031222;0300;0,71277;
031222;0400;0,200547;
031222;0500;1,21771;
031222;0600;0,856606;
031222;0700;0,358555;
031222;0800;1,01219;
031222;0900;1,07014;
031222;1000;1,72746;
031222;1100;2,08739;
031222;1200;3,1166;
031222;1300;3,81203;
031222;1400;3,48629;
031222;1500;4,31882;
031222;1600;5,16508;
031222;1700;5,29292;
031222;1800;5,8568;
031222;1900;4,78656;
031222;2000;3,6894;
031222;2100;3,56075;
031222;2200;2,41088;
031222;2300;1,58441;
031223;0000;0,927467;
031223;0100;0,963696;
031223;0200;1,11887;
031223;0300;0,769075;
031223;0400;0,632977;
031223;0500;0,0923355;
031223;0600;0,479999;
031223;0700;1,1103;
031223;0800;1,22581;
031223;0900;1,80381;
031223;1000;3,04193;
031223;1100;4,06361;
031223;1200;4,89301;
031223;1300;5,80994;
031223;1400;6,79258;
031223;1500;6,90282;
031223;1600;6,39832;
031223;1700;6,39313;
031223;1800;5,87066;
031223;1900;4,74168;
031223;2000;3,10387;
031223;2100;3,51358;
031223;2200;2,66481;
031223;2300;2,22713;
031224;0000;1,84814;
031224;0100;1,59529;
031224;0200;1,48554;
031224;0300;1,20175;
031224;0400;1,57584;
031224;0500;1,31617;
031224;0600;1,07044;
031224;0700;1,44615;
031224;0800;1,62786;
031224;0900;3,37785;
031224;1000;3,74628;
031224;1100;4,70588;
031224;1200;5,01157;
031224;1300;5,43062;
031224;1400;5,99084;
031224;1500;5,81834;
031224;1600;6,46693;
031224;1700;6,32478;
031224;1800;5,15508;
031224;1900;3,89104;
031224;2000;2,77653;
031224;2100;2,9871;
031224;2200;2,35732;
031224;2300;2,49892;
031225;0000;1,82777;
031225;0100;2,0032;
031225;0200;1,73893;
031225;0300;1,30654;
031225;0400;1,27502;
031225;0500;0,865952;
031225;0600;0,626554;
031225;0700;0,649714;
031225;0800;0,778587;
031225;0900;0,794604;
031225;1000;1,31942;
031225;1100;2,49335;
031225;1200;4,22948;
031225;1300;5,45216;
031225;1400;5,87775;
031225;1500;6,55666;
031225;1600;6,55128;
031225;1700;6,35165;
031225;1800;5,82845;
031225;1900;5,30573;
031225;2000;4,21709;
031225;2100;4,43546;
031225;2200;3,82106;
031225;2300;2,83091;
031226;0000;1,72457;
031226;0100;1,9208;
031226;0200;1,47105;
031226;0300;2,02989;
031226;0400;1,12921;
031226;0500;0,918037;
031226;0600;1,82142;
031226;0700;1,24825;
031226;0800;1,30525;
031226;0900;2,25566;
031226;1000;2,90745;
031226;1100;4,04327;
031226;1200;4,82359;
031226;1300;5,46155;
031226;1400;5,79295;
031226;1500;5,75105;
031226;1600;5,77699;
031226;1700;5,77779;
031226;1800;5,53487;
031226;1900;5,03766;
031226;2000;5,27058;
031226;2100;4,39616;
031226;2200;3,79816;
031226;2300;2,68983;
031227;0000;2,18509;
031227;0100;2,46882;
031227;0200;2,44162;
031227;0300;2,19651;
031227;0400;2,34582;
031227;0500;2,0006;
031227;0600;2,11312;
031227;0700;1,9481;
031227;0800;2,20144;
031227;0900;3,56114;
031227;1000;3,43606;
031227;1100;3,44502;
031227;1200;2,9768;
031227;1300;3,32444;
031227;1400;3,34662;
031227;1500;3,16012;
031227;1600;3,71186;
031227;1700;3,91389;
031227;1800;4,09135;
031227;1900;3,57677;
031227;2000;3,18775;
031227;2100;3,75151;
031227;2200;3,93621;
031227;2300;2,37809;
031228;0000;1,20564;
031228;0100;0,694685;
031228;0200;0,413007;
031228;0300;0,65626;
031228;0400;0,817885;
031228;0500;0,931989;
031228;0600;0,769621;
031228;0700;0,492129;
031228;0800;0,416004;
031228;0900;1,2938;
031228;1000;1,63198;
031228;1100;2,41123;
031228;1200;3,68049;
031228;1300;4,13564;
031228;1400;4,09924;
031228;1500;4,503;
031228;1600;4,62331;
031228;1700;5,175;
031228;1800;5,13762;
031228;1900;4,84805;
031228;2000;4,24557;
031228;2100;2,34779;
031228;2200;2,4795;
031228;2300;2,44077;
031229;0000;2,16298;
031229;0100;0,601439;
031229;0200;1,40709;
031229;0300;1,05036;
031229;0400;0,69751;
031229;0500;0,906446;
031229;0600;0,818192;
031229;0700;1,35109;
031229;0800;1,59981;
031229;0900;2,13406;
031229;1000;2,71944;
031229;1100;4,10376;
031229;1200;4,72523;
031229;1300;5,18851;
031229;1400;5,80289;
031229;1500;5,46891;
031229;1600;6,25349;
031229;1700;6,72374;
031229;1800;6,35158;
031229;1900;5,09245;
031229;2000;1,88183;
031229;2100;2,51643;
031229;2200;2,04922;
031229;2300;1,97655;
031230;0000;1,14947;
031230;0100;1,66527;
031230;0200;1,05825;
031230;0300;0,561315;
031230;0400;0,872787;
031230;0500;0,64534;
031230;0600;0,223313;
031230;0700;0,473037;
031230;0800;1,02115;
031230;0900;0,971251;
031230;1000;1,31289;
031230;1100;2,37838;
031230;1200;3,62312;
031230;1300;4,36671;
031230;1400;5,17509;
031230;1500;5,27197;
031230;1600;6,03677;
031230;1700;6,61514;
031230;1800;6,17126;
031230;1900;4,69437;
031230;2000;3,4472;
031230;2100;3,34031;
031230;2200;2,56137;
031230;2300;2,13176;
031231;0000;1,45118;
031231;0100;1,34428;
031231;0200;1,27973;
031231;0300;0,944192;
031231;0400;0,152538;
031231;0500;0,193242;
031231;0600;0,460413;
031231;0700;1,06268;
031231;0800;1,11246;
031231;0900;1,90929;
031231;1000;2,99037;
031231;1100;4,50207;
031231;1200;5,18821;
031231;1300;5,74849;
031231;1400;6,38354;
031231;1500;6,45544;
031231;1600;6,65115;
031231;1700;6,4716;
031231;1800;5,79884;
031231;1900;5,24313;
031231;2000;3,72791;
031231;2100;3,33101;
031231;2200;2,94273;
031231;2300;2,23972;
040101;0000;2,02692;
040101;0100;1,32924;
040101;0200;1,19803;
040101;0300;1,09785;
040101;0400;0,553594;
040101;0500;0,430606;
040101;0600;0,310808;
040101;0700;0,576385;
040101;0800;1,45987;
040101;0900;1,4781;
040101;1000;1,79952;
040101;1100;3,83348;
040101;1200;4,62965;
040101;1300;5,18906;
040101;1400;5,53957;
040101;1500;6,37563;
040101;1600;6,10879;
040101;1700;6,73344;
040101;1800;6,16907;
040101;1900;4,85793;
040101;2000;3,25348;
040101;2100;3,18149;
040101;2200;2,48229;
040101;2300;2,04278;
040102;0000;1,69164;
040102;0100;1,32579;
040102;0200;1,11461;
040102;0300;1,03154;
040102;0400;0,37087;
040102;0500;0,548769;
040102;0600;0,166179;
040102;0700;0,90984;
040102;0800;0,859916;
040102;0900;1,14148;
040102;1000;2,09433;
040102;1100;2,67793;
040102;1200;3,1981;
040102;1300;4,47108;
040102;1400;5,6329;
040102;1500;5,85056;
040102;1600;6,62495;
040102;1700;6,73218;
040102;1800;6,97963;
040102;1900;5,27029;
040102;2000;3,26259;
040102;2100;3,3372;
040102;2200;2,87753;
040102;2300;2,34085;
040103;0000;1,63811;
040103;0100;2,20674;
040103;0200;1,92893;
040103;0300;1,06027;
040103;0400;0,927013;
040103;0500;0,344165;
040103;0600;0,406085;
040103;0700;0,601064;
040103;0800;1,25316;
040103;0900;1,62438;
040103;1000;1,90693;
040103;1100;3,17265;
040103;1200;4,6721;
040103;1300;4,37074;
040103;1400;4,88947;
040103;1500;5,73682;
040103;1600;5,99358;
040103;1700;6,08857;
040103;1800;6,09924;
040103;1900;5,18913;
040103;2000;4,25072;
040103;2100;3,12229;
040103;2200;2,82519;
040103;2300;2,42552;
040104;0000;1,92922;
040104;0100;1,88787;
040104;0200;1,56651;
040104;0300;1,60815;
040104;0400;1,10087;
040104;0500;1,00687;
040104;0600;1,13441;
040104;0700;0,477856;
040104;0800;1,21819;
040104;0900;1,10155;
040104;1000;2,03148;
040104;1100;2,76545;
040104;1200;4,27901;
040104;1300;5,0013;
040104;1400;6,56377;
040104;1500;6,82342;
040104;1600;6,99712;
040104;1700;6,60358;
040104;1800;5,96432;
040104;1900;6,2327;
040104;2000;3,97994;
040104;2100;4,02686;
040104;2200;3,32183;
040104;2300;2,70148;
040105;0000;1,23955;
040105;0100;0,754745;
040105;0200;1,83169;
040105;0300;0,29137;
040105;0400;0,84621;
040105;0500;0,685781;
040105;0600;0,443322;
040105;0700;1,98541;
040105;0800;0,633325;
040105;0900;0,767676;
040105;1000;1,54517;
040105;1100;2,72205;
040105;1200;3,21946;
040105;1300;3,57098;
040105;1400;4,25922;
040105;1500;4,5966;
040105;1600;5,42825;
