FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010324;0000;2,65;;;
010325;0000;1,5875;;;
010326;0000;0,887499;;;
010327;0000;1,4;;;
010328;0000;1,52083;;;
010329;0000;1,03333;;;
010330;0000;0,758331;;;
010331;0000;0,854165;;;
010401;0000;1,85416;;;
010402;0000;1,2875;;;
010403;0000;1,0125;;;
010404;0000;0,858332;;;
010405;0000;1,78333;;;
010406;0000;2;;;
010407;0000;1,12917;;;
010408;0000;2,39583;;;
010409;0000;1,47916;;;
010410;0000;1,54166;;;
010411;0000;1,45416;;;
010412;0000;1,87083;;;
010413;0000;1,27917;;;
010414;0000;1,43333;;;
010415;0000;2,8375;;;
010416;0000;1,52083;;;
010417;0000;1,54166;;;
010418;0000;2,57916;;;
010419;0000;3,2;;;
010420;0000;2,37916;;;
010421;0000;2,13333;;;
010422;0000;1,8;;;
010423;0000;1,26666;;;
010424;0000;3,0625;;;
010425;0000;3,91666;;;
010426;0000;1,825;;;
010427;0000;1,72174;;;
010428;0000;1,20833;;;
010429;0000;2,49166;;;
010430;0000;2,06666;;;
010501;0000;3,39583;;;
010502;0000;4,09166;;;
010503;0000;5,175;;;
010504;0000;5,34166;;;
010505;0000;1,93333;;;
010506;0000;2,5;;;
010507;0000;1,80416;;;
010508;0000;2,625;;;
010509;0000;2,49583;;;
010510;0000;1,9625;;;
010511;0000;2,2625;;;
010512;0000;3,90833;;;
010513;0000;3,60416;;;
010514;0000;2,675;;;
010515;0000;2,10416;;;
010516;0000;4,34166;;;
010517;0000;4,62916;;;
010518;0000;2,59583;;;
010519;0000;4,21666;;;
010520;0000;4,29583;;;
010521;0000;;;;
010522;0000;;;;
010523;0000;6,10416;;;
010524;0000;4,02916;;;
010525;0000;2,20833;;;
010526;0000;3,96666;;;
010527;0000;4,06666;;;
010528;0000;1,9375;;;
010529;0000;1,3625;;;
010530;0000;1,50417;;;
010531;0000;2,33333;;;
010601;0000;3,14999;;;
010602;0000;2,18333;;;
010603;0000;2,80416;;;
010604;0000;2,80833;;;
010605;0000;2,7875;;;
010606;0000;3,91666;;;
010607;0000;6,13749;;;
010608;0000;6,15833;;;
010609;0000;6,42499;;;
010610;0000;4,97916;;;
010611;0000;2,83333;;;
010612;0000;4,08333;;;
010613;0000;5,07916;;;
010614;0000;2,49583;;;
010615;0000;1,78333;;;
010616;0000;4,44166;;;
010617;0000;6,19166;;;
010618;0000;5,50416;;;
010619;0000;5,94166;;;
010620;0000;7,76665;;;
010621;0000;7,22916;;;
010622;0000;5,91249;;;
010623;0000;2,76666;;;
010624;0000;4,61362;;;
010625;0000;4,79166;;;
010626;0000;8,04999;;;
010627;0000;6,43333;;;
010628;0000;2,7375;;;
010629;0000;3,69166;;;
010630;0000;4,37499;;;
010701;0000;2,89583;;;
010702;0000;2,97499;;;
010703;0000;3,7;;;
010704;0000;4,13332;;;
010705;0000;6,78888;;;
010706;0000;3,9875;;;
010707;0000;3,45833;;;
010708;0000;2,54166;;;
010709;0000;2,25;;;
010710;0000;2,96666;;;
010711;0000;4,6125;;;
010712;0000;3,14166;;;
010713;0000;3,09166;;;
010714;0000;5,09166;;;
010715;0000;5,73333;;;
010716;0000;2,70416;;;
010717;0000;;;;
010718;0000;;;;
010719;0000;;;;
010720;0000;;;;
010721;0000;;;;
010722;0000;;;;
010723;0000;;;;
010724;0000;;;;
010725;0000;;;;
010726;0000;;;;
010727;0000;;;;
010728;0000;;;;
010729;0000;;;;
010730;0000;;;;
010731;0000;;;;
010801;0000;;;;
010802;0000;;;;
010803;0000;;;;
010804;0000;;;;
010805;0000;;;;
010806;0000;;;;
010807;0000;;;;
010808;0000;;;;
010809;0000;;;;
010810;0000;;;;
010811;0000;3,30833;;;
010812;0000;4,19999;;;
010813;0000;2,73333;;;
010814;0000;2,4875;;;
010815;0000;2,93043;;;
010816;0000;3,33333;;;
010817;0000;3,88333;;;
010818;0000;3,275;;;
010819;0000;;;;
010820;0000;;;;
010821;0000;;;;
010822;0000;;;;
010823;0000;2,59583;;;
010824;0000;2,53749;;;
010825;0000;2,55416;;;
010826;0000;2,4375;;;
010827;0000;3,53749;;;
010828;0000;4,18333;;;
010829;0000;3,20416;;;
010830;0000;2,30833;;;
010831;0000;2,42083;;;
010901;0000;2,60833;;;
010902;0000;2,6;;;
010903;0000;2,5125;;;
010904;0000;2,5875;;;
010905;0000;2,82916;;;
010906;0000;2,50416;;;
