FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;21,7273;
031215;1100;22,0833;
031215;1200;;
031215;1300;21,0833;
031215;1400;;
031215;1500;;
031215;1600;;
031215;1700;;
031215;1800;22;
031215;1900;23,3333;
031215;2000;23;
031215;2100;22,5;
031215;2200;23,4545;
031215;2300;;
031216;0000;25;
031216;0100;;
031216;0200;25,9167;
031216;0300;;
031216;0400;;
031216;0500;;
031216;0600;24,4444;
031216;0700;23,5;
031216;0800;21,5833;
031216;0900;21,1667;
031216;1000;21,3333;
031216;1100;20,4;
031216;1200;19,8333;
031216;1300;19;
031216;1400;;
031216;1500;;
031216;1600;;
031216;1700;;
031216;1800;;
031216;1900;21,1667;
031216;2000;;
031216;2100;23;
031216;2200;;
031216;2300;24,1667;
031217;0000;24,1667;
031217;0100;24,3333;
031217;0200;24,4167;
031217;0300;24,8333;
031217;0400;25,0833;
031217;0500;25,25;
031217;0600;24;
031217;0700;23,1667;
031217;0800;22,3333;
031217;0900;20,9167;
031217;1000;20,0833;
031217;1100;;
031217;1200;19,0833;
031217;1300;;
031217;1400;;
031217;1500;;
031217;1600;20;
031217;1700;;
031217;1800;21,5;
031217;1900;23,1667;
031217;2000;24,3333;
031217;2100;;
031217;2200;24,6667;
031217;2300;24,6667;
031218;0000;24,9167;
031218;0100;;
031218;0200;;
031218;0300;;
031218;0400;26;
031218;0500;;
031218;0600;24,6667;
031218;0700;24,1667;
031218;0800;24;
031218;0900;23;
031218;1000;21,75;
031218;1100;21;
031218;1200;;
031218;1300;;
031218;1400;20,1667;
031218;1500;20,6667;
031218;1600;20,9167;
031218;1700;;
031218;1800;22,2727;
031218;1900;23,75;
031218;2000;24,5833;
031218;2100;24,9;
031218;2200;24,3333;
031218;2300;24,5833;
031219;0000;24,8333;
031219;0100;26,2727;
031219;0200;27,4;
031219;0300;29,8333;
031219;0400;34,5833;
031219;0500;36,5;
031219;0600;28,3333;
031219;0700;23,75;
031219;0800;23,8333;
031219;0900;22,5;
031219;1000;;
031219;1100;21;
031219;1200;;
031219;1300;;
031219;1400;20;
031219;1500;;
031219;1600;;
031219;1700;;
031219;1800;21,6;
031219;1900;22,9167;
031219;2000;23,0833;
031219;2100;23;
031219;2200;23,1667;
031219;2300;23,3333;
031220;0000;23,4167;
031220;0100;24;
031220;0200;;
031220;0300;25;
031220;0400;26,0833;
031220;0500;26,6667;
031220;0600;24,0833;
031220;0700;22,5833;
031220;0800;21,75;
031220;0900;20,0833;
031220;1000;20,75;
031220;1100;19,9;
031220;1200;20;
031220;1300;19,0833;
031220;1400;19;
031220;1500;;
031220;1600;20,5;
031220;1700;21,4;
031220;1800;22,75;
031220;1900;24,0833;
031220;2000;23,5833;
031220;2100;23,0833;
031220;2200;;
031220;2300;24;
031221;0000;25;
031221;0100;26,1667;
031221;0200;26,8182;
031221;0300;26,5;
031221;0400;27,0833;
031221;0500;30,8333;
031221;0600;27,0833;
031221;0700;24,7273;
031221;0800;23,75;
031221;0900;23,4167;
031221;1000;22,75;
031221;1100;20,75;
031221;1200;22,0833;
031221;1300;22;
031221;1400;;
031221;1500;21,1667;
031221;1600;;
031221;1700;;
031221;1800;22;
031221;1900;23,1;
031221;2000;23,3333;
031221;2100;;
031221;2200;23,4;
031221;2300;23,5833;
031222;0000;;
031222;0100;25;
031222;0200;;
031222;0300;26;
031222;0400;;
031222;0500;;
031222;0600;24,4444;
031222;0700;23,7;
031222;0800;22,8333;
031222;0900;22,8333;
031222;1000;22,0833;
031222;1100;;
031222;1200;21;
031222;1300;20,2727;
031222;1400;;
031222;1500;;
031222;1600;19,9167;
031222;1700;;
031222;1800;21,4167;
031222;1900;22,5833;
031222;2000;;
031222;2100;23,3636;
031222;2200;23;
031222;2300;;
031223;0000;;
031223;0100;;
031223;0200;;
031223;0300;;
031223;0400;;
031223;0500;25,8333;
031223;0600;24,3333;
031223;0700;22,8333;
031223;0800;22,9167;
031223;0900;21,5833;
031223;1000;21,4167;
031223;1100;21;
031223;1200;;
031223;1300;20;
031223;1400;;
031223;1500;;
031223;1600;20,5833;
031223;1700;;
031223;1800;22,1667;
031223;1900;23,6667;
031223;2000;;
031223;2100;24,75;
031223;2200;24,25;
031223;2300;24,1667;
031224;0000;24,8333;
031224;0100;;
031224;0200;26;
031224;0300;;
031224;0400;;
031224;0500;28,1667;
031224;0600;26,3333;
031224;0700;24;
031224;0800;24,25;
031224;0900;;
031224;1000;23;
031224;1100;22,2727;
031224;1200;;
031224;1300;;
031224;1400;;
031224;1500;21,5833;
031224;1600;21,4167;
031224;1700;22;
031224;1800;23;
031224;1900;24;
031224;2000;25;
031224;2100;;
031224;2200;24,4167;
031224;2300;24,1667;
031225;0000;25;
031225;0100;27,9167;
031225;0200;33,3333;
031225;0300;36,1666;
031225;0400;39,25;
031225;0500;40,6666;
031225;0600;32,4166;
031225;0700;24,0833;
031225;0800;24,0833;
031225;0900;23,4167;
031225;1000;22,0833;
031225;1100;21,0909;
031225;1200;;
031225;1300;20,2222;
031225;1400;20;
031225;1500;;
031225;1600;;
031225;1700;;
031225;1800;22,0909;
031225;1900;23,4167;
031225;2000;24,3;
031225;2100;24,9091;
031225;2200;24;
031225;2300;24,5;
031226;0000;24,5833;
031226;0100;;
031226;0200;;
031226;0300;27,5555;
031226;0400;31,0833;
031226;0500;32,1666;
031226;0600;27,1667;
031226;0700;23,9167;
031226;0800;24,0833;
031226;0900;23,4167;
031226;1000;23,0833;
031226;1100;22;
031226;1200;;
031226;1300;21,0909;
031226;1400;21;
031226;1500;;
031226;1600;;
031226;1700;;
031226;1800;22,4167;
031226;1900;23,6667;
031226;2000;24,8333;
031226;2100;24,4167;
031226;2200;24,4167;
031226;2300;24,4167;
031227;0000;;
031227;0100;;
031227;0200;26;
031227;0300;;
031227;0400;26,4444;
031227;0500;27,0833;
031227;0600;26,0833;
031227;0700;24,8333;
031227;0800;24,75;
031227;0900;25,0833;
031227;1000;;
031227;1100;23,6667;
031227;1200;22,8889;
031227;1300;22,3333;
031227;1400;;
031227;1500;21,5;
031227;1600;21,3333;
031227;1700;21,5;
031227;1800;22;
031227;1900;23,25;
031227;2000;24;
031227;2100;24,5454;
031227;2200;24,25;
031227;2300;24,5833;
031228;0000;24,9167;
031228;0100;;
031228;0200;26;
031228;0300;26,4167;
031228;0400;28,9167;
031228;0500;;
031228;0600;;
031228;0700;24,6667;
031228;0800;24,0833;
031228;0900;23,5454;
031228;1000;22,0833;
031228;1100;21,3333;
031228;1200;;
031228;1300;20,0833;
031228;1400;;
031228;1500;;
031228;1600;19,9167;
031228;1700;;
031228;1800;;
031228;1900;22,4167;
031228;2000;23,9167;
031228;2100;24,8889;
031228;2200;24,5833;
031228;2300;24,3333;
031229;0000;24,5;
031229;0100;24,6667;
031229;0200;;
031229;0300;;
031229;0400;;
031229;0500;25,4167;
031229;0600;24,9167;
031229;0700;24,3333;
031229;0800;23,9167;
031229;0900;23,0833;
031229;1000;22;
031229;1100;;
031229;1200;21,3333;
031229;1300;;
031229;1400;;
031229;1500;20,25;
031229;1600;21;
031229;1700;21,8889;
031229;1800;22,75;
031229;1900;23,7273;
031229;2000;;
031229;2100;24,9091;
031229;2200;24,25;
031229;2300;24,4167;
031230;0000;24,5833;
031230;0100;25;
031230;0200;;
031230;0300;26,5;
031230;0400;;
031230;0500;;
031230;0600;25,5;
031230;0700;23,75;
031230;0800;23,9167;
031230;0900;22,6667;
031230;1000;21,3333;
031230;1100;20,75;
031230;1200;20;
031230;1300;;
031230;1400;;
031230;1500;20;
031230;1600;;
031230;1700;20,5833;
031230;1800;21,5833;
031230;1900;23,0833;
031230;2000;24;
031230;2100;;
031230;2200;24,6364;
031230;2300;24,0833;
