FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090321;0000;20,25;;;
090322;0000;12,875;;;
090323;0000;32,6666;;;
090324;0000;13,75;;;
090325;0000;15,9167;;;
090326;0000;33,5416;;;
090327;0000;16,8333;;;
090328;0000;38,125;;;
090329;0000;7,54166;;;
090330;0000;18,2917;;;
090331;0000;29,25;;;
090401;0000;22,2083;;;
090402;0000;9,45833;;;
090403;0000;11,7917;;;
090404;0000;12,4167;;;
090405;0000;36,0416;;;
090406;0000;76,1666;;;
090407;0000;68,5;;;
090408;0000;69,2083;;;
090409;0000;35,4583;;;
090410;0000;35,2083;;;
090411;0000;15,0833;;;
090412;0000;22,0417;;;
090413;0000;34,7083;;;
090414;0000;77;;;
090415;0000;14,7083;;;
090416;0000;36,875;;;
090417;0000;60,9583;;;
090418;0000;90,3333;;;
090419;0000;113,375;;;
090420;0000;61,875;;;
090421;0000;101,167;;;
090422;0000;81,9166;;;
090423;0000;32,7916;;;
090424;0000;49,2916;;;
090425;0000;100,75;;;
090426;0000;125,5;;;
090427;0000;32,8333;;;
090428;0000;54,375;;;
090429;0000;21,5833;;;
090430;0000;18,3333;;;
090501;0000;27,5833;;;
090502;0000;3,5;;;
090503;0000;3,20833;;;
090504;0000;29,2917;;;
090505;0000;106,083;;;
090506;0000;95;;;
090507;0000;89,7083;;;
090508;0000;107,208;;;
090509;0000;38,8333;;;
090510;0000;89,2916;;;
090511;0000;206,833;;;
090512;0000;149,25;;;
090513;0000;91,625;;;
090514;0000;108,208;;;
090515;0000;69,0833;;;
090516;0000;110,75;;;
090517;0000;20,6667;;;
090518;0000;33,2083;;;
090519;0000;101,458;;;
090520;0000;200;;;
090521;0000;154,375;;;
090522;0000;133,375;;;
090523;0000;119,167;;;
090524;0000;68,375;;;
090525;0000;27,5417;;;
090526;0000;29,75;;;
090527;0000;91,2083;;;
090528;0000;54,4583;;;
090529;0000;52,0833;;;
090530;0000;67,5416;;;
090531;0000;154,417;;;
090601;0000;301,5;;;
090602;0000;349,292;;;
090603;0000;284,792;;;
090604;0000;145,833;;;
090605;0000;266,583;;;
090606;0000;258,833;;;
090607;0000;15,25;;;
090608;0000;92,3333;;;
090609;0000;240,875;;;
090610;0000;247,083;;;
