FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090321;0000;23,4167;;;
090322;0000;22,9583;;;
090323;0000;21,875;;;
090324;0000;20,7083;;;
090325;0000;22,25;;;
090326;0000;23,875;;;
090327;0000;22,1667;;;
090328;0000;21,2917;;;
090329;0000;12,0833;;;
090330;0000;18,625;;;
090331;0000;23,2917;;;
090401;0000;18,3333;;;
090402;0000;20,9167;;;
090403;0000;11,5417;;;
090404;0000;14,2917;;;
090405;0000;21,625;;;
090406;0000;30,9167;;;
090407;0000;24,9167;;;
090408;0000;26,2917;;;
090409;0000;24;;;
090410;0000;19,875;;;
090411;0000;15,5;;;
090412;0000;12,875;;;
090413;0000;20,1667;;;
090414;0000;25,8333;;;
090415;0000;24,6667;;;
090416;0000;23,875;;;
090417;0000;27,7083;;;
090418;0000;30,6667;;;
090419;0000;29,4167;;;
090420;0000;32,1666;;;
090421;0000;33,375;;;
090422;0000;25,5417;;;
090423;0000;21,375;;;
090424;0000;27,9583;;;
090425;0000;36,7916;;;
090426;0000;34,25;;;
090427;0000;29,2917;;;
090428;0000;31,4167;;;
090429;0000;25,7083;;;
090430;0000;22,0833;;;
090501;0000;34,125;;;
090502;0000;20,0417;;;
090503;0000;15,875;;;
090504;0000;16,7917;;;
090505;0000;35,5833;;;
090506;0000;26,2083;;;
090507;0000;22,9167;;;
090508;0000;26,0417;;;
090509;0000;22,4583;;;
090510;0000;38,125;;;
090511;0000;68,9166;;;
090512;0000;46,8333;;;
090513;0000;20,8333;;;
090514;0000;18,2917;;;
090515;0000;23,8333;;;
090516;0000;27,125;;;
090517;0000;15,2083;;;
090518;0000;21,5417;;;
090519;0000;33,2916;;;
090520;0000;35,5833;;;
090521;0000;43,2083;;;
090522;0000;36,4583;;;
090523;0000;33,4583;;;
090524;0000;22,4167;;;
090525;0000;15,6667;;;
090526;0000;17,4583;;;
090527;0000;30,0417;;;
090528;0000;25,25;;;
090529;0000;27,4583;;;
090530;0000;28;;;
090531;0000;23,6667;;;
090601;0000;41,625;;;
090602;0000;47,5;;;
090603;0000;54,5;;;
090604;0000;37,7083;;;
090605;0000;44,4166;;;
090606;0000;50,375;;;
090607;0000;23,0417;;;
090608;0000;37,8333;;;
090609;0000;44,9166;;;
090610;0000;52,625;;;
090611;0000;55,875;;;
090612;0000;57,5416;;;
090613;0000;27,4583;;;
090614;0000;25,0833;;;
090615;0000;23;;;
090616;0000;26,375;;;
090617;0000;25,0833;;;
090618;0000;32,375;;;
090619;0000;26,5;;;
090620;0000;17,5;;;
090621;0000;17,6667;;;
090622;0000;22,1667;;;
090623;0000;29,375;;;
090624;0000;36,7083;;;
090625;0000;36,7916;;;
090626;0000;37,4166;;;
090627;0000;37,9583;;;
090628;0000;16,25;;;
090629;0000;22,0417;;;
090630;0000;25,3333;;;
090701;0000;20,375;;;
090702;0000;30,125;;;
090703;0000;34,7083;;;
090704;0000;32,125;;;
090705;0000;31,4583;;;
090706;0000;20,0417;;;
090707;0000;21,2917;;;
090708;0000;26,75;;;
090709;0000;33,6666;;;
090710;0000;27,6667;;;
090711;0000;36,7083;;;
090712;0000;27,9583;;;
090713;0000;27,0417;;;
090714;0000;33,125;;;
090715;0000;27,2083;;;
090716;0000;28,375;;;
090717;0000;22,4167;;;
090718;0000;20,7917;;;
090719;0000;21,5833;;;
090720;0000;21,4167;;;
090721;0000;21;;;
090722;0000;18,25;;;
090723;0000;25,9583;;;
090724;0000;37,7083;;;
090725;0000;38,75;;;
090726;0000;33,9583;;;
090727;0000;39,5833;;;
090728;0000;34,3333;;;
090729;0000;41,75;;;
090730;0000;35,4583;;;
090731;0000;24,2917;;;
090801;0000;26,2917;;;
090802;0000;30,5417;;;
090803;0000;29,2083;;;
090804;0000;17,9167;;;
090805;0000;20,4167;;;
090806;0000;27,1667;;;
090807;0000;20,9167;;;
090808;0000;25,625;;;
090809;0000;27,4583;;;
090810;0000;40,0833;;;
090811;0000;41,2083;;;
090812;0000;20,4583;;;
090813;0000;31,1667;;;
090814;0000;22,125;;;
090815;0000;13,7083;;;
090816;0000;16,5417;;;
090817;0000;22,125;;;
090818;0000;22,2917;;;
090819;0000;18,4167;;;
090820;0000;20,375;;;
090821;0000;20,2917;;;
090822;0000;15,4167;;;
090823;0000;16,375;;;
090824;0000;23,3333;;;
090825;0000;31,9167;;;
090826;0000;31,4583;;;
090827;0000;34,6666;;;
090828;0000;26,6667;;;
090829;0000;15,25;;;
090830;0000;15,5833;;;
090831;0000;15,1667;;;
090901;0000;19,5417;;;
090902;0000;17,25;;;
090903;0000;20,2083;;;
090904;0000;25,3333;;;
090905;0000;22,875;;;
090906;0000;12,4167;;;
090907;0000;13,625;;;
090908;0000;13,75;;;
090909;0000;18,125;;;
090910;0000;22,0417;;;
090911;0000;23,375;;;
090912;0000;19,0833;;;
090913;0000;14,4583;;;
090914;0000;17,2609;;;
090915;0000;18,625;;;
090916;0000;16,9167;;;
090917;0000;16,9167;;;
090918;0000;19,2917;;;
090919;0000;18,0833;;;
090920;0000;16,625;;;
090921;0000;15,0833;;;
090922;0000;18,7917;;;
090923;0000;22,9167;;;
090924;0000;22,5833;;;
090925;0000;16,125;;;
090926;0000;8,58333;;;
090927;0000;12,25;;;
090928;0000;14,8333;;;
090929;0000;21,5417;;;
090930;0000;18,3333;;;
091001;0000;23,5417;;;
091002;0000;24,6667;;;
091003;0000;30,5417;;;
091004;0000;15,1667;;;
091005;0000;17,5;;;
091006;0000;21,7083;;;
091007;0000;31,4583;;;
091008;0000;27,6667;;;
091009;0000;22;;;
091010;0000;12,625;;;
091011;0000;10,1667;;;
091012;0000;15,9583;;;
091013;0000;15,4167;;;
091014;0000;14,5;;;
091015;0000;17,4167;;;
091016;0000;15,5417;;;
091017;0000;11,5417;;;
091018;0000;9,125;;;
091019;0000;16,375;;;
091020;0000;16,125;;;
091021;0000;27,4167;;;
091022;0000;26,625;;;
091023;0000;15,5417;;;
091024;0000;20,2917;;;
091025;0000;17,2083;;;
091026;0000;20,9583;;;
091027;0000;32,8333;;;
091028;0000;29,9167;;;
091029;0000;21,125;;;
091030;0000;18,6667;;;
091031;0000;15,4167;;;
091101;0000;11,75;;;
091102;0000;10,375;;;
091103;0000;11,25;;;
091104;0000;10,2917;;;
091105;0000;11,5;;;
091106;0000;11,4583;;;
091107;0000;10,0833;;;
091108;0000;9,79166;;;
091109;0000;13,4167;;;
091110;0000;17,125;;;
091111;0000;17,1667;;;
091112;0000;15,4583;;;
091113;0000;13,6667;;;
