FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090321;0000;43,6666;;;
090322;0000;35,8333;;;
090323;0000;54,5416;;;
090324;0000;34,4583;;;
090325;0000;38,1666;;;
090326;0000;57,4166;;;
090327;0000;39;;;
090328;0000;59,4166;;;
090329;0000;19,625;;;
090330;0000;36,9166;;;
090331;0000;52,5416;;;
090401;0000;40,5416;;;
090402;0000;30,375;;;
090403;0000;23,3333;;;
090404;0000;26,7083;;;
090405;0000;57,6666;;;
090406;0000;107,083;;;
090407;0000;93,4166;;;
090408;0000;95,5;;;
090409;0000;59,4583;;;
090410;0000;55,0833;;;
090411;0000;30,5833;;;
090412;0000;34,9166;;;
090413;0000;54,875;;;
090414;0000;102,833;;;
090415;0000;39,375;;;
090416;0000;60,75;;;
090417;0000;88,6666;;;
090418;0000;121;;;
090419;0000;142,792;;;
090420;0000;94,0416;;;
090421;0000;134,542;;;
090422;0000;107,458;;;
090423;0000;54,1666;;;
090424;0000;77,25;;;
090425;0000;137,542;;;
090426;0000;159,75;;;
090427;0000;62,125;;;
090428;0000;85,7916;;;
090429;0000;47,2916;;;
090430;0000;40,4166;;;
090501;0000;61,7083;;;
090502;0000;23,5417;;;
090503;0000;19,0833;;;
090504;0000;46,0833;;;
090505;0000;141,667;;;
090506;0000;121,208;;;
090507;0000;112,625;;;
090508;0000;133,25;;;
090509;0000;61,2916;;;
090510;0000;127,417;;;
090511;0000;275,75;;;
090512;0000;196,083;;;
090513;0000;112,458;;;
090514;0000;126,5;;;
090515;0000;92,9166;;;
090516;0000;137,875;;;
090517;0000;35,875;;;
090518;0000;54,75;;;
090519;0000;134,75;;;
090520;0000;235,583;;;
090521;0000;197,583;;;
090522;0000;169,833;;;
090523;0000;152,625;;;
090524;0000;90,7916;;;
090525;0000;43,2083;;;
090526;0000;47,2083;;;
090527;0000;121,25;;;
090528;0000;79,7083;;;
090529;0000;79,5416;;;
090530;0000;95,5416;;;
090531;0000;178,083;;;
090601;0000;343,125;;;
090602;0000;396,792;;;
090603;0000;339,292;;;
090604;0000;183,542;;;
090605;0000;311;;;
090606;0000;309,208;;;
090607;0000;38,2916;;;
090608;0000;130,167;;;
090609;0000;285,792;;;
090610;0000;299,708;;;
090611;0000;349,833;;;
090612;0000;326,333;;;
090613;0000;47,625;;;
090614;0000;48;;;
090615;0000;87,2916;;;
090616;0000;162,125;;;
090617;0000;89,3333;;;
090618;0000;160,042;;;
090619;0000;108,5;;;
090620;0000;30,2917;;;
090621;0000;35,4583;;;
090622;0000;119,708;;;
090623;0000;168,875;;;
090624;0000;325,667;;;
090625;0000;279,333;;;
090626;0000;241,625;;;
090627;0000;244,042;;;
090628;0000;22,625;;;
090629;0000;113,792;;;
090630;0000;107,583;;;
090701;0000;64,2916;;;
090702;0000;136,542;;;
090703;0000;188,625;;;
090704;0000;195,5;;;
090705;0000;190,375;;;
090706;0000;81,8333;;;
090707;0000;109,708;;;
090708;0000;133,083;;;
090709;0000;206,292;;;
090710;0000;144,833;;;
090711;0000;290,375;;;
090712;0000;185,708;;;
090713;0000;150,792;;;
090714;0000;195,458;;;
090715;0000;131,792;;;
090716;0000;184,75;;;
090717;0000;59,2916;;;
090718;0000;113,417;;;
090719;0000;114,042;;;
090720;0000;62,2916;;;
090721;0000;41,25;;;
090722;0000;31,9583;;;
090723;0000;153,042;;;
090724;0000;337,625;;;
090725;0000;239,458;;;
090726;0000;217,5;;;
090727;0000;167,958;;;
090728;0000;148,083;;;
090729;0000;285,125;;;
090730;0000;167,458;;;
090731;0000;75,6666;;;
090801;0000;135,667;;;
090802;0000;155,458;;;
090803;0000;103,5;;;
090804;0000;27,5417;;;
