FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010401;0000;25,2917;;;
010402;0000;21,7917;;;
010403;0000;11,5833;;;
010404;0000;12,0417;;;
010405;0000;18,6667;;;
010406;0000;22,25;;;
010407;0000;18,25;;;
010408;0000;20,0417;;;
010409;0000;20,6667;;;
010410;0000;15,2083;;;
010411;0000;19,7917;;;
010412;0000;18;;;
010413;0000;7,75;;;
010414;0000;11,625;;;
010415;0000;17,5652;;;
010416;0000;16,9583;;;
010417;0000;11,125;;;
010418;0000;17,7917;;;
010419;0000;13,6667;;;
010420;0000;17,8333;;;
010421;0000;17;;;
010422;0000;4,875;;;
010423;0000;12,625;;;
010424;0000;15,5;;;
010425;0000;14,5;;;
010426;0000;11,1667;;;
010427;0000;10,6522;;;
010428;0000;11,7083;;;
010429;0000;12,5;;;
010430;0000;12,125;;;
010501;0000;17,5833;;;
010502;0000;16,2083;;;
010503;0000;16,9167;;;
010504;0000;19,0417;;;
010505;0000;5,29166;;;
010506;0000;10,2917;;;
010507;0000;5,95833;;;
010508;0000;3,125;;;
010509;0000;6,08333;;;
010510;0000;11,0833;;;
010511;0000;8,375;;;
010512;0000;10,625;;;
010513;0000;10,8333;;;
010514;0000;7,26086;;;
010515;0000;9,08333;;;
010516;0000;7,125;;;
010517;0000;3,66666;;;
010518;0000;7,91666;;;
010519;0000;8,33333;;;
010520;0000;7,70833;;;
010521;0000;;;;
010522;0000;;;;
010523;0000;12,5;;;
010524;0000;7,66666;;;
010525;0000;8,95833;;;
010526;0000;9,04166;;;
010527;0000;12,7083;;;
010528;0000;4,95833;;;
010529;0000;7,625;;;
010530;0000;4,54166;;;
010531;0000;4,83333;;;
010601;0000;7,08333;;;
010602;0000;4,70833;;;
010603;0000;9,45833;;;
010604;0000;7,375;;;
010605;0000;9,5;;;
010606;0000;12,875;;;
010607;0000;14,5417;;;
010608;0000;10,9583;;;
010609;0000;17,3333;;;
010610;0000;12,8333;;;
010611;0000;11,5833;;;
010612;0000;4,83333;;;
010613;0000;3,95833;;;
010614;0000;4,125;;;
010615;0000;7,91666;;;
010616;0000;9,54166;;;
010617;0000;10,0417;;;
010618;0000;9,25;;;
010619;0000;10,5833;;;
010620;0000;10,3333;;;
010621;0000;9,70833;;;
