FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;26,9818;
031215;1100;28,775;
031215;1200;30,0833;
031215;1300;31,05;
031215;1400;31,7666;
031215;1500;32,1333;
031215;1600;32,2416;
031215;1700;31,35;
031215;1800;29,875;
031215;1900;26,9833;
031215;2000;23,6333;
031215;2100;21,9;
031215;2200;19,8833;
031215;2300;18,6666;
031216;0000;17,65;
031216;0100;16,3833;
031216;0200;15,65;
031216;0300;14,8083;
031216;0400;14,4333;
031216;0500;13,7083;
031216;0600;17,3;
031216;0700;21,1083;
031216;0800;25,4167;
031216;0900;28,5333;
031216;1000;30,8167;
031216;1100;33,0333;
031216;1200;34,8083;
031216;1300;35,825;
031216;1400;36,9;
031216;1500;37,3499;
031216;1600;37,1166;
031216;1700;36,775;
031216;1800;35,0166;
031216;1900;31,6083;
031216;2000;28,3666;
031216;2100;26,3333;
031216;2200;25,6416;
031216;2300;23,6833;
031217;0000;21,7666;
031217;0100;20,8167;
031217;0200;19,3333;
031217;0300;18,2916;
031217;0400;17,35;
031217;0500;16,5916;
031217;0600;20,5166;
031217;0700;25,0833;
031217;0800;29,4417;
031217;0900;32,575;
031217;1000;34,1749;
031217;1100;35,45;
031217;1200;36,3083;
031217;1300;36,8916;
031217;1400;36,8833;
031217;1500;36,0166;
031217;1600;34,6;
031217;1700;33,1666;
031217;1800;30,5;
031217;1900;26,4;
031217;2000;23,2;
031217;2100;21,2666;
031217;2200;19,9083;
031217;2300;18,6667;
031218;0000;17,8083;
031218;0100;17,1083;
031218;0200;16,4583;
031218;0300;15,6917;
031218;0400;15,275;
031218;0500;15,0083;
031218;0600;17,4666;
031218;0700;20,8083;
031218;0800;24,6583;
031218;0900;27,2083;
031218;1000;29,7333;
031218;1100;31,55;
031218;1200;32,2333;
031218;1300;32,3916;
031218;1400;33,1166;
031218;1500;32,6083;
031218;1600;32,225;
031218;1700;30,75;
031218;1800;28,4666;
031218;1900;24,6416;
031218;2000;22,2166;
031218;2100;20,6333;
031218;2200;20,0333;
031218;2300;18,8916;
031219;0000;17,925;
031219;0100;16,8083;
031219;0200;16,375;
031219;0300;16,1;
031219;0400;15,2417;
031219;0500;15,1667;
031219;0600;17,5083;
031219;0700;21,375;
031219;0800;25,1166;
031219;0900;27,9916;
031219;1000;29,8583;
031219;1100;31,1;
031219;1200;31,9833;
031219;1300;32,7583;
031219;1400;33,4583;
031219;1500;34,1833;
031219;1600;33,7166;
031219;1700;32,5083;
031219;1800;30,4;
031219;1900;26,7916;
031219;2000;24,35;
031219;2100;23,325;
031219;2200;22,425;
031219;2300;21,4666;
031220;0000;20,6833;
031220;0100;19,9666;
031220;0200;19,1666;
031220;0300;18,55;
031220;0400;17,975;
031220;0500;17,825;
031220;0600;20,5417;
031220;0700;23,7916;
031220;0800;27,575;
031220;0900;30,1917;
031220;1000;32,2499;
031220;1100;34,025;
031220;1200;34,575;
031220;1300;35,7166;
031220;1400;35,9666;
031220;1500;35,7416;
031220;1600;33,3916;
031220;1700;30,55;
031220;1800;27,3416;
031220;1900;23,8833;
031220;2000;21,8583;
031220;2100;21,1917;
031220;2200;20,5166;
031220;2300;19,2917;
031221;0000;17,1333;
031221;0100;15,4917;
031221;0200;14,7;
031221;0300;14,1667;
031221;0400;13,675;
031221;0500;12,7833;
031221;0600;15,0333;
031221;0700;17,3833;
031221;0800;20,875;
031221;0900;24,4166;
031221;1000;26,2333;
031221;1100;27,3333;
031221;1200;27,8;
031221;1300;28,9083;
031221;1400;30,3;
031221;1500;31,0417;
031221;1600;31,4333;
031221;1700;31,3;
031221;1800;30,1333;
031221;1900;27,1083;
031221;2000;24,2;
031221;2100;22,8;
031221;2200;21,6416;
031221;2300;20,2583;
031222;0000;18,8666;
031222;0100;17,4666;
031222;0200;16,625;
031222;0300;15,8167;
031222;0400;14,9583;
031222;0500;14,625;
031222;0600;17,6583;
031222;0700;20,425;
031222;0800;24,3583;
031222;0900;26,9666;
031222;1000;29,3583;
031222;1100;30,775;
031222;1200;32,0416;
031222;1300;33,2916;
031222;1400;34,6583;
031222;1500;35,1749;
031222;1600;34,8833;
031222;1700;33,8333;
031222;1800;31,125;
031222;1900;27,8167;
031222;2000;24,1083;
031222;2100;22,0667;
031222;2200;21,175;
031222;2300;20,0083;
031223;0000;19,1;
031223;0100;18,3167;
031223;0200;17,5166;
031223;0300;16,7416;
031223;0400;16,1333;
031223;0500;15,9666;
031223;0600;18,8416;
031223;0700;22,275;
031223;0800;25,7666;
031223;0900;28,3416;
031223;1000;30,2666;
031223;1100;31,7416;
031223;1200;32,8749;
031223;1300;33,5416;
031223;1400;33,6583;
031223;1500;32,8583;
031223;1600;32,4166;
031223;1700;31,1917;
031223;1800;29,0667;
031223;1900;24,8;
031223;2000;22,075;
031223;2100;20,4417;
031223;2200;19,1833;
031223;2300;18,0333;
031224;0000;17,2583;
031224;0100;16,6333;
031224;0200;15,1416;
031224;0300;14,5833;
031224;0400;14,1667;
031224;0500;13,4917;
031224;0600;15,525;
031224;0700;19,2583;
031224;0800;23,1166;
031224;0900;25,025;
031224;1000;26,6333;
031224;1100;28,775;
031224;1200;29,5166;
031224;1300;29,9417;
031224;1400;30,3833;
031224;1500;30,525;
031224;1600;30,55;
031224;1700;29,2333;
031224;1800;26,9333;
031224;1900;23,725;
031224;2000;21,4666;
031224;2100;20,0083;
031224;2200;18,6583;
031224;2300;17,525;
031225;0000;16,6166;
031225;0100;15,5583;
031225;0200;14,65;
031225;0300;14,2167;
031225;0400;13,7833;
031225;0500;13,625;
031225;0600;15,5166;
031225;0700;19,3833;
031225;0800;23,4083;
031225;0900;26,25;
031225;1000;29,3333;
031225;1100;31,2917;
031225;1200;32,2583;
031225;1300;32,8666;
031225;1400;33,4;
031225;1500;33,3666;
031225;1600;32,8666;
031225;1700;31,675;
031225;1800;29,15;
031225;1900;25,6833;
031225;2000;22,8083;
031225;2100;21,2666;
031225;2200;19,9583;
031225;2300;18,6666;
031226;0000;17,4583;
031226;0100;16,5417;
031226;0200;16,2166;
031226;0300;15,175;
031226;0400;14,25;
031226;0500;14,1583;
031226;0600;16,0166;
031226;0700;19,3583;
031226;0800;23,275;
031226;0900;25,6833;
031226;1000;26,85;
031226;1100;28,6083;
031226;1200;29,8666;
031226;1300;30,4833;
031226;1400;31,45;
031226;1500;31,6;
031226;1600;31,2583;
031226;1700;30,2916;
031226;1800;27,75;
031226;1900;24,5667;
031226;2000;21,5166;
031226;2100;19,8916;
031226;2200;18,825;
031226;2300;17,5916;
031227;0000;16,6333;
031227;0100;15,7833;
031227;0200;15,0667;
031227;0300;14,0333;
031227;0400;13,4667;
031227;0500;12,925;
031227;0600;14,6583;
031227;0700;17,0083;
031227;0800;19,8416;
031227;0900;21,6666;
031227;1000;22,8833;
031227;1100;25,375;
031227;1200;26,75;
031227;1300;28,1333;
031227;1400;29,725;
031227;1500;30,5583;
031227;1600;30,5833;
031227;1700;30,375;
031227;1800;29,1166;
031227;1900;26,1083;
031227;2000;23,0416;
031227;2100;21,0417;
031227;2200;19,5916;
031227;2300;;
031228;0000;;
031228;0100;;
031228;0200;;
031228;0300;;
031228;0400;;
031228;0500;;
031228;0600;;
031228;0700;;
031228;0800;;
031228;0900;;
031228;1000;;
031228;1100;;
031228;1200;;
031228;1300;;
031228;1400;;
031228;1500;;
031228;1600;;
031228;1700;;
031228;1800;;
031228;1900;;
031228;2000;;
031228;2100;;
031228;2200;;
031228;2300;;
031229;0000;;
031229;0100;;
031229;0200;;
031229;0300;;
031229;0400;;
031229;0500;;
031229;0600;;
031229;0700;;
031229;0800;;
031229;0900;;
031229;1000;;
031229;1100;;
031229;1200;;
031229;1300;;
031229;1400;;
031229;1500;;
031229;1600;;
