FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970405;0000;1,9125;;;
970406;0000;1,5625;;;
970407;0000;1,65417;;;
970408;0000;2,01666;;;
970409;0000;2,5;;;
970410;0000;2,575;;;
970411;0000;1,64166;;;
970412;0000;2,15416;;;
970413;0000;1,7875;;;
970414;0000;1,55833;;;
970415;0000;1,30416;;;
970416;0000;1,82083;;;
970417;0000;2,0625;;;
970418;0000;1,90833;;;
970419;0000;1,90833;;;
970420;0000;1,50833;;;
970421;0000;0,979165;;;
970422;0000;1,93333;;;
970423;0000;2,06666;;;
970424;0000;0,941665;;;
970425;0000;2,4375;;;
970426;0000;2,6;;;
970427;0000;2,20833;;;
970428;0000;3,3125;;;
970429;0000;2,2875;;;
970430;0000;3,55833;;;
970501;0000;1,675;;;
970502;0000;;;;
970503;0000;2,7;;;
970504;0000;2,275;;;
970505;0000;3,2;;;
970506;0000;4,58333;;;
970507;0000;2,225;;;
970508;0000;1,97916;;;
970509;0000;3,21666;;;
970510;0000;3,75416;;;
970511;0000;2,5125;;;
970512;0000;2,49583;;;
970513;0000;3,97083;;;
970514;0000;2,52916;;;
970515;0000;2,31667;;;
970516;0000;1,175;;;
970517;0000;2,03333;;;
970518;0000;0,558332;;;
970519;0000;1,9125;;;
970520;0000;1,97391;;;
970521;0000;1,11666;;;
970522;0000;4,08333;;;
970523;0000;3,69166;;;
970524;0000;3,79583;;;
970525;0000;3,0125;;;
970526;0000;3,54166;;;
970527;0000;4,62499;;;
970528;0000;3,84166;;;
970529;0000;1,525;;;
970530;0000;1,96666;;;
970531;0000;4,22083;;;
970601;0000;3,78749;;;
970602;0000;;;;
970603;0000;;;;
970604;0000;;;;
970605;0000;;;;
970606;0000;;;;
970607;0000;4,66249;;;
970608;0000;4,09583;;;
970609;0000;2,59166;;;
970610;0000;2,80416;;;
970611;0000;1,83333;;;
970612;0000;0,745832;;;
970613;0000;1,17916;;;
970614;0000;1,87083;;;
970615;0000;3,38333;;;
970616;0000;3,4875;;;
970617;0000;3,25416;;;
970618;0000;2,42083;;;
970619;0000;2,20833;;;
970620;0000;0,570832;;;
970621;0000;0,712499;;;
970622;0000;0,674999;;;
970623;0000;1,77083;;;
970624;0000;2,26666;;;
970625;0000;2,35833;;;
970626;0000;2,90833;;;
970627;0000;2,97083;;;
970628;0000;3,94166;;;
970629;0000;4,12083;;;
970630;0000;4,79166;;;
970701;0000;2,4;;;
970702;0000;2,9125;;;
970703;0000;3,86666;;;
970704;0000;4,37499;;;
970705;0000;3,69999;;;
970706;0000;2,64166;;;
970707;0000;1,72916;;;
970708;0000;3,49166;;;
970709;0000;2,97083;;;
970710;0000;2,47499;;;
970711;0000;2,65833;;;
970712;0000;0,970832;;;
970713;0000;2,35;;;
970714;0000;3,43043;;;
970715;0000;2,92916;;;
970716;0000;4,24166;;;
970717;0000;5,82082;;;
970718;0000;4,4875;;;
970719;0000;4,68749;;;
970720;0000;3,44583;;;
970721;0000;3,61666;;;
970722;0000;4,425;;;
970723;0000;3,725;;;
970724;0000;4,2;;;
970725;0000;5,04582;;;
970726;0000;4,20416;;;
970727;0000;2,06666;;;
970728;0000;0,524999;;;
970729;0000;1,1125;;;
970730;0000;1,15;;;
970731;0000;0,966665;;;
970801;0000;1,39166;;;
970802;0000;1,87916;;;
970803;0000;1,7625;;;
970804;0000;2,89583;;;
970805;0000;4,36666;;;
970806;0000;3,1875;;;
970807;0000;3,45416;;;
970808;0000;3,125;;;
970809;0000;2,72916;;;
970810;0000;2,76666;;;
970811;0000;3,075;;;
970812;0000;2,48333;;;
970813;0000;1,09583;;;
970814;0000;1,825;;;
970815;0000;1,99166;;;
970816;0000;0,954165;;;
970817;0000;0,329166;;;
970818;0000;1,225;;;
970819;0000;1,175;;;
970820;0000;1,52083;;;
970821;0000;2,19583;;;
970822;0000;2,09583;;;
970823;0000;2,39166;;;
970824;0000;;;;
970825;0000;;;;
970826;0000;3,10416;;;
970827;0000;2,37083;;;
970828;0000;2,19166;;;
970829;0000;1,75;;;
970830;0000;1,00833;;;
970831;0000;1,63333;;;
970901;0000;2,1125;;;
970902;0000;1,67916;;;
970903;0000;1,7125;;;
970904;0000;1,94583;;;
970905;0000;2,84583;;;
970906;0000;1,34583;;;
970907;0000;0,275;;;
970908;0000;0,312499;;;
970909;0000;0,404166;;;
970910;0000;0,912499;;;
970911;0000;0,195833;;;
970912;0000;0,479166;;;
970913;0000;0,916666;;;
970914;0000;1,45;;;
970915;0000;2,56086;;;
970916;0000;2,6875;;;
970917;0000;2,12916;;;
970918;0000;0,799999;;;
970919;0000;0,612499;;;
970920;0000;0,999999;;;
970921;0000;0,645832;;;
970922;0000;0,352173;;;
970923;0000;0,383333;;;
970924;0000;0,587499;;;
970925;0000;1,30833;;;
970926;0000;2,02916;;;
970927;0000;0,674999;;;
970928;0000;0,949999;;;
970929;0000;1,05;;;
970930;0000;0,616666;;;
971001;0000;1,44583;;;
971002;0000;0,695832;;;
971003;0000;0,870832;;;
971004;0000;0,624999;;;
971005;0000;1,04583;;;
971006;0000;0,574999;;;
971007;0000;1,12917;;;
971008;0000;0,570832;;;
971009;0000;0,599999;;;
971010;0000;0,704165;;;
971011;0000;0,808332;;;
971012;0000;0,470832;;;
971013;0000;0,433332;;;
971014;0000;0,620832;;;
971015;0000;0,595832;;;
971016;0000;0,391666;;;
971017;0000;0,437499;;;
971018;0000;0,270833;;;
971019;0000;0,133333;;;
971020;0000;0,379166;;;
971021;0000;0,824999;;;
971022;0000;0,279166;;;
971023;0000;0,587499;;;
971024;0000;0,545833;;;
971025;0000;0,158333;;;
971026;0000;0,2375;;;
971027;0000;0,291666;;;
971028;0000;0,279166;;;
971029;0000;0,2;;;
971030;0000;0,254166;;;
971031;0000;0,962499;;;
971101;0000;1,04583;;;
971102;0000;0,158333;;;
971103;0000;0,333333;;;
971104;0000;0,779165;;;
971105;0000;1,35833;;;
971106;0000;1,51666;;;
971107;0000;1,03333;;;
971108;0000;0,929166;;;
971109;0000;1,075;;;
971110;0000;0,245833;;;
971111;0000;0,191666;;;
971112;0000;0,2375;;;
971113;0000;0,420833;;;
971114;0000;0,570832;;;
971115;0000;0,341666;;;
971116;0000;0,270833;;;
971117;0000;0,483333;;;
971118;0000;0,583332;;;
971119;0000;0,370833;;;
971120;0000;0,379166;;;
971121;0000;0,504166;;;
971122;0000;0,558332;;;
971123;0000;0,345833;;;
971124;0000;0,424999;;;
971125;0000;0,245833;;;
971126;0000;0,241666;;;
971127;0000;0,420833;;;
971128;0000;0,358333;;;
971129;0000;0,262499;;;
971130;0000;0,229166;;;
971201;0000;0,245833;;;
971202;0000;0,220833;;;
971203;0000;0,358333;;;
971204;0000;0,504166;;;
971205;0000;0,737498;;;
971206;0000;0,354166;;;
971207;0000;0,362499;;;
971208;0000;0,220833;;;
971209;0000;0,354166;;;
971210;0000;0,445833;;;
971211;0000;0,120833;;;
971212;0000;0,633332;;;
971213;0000;1,275;;;
971214;0000;0,8375;;;
971215;0000;0,441666;;;
971216;0000;0,2625;;;
971217;0000;0,304166;;;
971218;0000;0,304166;;;
971219;0000;0,333333;;;
971220;0000;0,291666;;;
971221;0000;0,354166;;;
971222;0000;0,662498;;;
971223;0000;0,637499;;;
971224;0000;0,662498;;;
971225;0000;0,749999;;;
971226;0000;0,183333;;;
971227;0000;0,179166;;;
971228;0000;0,287499;;;
971229;0000;0,4;;;
971230;0000;0,483333;;;
971231;0000;0,375;;;
980101;0000;0,783333;;;
980102;0000;0,741665;;;
980103;0000;0,391666;;;
980104;0000;0,391666;;;
980105;0000;0,270833;;;
980106;0000;0,299999;;;
980107;0000;0,479166;;;
980108;0000;0,416666;;;
980109;0000;0,366666;;;
980110;0000;0,345832;;;
980111;0000;0,433332;;;
980112;0000;0,599998;;;
980113;0000;0,624999;;;
980114;0000;0,387499;;;
980115;0000;0,395833;;;
980116;0000;0,791665;;;
980117;0000;0,987499;;;
980118;0000;0,545833;;;
980119;0000;0,354166;;;
980120;0000;0,258333;;;
980121;0000;0,208333;;;
980122;0000;0,378261;;;
980123;0000;0,566666;;;
980124;0000;0,558332;;;
980125;0000;0,399999;;;
980126;0000;0,208333;;;
980127;0000;0,220833;;;
980128;0000;0,316666;;;
980129;0000;0,449999;;;
980130;0000;0,579165;;;
980131;0000;0,795833;;;
980201;0000;0,291666;;;
980202;0000;0,249999;;;
980203;0000;0,420832;;;
980204;0000;0,333333;;;
980205;0000;0,387499;;;
980206;0000;0,587499;;;
980207;0000;0,574999;;;
980208;0000;0,245833;;;
980209;0000;0,387499;;;
980210;0000;0,429166;;;
980211;0000;0,554166;;;
980212;0000;0,441666;;;
980213;0000;0,287499;;;
980214;0000;0,712499;;;
980215;0000;0,5;;;
980216;0000;0,491666;;;
980217;0000;0,379166;;;
980218;0000;0,383333;;;
980219;0000;0,329166;;;
980220;0000;0,358333;;;
980221;0000;0,241666;;;
980222;0000;0,195833;;;
980223;0000;0,412499;;;
980224;0000;0,404166;;;
980225;0000;0,541665;;;
980226;0000;1,09583;;;
980227;0000;1,09167;;;
980228;0000;1,175;;;
980301;0000;0,474999;;;
980302;0000;0,404166;;;
980303;0000;0,574999;;;
980304;0000;0,608333;;;
980305;0000;0,645832;;;
980306;0000;0,612499;;;
980307;0000;0,770832;;;
980308;0000;1,04167;;;
980309;0000;1,0375;;;
980310;0000;2,02083;;;
980311;0000;0,974998;;;
980312;0000;0,645832;;;
980313;0000;1,10416;;;
980314;0000;0,462499;;;
980315;0000;0,683332;;;
980316;0000;0,408333;;;
980317;0000;0,520832;;;
980318;0000;0,962499;;;
980319;0000;1,38333;;;
980320;0000;1,49166;;;
980321;0000;1,2;;;
980322;0000;1,32916;;;
980323;0000;1,725;;;
980324;0000;2,20833;;;
980325;0000;1,59583;;;
980326;0000;0,529165;;;
980327;0000;0,466666;;;
980328;0000;1,01666;;;
980329;0000;1,39583;;;
980330;0000;1,1125;;;
980331;0000;1,025;;;
980401;0000;1,70416;;;
980402;0000;1,68333;;;
980403;0000;0,958332;;;
980404;0000;0,587499;;;
980405;0000;0,412499;;;
980406;0000;1,09583;;;
980407;0000;2,375;;;
980408;0000;1,78333;;;
980409;0000;1,50417;;;
980410;0000;0,558332;;;
980411;0000;0,233333;;;
980412;0000;0,370833;;;
980413;0000;0,670833;;;
980414;0000;0,799999;;;
980415;0000;1,04583;;;
980416;0000;2,45416;;;
980417;0000;2,725;;;
980418;0000;2,22916;;;
980419;0000;3,00416;;;
980420;0000;2,03333;;;
980421;0000;1,07083;;;
980422;0000;1,29166;;;
980423;0000;2,2;;;
980424;0000;1,98333;;;
980425;0000;1,0375;;;
980426;0000;0,808332;;;
980427;0000;1,59167;;;
980428;0000;3,425;;;
980429;0000;4,1125;;;
980430;0000;2,85416;;;
980501;0000;2,1875;;;
980502;0000;2,10833;;;
980503;0000;1,89166;;;
980504;0000;1,7875;;;
980505;0000;3,52083;;;
980506;0000;3,54166;;;
980507;0000;2,49583;;;
980508;0000;3,03333;;;
980509;0000;2,02083;;;
980510;0000;1,67916;;;
980511;0000;1,80416;;;
980512;0000;1,24583;;;
980513;0000;1,65417;;;
980514;0000;2,29583;;;
980515;0000;3,89166;;;
980516;0000;4,34166;;;
980517;0000;3,67083;;;
980518;0000;2,67083;;;
980519;0000;2,50833;;;
980520;0000;1,75833;;;
980521;0000;2,0375;;;
980522;0000;3,09583;;;
980523;0000;2,2125;;;
980524;0000;1,52083;;;
980525;0000;1,525;;;
980526;0000;3,01666;;;
980527;0000;2,9125;;;
980528;0000;2,35833;;;
980529;0000;2,25;;;
980530;0000;3,92916;;;
980531;0000;2,4875;;;
980601;0000;3,44166;;;
980602;0000;5,13332;;;
980603;0000;2,90416;;;
980604;0000;2,325;;;
980605;0000;2,625;;;
980606;0000;2,5;;;
