FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;243,511;
031215;1100;241,099;
031215;1200;223,84;
031215;1300;227,137;
031215;1400;213,448;
031215;1500;223,574;
031215;1600;215,562;
031215;1700;217,292;
031215;1800;223,182;
031215;1900;192,617;
031215;2000;185,937;
031215;2100;195,125;
031215;2200;252,876;
031215;2300;359,078;
031216;0000;312,327;
031216;0100;21,0476;
031216;0200;79,9578;
031216;0300;121,1;
031216;0400;130,584;
031216;0500;14,0237;
031216;0600;49,9167;
031216;0700;47,7595;
031216;0800;286,067;
031216;0900;260,107;
031216;1000;234,69;
031216;1100;216,804;
031216;1200;200,559;
031216;1300;209,371;
031216;1400;214,556;
031216;1500;217,608;
031216;1600;220,041;
031216;1700;217,651;
031216;1800;211,219;
031216;1900;208,358;
031216;2000;178,143;
031216;2100;181,913;
031216;2200;193,031;
031216;2300;358,309;
031217;0000;0,50596;
031217;0100;24,0272;
031217;0200;90,7355;
031217;0300;29,254;
031217;0400;101,009;
031217;0500;140,729;
031217;0600;106,306;
031217;0700;341,711;
031217;0800;232,146;
031217;0900;264,921;
031217;1000;273,108;
031217;1100;225,616;
031217;1200;222,024;
031217;1300;205,841;
031217;1400;218,602;
031217;1500;210,723;
031217;1600;202,291;
031217;1700;189,336;
031217;1800;191,273;
031217;1900;191,188;
031217;2000;176,11;
031217;2100;192,042;
031217;2200;191,021;
031217;2300;208,643;
031218;0000;212,346;
031218;0100;313,257;
031218;0200;288,199;
031218;0300;324,799;
031218;0400;278,188;
031218;0500;322,15;
031218;0600;327,654;
031218;0700;305,583;
031218;0800;262,433;
031218;0900;262,486;
031218;1000;226,138;
031218;1100;249,07;
031218;1200;222,312;
031218;1300;210,635;
031218;1400;217,846;
031218;1500;216,628;
031218;1600;215,457;
031218;1700;216,412;
031218;1800;204,692;
031218;1900;195,122;
031218;2000;185,208;
031218;2100;178,215;
031218;2200;180,073;
031218;2300;198,011;
031219;0000;236,801;
031219;0100;271,015;
031219;0200;296,979;
031219;0300;298,837;
031219;0400;289,093;
031219;0500;297,654;
031219;0600;271,662;
031219;0700;338,614;
031219;0800;273,586;
031219;0900;278,981;
031219;1000;267,35;
031219;1100;215,671;
031219;1200;205,943;
031219;1300;198,439;
031219;1400;212,556;
031219;1500;227,741;
031219;1600;220,43;
031219;1700;215,241;
031219;1800;209,762;
031219;1900;189,437;
031219;2000;181,298;
031219;2100;183,074;
031219;2200;157,188;
031219;2300;323,09;
031220;0000;274,676;
031220;0100;331,468;
031220;0200;86,9734;
031220;0300;69,1344;
031220;0400;195,026;
031220;0500;148,543;
031220;0600;41,681;
031220;0700;295,804;
031220;0800;305,28;
031220;0900;262,104;
031220;1000;265,256;
031220;1100;251,533;
031220;1200;230,809;
031220;1300;212,298;
031220;1400;218,967;
031220;1500;215,082;
031220;1600;212,713;
031220;1700;218,781;
031220;1800;186,101;
031220;1900;178,532;
031220;2000;176,395;
031220;2100;160,729;
031220;2200;162,347;
031220;2300;178,034;
031221;0000;196,874;
031221;0100;186,395;
031221;0200;189,625;
031221;0300;188,099;
031221;0400;229,264;
031221;0500;209,841;
031221;0600;188,964;
031221;0700;231,707;
031221;0800;271,881;
031221;0900;283,705;
031221;1000;230,685;
031221;1100;204,142;
031221;1200;201,893;
031221;1300;209,661;
031221;1400;221,274;
031221;1500;233,063;
031221;1600;218,505;
031221;1700;222,155;
031221;1800;217,708;
031221;1900;229,585;
031221;2000;211,534;
031221;2100;210,939;
031221;2200;205,433;
031221;2300;213,183;
031222;0000;294,977;
031222;0100;286,831;
031222;0200;340,84;
031222;0300;306,624;
031222;0400;288,699;
031222;0500;13,2123;
031222;0600;352,664;
031222;0700;282,442;
031222;0800;302,245;
031222;0900;221,246;
031222;1000;286,051;
031222;1100;234,815;
031222;1200;225,236;
031222;1300;207,732;
031222;1400;219,238;
031222;1500;227,776;
031222;1600;216,201;
031222;1700;220,689;
031222;1800;212,608;
031222;1900;202,149;
031222;2000;190,598;
031222;2100;185,376;
031222;2200;172,125;
031222;2300;206,043;
031223;0000;207,385;
031223;0100;19,5217;
031223;0200;254,427;
031223;0300;306,995;
031223;0400;34,4017;
031223;0500;352,539;
031223;0600;15,6477;
031223;0700;326,445;
031223;0800;283,154;
031223;0900;271,158;
031223;1000;230,784;
031223;1100;220,108;
031223;1200;206,468;
031223;1300;223,602;
031223;1400;214,111;
031223;1500;208,945;
031223;1600;212,677;
031223;1700;210,504;
031223;1800;199,913;
031223;1900;191,927;
031223;2000;181,164;
031223;2100;174,922;
031223;2200;189,633;
031223;2300;203,848;
031224;0000;207,649;
031224;0100;260,133;
031224;0200;250,292;
031224;0300;318,13;
031224;0400;328,676;
031224;0500;279,578;
031224;0600;24,5508;
031224;0700;327,924;
031224;0800;304,549;
031224;0900;265,877;
031224;1000;225,258;
031224;1100;219,639;
031224;1200;209,905;
031224;1300;209,357;
031224;1400;210,179;
031224;1500;211,916;
031224;1600;221,894;
031224;1700;222,893;
031224;1800;216,974;
031224;1900;211,682;
031224;2000;187,976;
031224;2100;187,171;
031224;2200;195,244;
031224;2300;194,077;
031225;0000;218,218;
031225;0100;252,386;
031225;0200;260,373;
031225;0300;263,258;
031225;0400;266,551;
031225;0500;292,813;
031225;0600;0,619186;
031225;0700;51,1414;
031225;0800;317,397;
031225;0900;246,584;
031225;1000;237,673;
031225;1100;243,73;
031225;1200;215,675;
031225;1300;213,653;
031225;1400;224,204;
031225;1500;223,442;
031225;1600;215,081;
031225;1700;220,768;
031225;1800;205,498;
031225;1900;187,979;
031225;2000;179,402;
031225;2100;174,071;
031225;2200;180,476;
031225;2300;169,523;
031226;0000;187,648;
031226;0100;258,919;
031226;0200;256,541;
031226;0300;216,558;
031226;0400;271,485;
031226;0500;12,8024;
031226;0600;265,088;
031226;0700;275,962;
031226;0800;272,038;
031226;0900;262,992;
031226;1000;233,816;
031226;1100;211,431;
031226;1200;218,271;
031226;1300;221,23;
031226;1400;231,148;
031226;1500;223,462;
031226;1600;221,792;
031226;1700;212,087;
031226;1800;230,027;
031226;1900;217,856;
031226;2000;197,046;
031226;2100;195,696;
031226;2200;184,425;
031226;2300;175,24;
031227;0000;207,145;
031227;0100;219,423;
031227;0200;219,267;
031227;0300;258,148;
031227;0400;237,64;
031227;0500;266,82;
031227;0600;259,39;
031227;0700;284,667;
031227;0800;239,617;
031227;0900;216,934;
031227;1000;204,967;
031227;1100;211,524;
031227;1200;219,791;
031227;1300;225,112;
031227;1400;197,455;
031227;1500;222,017;
031227;1600;220,617;
031227;1700;216,96;
031227;1800;206,38;
031227;1900;191,69;
031227;2000;186,193;
031227;2100;190,038;
031227;2200;226,485;
031227;2300;279,276;
031228;0000;285,292;
031228;0100;294,7;
031228;0200;299,677;
031228;0300;345,724;
031228;0400;7,97498;
031228;0500;330,818;
031228;0600;22,5967;
031228;0700;308,725;
031228;0800;345,401;
031228;0900;293,864;
031228;1000;234,404;
031228;1100;216,247;
031228;1200;198,584;
031228;1300;201,688;
031228;1400;196,241;
031228;1500;206,846;
031228;1600;192,545;
031228;1700;218,314;
031228;1800;213,91;
031228;1900;204,381;
031228;2000;171,166;
031228;2100;171,589;
031228;2200;175,209;
031228;2300;173,451;
031229;0000;171,398;
031229;0100;142,985;
031229;0200;341,738;
031229;0300;320,474;
031229;0400;269,933;
031229;0500;323,447;
031229;0600;44,6772;
031229;0700;348,105;
031229;0800;249,191;
031229;0900;208,124;
031229;1000;257,102;
031229;1100;219,169;
031229;1200;201,996;
031229;1300;212,092;
031229;1400;218,11;
031229;1500;217,106;
031229;1600;209,754;
031229;1700;209,673;
031229;1800;201,412;
031229;1900;186,655;
031229;2000;172,684;
031229;2100;179,035;
031229;2200;146,356;
