FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970402;0000;111,048;;;
970403;0000;140,5;;;
970404;0000;142,958;;;
970405;0000;146,958;;;
970406;0000;119,792;;;
970407;0000;124,708;;;
970408;0000;142,917;;;
970409;0000;155,833;;;
970410;0000;143,75;;;
970411;0000;135,333;;;
970412;0000;137,125;;;
970413;0000;108,708;;;
970414;0000;90;;;
970415;0000;97,625;;;
970416;0000;121,5;;;
970417;0000;135,208;;;
970418;0000;120,25;;;
970419;0000;101,25;;;
970420;0000;92,625;;;
970421;0000;80,8333;;;
970422;0000;136,167;;;
970423;0000;115,417;;;
970424;0000;61,7916;;;
970425;0000;113,208;;;
970426;0000;98,25;;;
970427;0000;82,25;;;
970428;0000;148;;;
970429;0000;130,667;;;
970430;0000;137,542;;;
970501;0000;92,7272;;;
970502;0000;;;;
970503;0000;137,208;;;
970504;0000;118,792;;;
970505;0000;187,458;;;
970506;0000;220,625;;;
970507;0000;181,545;;;
970508;0000;151,875;;;
970509;0000;177,958;;;
970510;0000;202,25;;;
970511;0000;160,708;;;
970512;0000;131,833;;;
970513;0000;179,292;;;
970514;0000;170,625;;;
970515;0000;149,75;;;
970516;0000;81;;;
970517;0000;79,7916;;;
970518;0000;16,3333;;;
970519;0000;81,7916;;;
970520;0000;123,25;;;
970521;0000;55,7916;;;
970522;0000;195,542;;;
970523;0000;130,208;;;
970524;0000;136,125;;;
970525;0000;148,083;;;
970526;0000;153,333;;;
970527;0000;180,125;;;
970528;0000;180,25;;;
970529;0000;22,9167;;;
970530;0000;37,5;;;
970531;0000;138,25;;;
970601;0000;120,75;;;
970602;0000;127,25;;;
970603;0000;105,917;;;
970604;0000;;;;
970605;0000;;;;
970606;0000;;;;
970607;0000;187,042;;;
970608;0000;173,083;;;
970609;0000;155,091;;;
970610;0000;131,583;;;
970611;0000;52,4583;;;
970612;0000;21,3333;;;
970613;0000;61,1666;;;
970614;0000;40,9583;;;
970615;0000;74,9583;;;
970616;0000;111,625;;;
970617;0000;114,083;;;
970618;0000;85,6666;;;
970619;0000;68,5833;;;
970620;0000;18,0833;;;
970621;0000;14,5417;;;
970622;0000;20,7917;;;
970623;0000;46,0833;;;
970624;0000;81,375;;;
970625;0000;114,917;;;
970626;0000;146,917;;;
970627;0000;150,417;;;
970628;0000;190,625;;;
970629;0000;151,625;;;
970630;0000;197,917;;;
970701;0000;97,2083;;;
970702;0000;144,087;;;
970703;0000;186,25;;;
970704;0000;175,792;;;
970705;0000;138,417;;;
970706;0000;114,333;;;
970707;0000;111,417;;;
970708;0000;160,75;;;
970709;0000;129,833;;;
970710;0000;139,875;;;
970711;0000;106,917;;;
970712;0000;40,9583;;;
970713;0000;85,7826;;;
